timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
41268.0000,0.1909,1.0024,0.3218,-8.6670,-1.3428,-7.9956
41269.0000,0.1768,0.9893,0.3247,-8.9722,3.1738,-6.4087
41270.0000,0.1602,0.9751,0.3267,-8.8501,6.1035,-5.4321
41271.0000,0.1411,0.9702,0.3330,-8.4229,8.3008,-4.7607
41272.0000,0.1191,0.9712,0.3403,-7.5073,10.4370,-3.9062
41273.0000,0.1060,0.9751,0.3438,-7.3242,11.1084,-3.4180
41274.0000,0.1050,0.9785,0.3486,-6.9580,11.5356,-2.6245
41275.0000,0.1177,0.9771,0.3496,-6.7139,12.1460,-1.5259
41276.0000,0.1289,0.9741,0.3501,-6.2866,12.8784,-0.5493
41277.0000,0.1270,0.9727,0.3516,-6.0425,13.9160,0.4883
41278.0000,0.1108,0.9663,0.3525,-5.2490,14.9536,1.8311
41279.0000,0.0933,0.9644,0.3535,-4.6997,15.1367,2.3193
41280.0000,0.0806,0.9644,0.3535,-4.2114,14.6484,2.6245
41281.0000,0.0728,0.9707,0.3521,-3.5400,13.5498,2.6245
41282.0000,0.0796,0.9736,0.3521,-3.0518,12.4512,2.5635
41283.0000,0.0884,0.9756,0.3579,-2.7466,11.5356,2.5024
41284.0000,0.1001,0.9736,0.3599,-2.3804,10.9253,2.3804
41285.0000,0.1050,0.9761,0.3511,-2.1362,10.6201,2.3193
41286.0000,0.1069,0.9731,0.3521,-1.9531,10.3760,2.5024
41287.0000,0.1079,0.9746,0.3516,-1.7090,10.1318,2.1973
41288.0000,0.1099,0.9766,0.3530,-1.5869,10.0098,2.0142
41289.0000,0.1094,0.9766,0.3511,-1.2817,9.8877,1.6479
41290.0000,0.1099,0.9741,0.3530,-0.9766,9.9487,0.9155
41291.0000,0.1084,0.9731,0.3525,-0.7324,9.8877,0.6104
41292.0000,0.1079,0.9736,0.3535,-0.5493,9.6436,0.1221
41293.0000,0.1089,0.9746,0.3491,-0.2441,9.5215,-0.3662
41294.0000,0.1084,0.9800,0.3521,-0.1831,9.3994,-0.8545
41295.0000,0.1089,0.9844,0.3555,-0.1831,9.2163,-1.1597
41296.0000,0.1167,0.9902,0.3525,-0.3662,9.2163,-0.9766
41297.0000,0.1211,0.9888,0.3506,-0.7935,9.2773,-0.9155
41298.0000,0.1245,0.9863,0.3525,-1.0376,9.7046,-0.6714
41299.0000,0.1230,0.9858,0.3540,-1.2817,10.3149,-0.6104
41300.0000,0.1221,0.9854,0.3550,-1.3428,10.7422,-0.2441
41301.0000,0.1289,0.9844,0.3516,-1.4648,11.1084,0.0610
41302.0000,0.1392,0.9790,0.3506,-1.4648,12.2681,0.7324
41303.0000,0.1465,0.9746,0.3511,-1.3428,13.6108,1.1597
41304.0000,0.1470,0.9746,0.3452,-1.0986,15.1367,1.5259
41305.0000,0.1392,0.9800,0.3452,-0.7935,17.0898,1.8921
41306.0000,0.1309,0.9858,0.3442,-0.7324,18.1274,2.0142
41307.0000,0.1270,0.9878,0.3462,-0.7935,18.9819,2.1362
41308.0000,0.1216,0.9878,0.3462,-0.8545,20.1416,2.1973
41309.0000,0.1255,0.9902,0.3506,-1.2207,20.7520,2.2583
41310.0000,0.1323,0.9927,0.3501,-1.6479,21.4844,2.5635
41311.0000,0.1367,0.9907,0.3477,-2.1973,23.0103,2.7466
41312.0000,0.1235,0.9883,0.3506,-2.4414,24.2920,3.0518
41313.0000,0.1040,0.9824,0.3496,-2.5024,25.1465,3.1128
41314.0000,0.0850,0.9810,0.3501,-2.4414,25.0244,2.7466
41315.0000,0.0869,0.9854,0.3530,-2.3804,24.5972,2.4414
41316.0000,0.0981,0.9854,0.3525,-2.6245,24.2310,2.1973
41317.0000,0.1221,0.9873,0.3555,-2.9297,24.9634,2.3193
41318.0000,0.1401,0.9922,0.3584,-3.4790,26.0010,2.9297
41319.0000,0.1558,0.9907,0.3608,-3.7842,27.6489,3.8452
41320.0000,0.1655,0.9824,0.3545,-3.9062,30.7617,5.1270
41321.0000,0.1528,0.9761,0.3550,-4.0283,33.1421,6.1035
41322.0000,0.1294,0.9746,0.3574,-3.6621,35.3394,7.0801
41323.0000,0.1235,0.9771,0.3564,-3.4180,36.5601,7.5684
41324.0000,0.1343,0.9775,0.3628,-3.4180,37.7197,8.2397
41325.0000,0.1494,0.9810,0.3608,-3.4790,39.9780,8.9722
41326.0000,0.1636,0.9824,0.3608,-3.4180,42.2363,9.9487
41327.0000,0.1611,0.9844,0.3584,-3.6621,44.6777,10.6201
41328.0000,0.1338,0.9795,0.3589,-3.4790,47.6074,11.4746
41329.0000,0.1113,0.9805,0.3628,-3.6011,48.8892,11.9629
41330.0000,0.1025,0.9858,0.3657,-3.9062,49.2554,12.3901
41331.0000,0.1226,0.9897,0.3682,-4.2114,50.1099,12.8174
41332.0000,0.1436,0.9941,0.3657,-4.8828,51.5137,13.7329
41333.0000,0.1592,0.9990,0.3643,-5.4932,53.7109,14.6484
41334.0000,0.1504,0.9966,0.3657,-6.1035,56.9458,16.4185
41335.0000,0.1250,0.9858,0.3657,-6.3477,58.9600,17.3950
41336.0000,0.0986,0.9741,0.3638,-6.1646,59.9365,17.9443
41337.0000,0.0806,0.9751,0.3696,-6.2866,59.9976,18.3105
41338.0000,0.0947,0.9824,0.3735,-6.4697,59.7534,18.5547
41339.0000,0.1196,0.9814,0.3745,-6.4087,60.2417,18.9819
41340.0000,0.1416,0.9751,0.3794,-6.7749,62.2559,19.7754
41341.0000,0.1416,0.9746,0.3779,-6.7749,64.0869,20.4468
41342.0000,0.1270,0.9731,0.3750,-6.5918,65.6128,21.2402
41343.0000,0.0840,0.9653,0.3799,-6.1646,66.5283,21.3623
41344.0000,0.0601,0.9663,0.3833,-5.9204,65.7959,21.1792
41345.0000,0.0527,0.9751,0.3867,-5.8594,64.4531,20.6299
41346.0000,0.0791,0.9834,0.3936,-6.2256,62.5610,20.0806
41347.0000,0.1079,0.9844,0.3970,-6.8359,62.3169,19.9585
41348.0000,0.1289,0.9858,0.3989,-7.4463,62.9272,20.0806
41349.0000,0.1392,0.9888,0.4028,-8.5449,64.3921,20.8130
41350.0000,0.1392,0.9775,0.3975,-9.0942,65.6128,21.3013
41351.0000,0.1382,0.9673,0.3979,-9.3384,66.7725,21.4844
41352.0000,0.1401,0.9604,0.3984,-8.8501,68.4204,21.6675
41353.0000,0.1362,0.9531,0.4019,-8.3618,69.7021,21.4233
41354.0000,0.1323,0.9497,0.3989,-7.8125,70.7397,21.4233
41355.0000,0.1367,0.9502,0.3984,-7.0190,72.1436,21.6675
41356.0000,0.1465,0.9575,0.4023,-6.6528,73.2422,22.5220
41357.0000,0.1587,0.9624,0.3975,-6.4697,74.7070,23.4375
41358.0000,0.1699,0.9648,0.3960,-6.3477,77.2095,24.9634
41359.0000,0.1714,0.9590,0.3955,-5.9814,79.2847,25.9399
41360.0000,0.1548,0.9531,0.3975,-5.6152,81.5430,26.8555
41361.0000,0.1284,0.9502,0.4033,-4.9438,83.2520,27.3438
41362.0000,0.1274,0.9565,0.4067,-4.5776,83.9844,27.5269
41363.0000,0.1372,0.9595,0.4097,-4.3945,84.6558,27.7710
41364.0000,0.1533,0.9580,0.4067,-4.0283,86.3037,28.3203
41365.0000,0.1504,0.9570,0.4053,-3.6621,87.8296,29.0527
41366.0000,0.1348,0.9561,0.4077,-3.6011,89.2334,29.4800
41367.0000,0.1069,0.9443,0.4116,-2.8687,89.7217,29.9683
41368.0000,0.0986,0.9458,0.4092,-2.5635,89.2944,30.0903
41369.0000,0.1128,0.9531,0.4121,-2.3193,89.0503,30.1514
41370.0000,0.1382,0.9614,0.4126,-2.1362,89.8438,30.7007
41371.0000,0.1523,0.9624,0.4141,-2.0752,90.8203,31.3110
41372.0000,0.1504,0.9590,0.4141,-1.9531,92.2852,31.7383
41373.0000,0.1274,0.9492,0.4170,-1.4038,94.0552,31.7383
41374.0000,0.1045,0.9399,0.4189,-0.9766,94.4214,31.0669
41375.0000,0.0996,0.9409,0.4214,-0.2441,94.2993,30.5176
41376.0000,0.1187,0.9502,0.4189,0.5493,94.3604,30.0903
41377.0000,0.1284,0.9565,0.4194,0.7935,94.8486,30.2124
41378.0000,0.1279,0.9644,0.4224,0.9155,95.5200,30.5176
41379.0000,0.1094,0.9551,0.4307,0.8545,96.0083,30.8838
41380.0000,0.0840,0.9517,0.4297,1.1597,95.6421,30.5786
41381.0000,0.0620,0.9463,0.4282,1.5259,94.6655,30.2124
41382.0000,0.0522,0.9487,0.4307,2.0142,92.4072,29.3579
41383.0000,0.0547,0.9507,0.4341,2.3804,90.3931,28.8696
41384.0000,0.0571,0.9507,0.4370,2.7466,88.3789,28.5645
41385.0000,0.0522,0.9561,0.4370,2.9297,85.9375,28.0151
41386.0000,0.0405,0.9585,0.4370,2.9907,83.8013,27.3438
41387.0000,0.0278,0.9512,0.4409,3.1128,81.2988,26.3062
41388.0000,0.0151,0.9438,0.4424,3.6621,77.2705,24.5361
41389.0000,0.0210,0.9497,0.4473,4.0283,74.1577,22.8882
41390.0000,0.0303,0.9595,0.4502,4.1504,71.1060,21.6675
41391.0000,0.0532,0.9644,0.4482,3.9673,67.3828,20.8740
41392.0000,0.0645,0.9639,0.4458,3.5400,65.4907,20.4468
41393.0000,0.0659,0.9673,0.4473,3.1738,63.9038,20.0806
41394.0000,0.0503,0.9668,0.4561,2.5635,61.8896,18.8599
41395.0000,0.0396,0.9653,0.4556,2.1362,59.7534,17.8223
41396.0000,0.0381,0.9565,0.4531,2.0142,57.3730,16.8457
41397.0000,0.0547,0.9512,0.4512,2.1973,54.4434,15.6860
41398.0000,0.0737,0.9507,0.4468,2.1362,52.8564,15.1367
41399.0000,0.0898,0.9531,0.4438,2.2583,52.0020,15.0757
41400.0000,0.1030,0.9590,0.4458,2.0752,51.8799,14.7095
41401.0000,0.0977,0.9561,0.4526,1.9531,52.0020,14.8926
41402.0000,0.0942,0.9531,0.4492,1.7700,52.1240,14.9536
41403.0000,0.0820,0.9336,0.4453,2.2583,52.0020,14.4653
41404.0000,0.0767,0.9316,0.4492,2.8687,51.5137,13.9160
41405.0000,0.0845,0.9409,0.4463,3.6621,50.9644,13.6108
41406.0000,0.0991,0.9595,0.4512,4.0894,50.9033,13.5498
41407.0000,0.1074,0.9653,0.4487,3.8452,51.3916,13.8550
41408.0000,0.1138,0.9634,0.4492,3.2959,52.1240,14.4043
41409.0000,0.1113,0.9478,0.4438,2.9907,53.2837,15.6250
41410.0000,0.1187,0.9546,0.4434,2.6245,54.0771,16.9678
41411.0000,0.1318,0.9673,0.4429,2.5024,55.1758,18.3716
41412.0000,0.1333,0.9717,0.4399,1.7700,57.6782,20.1416
41413.0000,0.1118,0.9565,0.4385,1.5259,59.3262,20.7520
41414.0000,0.0776,0.9414,0.4434,1.5869,60.2417,20.9351
41415.0000,0.0444,0.9414,0.4517,2.0752,58.8989,20.6299
41416.0000,0.0371,0.9512,0.4551,2.2583,56.8237,20.3247
41417.0000,0.0508,0.9766,0.4575,1.6479,54.1992,19.8975
41418.0000,0.0645,0.9854,0.4502,0.7324,52.8564,19.5312
41419.0000,0.0610,0.9858,0.4453,-0.1221,51.8799,18.7988
41420.0000,0.0356,0.9941,0.4521,-1.4038,50.3540,17.0288
41421.0000,-0.0024,1.0000,0.4644,-2.5635,48.0347,14.9536
41422.0000,-0.0425,0.9966,0.4702,-3.7842,44.0063,12.4512
41423.0000,-0.0708,0.9912,0.4692,-5.8594,36.6211,8.5449
41424.0000,-0.0581,0.9922,0.4712,-7.5684,29.9072,6.4087
41425.0000,-0.0205,0.9888,0.4707,-9.1553,24.1089,4.5166
41426.0000,0.0361,0.9673,0.4629,-10.9253,18.6157,2.7466
41427.0000,0.0645,0.9419,0.4697,-11.7188,16.5405,1.5869
41428.0000,0.0771,0.9233,0.4814,-11.6577,15.3809,0.7324
41429.0000,0.0850,0.9136,0.4946,-10.9253,14.4653,-0.6104
41430.0000,0.0869,0.8940,0.4990,-10.0098,14.1602,-1.6479
41431.0000,0.0991,0.8867,0.5005,-8.7280,13.8550,-2.1973
41432.0000,0.1353,0.9019,0.4995,-6.7139,14.6484,-2.1362
41433.0000,0.1602,0.9155,0.5059,-5.9814,16.8457,-1.7700
41434.0000,0.1631,0.9150,0.5020,-5.2490,20.2026,-1.2207
41435.0000,0.1372,0.9102,0.5044,-4.1504,24.5972,-0.2441
41436.0000,0.1069,0.9062,0.5044,-3.1738,26.7944,0.5493
41437.0000,0.0747,0.9048,0.5010,-2.1973,27.7100,0.9766
41438.0000,0.0503,0.9102,0.5020,-0.9155,27.1606,1.6479
41439.0000,0.0586,0.9204,0.4937,-0.3662,26.1841,2.4414
