timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
384466.0000,0.1162,0.9648,0.4268,-0.7324,-2.7466,-1.7090
384467.0000,0.1211,0.9600,0.4282,-0.9155,-3.1738,-1.7090
384468.0000,0.1260,0.9507,0.4263,-0.8545,-3.9062,-1.4038
384469.0000,0.1289,0.9507,0.4253,-0.5493,-4.2114,-0.9155
384470.0000,0.1270,0.9546,0.4263,-0.2441,-4.4556,-0.7935
384471.0000,0.1270,0.9595,0.4243,-0.0610,-4.6387,-0.7935
384472.0000,0.1221,0.9590,0.4292,0.1221,-5.0659,-0.7935
384473.0000,0.1206,0.9575,0.4253,0.3052,-5.6152,-1.2207
384474.0000,0.1245,0.9565,0.4277,0.3662,-6.3477,-1.6479
384475.0000,0.1313,0.9585,0.4277,0.4272,-6.5918,-1.9531
384476.0000,0.1387,0.9609,0.4258,0.3052,-6.5308,-2.0142
384477.0000,0.1440,0.9590,0.4224,0.0610,-5.7983,-2.3193
384478.0000,0.1431,0.9561,0.4199,0.1221,-5.3101,-2.0752
384479.0000,0.1382,0.9541,0.4199,0.1221,-5.1270,-2.1973
384480.0000,0.1328,0.9561,0.4194,0.3662,-5.0659,-2.0142
384481.0000,0.1357,0.9565,0.4175,0.4272,-5.3101,-2.0142
384482.0000,0.1421,0.9575,0.4185,0.5493,-5.0659,-2.0142
384483.0000,0.1484,0.9609,0.4204,0.6714,-4.5166,-1.7090
384484.0000,0.1470,0.9624,0.4165,0.7324,-4.1504,-1.7700
384485.0000,0.1509,0.9609,0.4180,0.6714,-3.7231,-1.4648
384486.0000,0.1465,0.9556,0.4121,0.6714,-3.1738,-1.2207
384487.0000,0.1362,0.9541,0.4180,0.7324,-2.7466,-1.3428
384488.0000,0.1309,0.9585,0.4160,0.8545,-2.7466,-1.5869
384489.0000,0.1226,0.9697,0.4229,0.8545,-3.1128,-2.1362
384490.0000,0.1201,0.9736,0.4219,0.5493,-3.4180,-2.2583
384491.0000,0.1182,0.9683,0.4146,0.2441,-3.9673,-2.3804
384492.0000,0.1147,0.9692,0.4189,0.0000,-4.8218,-2.5024
384493.0000,0.1074,0.9697,0.4199,-0.3662,-5.6763,-2.5024
384494.0000,0.0991,0.9658,0.4165,-0.6714,-6.8970,-2.6855
384495.0000,0.0898,0.9648,0.4131,-0.8545,-8.6060,-2.9907
384496.0000,0.0674,0.9634,0.4102,-0.9766,-10.2539,-3.1738
384497.0000,0.0405,0.9609,0.4131,-1.0986,-12.8174,-3.0518
384498.0000,0.0059,0.9766,0.4141,-1.4038,-17.9443,-2.4414
384499.0000,-0.0107,0.9863,0.4175,-2.0752,-22.8882,-2.0142
384500.0000,-0.0098,0.9922,0.4214,-2.9297,-28.2593,-1.9531
384501.0000,-0.0068,0.9917,0.4136,-4.2725,-34.9731,-2.0142
384502.0000,-0.0127,0.9868,0.4102,-5.1880,-40.0391,-2.5024
384503.0000,-0.0386,0.9849,0.4038,-5.9814,-45.3491,-3.1738
384504.0000,-0.0825,0.9834,0.4004,-6.9580,-54.1992,-4.0283
384505.0000,-0.1050,0.9888,0.4014,-7.8125,-62.5000,-4.6997
384506.0000,-0.1011,0.9922,0.4038,-8.9111,-71.5332,-5.3101
384507.0000,-0.0532,0.9995,0.3999,-10.7422,-83.0078,-6.5308
384508.0000,-0.0044,0.9990,0.3931,-12.3901,-89.6606,-7.4463
384509.0000,0.0386,0.9951,0.3843,-13.9160,-94.6045,-8.1787
384510.0000,0.0527,0.9785,0.3794,-15.4419,-99.4873,-8.6670
384511.0000,0.0386,0.9668,0.3730,-16.2354,-103.5156,-8.7891
384512.0000,0.0264,0.9604,0.3726,-16.6016,-108.3374,-9.3994
384513.0000,0.0464,0.9688,0.3745,-16.8457,-115.2344,-10.6201
384514.0000,0.0884,0.9775,0.3711,-17.3950,-119.6289,-11.5967
384515.0000,0.1426,0.9775,0.3643,-18.3105,-122.5586,-12.4512
384516.0000,0.2021,0.9678,0.3647,-19.3481,-123.4741,-13.0615
384517.0000,0.2197,0.9580,0.3589,-19.8364,-122.8027,-13.2446
384518.0000,0.2134,0.9424,0.3608,-19.8975,-121.7651,-13.2446
384519.0000,0.1978,0.9365,0.3618,-19.3481,-121.6431,-13.6719
384520.0000,0.1992,0.9395,0.3647,-18.9209,-122.0703,-14.2822
384521.0000,0.2100,0.9438,0.3667,-18.4326,-122.4365,-15.0146
384522.0000,0.2397,0.9521,0.3623,-18.1274,-122.4365,-15.9302
384523.0000,0.2661,0.9678,0.3643,-18.3105,-121.3989,-16.4795
384524.0000,0.2842,0.9810,0.3638,-19.1650,-119.6289,-16.9067
384525.0000,0.2871,0.9907,0.3696,-20.5688,-116.5771,-17.5171
