timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
393082.0000,0.1333,0.9624,0.4512,15.5029,-32.3486,-25.0244
393083.0000,0.1626,0.9658,0.4492,15.1367,-31.2500,-23.3765
393084.0000,0.1733,0.9546,0.4365,14.9536,-28.3203,-20.3247
393085.0000,0.1548,0.9526,0.4302,14.8926,-26.3672,-17.8223
393086.0000,0.1313,0.9521,0.4282,14.9536,-25.3296,-15.6250
393087.0000,0.1123,0.9595,0.4268,15.0757,-25.1465,-13.3057
393088.0000,0.1094,0.9600,0.4229,14.8315,-25.2686,-11.6577
393089.0000,0.1191,0.9595,0.4185,14.7095,-25.3296,-10.4370
393090.0000,0.1396,0.9658,0.4175,14.5874,-24.8413,-8.8501
393091.0000,0.1616,0.9717,0.4170,14.4043,-23.7427,-7.4463
393092.0000,0.1802,0.9761,0.4077,13.9771,-22.0947,-6.2866
393093.0000,0.1958,0.9775,0.4033,13.2446,-19.0430,-5.0049
393094.0000,0.1987,0.9780,0.4023,12.7563,-16.1743,-4.0894
393095.0000,0.1973,0.9795,0.3994,12.3291,-13.3057,-3.8452
393096.0000,0.1802,0.9775,0.3945,11.7798,-9.5825,-3.4790
393097.0000,0.1606,0.9761,0.3916,11.4746,-7.4463,-3.4790
393098.0000,0.1455,0.9766,0.3872,11.1694,-5.7983,-3.6011
393099.0000,0.1313,0.9893,0.3901,10.4980,-4.3335,-3.9062
393100.0000,0.1333,0.9976,0.3901,9.7046,-3.6011,-3.7842
393101.0000,0.1421,1.0054,0.3940,8.7280,-2.8076,-3.6011
393102.0000,0.1582,1.0088,0.3901,6.9580,-1.0376,-2.9907
393103.0000,0.1602,1.0078,0.3916,5.4932,0.6104,-2.2583
393104.0000,0.1509,1.0034,0.3950,4.2725,2.3193,-1.3428
393105.0000,0.1313,0.9990,0.3931,2.8076,3.7842,-0.4883
393106.0000,0.1113,0.9888,0.3877,1.9531,4.2114,0.1831
393107.0000,0.0986,0.9814,0.3906,1.4648,4.0283,0.6714
393108.0000,0.0874,0.9814,0.3945,0.8545,3.1738,1.1597
393109.0000,0.0913,0.9897,0.3994,0.3662,2.1973,1.2817
393110.0000,0.0947,0.9937,0.4023,-0.2441,1.4038,1.3428
393111.0000,0.0972,0.9888,0.3989,-1.3428,0.5493,1.5259
393112.0000,0.0918,0.9819,0.3940,-1.9531,-0.0610,1.7700
393113.0000,0.0742,0.9771,0.3984,-2.4414,-1.0986,1.8311
393114.0000,0.0371,0.9790,0.3994,-2.9297,-3.6621,1.5259
393115.0000,-0.0049,0.9849,0.4038,-3.5400,-6.9580,0.9766
393116.0000,-0.0474,0.9912,0.4067,-4.2725,-12.0239,0.4272
393117.0000,-0.0972,1.0034,0.4072,-5.8594,-20.9351,-0.7324
393118.0000,-0.1216,1.0190,0.4023,-7.5073,-29.4189,-1.6479
393119.0000,-0.1367,1.0273,0.3994,-9.5825,-39.0015,-2.7466
393120.0000,-0.1572,1.0137,0.3931,-12.6953,-52.7344,-4.2725
393121.0000,-0.1812,0.9971,0.3926,-14.7095,-63.5986,-5.8594
393122.0000,-0.2163,0.9829,0.3911,-16.1743,-75.4395,-7.9346
393123.0000,-0.2681,0.9775,0.3926,-17.5781,-93.0786,-11.7188
393124.0000,-0.2822,0.9937,0.3896,-18.8599,-108.2153,-15.0757
393125.0000,-0.2637,1.0117,0.3770,-20.5078,-123.8403,-18.3105
393126.0000,-0.1968,1.0039,0.3501,-23.1323,-143.6768,-21.1792
393127.0000,-0.1479,0.9824,0.3262,-24.7192,-156.4331,-22.8882
393128.0000,-0.1304,0.9614,0.3071,-25.8789,-167.6636,-24.1699
393129.0000,-0.1333,0.9678,0.2935,-26.7334,-182.2510,-26.0010
393130.0000,-0.1514,0.9780,0.2793,-27.7710,-193.9697,-28.0151
393131.0000,-0.1572,0.9839,0.2656,-28.7476,-206.6650,-30.4565
393132.0000,-0.1104,0.9941,0.2378,-30.2124,-223.8770,-33.8135
393133.0000,-0.0337,1.0015,0.2075,-31.4941,-234.8633,-35.8276
393134.0000,0.0181,1.0005,0.1694,-33.2642,-243.4692,-36.9263
393135.0000,0.0376,0.9883,0.1475,-35.7666,-252.6855,-38.3911
393136.0000,0.0156,0.9902,0.1416,-36.9873,-259.5215,-40.1611
393137.0000,-0.0078,1.0190,0.1372,-38.2690,-267.8833,-42.3584
393138.0000,0.0381,1.0674,0.1128,-40.8936,-281.4941,-44.6777
393139.0000,0.1724,1.0908,0.0850,-43.8843,-290.4053,-45.5322
393140.0000,0.3457,1.0640,0.0522,-44.9829,-292.7856,-45.3491
393141.0000,0.4663,0.9976,0.0518,-49.9878,-290.0391,-43.9453
393142.0000,0.4746,0.9463,0.0830,-52.7344,-281.7383,-42.9077
393143.0000,0.3896,0.8989,0.1382,-54.6875,-275.0854,-44.7998
393144.0000,0.2324,0.8232,0.1924,-47.6685,-272.6440,-52.4902
393145.0000,0.2905,0.8252,0.2061,-38.5742,-278.5034,-57.3730
393146.0000,0.5264,0.9126,0.1782,-34.1187,-281.6772,-59.8755
