timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
395101.0000,0.7290,0.9526,0.3315,-9.6436,-123.8403,-53.5889
395102.0000,0.7866,0.9287,0.3457,-7.8125,-100.8301,-47.3633
395103.0000,0.7598,0.9023,0.3652,-5.3711,-76.2939,-41.3208
395104.0000,0.6128,0.8906,0.3809,-1.5869,-47.6074,-32.8369
395105.0000,0.5068,0.8955,0.3872,0.7324,-32.2266,-26.6113
395106.0000,0.4355,0.9185,0.4004,2.4414,-20.7520,-21.1182
395107.0000,0.3979,0.9468,0.4146,3.6621,-8.4229,-14.9536
395108.0000,0.4019,0.9585,0.4150,3.4790,0.3052,-11.1084
395109.0000,0.4048,0.9614,0.4175,3.1738,9.3994,-7.5684
395110.0000,0.3813,0.9531,0.4189,2.8076,21.8506,-3.7231
395111.0000,0.3364,0.9463,0.4199,2.6855,30.0293,-1.2207
395112.0000,0.2505,0.9272,0.4219,2.9297,38.0859,0.5493
395113.0000,0.1846,0.9199,0.4238,3.3569,41.5649,1.4038
395114.0000,0.1357,0.9219,0.4292,3.9062,42.7246,1.3428
395115.0000,0.1089,0.9326,0.4355,4.2114,42.0532,1.5259
395116.0000,0.1074,0.9443,0.4419,4.2725,40.8936,1.7700
395117.0000,0.1157,0.9497,0.4424,4.2725,39.9780,2.3804
395118.0000,0.1172,0.9463,0.4443,4.0283,39.2456,2.8076
395119.0000,0.1045,0.9390,0.4448,4.3945,38.8794,2.9297
395120.0000,0.0811,0.9355,0.4473,4.9438,38.3301,2.8687
395121.0000,0.0483,0.9312,0.4492,5.7373,36.1328,2.0752
395122.0000,0.0269,0.9360,0.4517,6.4697,33.6304,1.5259
395123.0000,0.0259,0.9424,0.4473,6.8359,30.5786,1.0986
395124.0000,0.0459,0.9531,0.4517,7.0190,26.7944,0.7324
395125.0000,0.0625,0.9600,0.4478,6.8359,24.7192,0.9766
395126.0000,0.0684,0.9639,0.4487,6.6528,23.2544,1.1597
395127.0000,0.0591,0.9614,0.4395,6.4697,21.3623,1.8921
