timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
178381.0000,0.1729,0.8584,0.6387,3.1128,-4.1504,-4.2725
178382.0000,0.1797,0.8545,0.6406,3.2959,-3.8452,-4.4556
178383.0000,0.1812,0.8545,0.6362,3.6621,-2.9907,-4.5166
178384.0000,0.1738,0.8525,0.6338,4.0283,-2.4414,-4.5166
178385.0000,0.1685,0.8525,0.6313,4.3335,-1.8921,-4.5166
178386.0000,0.1616,0.8628,0.6270,4.5166,-1.5869,-4.5166
178387.0000,0.1587,0.8716,0.6270,4.3945,-1.7090,-4.3335
178388.0000,0.1577,0.8794,0.6299,4.1504,-1.6479,-3.9673
178389.0000,0.1562,0.8760,0.6289,3.7231,-1.7090,-3.4790
178390.0000,0.1548,0.8662,0.6235,3.8452,-1.7090,-3.2349
178391.0000,0.1528,0.8633,0.6255,4.0283,-1.7090,-3.1128
178392.0000,0.1558,0.8735,0.6270,4.2725,-1.5259,-2.9907
178393.0000,0.1592,0.8799,0.6260,4.2114,-1.2207,-2.8076
178394.0000,0.1587,0.8750,0.6265,4.0894,-0.9155,-2.6855
178395.0000,0.1577,0.8677,0.6221,4.2725,-0.3052,-2.5635
178396.0000,0.1523,0.8687,0.6235,4.2114,-0.0610,-2.3804
178397.0000,0.1465,0.8721,0.6265,4.2114,-0.1221,-2.2583
178398.0000,0.1367,0.8667,0.6328,4.5166,-0.2441,-2.6245
178399.0000,0.1333,0.8594,0.6348,4.6387,-0.7324,-2.8687
178400.0000,0.1396,0.8511,0.6416,5.1270,-1.1597,-3.3569
178401.0000,0.1460,0.8457,0.6479,5.7373,-1.1597,-3.8452
178402.0000,0.1519,0.8335,0.6602,6.1646,-1.0986,-4.2114
178403.0000,0.1479,0.8179,0.6704,6.8359,-0.9155,-4.5776
178404.0000,0.1396,0.7935,0.6777,8.7280,-1.0376,-5.2490
178405.0000,0.1299,0.7690,0.6890,10.9863,-1.4648,-5.8594
178406.0000,0.1240,0.7446,0.6943,14.1602,-2.3193,-6.6528
178407.0000,0.1245,0.7178,0.7041,19.1650,-3.7842,-7.6904
178408.0000,0.1299,0.7051,0.7041,23.5596,-4.6997,-8.3008
178409.0000,0.1367,0.6948,0.7051,28.2593,-5.3711,-9.2163
178410.0000,0.1465,0.6865,0.7041,35.1562,-5.9204,-10.3760
178411.0000,0.1504,0.6855,0.6987,40.5273,-6.0425,-11.1084
178412.0000,0.1523,0.6885,0.6943,45.8374,-5.9204,-11.5967
178413.0000,0.1333,0.6802,0.6909,53.2227,-5.9204,-12.6953
178414.0000,0.1069,0.6582,0.6816,59.1431,-6.4697,-13.8550
178415.0000,0.0957,0.6362,0.6729,65.3687,-7.5073,-14.5264
178416.0000,0.1152,0.6260,0.6460,74.6460,-8.8501,-14.9536
178417.0000,0.1470,0.6289,0.6240,82.0312,-8.9722,-14.7095
178418.0000,0.1641,0.6367,0.5977,89.4775,-7.8735,-13.8550
178419.0000,0.1514,0.6602,0.5547,98.6328,-6.1035,-12.3901
178420.0000,0.1279,0.6729,0.5259,105.2246,-5.2490,-11.5967
178421.0000,0.0977,0.6880,0.4893,111.4502,-5.4321,-11.2915
178422.0000,0.0845,0.7129,0.4351,119.2627,-6.7749,-11.8408
178423.0000,0.0923,0.7261,0.3921,124.6948,-8.1177,-12.1460
178424.0000,0.1099,0.7412,0.3467,130.1880,-9.0942,-12.2681
178425.0000,0.1201,0.7734,0.2969,136.3525,-10.0708,-12.0850
178426.0000,0.1187,0.7930,0.2671,140.3198,-10.8032,-11.9629
178427.0000,0.1177,0.8066,0.2393,143.8599,-11.7188,-11.7188
178428.0000,0.1123,0.8057,0.1948,148.2544,-13.0615,-11.9019
178429.0000,0.1074,0.8042,0.1650,151.6113,-13.9771,-12.8174
178430.0000,0.0923,0.8037,0.1421,154.8462,-15.0757,-13.3667
178431.0000,0.0752,0.7993,0.0977,159.7290,-16.7847,-14.5264
178432.0000,0.0640,0.7998,0.0679,163.4521,-18.7988,-15.0146
178433.0000,0.0640,0.8022,0.0493,166.8701,-20.9961,-15.3809
178434.0000,0.0713,0.8057,0.0103,171.8140,-23.9258,-15.8081
178435.0000,0.0786,0.8086,-0.0303,175.4761,-25.3296,-16.2354
178436.0000,0.0713,0.8018,-0.0649,178.4668,-26.3672,-16.8457
178437.0000,0.0732,0.8057,-0.1025,182.0679,-28.0151,-17.3340
178438.0000,0.0771,0.8110,-0.1406,184.8755,-29.3579,-17.7002
178439.0000,0.0864,0.8228,-0.1802,187.0728,-30.1514,-17.9443
178440.0000,0.0767,0.8647,-0.2036,184.2651,-32.1045,-17.7612
178441.0000,0.0874,0.8457,-0.2817,192.4438,-27.6489,-19.9585
178442.0000,0.0869,0.8228,-0.3198,191.1621,-27.7710,-20.2637
178443.0000,0.0884,0.8618,-0.3936,190.9180,-25.2075,-18.8599
178444.0000,0.0791,0.9204,-0.4370,188.8428,-24.1699,-17.5781
178445.0000,0.0786,1.0234,-0.4795,184.3872,-23.3765,-15.3809
178446.0000,0.0742,1.1963,-0.5327,173.1567,-22.8882,-12.8174
178447.0000,0.0684,1.3433,-0.5674,160.6445,-21.9727,-11.2915
178448.0000,0.0537,1.4434,-0.5820,144.6533,-20.7520,-10.1929
178449.0000,-0.0156,1.4624,-0.5923,121.5210,-20.2026,-10.9253
178450.0000,-0.0591,1.4326,-0.6255,105.4688,-21.0571,-12.4512
178451.0000,-0.1157,1.4014,-0.6509,88.7451,-23.3154,-15.0757
178452.0000,-0.1724,1.3594,-0.6572,68.4814,-28.8696,-18.7378
178453.0000,-0.1758,1.3237,-0.6440,55.1758,-33.3252,-21.2402
178454.0000,-0.1416,1.2769,-0.6328,43.9453,-37.4146,-23.1323
178455.0000,-0.0693,1.1895,-0.6333,31.3110,-41.3818,-24.1089
178456.0000,-0.0103,1.1123,-0.6333,23.1934,-41.9922,-23.3154
178457.0000,0.0469,1.0352,-0.6245,17.2729,-40.1001,-21.9727
178458.0000,0.0977,0.9619,-0.5811,12.1460,-33.0811,-20.0195
178459.0000,0.1011,0.9326,-0.5435,10.6812,-25.8179,-18.8599
178460.0000,0.0845,0.9023,-0.5249,10.1318,-16.9678,-16.1133
178461.0000,0.0732,0.8779,-0.5146,9.7656,-11.2305,-13.3667
178462.0000,0.0703,0.8633,-0.5024,9.8267,-6.1035,-10.3149
178463.0000,0.0542,0.8569,-0.4985,10.5591,0.6104,-7.0190
178464.0000,0.0273,0.8608,-0.4941,10.8032,5.2490,-5.1880
178465.0000,-0.0112,0.8774,-0.4941,10.6201,8.7280,-4.0283
178466.0000,-0.0703,0.8984,-0.4878,9.5215,10.8032,-3.1738
178467.0000,-0.1021,0.9077,-0.4883,8.1177,10.1929,-2.6245
178468.0000,-0.1187,0.9097,-0.4897,6.2866,8.1177,-2.0752
178469.0000,-0.1084,0.9043,-0.4917,3.9062,4.6387,-0.6714
178470.0000,-0.0835,0.8965,-0.4966,2.3804,2.3193,0.3662
178471.0000,-0.0566,0.8921,-0.4941,0.9766,0.9766,1.4648
178472.0000,-0.0435,0.8906,-0.4834,-0.8545,0.4272,2.5635
178473.0000,-0.0542,0.8960,-0.4741,-2.3193,0.0610,2.9297
178474.0000,-0.0679,0.9028,-0.4648,-3.7842,-0.9155,2.8076
178475.0000,-0.0664,0.8970,-0.4487,-5.7983,-3.2959,2.6245
178476.0000,-0.0449,0.8828,-0.4507,-6.9580,-4.8828,2.7466
178477.0000,-0.0137,0.8652,-0.4517,-7.7515,-5.6152,2.8687
178478.0000,0.0269,0.8408,-0.4526,-8.0566,-4.6997,3.5400
178479.0000,0.0439,0.8315,-0.4458,-7.9346,-3.0518,3.9062
178480.0000,0.0459,0.8271,-0.4355,-7.5073,-0.9155,4.0283
178481.0000,0.0298,0.8228,-0.4268,-6.7749,1.8921,3.7842
178482.0000,0.0098,0.8232,-0.4189,-6.1035,3.1128,3.4790
178483.0000,-0.0034,0.8203,-0.4160,-5.3711,3.4790,2.8076
178484.0000,-0.0068,0.8262,-0.4111,-4.4556,3.4180,2.3804
178485.0000,0.0024,0.8301,-0.4116,-3.8452,3.4790,2.0752
178486.0000,0.0151,0.8354,-0.4106,-3.2349,3.9673,2.0142
178487.0000,0.0181,0.8374,-0.4082,-2.6855,4.8218,1.8921
178488.0000,0.0054,0.8350,-0.4092,-2.3193,5.4932,1.7090
178489.0000,-0.0083,0.8359,-0.4072,-1.8311,5.7373,1.0986
178490.0000,-0.0205,0.8394,-0.4009,-1.2207,4.8828,-0.1831
178491.0000,-0.0210,0.8447,-0.4023,-0.7324,4.1504,-1.1597
178492.0000,-0.0166,0.8452,-0.4053,-0.4883,3.4180,-2.3193
178493.0000,-0.0112,0.8452,-0.4043,-0.2441,2.7466,-3.1128
178494.0000,-0.0093,0.8457,-0.4092,0.0000,2.3804,-3.5400
178495.0000,-0.0103,0.8486,-0.4116,0.0610,2.1362,-3.7842
178496.0000,-0.0142,0.8506,-0.4121,0.2441,1.5869,-3.9673
178497.0000,-0.0137,0.8530,-0.4146,0.3662,1.0986,-3.9062
178498.0000,-0.0112,0.8530,-0.4175,0.4883,0.6714,-4.0283
178499.0000,-0.0107,0.8555,-0.4165,0.6104,0.5493,-4.2114
178500.0000,-0.0156,0.8594,-0.4175,0.6104,0.6104,-4.2725
178501.0000,-0.0166,0.8613,-0.4189,0.5493,0.3662,-4.2114
178502.0000,-0.0127,0.8652,-0.4238,0.4272,-0.1221,-4.1504
178503.0000,-0.0083,0.8662,-0.4214,0.1221,-0.3052,-3.8452
178504.0000,-0.0049,0.8652,-0.4277,-0.1221,-0.3052,-3.4180
178505.0000,-0.0073,0.8628,-0.4253,-0.3052,-0.3052,-3.0518
178506.0000,-0.0098,0.8721,-0.4277,-0.6104,-0.2441,-2.9907
178507.0000,-0.0093,0.8794,-0.4238,-0.9766,-0.1831,-3.1128
178508.0000,-0.0049,0.8862,-0.4214,-1.5259,0.1221,-3.2959
178509.0000,-0.0059,0.8877,-0.4194,-2.1362,0.4883,-3.4180
178510.0000,-0.0054,0.8857,-0.4233,-2.7466,0.8545,-3.1738
178511.0000,-0.0078,0.8779,-0.4229,-3.2349,1.1597,-3.4180
178512.0000,-0.0103,0.8765,-0.4248,-3.4180,1.4038,-3.2349
178513.0000,-0.0107,0.8774,-0.4233,-3.7231,1.4648,-3.1128
178514.0000,-0.0127,0.8750,-0.4180,-3.9673,1.4038,-2.9297
178515.0000,-0.0146,0.8760,-0.4136,-4.3945,1.4648,-2.8076
178516.0000,-0.0142,0.8760,-0.4092,-4.7607,1.5259,-2.5635
178517.0000,-0.0132,0.8784,-0.4062,-5.1880,1.4648,-2.3804
178518.0000,-0.0146,0.8765,-0.4028,-5.3711,1.5259,-2.3193
178519.0000,-0.0181,0.8667,-0.4014,-5.7373,1.4038,-2.1973
178520.0000,-0.0239,0.8545,-0.4058,-5.6152,1.2207,-2.0142
178521.0000,-0.0215,0.8486,-0.4087,-5.3101,0.6714,-1.5869
178522.0000,-0.0171,0.8481,-0.4038,-4.8828,0.3662,-1.3428
178523.0000,-0.0146,0.8521,-0.3994,-4.2725,0.2441,-1.0376
178524.0000,-0.0137,0.8535,-0.4009,-3.7842,0.2441,-0.9155
178525.0000,-0.0107,0.8550,-0.3989,-3.2349,0.0610,-0.9155
178526.0000,-0.0068,0.8560,-0.3970,-2.7466,0.0610,-1.0376
178527.0000,-0.0039,0.8564,-0.3994,-2.4414,0.0000,-0.8545
178528.0000,-0.0005,0.8569,-0.3984,-2.3193,0.1221,-1.0376
178529.0000,-0.0020,0.8574,-0.4004,-2.0142,0.4272,-1.7700
178530.0000,-0.0024,0.8589,-0.3994,-1.9531,0.6714,-2.1973
178531.0000,-0.0063,0.8599,-0.3940,-1.8921,0.9155,-2.5635
178532.0000,-0.0117,0.8540,-0.3975,-1.7700,0.8545,-2.9297
178533.0000,-0.0166,0.8545,-0.3975,-1.5869,0.4272,-2.9907
178534.0000,-0.0146,0.8594,-0.4019,-1.2817,0.0610,-3.1738
178535.0000,-0.0103,0.8662,-0.4004,-1.1597,-0.4272,-3.2349
178536.0000,-0.0083,0.8696,-0.4004,-1.2817,-0.4272,-3.2959
178537.0000,-0.0068,0.8721,-0.4009,-1.2817,-0.4883,-3.4790
178538.0000,-0.0068,0.8716,-0.4043,-1.3428,-0.4272,-3.4790
178539.0000,-0.0098,0.8730,-0.4014,-1.5259,-0.1831,-3.4790
178540.0000,-0.0088,0.8721,-0.4009,-1.4038,-0.0610,-3.7231
178541.0000,-0.0103,0.8721,-0.3970,-1.4648,0.1831,-3.9673
178542.0000,-0.0127,0.8677,-0.4009,-1.5259,0.4272,-4.0283
178543.0000,-0.0137,0.8667,-0.4004,-1.6479,0.3052,-3.7842
178544.0000,-0.0127,0.8662,-0.3994,-1.4648,0.5493,-3.3569
178545.0000,-0.0132,0.8633,-0.3999,-1.3428,0.6104,-3.1128
178546.0000,-0.0156,0.8677,-0.4062,-0.9766,0.6714,-3.0518
178547.0000,-0.0181,0.8711,-0.4058,-1.0986,0.9155,-3.2349
178548.0000,-0.0156,0.8755,-0.4067,-1.0986,1.1597,-3.1128
178549.0000,-0.0112,0.8804,-0.4043,-1.3428,1.1597,-3.0518
178550.0000,-0.0083,0.8813,-0.4014,-1.5869,1.7090,-2.8687
178551.0000,-0.0117,0.8784,-0.4014,-1.7700,2.0752,-2.6855
