timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
65853.0,-0.206543,0.964844,-0.043457,3.479004,0.915527,0.366211
65854.0,-0.210938,0.96582,-0.04248,3.540039,1.220703,0.427246
65855.0,-0.215332,0.964355,-0.046387,3.540039,1.342773,0.915527
65856.0,-0.21582,0.966797,-0.047363,3.601074,1.220703,1.037598
65857.0,-0.21582,0.967773,-0.048828,3.540039,1.098633,1.220703
65858.0,-0.215332,0.973633,-0.053223,3.356934,0.793457,1.342773
65859.0,-0.213867,0.973145,-0.053711,3.417969,0.610352,1.342773
65860.0,-0.214355,0.978516,-0.058594,3.112793,0.305176,1.342773
65861.0,-0.216309,0.984375,-0.063965,2.563477,-0.305176,1.037598
65862.0,-0.213867,0.992676,-0.070801,2.01416,-0.610352,0.915527
65863.0,-0.208496,0.997559,-0.071289,1.098633,-0.915527,0.732422
65864.0,-0.203613,1.003906,-0.066895,-0.488281,-1.342773,0.427246
65865.0,-0.19873,1.004883,-0.066406,-1.77002,-1.464844,0.366211
65866.0,-0.194336,1.000488,-0.063477,-3.051758,-1.586914,-0.12207
65867.0,-0.187988,0.99707,-0.061523,-4.516602,-1.464844,-0.427246
65868.0,-0.1875,0.992188,-0.060059,-5.493164,-1.159668,-0.610352
65869.0,-0.184082,0.990723,-0.0625,-6.286621,-0.732422,-1.037598
65870.0,-0.183105,0.995605,-0.0625,-7.324219,-0.183105,-1.403809
65871.0,-0.183594,0.997559,-0.062012,-8.239746,0.305176,-1.586914
65872.0,-0.18457,0.999512,-0.068848,-9.277344,0.610352,-1.77002
65873.0,-0.182617,0.999023,-0.07373,-10.620117,1.281738,-2.197266
65874.0,-0.183594,1.001953,-0.07959,-11.779785,1.708984,-2.624512
65875.0,-0.184082,1.012207,-0.079102,-13.000488,2.258301,-3.112793
65876.0,-0.1875,1.027832,-0.083008,-15.014648,2.807617,-3.78418
65877.0,-0.187988,1.035645,-0.085938,-17.028809,3.173828,-4.150391
65878.0,-0.19043,1.04541,-0.09082,-19.592285,3.417969,-4.516602
65879.0,-0.197754,1.057617,-0.100586,-23.254395,3.662109,-5.249023
65880.0,-0.210449,1.071289,-0.108887,-26.306152,3.662109,-5.737305
65881.0,-0.219727,1.083008,-0.115234,-29.846191,3.173828,-6.225586
65882.0,-0.231934,1.095703,-0.114258,-35.339355,2.01416,-6.835938
65883.0,-0.23291,1.096191,-0.112793,-40.100098,0.671387,-7.080078
65884.0,-0.232422,1.093262,-0.105469,-45.10498,-0.610352,-7.568359
65885.0,-0.22998,1.083496,-0.098145,-51.330566,-1.953125,-7.8125
65886.0,-0.235352,1.07666,-0.088379,-55.786133,-3.051758,-8.239746
65887.0,-0.240723,1.065918,-0.074707,-59.875488,-4.394531,-8.789062
65888.0,-0.23291,1.049805,-0.05957,-64.880371,-6.408691,-9.765625
65889.0,-0.230957,1.041504,-0.047363,-68.29834,-7.629395,-10.803223
65890.0,-0.228027,1.033691,-0.028809,-71.533203,-8.483887,-11.59668
65891.0,-0.222656,1.027344,-0.00293,-75.500488,-9.82666,-12.756348
65892.0,-0.224609,1.019043,0.009766,-78.125,-10.559082,-13.48877
65893.0,-0.230469,1.007324,0.024902,-80.627441,-11.352539,-14.221191
65894.0,-0.241699,0.994141,0.041504,-83.435059,-12.634277,-14.465332
65895.0,-0.244141,0.987305,0.061523,-85.205078,-13.793945,-14.770508
65896.0,-0.244141,0.982422,0.078125,-86.791992,-14.831543,-14.648438
65897.0,-0.250488,0.968262,0.098633,-88.684082,-15.991211,-14.221191
65898.0,-0.258301,0.958008,0.112793,-89.904785,-16.906738,-13.793945
65899.0,-0.258789,0.942871,0.130371,-90.881348,-17.883301,-13.000488
65900.0,-0.256836,0.92627,0.169434,-91.491699,-18.920898,-12.084961
65901.0,-0.258789,0.914062,0.197754,-91.247559,-19.226074,-11.108398
65902.0,-0.262695,0.901367,0.226562,-90.576172,-19.592285,-9.643555
65903.0,-0.278809,0.880371,0.256836,-88.928223,-19.958496,-7.080078
65904.0,-0.288574,0.873047,0.27002,-87.341309,-20.751953,-4.638672
65905.0,-0.300293,0.861328,0.28125,-85.754395,-21.728516,-2.13623
65906.0,-0.308105,0.849609,0.305664,-83.068848,-23.376465,1.403809
65907.0,-0.304688,0.851074,0.324707,-81.054688,-25.024414,3.723145
65908.0,-0.293945,0.85791,0.338867,-79.040527,-26.367188,5.67627
65909.0,-0.27832,0.867188,0.354492,-76.721191,-27.587891,7.69043
65910.0,-0.268555,0.880859,0.356934,-75.622559,-28.198242,8.361816
65911.0,-0.266602,0.902344,0.354492,-75.195312,-28.503418,8.850098
65912.0,-0.261719,0.926758,0.362305,-75.927734,-29.23584,9.58252
65913.0,-0.248535,0.929199,0.369141,-77.148438,-29.968262,9.643555
65914.0,-0.229492,0.92334,0.368652,-78.613281,-30.517578,9.887695
65915.0,-0.200195,0.915527,0.380859,-80.871582,-30.395508,9.643555
65916.0,-0.190918,0.905273,0.395996,-82.397461,-29.47998,9.094238
65917.0,-0.193848,0.895508,0.410156,-83.80127,-28.442383,8.544922
65918.0,-0.190918,0.888184,0.430664,-85.510254,-28.137207,8.483887
65919.0,-0.180664,0.890625,0.450684,-87.097168,-28.259277,8.300781
65920.0,-0.159668,0.886719,0.480469,-88.623047,-27.587891,7.629395
65921.0,-0.140625,0.868164,0.501953,-90.576172,-25.634766,6.286621
65922.0,-0.138672,0.84082,0.528809,-91.674805,-23.681641,5.371094
65923.0,-0.14502,0.816406,0.541016,-92.163086,-21.789551,4.577637
65924.0,-0.15332,0.79541,0.580078,-91.85791,-19.775391,3.540039
65925.0,-0.15332,0.783203,0.603516,-91.003418,-18.554688,3.112793
65926.0,-0.146484,0.760742,0.626465,-89.84375,-17.028809,3.295898
65927.0,-0.156738,0.726074,0.654297,-87.463379,-14.709473,3.78418
65928.0,-0.174316,0.714844,0.679199,-85.021973,-13.366699,4.516602
65929.0,-0.184082,0.704102,0.705078,-82.03125,-12.817383,5.67627
65930.0,-0.176758,0.69043,0.737305,-77.453613,-12.512207,7.568359
65931.0,-0.152832,0.678711,0.764648,-73.669434,-11.59668,8.789062
65932.0,-0.143555,0.667969,0.785156,-69.396973,-9.82666,9.643555
65933.0,-0.137207,0.652344,0.812988,-63.415527,-7.019043,10.375977
65934.0,-0.138184,0.641113,0.831055,-58.532715,-5.004883,10.986328
65935.0,-0.141602,0.636719,0.844238,-53.161621,-2.990723,11.230469
65936.0,-0.145508,0.641602,0.854492,-46.020508,-0.732422,11.71875
65937.0,-0.15625,0.650879,0.851562,-41.015625,0.549316,11.779785
65938.0,-0.170898,0.665527,0.84668,-36.743164,0.976562,11.352539
