timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
151970.0000,0.1392,0.9287,0.4824,12.9395,-59.5093,-29.7852
151971.0000,0.1182,0.9238,0.4814,14.0381,-54.5654,-26.6113
151972.0000,0.1074,0.9326,0.4834,14.7095,-50.3540,-24.2920
151973.0000,0.1030,0.9609,0.4888,13.7329,-44.9219,-23.1934
151974.0000,0.1055,0.9702,0.4932,12.3291,-40.2222,-23.2544
151975.0000,0.1064,0.9658,0.4927,11.1084,-35.0952,-23.6816
151976.0000,0.0884,0.9619,0.4863,9.9487,-28.3813,-23.8037
151977.0000,0.0688,0.9604,0.4917,9.2773,-23.9258,-23.3765
151978.0000,0.0464,0.9570,0.4854,8.7280,-20.4468,-22.5220
151979.0000,0.0166,0.9482,0.4839,7.8735,-17.1509,-20.8130
151980.0000,0.0059,0.9463,0.4854,7.9346,-15.5029,-19.0430
151981.0000,0.0024,0.9414,0.4878,7.8125,-14.2212,-17.0898
151982.0000,0.0020,0.9365,0.4814,7.6904,-12.5732,-14.0381
151983.0000,-0.0098,0.9380,0.4775,7.7515,-11.3525,-11.6577
151984.0000,-0.0254,0.9521,0.4800,7.7515,-10.4370,-9.5825
151985.0000,-0.0439,0.9668,0.4761,7.2021,-10.4370,-7.0801
151986.0000,-0.0562,0.9766,0.4761,6.1646,-10.9253,-5.8594
151987.0000,-0.0522,0.9829,0.4741,4.6387,-11.8408,-5.3711
151988.0000,-0.0312,0.9834,0.4780,2.6855,-12.6343,-5.0659
151989.0000,-0.0093,0.9727,0.4746,1.2207,-12.5732,-5.1270
151990.0000,0.0083,0.9570,0.4702,0.1831,-11.6577,-4.7607
151991.0000,0.0146,0.9473,0.4692,-0.4883,-9.8877,-4.4556
151992.0000,0.0093,0.9458,0.4741,-0.3052,-8.2397,-4.3335
151993.0000,0.0015,0.9302,0.4780,-0.0610,-6.8970,-4.5776
151994.0000,0.0000,0.9194,0.4746,0.8545,-5.4932,-4.8828
151995.0000,0.0054,0.9204,0.4785,1.5869,-4.2114,-5.0049
151996.0000,0.0132,0.9277,0.4814,2.1973,-2.6855,-4.5776
151997.0000,0.0229,0.9351,0.4819,2.6855,-0.3052,-3.4180
151998.0000,0.0244,0.9355,0.4761,2.6855,1.5869,-2.0142
151999.0000,0.0171,0.9370,0.4771,2.7466,3.4180,-0.3662
152000.0000,0.0010,0.9365,0.4736,2.6855,5.3711,1.3428
152001.0000,-0.0049,0.9360,0.4766,2.8076,6.2866,2.3193
152002.0000,-0.0078,0.9365,0.4751,2.8687,7.2021,2.7466
152003.0000,-0.0083,0.9438,0.4771,2.8076,8.4229,2.9907
152004.0000,-0.0132,0.9517,0.4746,2.4414,9.3994,3.1128
152005.0000,-0.0190,0.9507,0.4756,1.8311,10.3149,2.9907
152006.0000,-0.0259,0.9512,0.4692,1.2817,10.6201,2.8687
152007.0000,-0.0283,0.9561,0.4688,0.8545,10.6812,2.6245
152008.0000,-0.0298,0.9595,0.4756,0.2441,10.6812,2.2583
152009.0000,-0.0332,0.9595,0.4785,-0.6714,10.6201,2.0752
152010.0000,-0.0327,0.9536,0.4800,-1.2207,10.4980,2.0142
152011.0000,-0.0293,0.9458,0.4805,-1.5869,10.4370,2.1362
152012.0000,-0.0137,0.9355,0.4849,-1.6479,10.8032,2.8687
152013.0000,0.0093,0.9336,0.4854,-1.3428,11.6577,3.6621
152014.0000,0.0332,0.9336,0.4858,-0.9155,13.6108,4.9438
152015.0000,0.0747,0.9419,0.4834,-0.6104,17.8833,7.5684
152016.0000,0.1050,0.9541,0.4751,-0.4272,22.6440,9.9487
152017.0000,0.1284,0.9531,0.4761,-0.3662,28.5645,12.6343
152018.0000,0.1592,0.9365,0.4707,-0.1221,37.6587,17.0288
152019.0000,0.1992,0.9146,0.4673,0.6714,45.4712,21.2402
152020.0000,0.2559,0.8975,0.4658,2.3804,54.5654,26.3672
152021.0000,0.3569,0.8999,0.4658,5.5542,70.4346,35.4004
152022.0000,0.4409,0.9189,0.4458,7.7515,85.8154,43.7012
152023.0000,0.5112,0.9595,0.4189,9.1553,104.7363,52.6123
152024.0000,0.5435,1.0132,0.3726,10.1929,133.7891,63.7817
152025.0000,0.5181,1.0396,0.3340,10.0708,155.7617,71.9604
152026.0000,0.4814,1.0586,0.2920,9.2163,175.5981,79.9561
152027.0000,0.4688,1.0850,0.2485,7.8125,199.0967,90.3320
152028.0000,0.4780,1.1045,0.2051,5.9814,216.3696,98.2666
152029.0000,0.4966,1.1250,0.1597,3.9673,233.7646,106.6284
152030.0000,0.5132,1.1338,0.0962,0.6104,257.5073,117.4316
152031.0000,0.5000,1.1333,0.0479,-0.8545,275.5127,124.9390
152032.0000,0.4429,1.1450,0.0083,-2.6855,291.5649,130.6763
152033.0000,0.3862,1.1704,-0.0635,-3.5400,309.2041,136.8408
152034.0000,0.3735,1.1963,-0.1128,-6.2866,320.9229,139.2822
152035.0000,0.3501,1.2051,-0.1528,-9.8877,335.8154,140.5029
152036.0000,0.3052,1.1797,-0.1812,-12.7563,345.9473,140.1367
152037.0000,0.2446,1.1455,-0.2114,-12.5122,354.5532,138.3667
152038.0000,0.1597,1.1226,-0.2378,-12.6953,361.8164,134.1553
152039.0000,0.1250,1.1211,-0.2549,-12.8784,364.6851,130.4932
152040.0000,0.1089,1.1206,-0.2744,-12.7563,367.0044,126.7700
152041.0000,0.0649,1.1284,-0.2773,-13.1226,369.3237,121.3379
152042.0000,0.0093,1.1387,-0.2749,-13.4888,369.5679,116.6992
152043.0000,-0.0630,1.1367,-0.2632,-13.7329,367.7979,111.1450
152044.0000,-0.1870,1.1196,-0.2417,-13.7939,361.2061,102.5391
152045.0000,-0.2959,1.1040,-0.2134,-13.2446,352.4780,95.2759
152046.0000,-0.4097,1.0991,-0.1719,-12.6953,340.1489,87.4634
152047.0000,-0.5415,1.1240,-0.1143,-13.3667,317.8101,77.5146
152048.0000,-0.6079,1.1382,-0.0566,-14.5874,297.8516,71.2280
152049.0000,-0.6377,1.1528,-0.0015,-17.0898,276.9165,65.5518
152050.0000,-0.6504,1.1641,0.0928,-20.7520,250.0000,57.9834
152051.0000,-0.6733,1.1519,0.1626,-23.9258,229.9194,51.4526
152052.0000,-0.6914,1.1060,0.2231,-26.4282,209.4116,44.7998
152053.0000,-0.6870,1.0083,0.2886,-28.7476,181.2744,37.1094
152054.0000,-0.6367,0.9751,0.3428,-27.7100,160.9497,32.7148
152055.0000,-0.5483,0.9839,0.3906,-27.1606,142.8223,29.9683
152056.0000,-0.4087,1.0103,0.4292,-25.4517,125.4883,27.9541
152057.0000,-0.3247,1.0146,0.4526,-26.6724,117.7368,27.2217
152058.0000,-0.2856,0.9946,0.4736,-26.8555,113.3423,26.6113
152059.0000,-0.2944,0.9165,0.4878,-26.3672,108.7646,27.0386
152060.0000,-0.3286,0.8628,0.5039,-24.2310,104.0039,27.5879
152061.0000,-0.3545,0.8384,0.5122,-19.6533,97.2900,27.9541
152062.0000,-0.3330,0.8765,0.5249,-15.1978,87.0972,28.0151
152063.0000,-0.2979,0.9336,0.5415,-13.3667,80.8716,27.5879
152064.0000,-0.2695,0.9702,0.5366,-13.8550,76.4771,26.6113
152065.0000,-0.2715,0.9795,0.5327,-16.2354,71.6553,25.2686
152066.0000,-0.2944,0.9619,0.5283,-18.4326,67.3218,24.5972
152067.0000,-0.3218,0.9355,0.5303,-19.9585,61.4624,23.8037
152068.0000,-0.3462,0.9150,0.5312,-21.1182,51.3916,22.5830
152069.0000,-0.3247,0.9175,0.5371,-21.6064,43.3960,21.9727
152070.0000,-0.2812,0.9258,0.5391,-22.5830,36.4380,21.8506
152071.0000,-0.2236,0.9321,0.5430,-23.1323,29.9072,21.9727
152072.0000,-0.1929,0.9175,0.5400,-23.3154,26.8555,21.7285
152073.0000,-0.1758,0.8892,0.5449,-23.1323,24.9023,21.4844
152074.0000,-0.1748,0.8491,0.5688,-20.5688,22.8271,20.0195
152075.0000,-0.2075,0.8130,0.5737,-17.7002,20.3857,17.7002
152076.0000,-0.2339,0.7876,0.5762,-13.9771,15.9302,15.1978
152077.0000,-0.2129,0.8145,0.5723,-9.3994,7.8735,12.0239
152078.0000,-0.1797,0.8774,0.5640,-7.9346,2.7466,10.3149
152079.0000,-0.1245,0.9360,0.5674,-8.1177,-0.7935,9.0332
152080.0000,-0.0586,0.9326,0.5806,-10.0708,-1.0986,7.3853
152081.0000,-0.0596,0.8677,0.5869,-10.5591,0.7935,5.0659
152082.0000,-0.1196,0.8057,0.5786,-8.8501,1.3428,2.3193
152083.0000,-0.1694,0.8096,0.5781,-4.8218,-2.5635,-1.8311
152084.0000,-0.1279,0.8657,0.5771,-3.0518,-6.2256,-3.7231
152085.0000,-0.0776,0.9233,0.5894,-3.3569,-7.2632,-4.0283
152086.0000,-0.0347,0.9219,0.6040,-4.8218,-4.6387,-3.1128
152087.0000,-0.0552,0.8691,0.6035,-4.8218,-1.6479,-1.8921
152088.0000,-0.1206,0.8091,0.6030,-2.5635,-0.3662,-0.9766
152089.0000,-0.1997,0.7988,0.5850,2.6245,-4.5166,-1.0376
152090.0000,-0.1851,0.8613,0.5762,5.4932,-10.0098,-0.9766
