timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
166985.0000,-0.0796,0.9751,0.3960,-0.4272,1.7700,8.2397
166986.0000,-0.0649,0.9683,0.3911,-1.4038,0.4272,7.3242
166987.0000,-0.0542,0.9536,0.3901,-1.3428,-0.6104,6.7749
166988.0000,-0.0542,0.9419,0.3848,-0.4272,-2.0142,6.4697
166989.0000,-0.0610,0.9395,0.3857,0.3662,-3.4790,6.1646
166990.0000,-0.0688,0.9375,0.3857,1.5259,-5.2490,5.5542
166991.0000,-0.0654,0.9497,0.3833,2.6245,-7.6904,4.0283
166992.0000,-0.0562,0.9629,0.3853,3.1738,-9.2163,2.9297
166993.0000,-0.0469,0.9751,0.3921,2.7466,-10.2539,1.9531
166994.0000,-0.0327,0.9868,0.3887,2.3804,-10.7422,1.1597
166995.0000,-0.0293,0.9790,0.3931,0.0000,-10.9863,0.9155
166996.0000,-0.0283,0.9727,0.3872,-0.7324,-10.9253,0.6714
166997.0000,-0.0244,0.9585,0.3896,-0.9766,-10.9253,0.4883
166998.0000,-0.0210,0.9624,0.3921,-0.5493,-10.5591,0.2441
166999.0000,-0.0200,0.9702,0.3940,-0.6714,-9.9487,-0.3052
167000.0000,-0.0205,0.9741,0.3989,-1.2207,-9.1553,-1.3428
167001.0000,-0.0190,0.9727,0.4043,-1.5869,-8.3008,-2.0752
167002.0000,-0.0259,0.9702,0.4077,-1.8921,-7.6294,-2.6245
167003.0000,-0.0347,0.9668,0.4102,-2.1973,-6.7749,-2.9907
167004.0000,-0.0439,0.9658,0.4082,-2.3804,-6.4697,-3.0518
167005.0000,-0.0547,0.9639,0.4111,-2.6245,-6.4087,-2.9297
167006.0000,-0.0664,0.9609,0.4116,-2.6245,-6.7749,-2.7466
167007.0000,-0.0645,0.9678,0.4146,-2.7466,-7.3853,-2.7466
167008.0000,-0.0518,0.9761,0.4272,-3.0518,-7.7515,-2.5635
167009.0000,-0.0386,0.9692,0.4272,-3.7842,-7.1411,-2.2583
167010.0000,-0.0396,0.9561,0.4272,-4.2725,-6.5308,-1.8921
167011.0000,-0.0449,0.9438,0.4253,-3.9673,-6.0425,-1.4648
167012.0000,-0.0527,0.9380,0.4282,-3.2349,-6.2256,-1.2817
167013.0000,-0.0522,0.9404,0.4258,-2.6855,-6.4697,-1.3428
167014.0000,-0.0439,0.9443,0.4268,-2.1973,-6.7749,-1.7700
167015.0000,-0.0449,0.9414,0.4297,-1.5869,-6.6528,-2.1362
167016.0000,-0.0527,0.9399,0.4302,-1.0376,-6.5308,-2.6245
167017.0000,-0.0664,0.9380,0.4326,-0.4272,-6.8970,-2.9907
167018.0000,-0.0859,0.9321,0.4277,0.3052,-8.2397,-3.0518
167019.0000,-0.0986,0.9287,0.4229,0.9766,-9.9487,-2.8687
167020.0000,-0.1191,0.9287,0.4233,1.6479,-12.3291,-2.5024
167021.0000,-0.1440,0.9370,0.4258,2.3804,-16.9067,-2.0142
167022.0000,-0.1650,0.9409,0.4258,2.7466,-21.3623,-1.8921
167023.0000,-0.1904,0.9336,0.4180,2.8687,-26.4282,-2.3193
167024.0000,-0.2412,0.9287,0.4062,3.6011,-34.8511,-3.2959
167025.0000,-0.2852,0.9399,0.3970,4.2114,-42.9688,-4.2725
167026.0000,-0.3369,0.9565,0.3804,4.6387,-53.1006,-5.5542
167027.0000,-0.3838,0.9819,0.3618,4.0894,-69.7632,-7.3242
167028.0000,-0.3921,1.0005,0.3545,3.0518,-84.0454,-9.3994
167029.0000,-0.3838,1.0049,0.3457,1.5259,-98.8770,-11.9019
167030.0000,-0.3770,1.0015,0.3315,-0.0610,-117.7368,-16.4185
167031.0000,-0.3867,0.9951,0.3188,-0.6714,-132.0190,-20.8130
167032.0000,-0.4536,0.9644,0.3032,-0.0610,-151.4893,-28.0762
167033.0000,-0.5435,0.9453,0.2861,1.7090,-168.2129,-33.8135
167034.0000,-0.6328,0.9536,0.2510,4.0894,-188.2324,-39.3677
167035.0000,-0.6934,0.9966,0.1919,6.4087,-221.0693,-45.4102
167036.0000,-0.6226,1.0337,0.1475,6.8970,-248.0469,-48.9502
167037.0000,-0.4346,1.0547,0.1260,6.1035,-271.9727,-52.6733
167038.0000,-0.1899,1.0596,0.1035,3.6621,-290.6494,-57.9224
167039.0000,-0.0669,1.0459,0.0996,1.8921,-296.5088,-61.0352
167040.0000,-0.0083,1.0269,0.0913,0.9766,-298.5840,-62.8662
167041.0000,-0.0249,0.9824,0.0869,1.2817,-299.8657,-63.2324
167042.0000,-0.0713,0.9644,0.0625,2.5635,-303.0396,-62.3779
167043.0000,-0.0747,0.9810,0.0449,4.0894,-308.4106,-61.8896
167044.0000,-0.0015,1.0249,0.0317,5.1270,-314.7583,-62.7441
167045.0000,0.0869,1.0586,0.0435,4.7607,-316.3452,-64.7583
167046.0000,0.1680,1.0732,0.0532,3.7842,-314.6973,-67.2607
167047.0000,0.2471,1.0537,0.0649,1.7700,-308.0444,-70.1294
167048.0000,0.2749,1.0166,0.0830,0.9155,-300.6592,-71.8384
167049.0000,0.2715,0.9731,0.0947,1.0376,-292.3584,-72.0215
167050.0000,0.2305,0.9365,0.1074,3.2349,-282.6538,-70.8618
167051.0000,0.1968,0.9380,0.1235,5.6152,-276.9165,-69.7632
167052.0000,0.1821,0.9609,0.1333,7.9346,-272.3999,-68.9697
167053.0000,0.2007,0.9951,0.1440,10.0708,-266.8457,-69.1528
167054.0000,0.2437,1.0273,0.1621,10.8032,-261.4136,-69.4580
167055.0000,0.3022,1.0684,0.1797,10.5591,-254.4556,-69.6411
167056.0000,0.3984,1.1089,0.2124,8.1787,-241.4551,-68.9087
167057.0000,0.4526,1.0923,0.2305,5.5542,-228.1494,-67.0776
167058.0000,0.4678,1.0503,0.2471,3.6621,-212.4634,-64.4531
167059.0000,0.4224,0.9937,0.2588,2.8687,-191.5283,-60.3638
167060.0000,0.3647,0.9199,0.2866,1.7700,-177.5513,-57.4341
167061.0000,0.3613,0.9678,0.2720,7.3242,-165.9546,-53.1006
167062.0000,0.3740,0.9912,0.3218,6.2866,-152.4048,-46.3867
167063.0000,0.4087,1.0352,0.3022,10.4980,-139.3433,-42.2974
167064.0000,0.3657,1.0532,0.3115,10.0098,-126.1597,-40.5273
167065.0000,0.3330,1.0635,0.3281,6.7139,-109.1919,-36.7432
