timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
162499.0000,-0.0620,0.9648,0.3838,-8.7280,51.4526,5.2490
162500.0000,-0.0571,0.9707,0.3843,-8.7280,49.7437,4.8828
162501.0000,-0.0522,0.9727,0.3916,-8.9111,48.7671,4.3945
162502.0000,-0.0493,0.9766,0.3911,-9.0332,47.9736,4.0894
162503.0000,-0.0576,0.9785,0.3950,-9.1553,47.3022,3.6011
162504.0000,-0.0698,0.9824,0.4038,-9.0332,46.6919,2.7466
162505.0000,-0.0835,0.9805,0.3989,-9.2773,45.8374,2.3193
162506.0000,-0.0947,0.9741,0.4033,-9.4604,44.0063,1.6479
162507.0000,-0.0967,0.9727,0.4087,-9.6436,42.2974,1.4648
162508.0000,-0.0952,0.9731,0.4146,-9.5825,40.7715,1.4648
162509.0000,-0.0986,0.9688,0.4180,-9.3994,38.4521,2.0752
162510.0000,-0.1045,0.9634,0.4219,-9.0332,36.7432,2.6245
162511.0000,-0.1079,0.9629,0.4248,-8.4229,34.9121,3.2349
162512.0000,-0.1104,0.9683,0.4282,-7.5684,32.2876,3.7231
162513.0000,-0.1055,0.9727,0.4292,-7.2021,30.3345,4.1504
162514.0000,-0.0996,0.9746,0.4326,-6.9580,28.5645,4.5166
162515.0000,-0.0962,0.9668,0.4326,-6.5308,26.4282,4.8218
162516.0000,-0.0977,0.9600,0.4282,-6.1035,24.9023,5.1270
162517.0000,-0.0962,0.9639,0.4258,-5.5542,23.3154,5.3101
162518.0000,-0.0957,0.9634,0.4331,-5.0049,21.1182,5.6152
162519.0000,-0.0938,0.9575,0.4272,-5.1270,19.4092,5.6763
162520.0000,-0.0898,0.9507,0.4263,-5.0659,17.7002,5.9204
162521.0000,-0.0903,0.9448,0.4248,-4.2725,15.3809,6.4697
162522.0000,-0.0928,0.9443,0.4258,-3.5400,13.4888,6.4087
162523.0000,-0.0942,0.9443,0.4233,-3.1738,11.4136,6.1035
162524.0000,-0.0977,0.9468,0.4233,-2.7466,8.6060,5.6152
162525.0000,-0.0933,0.9502,0.4277,-2.4414,6.5918,5.0049
162526.0000,-0.0913,0.9565,0.4282,-2.3804,4.8218,4.5166
162527.0000,-0.0864,0.9580,0.4277,-2.5024,2.3804,3.7842
162528.0000,-0.0840,0.9526,0.4307,-2.6855,0.9155,3.1738
162529.0000,-0.0825,0.9536,0.4297,-2.9297,-0.6714,2.8076
162530.0000,-0.0752,0.9561,0.4336,-3.0518,-2.6855,1.7700
162531.0000,-0.0747,0.9590,0.4341,-2.9907,-3.9673,1.0376
162532.0000,-0.0762,0.9536,0.4395,-3.2349,-5.4932,0.0000
162533.0000,-0.0796,0.9541,0.4424,-3.4790,-6.7749,-0.8545
162534.0000,-0.0879,0.9487,0.4419,-3.6621,-8.3008,-1.4038
162535.0000,-0.1011,0.9438,0.4399,-3.4180,-10.6201,-2.0142
162536.0000,-0.1074,0.9409,0.4424,-3.0518,-12.7563,-2.4414
162537.0000,-0.1133,0.9351,0.4429,-2.6245,-15.1367,-2.5635
162538.0000,-0.1167,0.9331,0.4399,-1.8311,-18.6157,-3.1738
162539.0000,-0.1260,0.9277,0.4365,-1.0376,-21.3013,-3.5400
162540.0000,-0.1377,0.9253,0.4326,-0.0610,-24.7803,-4.0894
162541.0000,-0.1514,0.9326,0.4312,1.6479,-30.1514,-4.2725
162542.0000,-0.1543,0.9434,0.4297,2.5635,-34.6680,-4.0283
162543.0000,-0.1562,0.9556,0.4287,3.0518,-39.4897,-3.8452
162544.0000,-0.1499,0.9678,0.4326,3.1738,-45.6543,-3.6621
162545.0000,-0.1431,0.9678,0.4253,2.8687,-49.9878,-3.7842
162546.0000,-0.1406,0.9634,0.4214,2.8076,-53.9551,-4.3945
162547.0000,-0.1401,0.9604,0.4141,2.8076,-59.2651,-5.5542
162548.0000,-0.1392,0.9590,0.4106,2.8076,-63.2935,-6.7139
162549.0000,-0.1421,0.9600,0.4009,2.9907,-67.3828,-7.9956
162550.0000,-0.1602,0.9736,0.3906,3.1128,-73.6694,-9.7046
162551.0000,-0.1777,0.9873,0.3916,2.7466,-79.2847,-11.1694
162552.0000,-0.1836,0.9956,0.3862,1.7090,-85.6323,-12.8174
