timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
270109.0000,0.1006,0.8911,0.3730,1.3428,3.4180,11.2305
270110.0000,0.1094,0.9102,0.3848,1.2207,2.9297,10.9253
270111.0000,0.1157,0.9258,0.3896,0.7935,2.8076,9.6436
270112.0000,0.1128,0.9521,0.3970,0.7935,3.1128,6.8970
270113.0000,0.0981,0.9624,0.3970,1.2207,3.2959,3.6621
270114.0000,0.0820,0.9692,0.3984,2.3193,3.1128,-0.0610
270115.0000,0.0806,0.9941,0.4004,3.7842,1.8921,-4.2114
270116.0000,0.0972,1.0161,0.4043,4.0894,0.9155,-6.0425
270117.0000,0.1138,1.0229,0.4067,3.6621,0.4883,-6.2866
270118.0000,0.1240,1.0308,0.4048,2.5635,0.4272,-5.1270
270119.0000,0.1216,1.0342,0.4106,1.7700,0.6104,-3.7231
270120.0000,0.1143,1.0327,0.4106,0.5493,0.7935,-2.3193
270121.0000,0.1006,1.0166,0.4087,-0.5493,0.6714,-0.8545
270122.0000,0.0952,0.9951,0.4023,-0.9155,0.4272,-0.5493
270123.0000,0.0928,0.9717,0.3975,-0.8545,0.4272,-0.4883
270124.0000,0.0986,0.9634,0.3960,-0.3662,0.4883,-0.7324
270125.0000,0.1079,0.9790,0.4033,0.6104,0.7324,-1.0376
270126.0000,0.1143,0.9932,0.4141,1.2817,1.0986,-1.0986
270127.0000,0.1270,1.0039,0.4160,1.0986,1.9531,-0.9155
270128.0000,0.1357,1.0015,0.4155,0.5493,2.9907,-0.7324
270129.0000,0.1309,0.9990,0.4116,0.0610,4.5166,-0.9155
270130.0000,0.1182,0.9917,0.4067,-0.2441,6.2256,-1.7090
270131.0000,0.1074,0.9829,0.4033,0.0000,7.1411,-2.6245
270132.0000,0.0981,0.9722,0.4033,0.3052,7.8735,-3.8452
270133.0000,0.0830,0.9653,0.4004,1.0986,8.8501,-5.4321
270134.0000,0.0703,0.9688,0.3999,2.1362,9.4604,-6.0425
270135.0000,0.0532,0.9727,0.4058,2.9297,9.7656,-6.2256
270136.0000,0.0444,0.9697,0.4062,3.4790,9.7656,-5.2490
270137.0000,0.0420,0.9609,0.3984,3.9062,9.4604,-3.0518
270138.0000,0.0376,0.9546,0.3926,4.5776,8.9722,-0.1831
270139.0000,0.0327,0.9507,0.3896,5.9814,7.6904,4.9438
270140.0000,0.0303,0.9556,0.3853,7.3242,6.5918,8.6060
270141.0000,0.0303,0.9736,0.3872,8.7891,5.3101,12.2070
270142.0000,0.0293,0.9941,0.3887,10.3760,3.6621,15.5029
270143.0000,0.0352,1.0093,0.3848,10.9253,2.3193,17.1509
270144.0000,0.0435,1.0234,0.3872,11.2305,1.5259,18.1274
270145.0000,0.0527,1.0303,0.3809,11.1694,0.9766,18.9209
270146.0000,0.0566,1.0376,0.3784,11.1084,0.3662,19.2871
270147.0000,0.0581,1.0444,0.3770,10.8032,-0.3052,19.5923
270148.0000,0.0659,1.0420,0.3716,10.1929,-1.4038,19.7144
270149.0000,0.0732,1.0435,0.3711,9.8267,-2.3193,19.8364
270150.0000,0.0928,1.0557,0.3740,9.3384,-3.2349,19.9585
270151.0000,0.1055,1.0518,0.3750,8.6670,-3.5400,20.2637
270152.0000,0.1060,1.0396,0.3677,7.8735,-3.4790,20.1416
