timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
201967.0000,0.1606,0.9761,0.3545,0.9766,4.2114,1.5259
201968.0000,0.1689,0.9766,0.3574,0.8545,4.5776,1.6479
201969.0000,0.1646,0.9790,0.3545,0.7324,5.0659,1.7090
201970.0000,0.1597,0.9795,0.3545,0.5493,5.3101,1.8921
201971.0000,0.1514,0.9814,0.3535,0.4272,5.0659,1.9531
201972.0000,0.1528,0.9844,0.3516,0.1831,4.8828,1.8921
201973.0000,0.1562,0.9839,0.3525,0.0000,4.5166,1.6479
201974.0000,0.1631,0.9800,0.3516,-0.1831,4.2114,1.6479
201975.0000,0.1646,0.9761,0.3511,-0.4272,4.2725,1.7700
201976.0000,0.1538,0.9756,0.3511,-0.5493,4.0894,1.8921
201977.0000,0.1416,0.9761,0.3516,-0.5493,3.2959,1.8311
201978.0000,0.1455,0.9761,0.3521,-0.6104,2.3193,1.8921
201979.0000,0.1533,0.9780,0.3545,-0.9766,1.5869,1.8311
201980.0000,0.1665,0.9766,0.3511,-1.1597,1.0986,2.0142
201981.0000,0.1782,0.9736,0.3525,-1.2817,1.1597,2.1973
201982.0000,0.1860,0.9746,0.3521,-1.1597,1.5259,2.5635
201983.0000,0.1895,0.9692,0.3535,-1.2207,2.3193,3.1738
201984.0000,0.1899,0.9673,0.3516,-1.0986,3.0518,3.4790
201985.0000,0.1855,0.9653,0.3501,-0.9766,3.6621,3.9673
201986.0000,0.1860,0.9668,0.3555,-0.7324,4.1504,4.6387
201987.0000,0.1875,0.9668,0.3540,-0.4272,4.6387,4.8828
201988.0000,0.1870,0.9673,0.3540,-0.1831,5.1270,5.2490
201989.0000,0.1826,0.9683,0.3564,0.0000,5.7983,5.3101
201990.0000,0.1865,0.9658,0.3584,0.1831,6.1646,5.3711
201991.0000,0.1924,0.9668,0.3608,0.3662,6.6528,5.1880
201992.0000,0.1963,0.9614,0.3574,0.4883,7.5073,4.8828
201993.0000,0.1968,0.9639,0.3560,0.7324,8.4839,5.2490
201994.0000,0.1885,0.9663,0.3540,0.9155,9.2773,5.6763
201995.0000,0.1699,0.9731,0.3594,0.9766,9.8877,6.1035
201996.0000,0.1538,0.9756,0.3560,0.8545,9.6436,6.2256
201997.0000,0.1465,0.9795,0.3569,0.7324,8.8501,5.9814
201998.0000,0.1553,0.9829,0.3623,0.3662,7.8125,5.4932
201999.0000,0.1665,0.9829,0.3608,0.1831,7.3853,4.9438
202000.0000,0.1807,0.9800,0.3613,-0.2441,7.3853,4.6387
202001.0000,0.1934,0.9717,0.3682,-0.4272,8.1787,4.3945
202002.0000,0.1948,0.9634,0.3647,-0.4272,9.0942,4.3945
202003.0000,0.1880,0.9585,0.3643,-0.2441,9.8877,4.3335
202004.0000,0.1826,0.9604,0.3672,0.4883,10.5591,4.5776
202005.0000,0.1865,0.9644,0.3701,0.8545,10.8643,4.6387
202006.0000,0.1953,0.9565,0.3657,0.8545,11.7798,4.9438
202007.0000,0.2007,0.9541,0.3667,1.0376,12.5122,5.3711
202008.0000,0.2051,0.9551,0.3701,1.6479,13.2446,5.8594
202009.0000,0.2153,0.9590,0.3716,2.6245,14.7095,6.6528
202010.0000,0.2285,0.9644,0.3760,2.9907,16.2354,7.0801
202011.0000,0.2554,0.9722,0.3794,3.1738,18.2495,7.6294
202012.0000,0.2939,0.9746,0.3857,3.0518,22.7051,8.6060
202013.0000,0.3174,0.9697,0.3833,3.1738,27.4658,9.6436
202014.0000,0.3164,0.9521,0.3730,3.4790,33.0200,10.9863
202015.0000,0.2690,0.9390,0.3584,4.5776,39.4897,13.7329
202016.0000,0.2368,0.9492,0.3521,5.6763,42.2363,16.0522
202017.0000,0.2241,0.9697,0.3506,6.4697,43.8843,18.0664
202018.0000,0.2314,0.9868,0.3569,6.5308,46.2036,20.2026
202019.0000,0.2466,0.9888,0.3564,5.8594,48.3398,21.3623
202020.0000,0.2612,0.9834,0.3530,5.0659,50.9033,22.2168
202021.0000,0.2676,0.9751,0.3540,4.7607,54.8096,22.7051
202022.0000,0.2671,0.9673,0.3511,5.0659,57.7393,22.8271
202023.0000,0.2637,0.9590,0.3472,5.3711,60.5469,22.5220
202024.0000,0.2573,0.9561,0.3462,5.9814,64.0259,21.9116
202025.0000,0.2495,0.9570,0.3428,6.4697,66.1011,21.3013
202026.0000,0.2427,0.9565,0.3398,6.8359,67.9321,21.0571
202027.0000,0.2319,0.9556,0.3359,7.5684,69.7632,20.8740
202028.0000,0.2197,0.9541,0.3403,7.9346,70.4346,20.7520
202029.0000,0.2124,0.9565,0.3408,8.8501,70.4956,20.6909
202030.0000,0.2061,0.9600,0.3384,9.5215,70.3735,20.5078
202031.0000,0.2002,0.9609,0.3418,9.8267,70.0073,19.8364
202032.0000,0.1948,0.9668,0.3433,10.1929,69.6411,18.7988
202033.0000,0.1870,0.9663,0.3433,10.3760,68.3594,17.7002
202034.0000,0.1831,0.9722,0.3438,10.3149,67.3218,16.9067
202035.0000,0.1860,0.9810,0.3408,10.1318,66.0400,16.4185
202036.0000,0.1719,0.9844,0.3428,9.1553,64.3311,16.7847
202037.0000,0.1621,0.9893,0.3384,8.2397,62.3169,17.3950
202038.0000,0.1543,0.9937,0.3403,7.2021,59.9976,17.9443
202039.0000,0.1528,0.9878,0.3462,6.1646,56.7627,18.0664
202040.0000,0.1611,0.9883,0.3462,5.3711,54.5044,17.4561
202041.0000,0.1714,0.9868,0.3540,4.6997,52.5513,16.3574
202042.0000,0.1880,0.9878,0.3618,3.9062,50.7812,14.6484
202043.0000,0.1963,0.9849,0.3647,3.4180,49.9268,13.1836
202044.0000,0.2012,0.9819,0.3643,3.1128,49.5605,12.0239
202045.0000,0.2007,0.9819,0.3608,2.3804,49.0112,10.4370
202046.0000,0.1924,0.9780,0.3589,1.9531,48.7061,9.5215
202047.0000,0.1821,0.9751,0.3623,1.5869,47.9126,9.0332
202048.0000,0.1802,0.9692,0.3643,1.0986,46.3867,8.1177
202049.0000,0.1831,0.9648,0.3672,0.9155,45.2881,7.5684
202050.0000,0.1934,0.9604,0.3730,0.7935,44.3115,6.7139
202051.0000,0.2090,0.9521,0.3730,0.7324,44.0674,5.8594
202052.0000,0.2114,0.9438,0.3740,0.9155,44.3115,5.2490
202053.0000,0.2041,0.9390,0.3735,1.3428,44.3726,4.8828
202054.0000,0.1846,0.9375,0.3701,2.1973,43.8843,4.9438
202055.0000,0.1729,0.9478,0.3726,2.7466,42.9688,5.0659
202056.0000,0.1670,0.9614,0.3726,2.9907,41.7480,5.0049
202057.0000,0.1724,0.9722,0.3809,2.6855,40.4663,4.5776
202058.0000,0.1802,0.9756,0.3838,2.3193,39.7949,3.9673
202059.0000,0.1929,0.9761,0.3853,1.5869,39.5508,3.4180
202060.0000,0.2119,0.9692,0.3936,1.0986,39.9780,2.9297
202061.0000,0.2285,0.9614,0.3955,0.8545,41.1377,2.5635
202062.0000,0.2354,0.9497,0.3921,1.0376,42.8467,2.6245
202063.0000,0.2305,0.9346,0.3862,1.5259,45.3491,3.0518
202064.0000,0.2031,0.9321,0.3770,2.5024,46.8140,3.7842
202065.0000,0.1743,0.9365,0.3745,3.5400,47.0581,4.8828
202066.0000,0.1494,0.9512,0.3779,4.5166,45.9595,5.7983
202067.0000,0.1436,0.9692,0.3833,4.6997,44.7998,6.2866
202068.0000,0.1572,0.9795,0.3901,4.1504,43.5791,6.2866
202069.0000,0.1792,0.9858,0.3921,2.9297,43.2129,6.5308
202070.0000,0.1885,0.9800,0.3936,2.0752,43.5791,6.9580
202071.0000,0.1865,0.9673,0.3911,1.5259,44.3726,7.5073
202072.0000,0.1714,0.9468,0.3872,1.5259,45.0439,8.3008
202073.0000,0.1621,0.9395,0.3833,2.1973,44.7998,8.8501
202074.0000,0.1494,0.9395,0.3833,3.1738,44.2505,9.5825
202075.0000,0.1313,0.9443,0.3833,4.2725,42.7856,9.8267
202076.0000,0.1240,0.9556,0.3838,5.0049,41.4429,9.8267
202077.0000,0.1216,0.9673,0.3887,5.3101,39.7949,9.2773
202078.0000,0.1235,0.9780,0.3955,5.1270,37.5977,7.9346
202079.0000,0.1313,0.9751,0.3970,4.8218,36.1938,7.1411
202080.0000,0.1387,0.9712,0.3975,4.5166,34.9121,6.3477
202081.0000,0.1377,0.9546,0.3945,4.2725,33.8135,5.4321
202082.0000,0.1348,0.9434,0.3960,4.6387,32.7148,5.1270
202083.0000,0.1274,0.9473,0.3950,5.1880,31.4331,5.0659
202084.0000,0.1255,0.9507,0.3916,5.8594,29.7852,5.4932
202085.0000,0.1172,0.9536,0.3896,6.0425,28.3813,5.9204
202086.0000,0.1167,0.9644,0.3906,6.1035,26.7944,6.4697
202087.0000,0.1260,0.9736,0.3906,5.6152,24.9023,7.4463
202088.0000,0.1353,0.9702,0.3916,5.1880,23.7427,8.3008
202089.0000,0.1367,0.9678,0.3901,5.0049,22.9492,9.2163
202090.0000,0.1318,0.9541,0.3857,5.2490,22.0337,10.7422
202091.0000,0.1245,0.9556,0.3877,5.4932,20.8130,11.7798
202092.0000,0.1226,0.9600,0.3867,5.7983,19.4092,12.4512
202093.0000,0.1187,0.9614,0.3892,5.9814,17.3950,12.5122
202094.0000,0.1250,0.9668,0.3921,5.9204,15.9302,12.3291
202095.0000,0.1362,0.9756,0.3965,5.9814,14.7095,11.7798
202096.0000,0.1543,0.9771,0.3965,5.5542,13.8550,11.5356
202097.0000,0.1641,0.9697,0.3921,4.8218,13.4888,11.5356
202098.0000,0.1685,0.9697,0.3921,4.3945,13.3057,12.0239
202099.0000,0.1729,0.9717,0.3926,4.2725,13.1836,12.6343
202100.0000,0.1694,0.9683,0.3892,4.1504,13.0615,12.7563
202101.0000,0.1626,0.9619,0.3823,3.9062,12.5732,12.8784
202102.0000,0.1494,0.9580,0.3843,4.1504,11.5356,12.4512
202103.0000,0.1445,0.9609,0.3838,4.4556,10.3149,11.7188
202104.0000,0.1455,0.9595,0.3804,4.6387,8.9111,11.2915
202105.0000,0.1499,0.9648,0.3804,4.8828,7.0190,10.7422
202106.0000,0.1523,0.9663,0.3804,4.6997,5.5542,10.3149
202107.0000,0.1553,0.9731,0.3843,4.3335,3.9062,9.6436
202108.0000,0.1587,0.9785,0.3838,3.7231,2.7466,8.9722
202109.0000,0.1631,0.9775,0.3784,3.0518,1.4648,8.4229
202110.0000,0.1719,0.9741,0.3794,2.2583,0.0610,7.6904
202111.0000,0.1753,0.9688,0.3813,1.7090,-0.7935,7.3242
202112.0000,0.1758,0.9663,0.3770,1.5259,-1.7700,6.8970
202113.0000,0.1787,0.9648,0.3755,1.2817,-3.0518,6.2256
202114.0000,0.1772,0.9673,0.3770,0.8545,-3.9673,5.5542
202115.0000,0.1860,0.9697,0.3813,0.6714,-5.1270,4.8828
202116.0000,0.1987,0.9692,0.3818,0.1831,-6.1646,4.0894
202117.0000,0.2090,0.9741,0.3789,-0.2441,-6.5918,3.7231
202118.0000,0.2168,0.9727,0.3809,-0.7935,-6.8359,3.1738
202119.0000,0.2202,0.9678,0.3794,-1.3428,-6.9580,2.3804
202120.0000,0.2202,0.9629,0.3818,-1.6479,-6.8970,1.7090
202121.0000,0.2236,0.9609,0.3828,-1.7090,-6.9580,1.0376
202122.0000,0.2246,0.9565,0.3794,-1.7700,-7.0190,0.0610
202123.0000,0.2251,0.9556,0.3774,-1.5259,-7.0190,-0.7324
202124.0000,0.2275,0.9458,0.3789,-1.3428,-7.0190,-1.4038
202125.0000,0.2266,0.9424,0.3755,-0.9766,-7.1411,-2.2583
202126.0000,0.2314,0.9443,0.3809,-0.4883,-7.2021,-2.8687
202127.0000,0.2363,0.9468,0.3848,-0.1221,-7.2021,-3.1738
202128.0000,0.2456,0.9468,0.3813,-0.1221,-7.0190,-3.4790
202129.0000,0.2480,0.9468,0.3779,0.0610,-6.4697,-3.6621
202130.0000,0.2461,0.9453,0.3804,0.3052,-5.9204,-3.8452
202131.0000,0.2437,0.9502,0.3809,0.6714,-5.0049,-4.0283
202132.0000,0.2402,0.9512,0.3770,1.0376,-4.6387,-4.2114
202133.0000,0.2373,0.9541,0.3770,1.4038,-4.2114,-4.2114
202134.0000,0.2349,0.9570,0.3755,1.8921,-3.8452,-4.3945
202135.0000,0.2285,0.9585,0.3750,1.8921,-3.6011,-4.5166
202136.0000,0.2231,0.9609,0.3730,1.9531,-3.4180,-4.9438
202137.0000,0.2173,0.9609,0.3721,2.0142,-3.4180,-4.9438
202138.0000,0.2148,0.9653,0.3740,2.0142,-3.7231,-5.2490
202139.0000,0.2139,0.9702,0.3730,1.7700,-3.8452,-5.3101
202140.0000,0.2090,0.9722,0.3711,1.2207,-3.9062,-5.3101
202141.0000,0.2061,0.9688,0.3735,0.8545,-3.7842,-5.1880
202142.0000,0.2031,0.9663,0.3716,0.4272,-4.0283,-5.0659
202143.0000,0.1948,0.9575,0.3730,0.4272,-4.2725,-4.7607
202144.0000,0.1904,0.9561,0.3677,0.6714,-4.6997,-4.4556
202145.0000,0.1890,0.9575,0.3730,0.9155,-5.0659,-4.2725
202146.0000,0.1865,0.9551,0.3696,1.1597,-5.6152,-3.9673
202147.0000,0.1885,0.9595,0.3711,1.4648,-5.9204,-3.7842
202148.0000,0.1953,0.9707,0.3755,1.4648,-6.1035,-3.6011
202149.0000,0.2061,0.9756,0.3735,1.0986,-5.6763,-2.9907
202150.0000,0.2139,0.9736,0.3745,0.6714,-5.0049,-2.1362
202151.0000,0.2168,0.9683,0.3721,0.4883,-4.0894,-1.0376
202152.0000,0.2144,0.9673,0.3711,0.3662,-2.6245,0.6104
202153.0000,0.2085,0.9658,0.3701,0.4272,-1.6479,1.2817
202154.0000,0.2036,0.9629,0.3657,0.4883,-0.8545,2.0142
202155.0000,0.2026,0.9658,0.3721,0.7935,0.0000,2.3193
202156.0000,0.2061,0.9683,0.3726,0.7935,0.6714,2.6245
202157.0000,0.2100,0.9727,0.3740,0.6104,1.3428,2.9297
202158.0000,0.2124,0.9771,0.3691,0.2441,2.4414,3.5400
202159.0000,0.2158,0.9746,0.3701,-0.1831,3.4790,3.9062
202160.0000,0.2163,0.9697,0.3701,-0.5493,4.2114,4.2114
202161.0000,0.2144,0.9595,0.3691,-0.6714,5.3711,4.8218
202162.0000,0.2148,0.9561,0.3657,-0.4272,6.1035,5.1270
202163.0000,0.2119,0.9595,0.3696,-0.2441,6.7749,5.3711
202164.0000,0.2124,0.9604,0.3701,0.1221,7.3242,5.3101
202165.0000,0.2139,0.9614,0.3687,0.2441,7.6904,5.0049
202166.0000,0.2124,0.9629,0.3691,0.3052,7.8125,4.7607
202167.0000,0.2090,0.9673,0.3667,0.3662,7.9346,4.2725
202168.0000,0.2075,0.9639,0.3682,0.2441,7.8125,3.6621
202169.0000,0.2065,0.9663,0.3691,0.2441,7.4463,2.9297
202170.0000,0.2168,0.9634,0.3711,0.0000,7.1411,2.0752
202171.0000,0.2212,0.9648,0.3726,-0.2441,7.0801,1.5869
202172.0000,0.2275,0.9648,0.3750,-0.3662,7.2021,0.9766
202173.0000,0.2354,0.9639,0.3735,-0.6714,7.6904,0.6104
