timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
65314.0000,0.0396,0.9443,0.3706,1.2207,-1.5869,10.6812
65315.0000,0.0420,0.9609,0.3755,2.5635,-1.4648,10.8643
65316.0000,0.0503,0.9751,0.3779,2.8076,-1.5869,10.7422
65317.0000,0.0591,0.9834,0.3730,2.5635,-1.4648,9.9487
65318.0000,0.0659,0.9888,0.3691,2.0752,-0.7935,8.2397
65319.0000,0.0669,0.9897,0.3706,1.5869,-0.3662,5.9814
65320.0000,0.0732,0.9927,0.3652,1.1597,0.0000,3.2349
65321.0000,0.0771,1.0010,0.3672,0.7324,0.8545,-1.4038
65322.0000,0.0708,0.9980,0.3682,0.3662,1.7090,-5.2490
65323.0000,0.0542,0.9858,0.3657,-0.4883,2.5635,-8.8501
65324.0000,0.0361,0.9683,0.3628,-0.9155,3.2959,-11.3525
65325.0000,0.0342,0.9673,0.3677,-0.5493,3.3569,-11.7798
65326.0000,0.0332,0.9707,0.3682,-0.1221,3.2959,-11.4746
65327.0000,0.0347,0.9844,0.3711,-0.3052,3.2349,-10.2539
65328.0000,0.0322,0.9868,0.3691,-0.7324,3.3569,-9.1553
65329.0000,0.0234,0.9863,0.3706,-1.2817,3.6621,-8.4229
65330.0000,0.0093,0.9800,0.3696,-1.7700,4.1504,-7.6904
65331.0000,-0.0029,0.9722,0.3696,-1.7700,4.3335,-7.5073
65332.0000,-0.0078,0.9668,0.3677,-1.4038,4.3335,-7.2021
65333.0000,-0.0059,0.9663,0.3643,-0.7935,4.2114,-6.8359
65334.0000,-0.0010,0.9688,0.3672,-0.4272,4.0283,-6.4697
65335.0000,-0.0068,0.9692,0.3633,-0.0610,3.8452,-5.9814
65336.0000,-0.0151,0.9707,0.3667,0.4883,3.7231,-5.3711
65337.0000,-0.0215,0.9741,0.3672,0.7935,3.3569,-4.9438
65338.0000,-0.0244,0.9790,0.3701,0.9155,2.8687,-4.3945
65339.0000,-0.0288,0.9751,0.3662,0.8545,2.0142,-3.5400
65340.0000,-0.0303,0.9722,0.3638,0.9155,1.5259,-2.6855
65341.0000,-0.0288,0.9771,0.3643,1.0986,0.9155,-2.3193
65342.0000,-0.0234,0.9790,0.3589,1.2207,0.0610,-1.9531
65343.0000,-0.0215,0.9775,0.3608,0.9766,-0.4883,-2.1973
65344.0000,-0.0186,0.9780,0.3608,0.7935,-0.9155,-2.4414
65345.0000,-0.0195,0.9707,0.3540,0.4883,-1.4038,-2.9297
65346.0000,-0.0181,0.9673,0.3584,0.2441,-1.7090,-2.9297
65347.0000,-0.0200,0.9775,0.3613,0.4883,-2.0752,-2.8076
65348.0000,-0.0132,0.9873,0.3643,0.5493,-2.3804,-2.3804
65349.0000,-0.0078,0.9912,0.3657,0.3052,-2.4414,-1.9531
65350.0000,-0.0049,0.9883,0.3618,-0.0610,-2.3193,-2.0142
65351.0000,0.0005,0.9858,0.3613,-0.1221,-1.7090,-2.1362
65352.0000,0.0015,0.9868,0.3589,-0.1831,-1.2207,-2.4414
65353.0000,0.0020,0.9878,0.3633,-0.4272,-0.6714,-2.8687
65354.0000,-0.0010,0.9849,0.3628,-0.8545,0.0610,-3.4180
65355.0000,-0.0088,0.9810,0.3604,-1.0986,0.5493,-3.5400
65356.0000,-0.0142,0.9756,0.3623,-1.2207,0.7935,-3.1738
65357.0000,-0.0200,0.9683,0.3618,-1.2207,0.9155,-2.3193
65358.0000,-0.0244,0.9658,0.3618,-0.9155,1.0986,-1.4038
65359.0000,-0.0229,0.9697,0.3613,-0.6104,0.9155,-0.7324
65360.0000,-0.0146,0.9814,0.3613,-0.5493,0.7935,0.3052
65361.0000,-0.0093,0.9863,0.3633,-0.7324,0.9766,0.6104
65362.0000,-0.0073,0.9834,0.3633,-1.0986,1.1597,0.6104
65363.0000,-0.0063,0.9839,0.3618,-1.2207,1.5259,0.3052
65364.0000,-0.0078,0.9868,0.3613,-1.4648,1.6479,-0.2441
65365.0000,-0.0098,0.9844,0.3628,-1.7090,1.7700,-1.2207
65366.0000,-0.0171,0.9785,0.3652,-1.7090,1.6479,-2.6245
65367.0000,-0.0161,0.9746,0.3657,-1.6479,1.2817,-3.6621
65368.0000,-0.0117,0.9756,0.3643,-1.5869,0.9766,-4.6387
65369.0000,-0.0063,0.9751,0.3623,-1.4038,0.7935,-6.0425
65370.0000,-0.0020,0.9785,0.3647,-1.3428,0.8545,-7.2021
65371.0000,0.0029,0.9771,0.3682,-1.3428,1.0986,-8.1177
65372.0000,0.0068,0.9790,0.3657,-1.2207,1.4038,-9.3384
65373.0000,0.0083,0.9785,0.3662,-1.3428,1.8311,-10.6201
65374.0000,0.0044,0.9819,0.3667,-1.5259,2.2583,-11.8408
65375.0000,-0.0146,0.9849,0.3682,-1.7700,2.9297,-13.7939
65376.0000,-0.0376,0.9873,0.3687,-2.1973,2.8687,-14.8315
65377.0000,-0.0479,0.9868,0.3647,-2.7466,2.0752,-15.3809
65378.0000,-0.0522,0.9785,0.3589,-3.6011,0.3662,-15.7471
65379.0000,-0.0464,0.9805,0.3564,-4.0894,-0.6714,-15.6860
65380.0000,-0.0371,0.9854,0.3633,-4.5166,-1.5259,-15.5029
65381.0000,-0.0220,0.9863,0.3696,-5.0049,-1.8921,-15.0146
65382.0000,-0.0083,0.9805,0.3730,-5.3101,-1.7700,-14.2212
65383.0000,0.0020,0.9766,0.3730,-5.4321,-1.0986,-13.6108
65384.0000,0.0015,0.9692,0.3799,-5.0659,0.6104,-12.7563
65385.0000,-0.0034,0.9648,0.3799,-4.6387,2.2583,-12.6953
65386.0000,-0.0107,0.9604,0.3779,-4.2114,3.9062,-12.7563
65387.0000,-0.0186,0.9536,0.3813,-3.3569,5.7373,-13.0615
