timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
18621.0000,-0.1104,0.9414,0.4087,0.1831,5.8594,2.6855
18622.0000,-0.1255,0.9385,0.4077,0.6714,5.6763,2.7466
18623.0000,-0.1357,0.9443,0.4111,1.1597,4.9438,2.5024
18624.0000,-0.1313,0.9502,0.4131,1.5869,3.7231,1.8921
18625.0000,-0.1191,0.9556,0.4092,1.2817,2.8687,1.7090
18626.0000,-0.1025,0.9580,0.4097,0.7324,2.4414,1.8311
18627.0000,-0.0952,0.9580,0.4165,0.3662,2.6245,2.0142
18628.0000,-0.1050,0.9473,0.4092,0.3052,2.8076,2.1973
18629.0000,-0.1167,0.9429,0.4028,0.4883,2.5635,2.0142
18630.0000,-0.1294,0.9468,0.4077,1.4038,1.8311,1.2817
18631.0000,-0.1265,0.9668,0.4155,1.8921,0.8545,0.1831
18632.0000,-0.1079,0.9951,0.4185,1.4038,0.2441,-0.8545
18633.0000,-0.0762,1.0034,0.4209,-0.8545,0.6104,-1.7700
18634.0000,-0.0635,0.9878,0.4170,-2.6855,1.8311,-1.7700
18635.0000,-0.0693,0.9697,0.4116,-3.7231,3.3569,-1.1597
18636.0000,-0.1001,0.9502,0.4077,-3.9673,4.6387,-0.2441
18637.0000,-0.1260,0.9414,0.4072,-3.8452,4.5776,0.0610
18638.0000,-0.1396,0.9351,0.4106,-3.7842,3.5400,0.2441
18639.0000,-0.1313,0.9385,0.4155,-3.1738,2.0142,0.0610
18640.0000,-0.1167,0.9448,0.4194,-2.6855,1.2817,0.0000
18641.0000,-0.1050,0.9512,0.4248,-2.5635,1.0376,-0.0610
18642.0000,-0.1016,0.9453,0.4253,-2.5635,1.4038,-0.0610
18643.0000,-0.1118,0.9365,0.4272,-2.4414,1.6479,0.0000
18644.0000,-0.1279,0.9233,0.4224,-1.7700,1.3428,-0.1831
18645.0000,-0.1431,0.9111,0.4219,-0.3662,0.0610,-0.0610
18646.0000,-0.1367,0.9258,0.4307,0.7324,-1.3428,-0.0610
18647.0000,-0.1123,0.9517,0.4331,1.4038,-2.3193,0.0610
18648.0000,-0.0732,0.9712,0.4341,0.8545,-1.7700,-0.0610
18649.0000,-0.0640,0.9644,0.4272,0.1221,-0.3052,0.0610
18650.0000,-0.0801,0.9536,0.4194,-0.1831,1.3428,0.0000
18651.0000,-0.1187,0.9473,0.4165,0.3662,2.1973,0.0000
18652.0000,-0.1333,0.9517,0.4204,0.6714,1.7090,-0.3052
18653.0000,-0.1362,0.9536,0.4155,0.5493,0.5493,-0.6104
18654.0000,-0.1045,0.9678,0.4243,0.1221,-0.5493,-0.4272
18655.0000,-0.0840,0.9663,0.4326,-0.4883,-0.3052,-0.1831
18656.0000,-0.0747,0.9585,0.4258,-1.1597,0.6104,0.3052
18657.0000,-0.0840,0.9399,0.4199,-1.4648,1.8311,0.9766
18658.0000,-0.0967,0.9370,0.4141,-0.9766,2.2583,1.0376
18659.0000,-0.0820,0.9497,0.4185,-0.4883,2.5024,0.6714
18660.0000,-0.0049,0.9814,0.4395,-1.0986,4.6387,0.9766
18661.0000,0.0874,0.9917,0.4502,-2.6855,9.2163,2.9297
18662.0000,0.1885,0.9824,0.4580,-4.3945,17.3340,7.0190
18663.0000,0.2920,0.9385,0.4463,-6.1035,33.8135,15.6250
18664.0000,0.3433,0.9092,0.4419,-5.6152,49.6216,23.3765
18665.0000,0.3691,0.9053,0.4307,-4.0283,67.1997,31.0059
18666.0000,0.3774,0.9468,0.4175,-1.4648,91.8579,39.6729
18667.0000,0.3799,0.9922,0.4087,-0.9155,110.4126,44.9219
18668.0000,0.3950,1.0444,0.3911,-2.7466,128.5400,49.7437
18669.0000,0.4502,1.0869,0.3584,-7.3242,153.7476,57.1289
18670.0000,0.4980,1.0815,0.3096,-11.3525,174.1943,64.0869
18671.0000,0.5381,1.0581,0.2490,-14.8926,196.2891,72.4487
18672.0000,0.5293,1.0288,0.1553,-17.0898,227.1118,84.8389
18673.0000,0.4141,1.0444,0.1011,-17.5171,248.1689,93.1396
18674.0000,0.2539,1.0815,0.0693,-17.5171,262.9395,99.0601
18675.0000,0.0933,1.1284,0.0469,-18.3716,273.5596,102.1729
18676.0000,0.0166,1.1348,0.0322,-21.0571,276.6113,101.3184
18677.0000,-0.0029,1.1050,0.0317,-23.1934,277.7710,98.9990
18678.0000,0.0396,1.0898,0.0171,-24.8413,279.8462,96.5576
18679.0000,0.0615,1.1040,0.0142,-28.3203,282.7148,95.5811
18680.0000,0.0488,1.0996,0.0054,-28.6865,286.1938,95.1538
18681.0000,0.0195,1.0747,-0.0142,-28.8696,289.2456,95.8862
18682.0000,-0.0161,1.0664,-0.0405,-27.1606,289.8560,96.3745
18683.0000,-0.0649,1.0757,-0.0396,-29.7241,288.2690,96.2524
18684.0000,-0.1182,1.0820,-0.0244,-31.8604,283.3252,95.2759
18685.0000,-0.1646,1.1016,-0.0200,-31.3110,278.3813,93.6890
18686.0000,-0.2070,1.0713,0.0020,-31.4941,271.9727,91.1865
18687.0000,-0.2881,1.0366,0.0283,-28.4424,259.8877,87.4023
18688.0000,-0.3057,1.0249,0.0381,-26.1841,250.9766,85.6323
18689.0000,-0.3535,1.0366,0.0698,-23.9258,240.9058,81.2378
18690.0000,-0.4951,1.0547,0.1123,-20.3247,223.5718,71.8994
18691.0000,-0.5957,1.0508,0.1455,-20.4468,206.7871,63.4766
18692.0000,-0.6753,1.0679,0.1953,-19.5312,179.0771,51.1475
18693.0000,-0.7085,1.0630,0.2363,-19.8975,156.3721,42.1753
18694.0000,-0.7212,1.0635,0.2744,-20.5078,132.6294,33.9355
18695.0000,-0.7090,1.0508,0.3115,-20.8740,100.8911,24.1089
18696.0000,-0.6592,1.0093,0.3442,-23.5596,77.8198,18.3105
18697.0000,-0.5811,0.9912,0.3647,-23.6816,57.0679,13.7329
18698.0000,-0.4580,0.9863,0.3940,-23.0713,34.1797,9.7656
