timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
24189.0000,-0.1362,0.9434,0.4351,0.5493,-0.3662,-1.6479
24190.0000,-0.1367,0.9453,0.4351,0.4272,-0.8545,-1.5869
24191.0000,-0.1353,0.9443,0.4365,0.3052,-0.9155,-1.7700
24192.0000,-0.1362,0.9463,0.4341,0.1831,-1.0986,-1.7700
24193.0000,-0.1479,0.9482,0.4336,-0.0610,-1.4648,-1.5869
24194.0000,-0.1562,0.9473,0.4316,-0.3662,-2.2583,-1.6479
24195.0000,-0.1548,0.9478,0.4365,-0.2441,-3.3569,-1.5259
24196.0000,-0.1353,0.9478,0.4370,-0.6104,-4.3335,-1.4648
24197.0000,-0.1240,0.9478,0.4399,-0.7935,-4.2725,-1.3428
24198.0000,-0.1177,0.9404,0.4419,-0.9766,-4.0283,-1.2817
24199.0000,-0.1133,0.9336,0.4434,-0.7935,-3.3569,-1.1597
24200.0000,-0.1113,0.9307,0.4414,-0.6104,-2.9297,-1.1597
24201.0000,-0.1118,0.9307,0.4419,-0.1221,-2.5024,-1.0376
24202.0000,-0.1104,0.9355,0.4419,0.1831,-1.6479,-0.7935
24203.0000,-0.1079,0.9355,0.4429,0.3052,-0.9766,-0.7324
24204.0000,-0.1089,0.9395,0.4429,0.2441,-0.4272,-0.6104
24205.0000,-0.1128,0.9448,0.4429,0.3052,0.2441,-0.4272
24206.0000,-0.1177,0.9429,0.4395,0.2441,0.6714,-0.1831
24207.0000,-0.1216,0.9429,0.4414,0.1221,0.7935,-0.1831
24208.0000,-0.1216,0.9414,0.4346,0.0610,0.7935,0.0000
24209.0000,-0.1230,0.9429,0.4375,0.0610,0.8545,-0.0610
24210.0000,-0.1250,0.9438,0.4380,-0.1221,0.9766,-0.2441
24211.0000,-0.1289,0.9414,0.4399,-0.3662,1.0986,-0.3052
24212.0000,-0.1294,0.9424,0.4385,-0.3662,0.9766,-0.4272
24213.0000,-0.1289,0.9399,0.4385,-0.4272,0.9155,-0.4883
24214.0000,-0.1294,0.9404,0.4404,-0.3662,0.6714,-0.3052
