timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
32511.0000,-0.0894,0.9634,0.3892,-0.7324,0.7935,-0.8545
32512.0000,-0.0889,0.9653,0.3896,-0.7935,0.6104,-0.9155
32513.0000,-0.0869,0.9683,0.3872,-0.4272,0.6104,-0.7935
32514.0000,-0.0889,0.9614,0.3892,-0.6104,0.3052,-0.7935
32515.0000,-0.0835,0.9648,0.3882,-0.7324,0.3662,-0.4272
32516.0000,-0.0776,0.9697,0.3950,-0.5493,0.1221,-0.2441
32517.0000,-0.0791,0.9673,0.3926,-0.9155,0.1221,0.1221
32518.0000,-0.0801,0.9590,0.3887,-0.9766,0.1831,0.3662
32519.0000,-0.0801,0.9507,0.3872,-0.9155,0.0610,0.5493
32520.0000,-0.0811,0.9526,0.3882,-0.4883,-0.1831,0.4883
32521.0000,-0.0757,0.9580,0.3906,0.0610,-0.3052,0.1221
32522.0000,-0.0728,0.9673,0.3892,0.2441,-0.4883,-0.1831
32523.0000,-0.0664,0.9683,0.3892,0.1221,-0.3052,-0.3662
32524.0000,-0.0693,0.9688,0.3911,-0.1221,0.0000,-0.9155
32525.0000,-0.0747,0.9727,0.3921,-0.1221,0.1831,-1.3428
32526.0000,-0.0771,0.9697,0.3892,-0.4272,0.2441,-1.7700
32527.0000,-0.0796,0.9678,0.3892,-0.6104,0.2441,-1.9531
32528.0000,-0.0811,0.9639,0.3936,-0.7324,0.1831,-1.6479
32529.0000,-0.0776,0.9595,0.3916,-0.7935,0.1221,-1.5869
32530.0000,-0.0830,0.9609,0.3911,-0.6714,0.2441,-1.3428
32531.0000,-0.0928,0.9609,0.3906,-0.7324,0.1221,-1.0986
32532.0000,-0.0991,0.9580,0.3896,-0.5493,-0.3662,-1.0376
32533.0000,-0.1040,0.9561,0.3872,-0.3052,-1.4038,-0.8545
32534.0000,-0.1079,0.9624,0.3887,-0.0610,-2.3193,-0.7324
32535.0000,-0.1118,0.9678,0.3892,-0.0610,-3.2959,-0.7324
32536.0000,-0.1123,0.9658,0.3931,-0.1831,-4.8828,-1.2817
32537.0000,-0.1089,0.9678,0.3906,-0.3662,-6.1646,-1.9531
32538.0000,-0.1055,0.9673,0.3901,-0.4272,-7.1411,-2.6855
32539.0000,-0.1030,0.9648,0.3916,-0.3662,-8.2397,-3.6011
32540.0000,-0.0986,0.9629,0.3906,-0.4272,-8.9722,-4.2114
32541.0000,-0.0962,0.9629,0.3950,-0.4272,-9.4604,-4.6997
32542.0000,-0.0874,0.9624,0.3940,-0.4272,-9.8267,-5.2490
32543.0000,-0.0874,0.9600,0.3940,-0.2441,-10.0708,-5.3101
32544.0000,-0.0835,0.9614,0.3965,-0.3052,-10.1929,-5.3711
32545.0000,-0.0801,0.9604,0.3950,-0.2441,-10.0708,-5.1880
