timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
59872.0000,-0.1528,0.9316,0.4468,1.1597,-1.8921,1.2207
59873.0000,-0.1479,0.9312,0.4497,1.2817,-1.9531,1.1597
59874.0000,-0.1401,0.9336,0.4517,1.1597,-1.8921,1.0376
59875.0000,-0.1333,0.9331,0.4487,0.7324,-1.7700,1.2207
59876.0000,-0.1299,0.9321,0.4521,0.6104,-1.2817,1.4648
59877.0000,-0.1294,0.9302,0.4458,0.6104,-0.7935,1.4648
59878.0000,-0.1401,0.9292,0.4463,0.6714,-0.1831,1.2817
59879.0000,-0.1436,0.9326,0.4473,0.6104,-0.1221,1.3428
59880.0000,-0.1406,0.9365,0.4492,0.4883,-0.0610,1.2207
59881.0000,-0.1411,0.9326,0.4453,0.3052,-0.0610,1.1597
59882.0000,-0.1479,0.9341,0.4399,0.1831,-0.0610,0.9766
59883.0000,-0.1479,0.9434,0.4478,0.3662,-0.2441,0.5493
59884.0000,-0.1455,0.9458,0.4531,-0.1221,-0.7324,0.3052
59885.0000,-0.1416,0.9409,0.4492,-0.9155,-0.8545,0.0610
59886.0000,-0.1387,0.9385,0.4526,-1.0986,-0.7324,-0.0610
59887.0000,-0.1396,0.9360,0.4595,-0.7935,-0.5493,0.1221
59888.0000,-0.1416,0.9351,0.4585,-0.7324,-0.4883,0.0000
59889.0000,-0.1372,0.9326,0.4541,-0.8545,-0.4272,0.3662
59890.0000,-0.1367,0.9336,0.4565,-0.3052,-0.1831,0.6714
59891.0000,-0.1362,0.9395,0.4590,0.1221,0.1221,0.9155
59892.0000,-0.1372,0.9399,0.4575,-0.0610,0.2441,1.1597
59893.0000,-0.1382,0.9390,0.4590,-0.2441,0.1831,1.8311
59894.0000,-0.1348,0.9390,0.4556,-0.1831,0.3662,2.0142
59895.0000,-0.1372,0.9365,0.4561,-0.4883,0.4883,2.0142
59896.0000,-0.1440,0.9292,0.4604,-0.7324,0.4883,1.7700
59897.0000,-0.1436,0.9224,0.4556,-0.3662,0.2441,1.6479
59898.0000,-0.1460,0.9126,0.4521,-0.1831,-0.0610,1.8921
59899.0000,-0.1489,0.9058,0.4531,0.4272,-0.6714,2.5024
59900.0000,-0.1499,0.9038,0.4551,1.2817,-1.4038,3.7842
59901.0000,-0.1504,0.9048,0.4595,2.1973,-2.3804,5.9204
59902.0000,-0.1543,0.8945,0.4565,3.0518,-3.4790,9.4604
59903.0000,-0.1646,0.8896,0.4551,3.9062,-4.4556,13.9160
59904.0000,-0.1719,0.8901,0.4624,5.0659,-5.4932,19.1040
59905.0000,-0.1904,0.8813,0.4580,6.4087,-6.8970,26.8555
59906.0000,-0.2139,0.8750,0.4570,7.6294,-8.3008,34.0576
59907.0000,-0.2310,0.8823,0.4556,9.2773,-10.6201,42.9688
59908.0000,-0.2363,0.9004,0.4380,11.2305,-14.0381,55.4810
59909.0000,-0.2505,0.9204,0.4507,12.3901,-17.0898,65.5518
59910.0000,-0.2515,0.9277,0.4482,12.7563,-20.2637,75.1953
59911.0000,-0.2744,0.8794,0.4233,11.6577,-25.6348,89.9658
59912.0000,-0.2959,0.8291,0.4175,11.6577,-30.9448,105.1025
59913.0000,-0.3135,0.8257,0.4116,13.4277,-40.0391,135.9863
59914.0000,-0.2915,0.8921,0.4365,14.7095,-47.7295,164.6118
59915.0000,-0.2070,0.9712,0.4600,14.8315,-53.8330,188.8428
59916.0000,-0.0918,0.9956,0.4521,12.0850,-54.9927,203.8574
59917.0000,-0.0601,0.9639,0.4175,9.3384,-52.3682,202.8809
59918.0000,-0.0186,0.9219,0.3887,7.9956,-50.6592,195.3735
59919.0000,0.0493,0.8794,0.3848,8.7280,-50.1709,183.2886
59920.0000,0.0942,0.8525,0.3711,9.3994,-51.1475,178.2227
59921.0000,0.1611,0.8716,0.3691,10.0098,-53.3447,178.5278
59922.0000,0.2715,0.9478,0.4043,9.9487,-55.3589,178.8330
59923.0000,0.3687,0.9839,0.4194,7.6904,-55.9082,175.4150
59924.0000,0.4141,0.9663,0.4106,3.6621,-52.0020,167.9077
59925.0000,0.3740,0.8853,0.3823,-0.9155,-45.0439,154.9683
59926.0000,0.3389,0.8330,0.3730,-1.5869,-43.0298,146.1182
59927.0000,0.3335,0.7993,0.3809,-0.2441,-43.6401,138.7329
59928.0000,0.3926,0.7661,0.3691,1.8921,-48.0347,132.1411
59929.0000,0.4497,0.7354,0.3535,2.6245,-50.5371,129.9438
59930.0000,0.5186,0.7310,0.3438,3.6011,-51.8799,129.0894
59931.0000,0.6099,0.7598,0.3564,5.4932,-50.9644,126.4038
59932.0000,0.6543,0.7915,0.3638,6.4697,-48.3398,121.5210
59933.0000,0.6714,0.8120,0.3633,6.3477,-44.2505,114.1968
59934.0000,0.6440,0.8047,0.3599,5.2490,-39.2456,102.4170
59935.0000,0.6455,0.7979,0.3467,4.4556,-38.6353,94.6655
59936.0000,0.6675,0.7856,0.3403,3.9673,-38.8794,87.7686
59937.0000,0.7271,0.7891,0.3237,3.2959,-39.8560,79.8950
59938.0000,0.7710,0.7847,0.3257,2.5635,-39.3066,73.2422
59939.0000,0.8599,0.7788,0.3369,2.6855,-37.4146,66.5894
59940.0000,0.8862,0.7764,0.3281,2.5024,-30.2734,57.2510
59941.0000,0.8960,0.7773,0.3286,2.6245,-26.6113,48.8281
59942.0000,0.8965,0.7881,0.3291,2.9907,-23.0103,39.4287
59943.0000,0.8906,0.8110,0.3340,3.1128,-18.7988,25.3906
59944.0000,0.8921,0.8193,0.3311,2.3804,-15.6250,14.4043
59945.0000,0.8940,0.8120,0.3320,1.0986,-12.5122,3.8452
