timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
262845.0000,-0.1294,1.0176,0.3804,-1.0376,-53.0396,-39.5508
262846.0000,-0.1436,1.0249,0.3784,-2.3193,-66.4062,-49.2554
262847.0000,-0.1235,1.0269,0.3711,-3.6621,-76.5381,-56.2744
262848.0000,-0.0825,1.0298,0.3730,-5.1880,-85.6934,-62.5000
262849.0000,-0.0415,1.0312,0.3726,-7.0801,-95.5811,-69.3970
262850.0000,-0.0410,1.0122,0.3623,-8.7891,-102.2949,-73.3032
262851.0000,-0.0562,0.9985,0.3530,-9.6436,-109.1919,-76.8433
262852.0000,-0.0693,0.9917,0.3535,-9.3994,-118.7134,-81.6650
262853.0000,-0.0601,0.9961,0.3560,-8.7891,-125.6714,-85.3882
262854.0000,-0.0278,0.9985,0.3579,-8.1787,-131.6528,-89.1724
262855.0000,0.0278,0.9946,0.3623,-7.6904,-137.3291,-93.0176
262856.0000,0.0684,0.9829,0.3604,-7.3242,-139.4653,-94.4214
262857.0000,0.0991,0.9678,0.3564,-7.0801,-140.1978,-94.4214
262858.0000,0.1147,0.9575,0.3584,-6.7139,-139.4653,-92.9565
262859.0000,0.1187,0.9531,0.3574,-5.8594,-138.4277,-91.2476
262860.0000,0.1196,0.9473,0.3647,-5.1880,-137.2681,-89.4165
262861.0000,0.1289,0.9424,0.3687,-4.2114,-135.1929,-86.7920
262862.0000,0.1377,0.9390,0.3755,-3.2959,-132.7515,-84.8999
262863.0000,0.1426,0.9482,0.3823,-2.6855,-130.0659,-83.0688
262864.0000,0.1387,0.9551,0.3892,-2.3804,-125.5493,-81.2378
262865.0000,0.1362,0.9517,0.3916,-2.5024,-122.1924,-79.7119
262866.0000,0.1328,0.9316,0.3901,-2.8687,-118.7744,-78.1250
262867.0000,0.1348,0.9004,0.3838,-2.8076,-114.3188,-75.5615
262868.0000,0.1450,0.8911,0.3901,-2.3193,-110.9619,-72.8149
262869.0000,0.1641,0.8877,0.3901,-2.0752,-107.1777,-69.3970
262870.0000,0.1841,0.8667,0.3945,-2.8076,-101.8066,-63.3545
262871.0000,0.1948,0.8418,0.3926,-3.6011,-97.4731,-57.8613
262872.0000,0.2061,0.8027,0.3882,-4.0894,-92.8955,-51.7578
262873.0000,0.2012,0.7432,0.3774,-4.3335,-86.6699,-43.5791
262874.0000,0.1934,0.7007,0.3643,-3.8452,-82.3975,-37.8418
262875.0000,0.1880,0.6641,0.3584,-2.6245,-78.5522,-32.9590
262876.0000,0.2046,0.6577,0.3604,-0.7935,-73.6084,-27.8320
262877.0000,0.2231,0.6812,0.3711,0.6714,-69.0918,-25.5737
262878.0000,0.2158,0.6860,0.3711,1.2817,-63.4766,-24.4751
262879.0000,0.1812,0.6675,0.3564,0.5493,-56.8237,-24.1699
262880.0000,0.1426,0.6562,0.3525,0.1221,-53.1616,-24.4141
262881.0000,0.0977,0.6343,0.3447,0.1831,-50.5981,-25.1465
262882.0000,0.0420,0.6001,0.3208,0.0610,-49.7437,-25.9399
262883.0000,0.0371,0.5894,0.3184,0.4883,-51.3306,-25.5737
262884.0000,0.0820,0.5898,0.3174,0.9155,-52.9785,-24.2920
262885.0000,0.1636,0.5977,0.3218,1.0986,-51.6968,-20.6909
262886.0000,0.1851,0.6250,0.3213,-0.4272,-47.6685,-18.2495
262887.0000,0.1597,0.5864,0.3262,0.6714,-42.0532,-16.3574
262888.0000,0.0723,0.5776,0.3115,0.6104,-35.8887,-15.6860
262889.0000,0.0083,0.5630,0.2983,0.6104,-33.2642,-16.7847
262890.0000,-0.0488,0.5581,0.2900,2.1973,-32.5317,-17.5781
262891.0000,-0.0811,0.6255,0.3013,4.5166,-34.9121,-16.8457
262892.0000,-0.0356,0.7471,0.3447,6.9580,-37.9028,-15.3809
262893.0000,0.0405,0.8804,0.3975,7.9956,-39.4897,-14.2822
262894.0000,0.1279,0.9834,0.4414,5.3101,-37.2925,-13.1226
262895.0000,0.1523,1.0039,0.4453,1.7700,-32.5317,-13.7329
262896.0000,0.1177,0.9888,0.4448,-1.5259,-25.9399,-17.2729
262897.0000,-0.0039,0.9087,0.4331,-3.5400,-17.0288,-25.9399
262898.0000,-0.1138,0.8286,0.4116,-4.2114,-12.3291,-32.9590
262899.0000,-0.2002,0.7666,0.3892,-4.7607,-10.1929,-38.6353
262900.0000,-0.2700,0.7231,0.3818,-4.0894,-10.6812,-41.9312
262901.0000,-0.2891,0.7046,0.3853,-3.3569,-12.4512,-40.4663
262902.0000,-0.2837,0.7046,0.3818,-2.8076,-14.4653,-35.6445
262903.0000,-0.2651,0.7329,0.3911,-1.8311,-17.2119,-25.8789
262904.0000,-0.2598,0.7720,0.4092,-2.2583,-18.7378,-18.4937
262905.0000,-0.2637,0.8042,0.4263,-4.9438,-20.5078,-11.0474
262906.0000,-0.2637,0.8203,0.4351,-6.8359,-20.9351,-7.2632
262907.0000,-0.2627,0.8145,0.4512,-9.0942,-20.8740,-5.2490
262908.0000,-0.2656,0.8013,0.4585,-10.0098,-19.4702,-4.7607
262909.0000,-0.2622,0.7969,0.4624,-9.2773,-18.2495,-5.6152
262910.0000,-0.2632,0.7983,0.4600,-8.3008,-16.8457,-6.7139
262911.0000,-0.2832,0.7993,0.4653,-7.0801,-15.6250,-8.0566
262912.0000,-0.3018,0.8223,0.4736,-5.3101,-16.1133,-8.3008
262913.0000,-0.3105,0.8652,0.4976,-3.4180,-17.9443,-7.5073
262914.0000,-0.2852,0.9595,0.5337,-2.5635,-20.5078,-5.9814
262915.0000,-0.2559,1.0239,0.5620,-3.2959,-20.3857,-5.4932
262916.0000,-0.2642,1.0522,0.5811,-5.0049,-17.7002,-5.5542
262917.0000,-0.3081,1.0674,0.5933,-6.6528,-13.6719,-5.9204
262918.0000,-0.3564,1.0757,0.5923,-6.3477,-11.5967,-6.6528
262919.0000,-0.4141,1.0708,0.5845,-5.4321,-10.6201,-7.8125
262920.0000,-0.4907,1.0889,0.5830,-2.8076,-12.8174,-9.3994
262921.0000,-0.5151,1.1431,0.5981,-0.5493,-16.8457,-10.2539
262922.0000,-0.4897,1.1978,0.6177,0.2441,-21.6064,-10.4370
262923.0000,-0.3838,1.2295,0.6436,-1.8311,-25.1465,-9.3384
262924.0000,-0.3184,1.2212,0.6572,-4.0283,-23.7427,-7.0190
262925.0000,-0.2949,1.1895,0.6680,-5.8594,-20.0195,-3.4180
262926.0000,-0.3340,1.1113,0.6572,-7.2632,-14.9536,2.5635
262927.0000,-0.3657,1.0884,0.6548,-6.5308,-13.1226,6.6528
262928.0000,-0.3804,1.1040,0.6694,-4.7607,-12.0850,9.3994
262929.0000,-0.3853,1.1284,0.6787,-2.8076,-11.4136,10.7422
