timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
84226.0000,-0.2212,1.0269,0.1719,11.4746,-5.6152,1.9531
84227.0000,-0.2217,1.0298,0.1709,9.8267,-6.3477,1.9531
84228.0000,-0.2129,1.0391,0.1685,8.3008,-7.2021,1.4648
84229.0000,-0.2041,1.0386,0.1680,6.4087,-7.5073,0.8545
84230.0000,-0.1968,1.0366,0.1694,4.3335,-7.3853,-0.0610
84231.0000,-0.1841,1.0288,0.1694,2.1362,-6.7139,-0.5493
84232.0000,-0.1860,1.0156,0.1729,0.6104,-5.7983,-0.7324
84233.0000,-0.1948,0.9995,0.1733,-0.3662,-5.1270,-0.6714
84234.0000,-0.2051,0.9854,0.1758,-1.0376,-4.5776,-0.1831
84235.0000,-0.2036,0.9844,0.1782,-1.2207,-4.4556,0.0610
84236.0000,-0.1992,0.9873,0.1812,-1.5869,-4.2725,0.4883
84237.0000,-0.1899,0.9937,0.1812,-2.1362,-3.9062,0.8545
84238.0000,-0.1875,0.9976,0.1836,-2.8076,-3.3569,1.0376
84239.0000,-0.1851,1.0010,0.1865,-3.6011,-2.8076,0.9766
84240.0000,-0.1860,1.0005,0.1904,-4.6997,-2.0142,0.4883
84241.0000,-0.1860,0.9956,0.1919,-5.4321,-1.3428,0.3052
84242.0000,-0.1929,0.9829,0.1924,-6.1035,-0.7935,0.1221
84243.0000,-0.1982,0.9653,0.1895,-5.9814,-0.4272,0.1221
84244.0000,-0.2002,0.9619,0.1875,-5.4932,-0.2441,0.1831
84245.0000,-0.1953,0.9663,0.1948,-5.0049,-0.3052,0.3662
84246.0000,-0.1919,0.9766,0.1982,-4.6997,0.0000,0.4883
84247.0000,-0.1875,0.9829,0.2012,-4.8828,0.5493,0.4883
84248.0000,-0.1855,0.9819,0.2007,-5.0659,0.9766,0.1831
84249.0000,-0.1841,0.9819,0.1958,-5.1880,1.5869,-0.0610
84250.0000,-0.1851,0.9844,0.2036,-5.1880,2.0752,-0.3052
84251.0000,-0.1880,0.9844,0.2002,-5.5542,2.6245,-0.7324
84252.0000,-0.1880,0.9824,0.2056,-5.9204,3.1738,-1.0376
84253.0000,-0.1929,0.9707,0.2046,-6.0425,3.4790,-0.7935
84254.0000,-0.1997,0.9600,0.2041,-5.6763,3.5400,-0.4883
84255.0000,-0.2070,0.9561,0.2065,-5.0659,3.2349,0.1831
84256.0000,-0.2080,0.9556,0.2056,-4.3335,2.8687,0.4883
84257.0000,-0.2095,0.9648,0.2051,-3.5400,2.5024,0.9155
84258.0000,-0.2070,0.9771,0.2070,-3.1738,1.8921,0.6104
84259.0000,-0.2026,0.9844,0.2109,-3.2349,1.5259,0.3662
84260.0000,-0.1997,0.9863,0.2095,-3.6011,1.3428,0.1831
84261.0000,-0.1987,0.9863,0.2104,-3.9062,1.2817,-0.5493
84262.0000,-0.2002,0.9795,0.2114,-4.2725,1.4038,-1.0376
84263.0000,-0.2012,0.9746,0.2114,-4.3945,1.2817,-1.5259
84264.0000,-0.2036,0.9756,0.2129,-4.2114,1.0376,-1.5869
84265.0000,-0.1997,0.9780,0.2119,-4.1504,0.9766,-1.4038
84266.0000,-0.1963,0.9819,0.2173,-4.4556,0.9766,-1.1597
84267.0000,-0.1924,0.9868,0.2178,-4.9438,1.2817,-0.8545
84268.0000,-0.1904,0.9888,0.2168,-5.4932,1.6479,-0.5493
84269.0000,-0.1929,0.9907,0.2144,-5.9204,1.8921,-0.4883
84270.0000,-0.1987,0.9907,0.2134,-6.6528,2.3193,-0.3052
84271.0000,-0.2007,0.9888,0.2100,-7.2632,2.5635,-0.3052
84272.0000,-0.2007,0.9878,0.2163,-7.7515,2.6855,-0.1831
84273.0000,-0.2114,0.9868,0.2144,-8.0566,2.8687,-0.0610
84274.0000,-0.2163,0.9946,0.2168,-8.6060,2.7466,0.0000
84275.0000,-0.2246,1.0107,0.2114,-9.3994,2.2583,0.1221
84276.0000,-0.2334,1.0273,0.2100,-11.1694,1.2817,0.9155
84277.0000,-0.2427,1.0337,0.2051,-13.0005,0.0000,1.1597
84278.0000,-0.2402,1.0352,0.2031,-15.4419,-1.7090,1.1597
84279.0000,-0.2349,1.0298,0.2061,-17.3340,-2.8687,0.6104
84280.0000,-0.2290,1.0254,0.2080,-18.9819,-3.9062,0.3662
84281.0000,-0.2217,1.0146,0.2129,-20.7520,-4.7607,0.1831
84282.0000,-0.2183,1.0068,0.2197,-21.9727,-5.0049,0.3662
84283.0000,-0.2095,1.0010,0.2251,-22.8271,-5.2490,0.8545
84284.0000,-0.1968,0.9956,0.2354,-23.9258,-5.0049,1.5869
84285.0000,-0.1831,0.9912,0.2427,-24.5972,-4.3945,2.5024
84286.0000,-0.1758,0.9878,0.2437,-25.3906,-3.4180,3.4790
84287.0000,-0.1704,0.9829,0.2524,-26.1841,-2.0142,4.7607
84288.0000,-0.1675,0.9751,0.2568,-26.4893,-0.7935,5.6763
84289.0000,-0.1650,0.9692,0.2632,-26.7944,0.4272,6.4087
84290.0000,-0.1670,0.9707,0.2646,-26.7944,1.9531,7.3242
84291.0000,-0.1792,0.9805,0.2651,-26.7944,2.9907,7.6294
84292.0000,-0.2041,0.9927,0.2666,-27.1606,3.4180,7.3242
84293.0000,-0.2476,1.0117,0.2651,-28.3203,2.3193,6.2866
84294.0000,-0.2783,1.0171,0.2720,-29.9072,0.0000,5.0049
84295.0000,-0.2842,1.0137,0.2720,-31.9214,-3.2959,3.2959
84296.0000,-0.2500,1.0073,0.2808,-34.1187,-7.6904,0.9155
84297.0000,-0.2070,1.0063,0.2925,-35.5225,-9.2773,-0.4272
84298.0000,-0.1782,1.0063,0.3047,-37.1094,-9.6436,-1.7090
84299.0000,-0.1567,0.9966,0.3145,-39.0625,-8.7891,-2.8076
84300.0000,-0.1553,0.9858,0.3193,-40.5884,-7.6294,-3.7231
84301.0000,-0.1582,0.9805,0.3237,-41.5649,-6.3477,-4.5166
84302.0000,-0.1611,0.9746,0.3276,-42.7246,-4.8828,-5.1880
84303.0000,-0.1724,0.9722,0.3301,-43.5181,-4.2114,-5.4321
84304.0000,-0.1763,0.9653,0.3340,-44.3115,-3.7842,-5.9204
84305.0000,-0.1807,0.9639,0.3457,-45.1660,-3.5400,-6.5308
84306.0000,-0.1807,0.9668,0.3530,-45.7153,-3.4790,-7.0190
84307.0000,-0.1807,0.9736,0.3564,-46.6309,-3.6011,-7.6294
84308.0000,-0.1758,0.9663,0.3618,-48.0347,-3.5400,-8.9111
84309.0000,-0.1724,0.9546,0.3701,-49.0723,-3.4180,-9.7046
84310.0000,-0.1675,0.9448,0.3784,-49.6216,-2.9297,-10.0098
84311.0000,-0.1572,0.9331,0.3940,-50.1099,-2.0142,-10.0708
84312.0000,-0.1533,0.9248,0.4058,-50.2319,-0.8545,-9.7656
84313.0000,-0.1562,0.9106,0.4072,-50.2319,0.4272,-9.4604
84314.0000,-0.1699,0.8921,0.4048,-49.8657,1.8311,-9.2163
84315.0000,-0.1675,0.8940,0.4097,-48.9502,2.6245,-9.7656
84316.0000,-0.1587,0.9106,0.4204,-48.1567,3.7231,-10.5591
84317.0000,-0.1426,0.9438,0.4424,-48.5229,6.2866,-12.2070
84318.0000,-0.1353,0.9609,0.4585,-49.6216,8.7280,-13.1836
84319.0000,-0.1372,0.9692,0.4702,-51.7578,11.6577,-14.3433
84320.0000,-0.1558,0.9614,0.4771,-54.9927,15.0146,-15.8691
84321.0000,-0.1704,0.9399,0.4805,-57.1289,16.9067,-16.6626
84322.0000,-0.1885,0.9097,0.4834,-58.8989,18.2495,-16.6626
84323.0000,-0.2139,0.8638,0.4883,-59.8145,18.8599,-15.3809
84324.0000,-0.2368,0.8389,0.4946,-59.2651,18.5547,-13.1226
84325.0000,-0.2588,0.8286,0.5049,-58.2886,17.4561,-10.6201
84326.0000,-0.2729,0.8433,0.5259,-56.9458,15.2588,-6.8970
84327.0000,-0.2710,0.8467,0.5391,-56.6406,13.4888,-4.7607
84328.0000,-0.2656,0.8398,0.5469,-56.7627,12.0239,-2.7466
84329.0000,-0.2534,0.8271,0.5625,-56.3965,10.8032,-0.7935
84330.0000,-0.2524,0.8271,0.5713,-55.7251,10.3760,0.2441
84331.0000,-0.2617,0.8252,0.5752,-54.9316,10.0708,0.9766
84332.0000,-0.2705,0.8125,0.5835,-54.1992,9.0942,1.5259
84333.0000,-0.2695,0.8130,0.5874,-53.4058,8.2397,1.8311
84334.0000,-0.2690,0.8125,0.5933,-52.7344,7.3242,1.4648
84335.0000,-0.2651,0.8159,0.5996,-52.1851,6.0425,1.1597
84336.0000,-0.2642,0.8237,0.6055,-51.9409,5.1880,1.1597
84337.0000,-0.2593,0.8301,0.6187,-52.3071,4.3945,1.1597
84338.0000,-0.2471,0.8389,0.6289,-53.2837,3.6011,1.2207
84339.0000,-0.2363,0.8345,0.6353,-54.3823,3.5400,1.3428
84340.0000,-0.2275,0.8184,0.6401,-55.4199,3.9673,1.4648
84341.0000,-0.2295,0.7847,0.6406,-56.1523,5.0049,1.5259
84342.0000,-0.2393,0.7695,0.6455,-56.0913,5.5542,1.8921
84343.0000,-0.2563,0.7695,0.6484,-55.7251,5.7983,2.3193
84344.0000,-0.2729,0.7754,0.6616,-55.2368,4.8218,2.8687
84345.0000,-0.2739,0.7759,0.6704,-55.3589,3.3569,3.2959
84346.0000,-0.2681,0.7812,0.6807,-55.7251,1.8311,3.4180
84347.0000,-0.2471,0.7720,0.6973,-56.6406,0.7935,3.5400
84348.0000,-0.2329,0.7573,0.7134,-57.0679,0.9155,3.4180
84349.0000,-0.2222,0.7373,0.7168,-57.1899,1.5869,3.3569
84350.0000,-0.2173,0.7139,0.7236,-56.8237,2.9907,3.5400
84351.0000,-0.2197,0.7031,0.7295,-56.0303,4.2725,3.7842
84352.0000,-0.2334,0.7007,0.7349,-54.9927,5.1880,4.2114
84353.0000,-0.2554,0.7036,0.7437,-54.0771,4.9438,5.0049
84354.0000,-0.2686,0.7090,0.7520,-53.3447,4.1504,5.3711
84355.0000,-0.2734,0.7119,0.7593,-53.0396,2.8687,5.5542
84356.0000,-0.2720,0.7017,0.7695,-52.6733,1.0986,5.3711
84357.0000,-0.2573,0.6787,0.7808,-52.2461,0.0610,5.2490
84358.0000,-0.2451,0.6587,0.7852,-51.2695,-0.4272,5.2490
84359.0000,-0.2358,0.6499,0.7891,-49.6826,-0.6104,5.6152
84360.0000,-0.2451,0.6519,0.7949,-48.4619,-0.7935,6.1035
84361.0000,-0.2695,0.6587,0.7979,-47.4854,-1.7090,6.6528
84362.0000,-0.3086,0.6567,0.7964,-46.4478,-4.2725,6.5918
84363.0000,-0.3242,0.6533,0.8071,-45.7153,-7.4463,6.0425
84364.0000,-0.3198,0.6494,0.8145,-45.1050,-10.9863,5.4932
84365.0000,-0.2788,0.6328,0.8237,-44.3115,-15.0146,4.6997
84366.0000,-0.2432,0.6221,0.8286,-43.4570,-16.6626,4.6387
84367.0000,-0.2148,0.6206,0.8345,-42.3584,-17.2729,5.1880
84368.0000,-0.1953,0.6265,0.8413,-41.3818,-16.4795,6.2866
84369.0000,-0.1963,0.6357,0.8447,-41.0767,-15.5029,7.0190
84370.0000,-0.1982,0.6333,0.8457,-41.0767,-14.9536,7.6294
84371.0000,-0.2183,0.6255,0.8521,-41.0767,-14.8926,7.9956
84372.0000,-0.2314,0.6221,0.8555,-41.1377,-15.3198,7.8735
84373.0000,-0.2373,0.6221,0.8550,-41.1987,-16.4795,7.3242
84374.0000,-0.2192,0.6123,0.8613,-41.3208,-18.4937,6.6528
