timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
107273.0000,-0.1890,0.9243,0.4497,0.0610,0.6104,0.1221
107274.0000,-0.1831,0.9253,0.4492,0.0610,0.4883,0.4272
107275.0000,-0.1802,0.9243,0.4468,0.1831,0.4272,0.4272
107276.0000,-0.1729,0.9219,0.4492,0.1831,0.7324,0.6104
107277.0000,-0.1670,0.9194,0.4492,0.3662,1.0986,0.7935
107278.0000,-0.1665,0.9189,0.4478,0.6104,1.7090,1.1597
107279.0000,-0.1724,0.9209,0.4497,0.9155,2.3193,1.4648
107280.0000,-0.1782,0.9219,0.4443,0.9766,2.5635,1.7090
107281.0000,-0.1851,0.9248,0.4448,0.9155,2.6245,1.7700
107282.0000,-0.1968,0.9312,0.4429,0.8545,2.3193,2.1362
107283.0000,-0.2002,0.9346,0.4429,0.6714,1.7700,2.4414
107284.0000,-0.2007,0.9380,0.4448,0.4272,1.0986,2.4414
107285.0000,-0.1997,0.9346,0.4463,0.0610,0.3662,2.3193
107286.0000,-0.1919,0.9316,0.4482,0.0000,-0.1831,2.1973
107287.0000,-0.1831,0.9297,0.4507,0.0000,-0.4883,1.9531
107288.0000,-0.1753,0.9214,0.4507,-0.1831,-0.6104,2.1362
107289.0000,-0.1709,0.9141,0.4487,0.0000,-0.5493,2.0142
107290.0000,-0.1724,0.9146,0.4531,0.4883,-0.4883,1.6479
107291.0000,-0.1694,0.9243,0.4585,1.0376,-0.4272,0.6104
107292.0000,-0.1646,0.9116,0.4580,0.7935,-0.2441,-0.0610
107293.0000,-0.1519,0.9067,0.4702,0.9766,0.0610,-0.4272
107294.0000,-0.1240,0.9033,0.4990,1.5869,1.1597,-1.0986
107295.0000,-0.1099,0.8618,0.5098,2.0752,2.9297,-1.5869
107296.0000,-0.1035,0.7935,0.5195,3.6621,5.1270,-1.8311
107297.0000,-0.1230,0.6738,0.5166,10.6201,8.0566,-1.4648
107298.0000,-0.1499,0.5991,0.5098,19.5312,9.3384,-1.0376
107299.0000,-0.1797,0.5723,0.5112,30.8838,9.7046,-0.7324
107300.0000,-0.2173,0.5933,0.5049,46.7529,8.6060,-1.0376
107301.0000,-0.2358,0.6230,0.5005,57.2510,6.4697,-1.2817
107302.0000,-0.2407,0.6333,0.4917,66.7114,3.5400,-2.0142
107303.0000,-0.2090,0.6343,0.4663,78.4912,0.1831,-3.8452
107304.0000,-0.1748,0.6514,0.4443,87.2192,-0.9155,-5.4932
107305.0000,-0.1504,0.6802,0.4248,95.2759,-0.6714,-7.5073
107306.0000,-0.1543,0.6982,0.4004,104.5532,0.4883,-11.1694
107307.0000,-0.1733,0.6943,0.3691,111.1450,1.0376,-14.3433
107308.0000,-0.1904,0.6812,0.3281,117.8589,1.0376,-18.2495
107309.0000,-0.2104,0.6826,0.2744,127.1362,0.3662,-23.6206
107310.0000,-0.2134,0.7109,0.2402,133.6670,-0.5493,-27.4658
107311.0000,-0.2192,0.7354,0.2104,139.0381,-1.0986,-30.4565
107312.0000,-0.2583,0.7368,0.1763,144.5312,-1.7090,-32.2266
107313.0000,-0.3252,0.7104,0.1411,148.1323,-3.1128,-31.8604
107314.0000,-0.3843,0.7012,0.0908,153.0762,-6.4697,-28.9307
107315.0000,-0.4194,0.7954,0.0073,158.4473,-14.0991,-22.5830
107316.0000,-0.3647,0.8945,-0.0176,159.6680,-21.2402,-16.4795
107317.0000,-0.2910,1.0430,-0.0557,161.1328,-25.1465,-10.1318
107318.0000,-0.2212,1.2642,-0.1084,153.0762,-27.0386,-3.7842
107319.0000,-0.1958,1.3872,-0.1313,139.4653,-27.5879,-1.7700
107320.0000,-0.1821,1.4370,-0.1675,124.8169,-26.8555,-2.8076
107321.0000,-0.1709,1.4233,-0.2456,105.0415,-23.9258,-6.1646
107322.0000,-0.1406,1.4146,-0.3052,92.5293,-20.8130,-8.3618
107323.0000,-0.1250,1.4458,-0.3442,78.1860,-16.8457,-10.1318
107324.0000,-0.1250,1.5107,-0.3496,59.5093,-9.7046,-11.7188
107325.0000,-0.1406,1.5527,-0.3232,44.4336,-4.1504,-11.7188
107326.0000,-0.1548,1.5498,-0.3022,29.2358,1.5259,-10.8643
107327.0000,-0.2144,1.5039,-0.2905,7.5073,7.8125,-9.3994
107328.0000,-0.2739,1.4272,-0.2739,-7.8735,10.4370,-8.4839
107329.0000,-0.3423,1.3516,-0.2515,-20.3857,10.9863,-7.5684
107330.0000,-0.3989,1.2495,-0.2163,-32.8369,8.4839,-6.1035
107331.0000,-0.4048,1.1997,-0.1831,-39.7339,5.1880,-5.0049
107332.0000,-0.3848,1.1689,-0.1504,-45.9595,1.8311,-3.4790
107333.0000,-0.3354,1.1528,-0.1274,-52.1851,-0.9155,0.3662
107334.0000,-0.3188,1.1270,-0.1113,-56.4575,-1.4648,3.6621
107335.0000,-0.3257,1.1177,-0.0977,-59.9976,-2.2583,6.7139
107336.0000,-0.3428,1.1084,-0.0752,-66.1011,-4.6387,8.9111
107337.0000,-0.3340,1.1021,-0.0649,-70.6177,-6.6528,9.7656
107338.0000,-0.3057,1.0757,-0.0498,-76.6602,-9.0332,10.0708
107339.0000,-0.2803,1.0630,-0.0405,-80.4443,-10.1318,10.1929
107340.0000,-0.2515,1.0459,-0.0220,-83.6182,-10.3760,10.3149
107341.0000,-0.2310,1.0283,0.0132,-87.7075,-9.5215,10.1318
107342.0000,-0.2241,1.0156,0.0259,-90.2100,-8.3618,10.0098
107343.0000,-0.2144,1.0195,0.0366,-92.6514,-7.0801,10.3149
107344.0000,-0.1992,1.0371,0.0566,-96.0083,-5.4321,11.8408
107345.0000,-0.1851,1.0430,0.0801,-98.3276,-4.1504,13.1226
