timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
3293.0000,-0.1567,0.9272,0.4805,3.9673,0.4272,-5.9814
3294.0000,-0.1602,0.9243,0.4824,3.7231,0.7935,-5.7373
3295.0000,-0.1621,0.9258,0.4805,3.2959,1.0376,-5.7373
3296.0000,-0.1597,0.9233,0.4795,3.0518,1.3428,-6.1035
3297.0000,-0.1616,0.9268,0.4775,2.7466,1.8311,-6.5918
3298.0000,-0.1631,0.9272,0.4785,2.3804,2.4414,-6.8359
3299.0000,-0.1704,0.9272,0.4717,2.0142,2.8687,-6.8970
3300.0000,-0.1807,0.9341,0.4775,1.4038,2.9907,-6.3477
3301.0000,-0.1899,0.9351,0.4756,1.1597,2.8687,-5.4321
3302.0000,-0.1943,0.9282,0.4756,0.6104,2.3804,-4.3335
3303.0000,-0.1953,0.9248,0.4756,0.3052,1.6479,-3.0518
3304.0000,-0.1914,0.9253,0.4761,0.1831,1.2817,-2.1362
3305.0000,-0.1875,0.9292,0.4771,0.1221,0.9155,-1.6479
3306.0000,-0.1782,0.9292,0.4800,0.0000,0.8545,-1.2817
3307.0000,-0.1719,0.9277,0.4775,-0.1221,0.9155,-1.1597
3308.0000,-0.1665,0.9287,0.4746,-0.3662,1.2207,-1.1597
3309.0000,-0.1650,0.9224,0.4751,-0.6714,1.8921,-1.2817
3310.0000,-0.1631,0.9224,0.4800,-0.8545,2.3804,-1.6479
3311.0000,-0.1626,0.9180,0.4790,-0.8545,2.7466,-1.7700
3312.0000,-0.1714,0.9194,0.4790,-0.9766,3.1738,-1.5869
3313.0000,-0.1724,0.9185,0.4844,-0.9766,3.1738,-1.2207
3314.0000,-0.1724,0.9141,0.4839,-0.8545,3.0518,-0.6714
3315.0000,-0.1733,0.9058,0.4805,-0.1221,2.9297,-0.2441
3316.0000,-0.1733,0.9082,0.4790,0.3052,2.8687,-0.3052
3317.0000,-0.1709,0.9150,0.4766,0.9155,2.9297,-0.6104
3318.0000,-0.1665,0.9209,0.4761,0.9766,3.0518,-1.0376
3319.0000,-0.1641,0.9258,0.4756,0.7324,3.4180,-1.5259
3320.0000,-0.1641,0.9287,0.4761,0.4272,3.7231,-1.8311
