timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
28805.0000,-0.1665,0.9492,0.3765,-0.0610,-1.5869,-3.5400
28806.0000,-0.1704,0.9600,0.3833,0.1831,-1.6479,-3.4180
28807.0000,-0.1709,0.9648,0.3818,-0.0610,-1.7090,-3.1738
28808.0000,-0.1704,0.9624,0.3774,-0.4883,-2.0752,-2.6855
28809.0000,-0.1714,0.9507,0.3784,-0.7324,-2.3804,-2.2583
28810.0000,-0.1724,0.9487,0.3813,-0.6104,-2.3804,-2.1973
28811.0000,-0.1719,0.9512,0.3823,-0.4272,-2.5635,-2.1362
28812.0000,-0.1675,0.9521,0.3809,-0.1221,-2.7466,-2.5024
28813.0000,-0.1636,0.9536,0.3823,0.0000,-2.7466,-2.7466
28814.0000,-0.1597,0.9556,0.3813,0.0610,-2.7466,-2.6855
28815.0000,-0.1606,0.9575,0.3804,-0.1221,-2.5024,-2.6855
28816.0000,-0.1602,0.9590,0.3804,-0.3052,-2.1973,-2.8687
28817.0000,-0.1621,0.9570,0.3828,-0.4883,-1.8311,-2.9907
28818.0000,-0.1641,0.9570,0.3809,-0.7324,-1.5869,-3.0518
28819.0000,-0.1626,0.9531,0.3809,-0.9155,-1.2817,-3.0518
28820.0000,-0.1660,0.9541,0.3838,-1.0376,-1.2207,-2.9297
28821.0000,-0.1685,0.9521,0.3843,-1.0986,-1.0376,-2.6855
28822.0000,-0.1694,0.9497,0.3872,-0.9155,-1.0986,-2.3804
28823.0000,-0.1704,0.9507,0.3867,-0.9155,-1.0986,-2.3804
28824.0000,-0.1685,0.9507,0.3877,-0.7935,-1.0986,-2.3193
28825.0000,-0.1670,0.9478,0.3867,-0.7935,-1.1597,-2.1973
28826.0000,-0.1636,0.9497,0.3848,-0.6714,-0.9766,-2.1362
28827.0000,-0.1655,0.9482,0.3838,-0.5493,-0.7935,-2.3193
28828.0000,-0.1660,0.9507,0.3848,-0.4272,-0.7935,-2.5635
