timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
39797.0000,0.0264,0.9233,0.5034,-2.6245,5.5542,-19.4702
39798.0000,0.0308,0.9219,0.5044,-2.5635,5.1880,-18.0664
39799.0000,0.0264,0.9268,0.5098,-2.2583,4.8828,-16.4795
39800.0000,0.0259,0.9365,0.5146,-2.0142,4.6387,-15.5640
39801.0000,0.0303,0.9341,0.5190,-1.8921,4.5776,-14.4653
39802.0000,0.0322,0.9180,0.5122,-1.5869,4.4556,-13.9160
39803.0000,0.0317,0.9141,0.5127,-0.9155,4.8218,-13.9771
39804.0000,0.0234,0.9185,0.5098,-0.2441,5.0049,-14.0991
39805.0000,0.0229,0.9263,0.5127,0.3662,4.9438,-13.9771
39806.0000,0.0234,0.9253,0.5117,0.7324,5.0659,-14.0991
39807.0000,0.0220,0.9292,0.5088,0.9766,5.1880,-14.2212
39808.0000,0.0166,0.9326,0.5107,1.2207,5.4321,-14.2822
39809.0000,0.0127,0.9385,0.5103,1.0986,5.4321,-13.9771
39810.0000,0.0107,0.9351,0.5107,1.4648,5.3101,-13.3057
39811.0000,0.0137,0.9224,0.5107,1.6479,4.9438,-12.3901
39812.0000,0.0122,0.9224,0.5063,1.6479,4.8218,-11.9629
39813.0000,0.0093,0.9282,0.5083,1.9531,4.8828,-11.5967
39814.0000,0.0083,0.9380,0.5093,1.9531,4.5166,-11.2915
39815.0000,0.0073,0.9438,0.5107,1.9531,4.5166,-11.1694
39816.0000,0.0078,0.9414,0.5073,1.7090,4.5166,-11.1084
39817.0000,0.0024,0.9414,0.5029,1.5259,4.5776,-11.6577
39818.0000,-0.0039,0.9434,0.5059,1.5259,4.6997,-11.9019
39819.0000,-0.0103,0.9380,0.5034,1.4648,4.6387,-12.2070
39820.0000,-0.0117,0.9219,0.4985,1.5259,4.4556,-12.0850
39821.0000,-0.0107,0.9199,0.4922,1.6479,4.1504,-11.8408
39822.0000,-0.0112,0.9268,0.4927,1.9531,4.0283,-11.3525
39823.0000,-0.0156,0.9390,0.4927,1.8311,3.7231,-10.0708
39824.0000,-0.0137,0.9399,0.4922,1.8311,3.2959,-9.0942
39825.0000,-0.0137,0.9390,0.4902,1.5869,3.0518,-8.0566
39826.0000,-0.0137,0.9443,0.4941,1.4648,2.6855,-6.9580
39827.0000,-0.0142,0.9463,0.4937,1.1597,2.5024,-6.4697
39828.0000,-0.0127,0.9463,0.4976,0.7935,2.3804,-5.8594
39829.0000,-0.0112,0.9419,0.4990,0.3662,2.3193,-5.3101
39830.0000,-0.0107,0.9399,0.4951,0.2441,2.2583,-4.8828
39831.0000,-0.0093,0.9336,0.4932,0.1221,2.1973,-4.7607
39832.0000,-0.0103,0.9297,0.4937,0.3662,2.5024,-4.8218
39833.0000,-0.0117,0.9341,0.4971,0.4883,2.6855,-4.8828
39834.0000,-0.0142,0.9395,0.4971,0.5493,2.8076,-4.6387
39835.0000,-0.0186,0.9395,0.4912,0.4272,3.0518,-4.4556
39836.0000,-0.0195,0.9409,0.4946,0.0610,3.2959,-4.3945
39837.0000,-0.0229,0.9448,0.4922,0.3662,3.4790,-4.3335
39838.0000,-0.0244,0.9438,0.4951,-0.1221,3.5400,-3.8452
39839.0000,-0.0225,0.9414,0.4971,-0.4272,3.6621,-3.2349
39840.0000,-0.0220,0.9409,0.4966,-0.7324,3.6011,-2.6855
39841.0000,-0.0210,0.9385,0.4971,-1.0376,3.7231,-2.1973
39842.0000,-0.0229,0.9409,0.4980,-1.0986,3.9673,-1.7090
39843.0000,-0.0220,0.9409,0.4976,-1.2817,4.2725,-1.4038
39844.0000,-0.0259,0.9380,0.5005,-1.4038,4.3945,-0.7935
39845.0000,-0.0283,0.9341,0.4961,-1.2817,4.5776,-0.2441
39846.0000,-0.0317,0.9297,0.4971,-1.2207,4.6387,0.2441
39847.0000,-0.0327,0.9302,0.4985,-1.1597,4.5776,1.0376
39848.0000,-0.0342,0.9297,0.5020,-1.2207,4.3335,1.6479
39849.0000,-0.0347,0.9263,0.5000,-1.2207,4.0283,2.2583
39850.0000,-0.0347,0.9268,0.5029,-1.0986,3.6011,2.8076
39851.0000,-0.0337,0.9321,0.5054,-0.8545,3.4790,3.3569
39852.0000,-0.0322,0.9385,0.5054,-0.8545,3.0518,3.7842
39853.0000,-0.0312,0.9404,0.5049,-0.9155,2.8076,3.7842
39854.0000,-0.0298,0.9375,0.5083,-0.8545,2.5635,4.0894
39855.0000,-0.0337,0.9287,0.5020,-0.3662,2.0752,4.5776
39856.0000,-0.0317,0.9243,0.5010,-0.2441,1.5869,5.0049
39857.0000,-0.0342,0.9297,0.4966,0.3052,1.2207,5.3101
39858.0000,-0.0327,0.9365,0.4980,0.6714,0.6104,5.5542
39859.0000,-0.0288,0.9434,0.5015,0.6104,0.1221,5.6152
39860.0000,-0.0249,0.9463,0.4985,0.4883,-0.2441,5.7983
39861.0000,-0.0269,0.9434,0.4946,0.1831,-0.4272,6.4087
39862.0000,-0.0312,0.9370,0.4937,-0.3052,-0.4883,7.4463
39863.0000,-0.0342,0.9355,0.4961,-0.5493,-0.6104,8.5449
39864.0000,-0.0498,0.9336,0.4946,-0.9155,-0.9155,10.9863
39865.0000,-0.0566,0.9355,0.4951,-1.0376,-1.4038,14.4653
39866.0000,-0.0586,0.9326,0.4951,-1.2207,-2.3193,19.4702
39867.0000,-0.0654,0.9194,0.4956,-1.4648,-3.5400,27.5269
39868.0000,-0.0796,0.9141,0.4956,-1.2207,-4.5166,35.2783
39869.0000,-0.1030,0.8979,0.5059,-1.0376,-6.2256,45.4712
39870.0000,-0.1406,0.8545,0.4990,-0.3662,-9.5825,65.0635
39871.0000,-0.1777,0.8223,0.4868,0.5493,-13.1226,84.4116
39872.0000,-0.2124,0.7944,0.4839,2.3193,-17.7002,106.5674
39873.0000,-0.2607,0.7632,0.4834,5.2490,-25.6958,140.5640
39874.0000,-0.2529,0.7529,0.4839,7.0801,-33.3252,167.1143
39875.0000,-0.1924,0.7754,0.4683,8.1787,-41.1377,190.3687
39876.0000,-0.0825,0.8091,0.4614,8.2397,-49.4995,212.3413
39877.0000,-0.0166,0.8198,0.4668,7.3242,-52.9785,224.3042
39878.0000,0.0322,0.7900,0.4609,5.4932,-55.1147,234.5581
39879.0000,0.0645,0.7295,0.4336,2.6245,-58.2275,248.2300
39880.0000,0.1157,0.6953,0.4189,0.6714,-61.2793,258.6060
39881.0000,0.2012,0.6948,0.4346,-0.6714,-63.4155,266.1133
39882.0000,0.3374,0.7373,0.4707,-2.3193,-62.6831,264.7705
39883.0000,0.4175,0.7632,0.4805,-4.3335,-59.6924,252.9297
39884.0000,0.4785,0.7930,0.4756,-6.2256,-55.6641,233.7646
39885.0000,0.5938,0.8179,0.5054,-6.6528,-51.3916,200.0732
39886.0000,0.6831,0.8105,0.5420,-4.8218,-47.9736,172.1191
39887.0000,0.7231,0.7930,0.5527,-1.8311,-44.6777,147.3389
39888.0000,0.7705,0.7852,0.5327,2.7466,-42.9688,127.1973
39889.0000,0.8320,0.7803,0.5044,5.7373,-42.2363,121.0327
39890.0000,0.8799,0.7705,0.4854,7.4463,-39.7339,118.4082
39891.0000,0.8931,0.7656,0.4619,8.1177,-35.9497,112.9150
39892.0000,0.8901,0.7637,0.4419,7.2632,-34.4238,104.9805
39893.0000,0.9092,0.7524,0.4312,5.3101,-33.9355,94.1772
39894.0000,0.9365,0.7168,0.4141,2.5024,-31.3721,79.7729
39895.0000,0.9507,0.6885,0.3945,0.6104,-28.6865,70.8008
39896.0000,0.9580,0.6660,0.3823,-0.9766,-25.7568,62.8052
39897.0000,0.9668,0.6387,0.3735,-2.3804,-23.2544,51.8799
39898.0000,0.9634,0.6245,0.3706,-3.1128,-21.4844,44.0674
39899.0000,0.9609,0.6177,0.3716,-3.7842,-20.0806,35.8276
39900.0000,0.9492,0.6099,0.3770,-4.5166,-18.0664,26.0010
39901.0000,0.9395,0.6045,0.3740,-4.8218,-16.2964,20.0195
39902.0000,0.9292,0.5996,0.3726,-5.1880,-13.9771,14.6484
39903.0000,0.8970,0.5967,0.3804,-4.5776,-11.2305,7.0190
39904.0000,0.8613,0.5962,0.3789,-3.7231,-10.0708,1.8311
39905.0000,0.8389,0.5986,0.3755,-3.2959,-9.7046,-2.0142
39906.0000,0.8379,0.6030,0.3799,-2.3193,-9.2773,-6.1646
39907.0000,0.8413,0.6099,0.3745,-1.6479,-8.2397,-8.4839
39908.0000,0.8408,0.6196,0.3740,-1.0986,-6.3477,-10.3149
39909.0000,0.8354,0.6343,0.3750,-1.0376,-3.2959,-12.0239
39910.0000,0.8247,0.6392,0.3794,-1.2207,-0.8545,-12.4512
39911.0000,0.8027,0.6406,0.3838,-1.2817,1.0986,-12.2070
39912.0000,0.7759,0.6372,0.3872,-1.0376,2.4414,-11.1694
39913.0000,0.7534,0.6382,0.3877,-0.3662,2.6855,-10.6201
39914.0000,0.7432,0.6440,0.3979,0.0610,2.1362,-10.0708
39915.0000,0.7432,0.6611,0.3940,0.7324,1.0376,-10.0098
39916.0000,0.7471,0.6709,0.3921,1.0986,0.6104,-9.9487
39917.0000,0.7539,0.6758,0.3892,1.4648,0.6714,-10.1318
39918.0000,0.7544,0.6753,0.3853,1.5869,0.9766,-9.9487
