timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
84235.0000,-0.2935,0.9146,0.3657,4.3335,-2.6245,-1.8311
84236.0000,-0.2974,0.9263,0.3623,4.9438,-2.9297,-2.1362
84237.0000,-0.3018,0.9312,0.3628,5.1270,-3.5400,-2.0142
84238.0000,-0.2998,0.9395,0.3569,5.1270,-4.3335,-1.7700
84239.0000,-0.2959,0.9429,0.3613,4.8218,-4.6387,-1.3428
84240.0000,-0.2974,0.9424,0.3589,4.3945,-5.0049,-0.6714
84241.0000,-0.2930,0.9424,0.3584,3.8452,-5.7983,0.0000
84242.0000,-0.2861,0.9395,0.3560,3.4180,-6.3477,0.4883
84243.0000,-0.2856,0.9360,0.3569,3.1738,-6.5308,0.7324
84244.0000,-0.2788,0.9326,0.3540,2.9297,-6.8970,0.8545
84245.0000,-0.2734,0.9336,0.3560,2.8076,-6.7749,0.6104
84246.0000,-0.2676,0.9341,0.3569,2.6855,-6.6528,0.3052
84247.0000,-0.2666,0.9404,0.3516,2.1973,-6.1646,-0.2441
84248.0000,-0.2661,0.9429,0.3555,1.7090,-5.9204,-0.4883
84249.0000,-0.2632,0.9448,0.3530,1.0376,-5.4932,-0.7935
84250.0000,-0.2627,0.9463,0.3506,0.1221,-5.0659,-1.0376
84251.0000,-0.2617,0.9468,0.3496,-0.4272,-4.6387,-1.0986
84252.0000,-0.2583,0.9507,0.3545,-1.2207,-4.3335,-0.9766
84253.0000,-0.2534,0.9546,0.3540,-2.0752,-3.6621,-0.8545
84254.0000,-0.2539,0.9482,0.3555,-2.9907,-3.1738,-0.6714
84255.0000,-0.2505,0.9370,0.3545,-3.5400,-2.6245,-0.6104
84256.0000,-0.2505,0.9238,0.3560,-3.7231,-1.7090,-0.7324
84257.0000,-0.2534,0.9204,0.3584,-3.6621,-0.7324,-1.1597
84258.0000,-0.2588,0.9224,0.3599,-3.3569,0.0000,-1.4648
84259.0000,-0.2627,0.9199,0.3647,-2.8076,0.4272,-1.6479
84260.0000,-0.2642,0.9238,0.3647,-2.5024,0.9155,-1.7700
84261.0000,-0.2661,0.9287,0.3623,-2.1362,1.3428,-1.5869
84262.0000,-0.2681,0.9360,0.3618,-1.9531,1.7090,-0.9766
84263.0000,-0.2690,0.9297,0.3647,-2.0752,1.5869,-0.6714
84264.0000,-0.2661,0.9341,0.3608,-2.1362,1.8311,-0.1221
84265.0000,-0.2710,0.9287,0.3647,-2.6855,1.8311,0.0610
84266.0000,-0.2646,0.9229,0.3647,-2.1362,1.8311,0.2441
84267.0000,-0.2603,0.9204,0.3647,-1.5869,2.1973,0.4272
84268.0000,-0.2734,0.9180,0.3672,-1.2817,2.5635,0.0610
84269.0000,-0.2778,0.9185,0.3628,-0.6714,2.4414,-0.3662
84270.0000,-0.2808,0.9224,0.3652,-0.3662,2.0752,-0.6714
84271.0000,-0.2793,0.9219,0.3687,0.0000,1.5259,-0.8545
84272.0000,-0.2764,0.9224,0.3657,0.2441,1.4648,-0.6104
84273.0000,-0.2793,0.9282,0.3657,0.3052,1.2207,-0.5493
84274.0000,-0.2812,0.9307,0.3662,0.3052,0.6104,-0.3662
84275.0000,-0.2769,0.9316,0.3652,0.1221,0.1831,-0.3662
84276.0000,-0.2729,0.9346,0.3691,0.1221,-0.0610,-0.4883
84277.0000,-0.2690,0.9292,0.3652,0.1221,-0.3052,-0.4883
84278.0000,-0.2666,0.9282,0.3608,0.0610,-0.3052,-0.6714
84279.0000,-0.2700,0.9277,0.3623,-0.1221,-0.3662,-1.4038
84280.0000,-0.2686,0.9282,0.3604,0.3052,-0.5493,-1.7700
84281.0000,-0.2676,0.9233,0.3613,-0.1221,-0.2441,-2.1362
84282.0000,-0.2715,0.9292,0.3594,0.1831,0.1221,-2.5635
84283.0000,-0.2749,0.9331,0.3599,-0.1831,0.2441,-2.4414
84284.0000,-0.2773,0.9316,0.3618,-0.4883,-0.1221,-2.1362
84285.0000,-0.2749,0.9336,0.3662,-0.6104,-0.2441,-1.7700
84286.0000,-0.2700,0.9355,0.3643,-0.8545,-0.2441,-1.2817
84287.0000,-0.2695,0.9355,0.3652,-1.0986,0.0610,-0.9766
84288.0000,-0.2681,0.9355,0.3662,-1.4648,0.1221,-0.6714
84289.0000,-0.2637,0.9312,0.3643,-1.6479,0.4883,-0.8545
84290.0000,-0.2622,0.9287,0.3633,-1.6479,0.9155,-0.9766
84291.0000,-0.2651,0.9282,0.3613,-1.5259,1.4648,-1.5869
84292.0000,-0.2710,0.9312,0.3618,-1.7090,1.7700,-2.0142
84293.0000,-0.2700,0.9316,0.3599,-1.9531,2.0142,-2.1973
84294.0000,-0.2676,0.9370,0.3604,-2.1362,2.2583,-2.3193
84295.0000,-0.2651,0.9409,0.3628,-2.3804,2.5635,-2.0752
84296.0000,-0.2607,0.9434,0.3599,-2.9907,2.9297,-1.8921
84297.0000,-0.2515,0.9429,0.3584,-3.9673,3.9062,-1.5869
84298.0000,-0.2397,0.9390,0.3594,-4.5776,4.9438,-1.0986
84299.0000,-0.2349,0.9409,0.3569,-5.1880,6.5308,-0.4883
84300.0000,-0.2280,0.9399,0.3594,-5.6763,9.0942,0.2441
84301.0000,-0.2236,0.9419,0.3569,-6.2256,11.2915,0.6104
84302.0000,-0.2192,0.9482,0.3540,-6.7139,13.6108,0.9766
84303.0000,-0.2090,0.9604,0.3501,-8.1787,17.3340,1.8921
84304.0000,-0.1904,0.9756,0.3462,-9.7046,20.6299,3.1738
84305.0000,-0.1597,0.9907,0.3403,-11.7798,24.5972,5.4321
84306.0000,-0.1001,1.0039,0.3306,-15.1978,32.4707,10.6812
84307.0000,-0.0435,1.0166,0.3208,-17.9443,40.6494,15.8691
84308.0000,0.0122,1.0327,0.3071,-21.0571,51.5137,22.0947
84309.0000,0.0806,1.0469,0.2847,-25.6348,69.8242,31.3110
84310.0000,0.1260,1.0596,0.2642,-29.1748,86.7920,38.4521
84311.0000,0.1650,1.0771,0.2451,-33.0811,105.8960,47.0581
84312.0000,0.2319,1.0972,0.1978,-39.1235,134.0332,62.3169
84313.0000,0.2871,1.1064,0.1533,-44.1895,157.7148,76.1719
84314.0000,0.3354,1.0938,0.1055,-49.1943,183.5327,91.8579
84315.0000,0.3984,1.0640,0.0327,-52.4292,221.7407,111.6333
84316.0000,0.4248,1.0552,-0.0107,-51.5747,253.2959,122.8638
84317.0000,0.3784,1.0674,-0.0610,-49.3774,286.6211,129.6387
84318.0000,0.1826,1.0913,-0.1265,-46.5698,324.9512,133.6060
84319.0000,0.0317,1.1235,-0.1665,-45.7153,344.2993,133.5449
84320.0000,-0.0874,1.1582,-0.1943,-46.6919,356.3232,132.2632
84321.0000,-0.2012,1.2207,-0.2222,-51.0254,363.6475,130.2490
84322.0000,-0.2388,1.2378,-0.2402,-55.6030,364.7461,129.3335
84323.0000,-0.2490,1.2129,-0.2451,-58.2275,364.4409,128.2349
84324.0000,-0.2466,1.1304,-0.2080,-63.1714,363.5254,126.8311
84325.0000,-0.2827,1.1079,-0.2012,-62.5000,363.1592,124.3286
84326.0000,-0.3340,1.0640,-0.1875,-61.3403,359.9243,120.6055
84327.0000,-0.4170,1.0166,-0.1646,-58.1055,350.8301,113.8306
84328.0000,-0.4624,1.0254,-0.1440,-56.8848,341.0034,107.9102
84329.0000,-0.5234,1.0259,-0.0894,-56.6406,327.9419,99.9756
84330.0000,-0.5898,0.9932,-0.0137,-54.6265,306.2744,88.5620
84331.0000,-0.6289,0.9458,0.0449,-52.1240,287.7808,78.9795
84332.0000,-0.6636,0.9067,0.1001,-47.9736,267.4561,68.7256
84333.0000,-0.7144,0.8901,0.1680,-42.1143,237.0605,54.3213
84334.0000,-0.7393,0.9185,0.2080,-38.8184,211.7310,43.7012
84335.0000,-0.7520,0.9668,0.2578,-36.6821,184.8755,34.0576
84336.0000,-0.7695,1.0000,0.3071,-36.2549,147.4609,21.6064
84337.0000,-0.7627,0.9912,0.3389,-36.6211,119.3848,12.9395
84338.0000,-0.7168,0.9702,0.3662,-36.5601,92.2852,5.1270
84339.0000,-0.6196,0.9355,0.4043,-35.2173,61.4624,-3.5400
84340.0000,-0.5527,0.9131,0.4141,-33.5083,42.2363,-8.3008
84341.0000,-0.4810,0.9092,0.4131,-30.7617,26.7334,-11.4136
84342.0000,-0.3691,0.9092,0.4165,-27.2827,11.7188,-13.1226
84343.0000,-0.2905,0.9136,0.4180,-24.4141,5.0049,-13.1836
84344.0000,-0.2285,0.9048,0.4282,-21.3013,1.8311,-12.4512
84345.0000,-0.1743,0.8647,0.4453,-16.4185,2.1973,-10.4980
84346.0000,-0.1646,0.8320,0.4561,-11.9019,4.2114,-9.0332
84347.0000,-0.1875,0.8276,0.4546,-6.5308,6.0425,-7.6294
84348.0000,-0.2500,0.8564,0.4453,-0.9766,5.4932,-6.1646
84349.0000,-0.2920,0.8813,0.4453,2.0752,2.3804,-5.9814
84350.0000,-0.3169,0.8813,0.4468,4.5166,-2.7466,-6.9580
84351.0000,-0.3228,0.8638,0.4482,7.9956,-11.0474,-9.2163
84352.0000,-0.3223,0.8652,0.4409,10.8643,-17.7002,-11.2305
84353.0000,-0.3228,0.8896,0.4180,13.0005,-24.4141,-13.4277
84354.0000,-0.3125,0.9468,0.3809,14.0991,-33.2031,-15.5029
84355.0000,-0.2915,0.9834,0.3706,13.3057,-38.9404,-16.4185
84356.0000,-0.2812,0.9844,0.3701,12.0850,-43.8232,-17.0288
84357.0000,-0.2930,0.9395,0.3755,11.7188,-49.8047,-18.1274
84358.0000,-0.3130,0.9097,0.3862,13.4277,-54.6265,-19.4092
84359.0000,-0.3320,0.8813,0.4082,16.8457,-60.3638,-21.4844
84360.0000,-0.3794,0.8521,0.4302,23.4985,-70.0073,-25.2075
84361.0000,-0.4258,0.8330,0.4341,29.5410,-79.2236,-29.2969
84362.0000,-0.4883,0.8281,0.4321,35.7666,-90.6372,-34.2407
84363.0000,-0.5742,0.8604,0.4111,43.2739,-109.9243,-41.3208
84364.0000,-0.6289,0.8799,0.3828,47.4243,-127.1973,-46.8750
84365.0000,-0.6646,0.8872,0.3433,50.8423,-146.3013,-52.5513
84366.0000,-0.6938,0.8887,0.2930,54.8096,-172.5464,-61.2793
84367.0000,-0.7085,0.8975,0.2534,57.9834,-192.0776,-67.6270
84368.0000,-0.7183,0.9224,0.2168,61.2793,-211.4868,-74.0356
84369.0000,-0.7324,0.9604,0.1763,65.1245,-236.4502,-81.1157
84370.0000,-0.7485,0.9707,0.1367,67.3828,-255.3101,-84.8999
84371.0000,-0.7681,0.9614,0.0962,69.7021,-274.5972,-87.5244
84372.0000,-0.7827,0.9375,0.0459,73.6694,-300.9644,-90.3320
84373.0000,-0.7886,0.9116,-0.0034,77.2705,-320.7397,-92.3462
84374.0000,-0.7959,0.8921,-0.0640,81.1157,-339.7827,-95.2148
84375.0000,-0.8130,0.8853,-0.1436,87.4023,-364.3188,-99.6704
84376.0000,-0.8252,0.9111,-0.2139,91.3696,-382.4463,-103.6987
84377.0000,-0.8389,0.9595,-0.2783,94.4824,-400.1465,-108.0322
84378.0000,-0.8530,1.0073,-0.3501,97.9614,-423.9502,-113.8916
84379.0000,-0.8564,1.0024,-0.4150,100.8301,-441.7725,-117.7368
84380.0000,-0.8569,0.9839,-0.4893,104.6143,-459.1675,-121.4600
84381.0000,-0.8354,0.9888,-0.5894,110.4126,-481.5063,-125.7935
84382.0000,-0.7739,1.0151,-0.6743,114.1357,-497.1313,-128.4180
84383.0000,-0.6724,1.0859,-0.7432,119.4458,-509.0332,-130.1270
84384.0000,-0.5107,1.1992,-0.7656,120.3003,-518.5547,-129.9438
84385.0000,-0.4058,1.2427,-0.7480,116.9434,-520.5688,-128.4790
84386.0000,-0.3223,1.2534,-0.7354,114.1357,-518.3105,-125.9766
84387.0000,-0.2280,1.2368,-0.7090,110.5957,-510.4370,-120.9717
84388.0000,-0.1411,1.2085,-0.6528,105.3467,-501.5869,-115.6616
84389.0000,-0.0317,1.2192,-0.6265,106.0791,-489.3799,-109.9243
84390.0000,0.1440,1.2432,-0.5288,99.6704,-466.9800,-100.3418
84391.0000,0.2588,1.2769,-0.4585,93.0786,-444.5801,-94.4824
84392.0000,0.3213,1.3096,-0.3823,84.4116,-418.3960,-90.5762
84393.0000,0.3184,1.3726,-0.2344,71.2891,-381.1035,-86.7310
84394.0000,0.3701,1.3550,-0.1680,60.8521,-355.2246,-80.2612
84395.0000,0.4224,1.2646,-0.0977,50.4761,-326.4160,-73.3032
84396.0000,0.6733,1.2256,-0.1240,49.6826,-277.8931,-60.2417
84397.0000,0.5645,1.1123,0.1196,25.8789,-245.8496,-57.9224
84398.0000,0.6060,1.0205,0.1753,29.3579,-197.2046,-46.5088
84399.0000,0.6367,1.0049,0.1538,33.1421,-157.8979,-37.7197
84400.0000,0.4888,1.0269,0.2739,21.1792,-125.1221,-32.2876
84401.0000,0.3413,1.0391,0.3115,16.0522,-90.3931,-23.0103
84402.0000,0.3115,0.9707,0.3081,14.5264,-67.6270,-16.7847
84403.0000,0.3584,0.8745,0.3213,17.6392,-41.1987,-11.9629
