timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
68262.0000,-0.2871,0.9316,0.3755,-3.2959,3.1128,-1.0986
68263.0000,-0.2949,0.9336,0.3784,-3.7842,3.1738,-1.1597
68264.0000,-0.2959,0.9351,0.3823,-4.1504,2.8687,-1.3428
68265.0000,-0.2925,0.9297,0.3813,-4.6387,2.6245,-0.9155
68266.0000,-0.2900,0.9302,0.3799,-4.9438,2.5024,-0.4272
68267.0000,-0.2861,0.9277,0.3804,-5.3711,2.5635,0.0610
68268.0000,-0.2886,0.9238,0.3838,-5.6763,2.3804,0.9155
68269.0000,-0.2881,0.9180,0.3833,-5.9814,2.2583,1.0376
68270.0000,-0.2842,0.9194,0.3833,-6.2866,2.0752,1.2207
68271.0000,-0.2778,0.9194,0.3887,-6.1646,2.0752,1.1597
68272.0000,-0.2773,0.9180,0.3838,-6.1646,1.9531,0.7324
68273.0000,-0.2754,0.9209,0.3838,-6.2866,2.0142,0.4883
68274.0000,-0.2778,0.9263,0.3794,-6.3477,2.1973,-0.3052
68275.0000,-0.2744,0.9346,0.3789,-6.6528,2.4414,-0.6714
68276.0000,-0.2749,0.9360,0.3779,-7.2632,2.7466,-0.8545
68277.0000,-0.2764,0.9375,0.3784,-8.0566,2.9297,-0.9766
68278.0000,-0.2788,0.9375,0.3774,-8.9722,3.2959,-1.0376
68279.0000,-0.2803,0.9404,0.3760,-9.7046,3.4180,-0.7935
68280.0000,-0.2817,0.9390,0.3794,-10.7422,3.4180,-0.5493
68281.0000,-0.2793,0.9346,0.3789,-11.4136,3.2959,-0.4272
68282.0000,-0.2754,0.9336,0.3770,-12.1460,3.2959,-0.5493
68283.0000,-0.2744,0.9336,0.3784,-13.0005,3.6011,-0.8545
68284.0000,-0.2744,0.9336,0.3813,-13.6108,3.6011,-1.1597
68285.0000,-0.2778,0.9326,0.3838,-14.4653,3.8452,-1.6479
68286.0000,-0.2881,0.9292,0.3906,-15.2588,4.0894,-2.1362
68287.0000,-0.2954,0.9272,0.3975,-15.6860,3.9673,-2.3193
68288.0000,-0.2983,0.9258,0.3975,-16.1133,3.6621,-2.3804
68289.0000,-0.3022,0.9150,0.3965,-16.6016,3.0518,-2.1362
68290.0000,-0.3003,0.9141,0.3887,-16.6016,2.6855,-1.6479
68291.0000,-0.2998,0.9229,0.3823,-16.6016,2.1973,-1.0376
68292.0000,-0.3042,0.9463,0.3721,-17.0288,1.8921,-0.3662
68293.0000,-0.3052,0.9683,0.3579,-18.0664,1.6479,-0.1221
68294.0000,-0.3096,0.9927,0.3564,-20.0806,1.0376,-0.0610
68295.0000,-0.3101,1.0278,0.3525,-24.3530,0.3662,-0.2441
68296.0000,-0.3110,1.0444,0.3521,-28.7476,-0.1831,-0.1831
68297.0000,-0.3135,1.0542,0.3511,-33.9966,-1.0986,-0.1831
68298.0000,-0.3252,1.0464,0.3418,-41.2598,-2.9907,-0.0610
68299.0000,-0.3223,1.0293,0.3296,-46.5088,-4.8218,-0.5493
68300.0000,-0.3120,1.0264,0.3232,-51.4526,-6.2866,-1.3428
68301.0000,-0.2988,1.0312,0.3218,-57.9834,-7.6904,-2.9907
68302.0000,-0.2925,1.0327,0.3247,-63.2324,-8.4229,-4.0894
68303.0000,-0.2871,1.0312,0.3281,-68.7866,-9.2163,-5.1270
68304.0000,-0.2729,1.0234,0.3418,-76.3550,-9.8267,-6.0425
68305.0000,-0.2666,1.0225,0.3525,-82.2754,-10.1929,-6.8970
68306.0000,-0.2642,1.0186,0.3662,-88.4399,-10.6812,-7.2021
68307.0000,-0.2593,1.0059,0.3784,-96.9238,-11.5967,-7.3853
68308.0000,-0.2583,0.9907,0.3809,-103.3936,-12.3901,-7.6294
68309.0000,-0.2505,0.9663,0.3931,-109.6802,-13.1836,-8.2397
68310.0000,-0.2339,0.9419,0.3999,-117.7979,-13.6719,-9.3384
68311.0000,-0.2188,0.9253,0.4062,-123.8403,-13.7329,-10.4980
68312.0000,-0.2095,0.9058,0.4189,-129.6997,-13.3667,-11.6577
68313.0000,-0.2065,0.8486,0.4336,-136.8408,-12.6343,-13.1836
68314.0000,-0.2153,0.7979,0.4575,-140.7471,-12.0850,-14.2212
68315.0000,-0.2271,0.7666,0.4829,-143.3716,-11.9629,-14.5264
68316.0000,-0.2402,0.7222,0.5146,-146.2402,-12.6343,-14.8315
68317.0000,-0.2417,0.6890,0.5356,-147.2168,-13.3667,-15.1367
68318.0000,-0.2432,0.6587,0.5708,-148.0103,-14.0991,-16.2964
68319.0000,-0.2407,0.6445,0.6060,-148.8037,-14.1602,-19.1650
68320.0000,-0.2500,0.6470,0.6284,-150.1465,-13.7329,-21.4233
68321.0000,-0.2593,0.6260,0.6543,-152.0386,-13.3057,-22.9492
68322.0000,-0.2734,0.5537,0.7002,-153.3203,-13.3667,-22.5220
68323.0000,-0.2793,0.4751,0.7466,-151.9775,-13.5498,-20.8740
68324.0000,-0.2856,0.3721,0.8174,-146.1792,-13.6719,-17.7612
68325.0000,-0.2891,0.3306,0.8682,-139.6484,-13.5498,-15.4419
68326.0000,-0.3027,0.3242,0.8999,-132.0190,-13.5498,-13.3057
68327.0000,-0.2725,0.3223,0.9600,-122.0703,-15.0146,-12.2070
68328.0000,-0.2422,0.3389,0.9575,-116.8213,-13.4888,-12.2681
68329.0000,-0.2344,0.3530,0.9780,-112.4878,-10.4370,-12.5732
68330.0000,-0.2573,0.3345,1.0034,-107.9102,-7.3853,-12.6343
68331.0000,-0.2803,0.2871,1.0269,-104.0039,-6.1035,-12.2681
68332.0000,-0.2993,0.2515,1.0610,-98.8770,-5.5542,-12.0850
68333.0000,-0.3164,0.2192,1.0967,-90.1489,-5.1880,-12.3901
68334.0000,-0.3281,0.2095,1.1201,-83.1909,-5.1880,-12.7563
68335.0000,-0.3364,0.2100,1.1323,-76.0498,-5.3711,-13.0005
68336.0000,-0.3394,0.2153,1.1406,-67.7490,-6.7749,-12.6953
68337.0000,-0.3169,0.2168,1.1548,-62.1338,-7.9956,-13.3057
68338.0000,-0.2944,0.2134,1.1606,-57.2510,-7.2021,-13.4888
68339.0000,-0.2988,0.1978,1.1685,-50.7202,-5.1880,-13.1226
68340.0000,-0.3188,0.1836,1.1821,-45.3491,-4.3945,-11.6577
68341.0000,-0.3433,0.1689,1.1807,-39.2456,-4.7607,-9.8267
68342.0000,-0.3555,0.1631,1.1694,-31.3721,-6.8970,-8.1177
68343.0000,-0.3501,0.1694,1.1655,-25.5737,-8.0566,-7.5684
68344.0000,-0.3442,0.1841,1.1655,-20.3857,-8.7891,-7.3242
68345.0000,-0.3237,0.2095,1.1519,-15.0146,-9.7656,-7.2021
68346.0000,-0.3110,0.2236,1.1421,-11.9629,-10.3149,-6.8359
68347.0000,-0.2900,0.2280,1.1382,-9.7656,-10.1929,-6.2256
68348.0000,-0.2681,0.2241,1.1309,-7.0801,-9.3384,-5.2490
68349.0000,-0.2622,0.2183,1.1294,-4.9438,-8.2397,-4.2725
68350.0000,-0.2573,0.2134,1.1343,-2.3804,-7.3853,-3.2349
68351.0000,-0.2529,0.2041,1.1353,1.3428,-6.2866,-2.0142
68352.0000,-0.2427,0.2036,1.1289,4.3945,-5.6152,-1.5869
68353.0000,-0.2339,0.2007,1.1304,7.5073,-4.4556,-1.5869
68354.0000,-0.2290,0.2100,1.1270,12.0239,-2.6855,-2.0142
68355.0000,-0.2271,0.2231,1.1230,15.1367,-1.4648,-2.5635
68356.0000,-0.2363,0.2295,1.1196,17.8223,-0.3662,-3.2349
68357.0000,-0.2715,0.2251,1.1318,21.3623,0.6714,-4.2114
68358.0000,-0.2969,0.2192,1.1431,24.1699,0.7935,-5.1880
68359.0000,-0.3135,0.2095,1.1587,27.2217,0.1831,-5.4932
68360.0000,-0.3193,0.2007,1.1733,32.1045,-1.2817,-5.6152
68361.0000,-0.3105,0.1934,1.1777,36.6211,-2.4414,-4.9438
68362.0000,-0.2974,0.1914,1.1807,41.5649,-3.1128,-4.1504
68363.0000,-0.2891,0.1743,1.1812,49.7437,-3.2349,-2.6245
68364.0000,-0.2891,0.1650,1.1685,56.5796,-2.9297,-1.2207
68365.0000,-0.2944,0.1675,1.1582,63.9648,-2.4414,-0.0610
68366.0000,-0.3096,0.1875,1.1465,74.4019,-2.1973,1.3428
68367.0000,-0.3184,0.2080,1.1294,81.7871,-2.9907,2.4414
68368.0000,-0.3110,0.2285,1.1030,88.4399,-4.0894,3.1738
68369.0000,-0.2817,0.2651,1.0605,95.9473,-4.0283,4.8218
68370.0000,-0.2676,0.2817,1.0444,101.1353,-3.4180,6.4697
68371.0000,-0.2510,0.2964,1.0210,105.5908,-2.6245,7.9956
68372.0000,-0.2368,0.3115,0.9854,111.3281,-0.7324,9.3384
68373.0000,-0.2373,0.3228,0.9639,115.6616,1.0986,10.1318
68374.0000,-0.2490,0.3350,0.9575,120.3613,2.5024,10.5591
68375.0000,-0.2661,0.3511,0.9341,127.2583,2.9297,11.2305
68376.0000,-0.2666,0.3652,0.9082,132.6294,2.7466,11.8408
68377.0000,-0.2593,0.3877,0.8818,137.7563,2.3193,12.0850
68378.0000,-0.2520,0.4287,0.8389,143.8599,2.0142,11.7188
68379.0000,-0.2451,0.4614,0.8105,147.3389,1.9531,11.2305
68380.0000,-0.2363,0.4883,0.7817,150.0854,2.0142,10.1929
68381.0000,-0.2329,0.5239,0.7422,152.6489,2.6245,8.3618
68382.0000,-0.2319,0.5474,0.7070,153.9917,3.1128,6.6528
68383.0000,-0.2334,0.5762,0.6748,154.7241,3.6011,5.0659
68384.0000,-0.2344,0.6099,0.6348,155.1514,4.0894,3.1738
68385.0000,-0.2407,0.6313,0.6099,154.9072,4.5776,1.7700
68386.0000,-0.2500,0.6523,0.5776,154.4800,4.7607,0.4883
68387.0000,-0.2568,0.7012,0.5557,153.8696,4.7607,-0.4883
68388.0000,-0.2617,0.7246,0.5332,152.8931,4.2725,-0.7935
68389.0000,-0.2612,0.7373,0.5122,151.6113,3.7231,-0.9766
68390.0000,-0.2573,0.7671,0.4780,149.2920,3.0518,-1.5869
68391.0000,-0.2559,0.8042,0.4546,147.0337,2.7466,-1.8311
68392.0000,-0.2544,0.8374,0.4380,143.8599,2.6855,-1.8921
68393.0000,-0.2534,0.8745,0.4175,138.8550,2.7466,-2.1362
68394.0000,-0.2520,0.8940,0.3989,134.5215,2.8076,-2.3193
68395.0000,-0.2573,0.9072,0.3823,130.1880,3.1738,-2.3193
68396.0000,-0.2593,0.9297,0.3550,124.6948,3.6621,-2.4414
68397.0000,-0.2627,0.9458,0.3374,120.4834,4.1504,-2.3193
68398.0000,-0.2656,0.9585,0.3252,116.3940,4.3335,-1.9531
68399.0000,-0.2627,0.9653,0.3076,111.0840,4.3945,-1.4038
68400.0000,-0.2583,0.9780,0.2954,107.1777,4.5166,-1.0986
68401.0000,-0.2549,0.9946,0.2861,103.0273,4.8828,-0.6104
68402.0000,-0.2524,1.0366,0.2705,96.8018,5.6152,0.0000
68403.0000,-0.2510,1.0610,0.2622,91.1865,6.1646,0.6714
68404.0000,-0.2505,1.0703,0.2520,85.2051,6.7139,1.5259
68405.0000,-0.2432,1.0708,0.2363,77.3926,7.8735,2.1973
68406.0000,-0.2461,1.0635,0.2310,71.7773,9.0332,2.1973
68407.0000,-0.2466,1.0547,0.2246,66.7114,9.8267,1.9531
68408.0000,-0.2432,1.0410,0.2188,61.0352,10.8032,1.5869
