timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
246801.0000,0.1831,0.9902,0.0869,39.1235,204.3457,72.6929
246802.0000,0.1802,1.0381,0.0967,38.3301,213.9282,75.5005
246803.0000,0.1860,1.0732,0.0918,38.2080,217.5293,79.9561
246804.0000,0.2119,1.0830,0.0630,37.1704,222.6562,82.7637
246805.0000,0.2217,1.0552,0.0269,35.8887,230.4688,87.5854
246806.0000,0.1948,1.0044,0.0093,36.7432,234.0698,90.5762
246807.0000,0.1357,0.9580,0.0195,38.9404,242.7979,93.2007
246808.0000,0.0435,0.9395,0.0352,42.2363,243.2861,94.2993
246809.0000,0.0195,0.9697,0.0356,44.7998,244.7510,93.2617
246810.0000,0.0439,1.0161,0.0098,45.8984,244.2017,91.7358
246811.0000,0.0942,1.0332,-0.0249,46.2646,248.6572,92.1021
246812.0000,0.1128,1.0005,-0.0166,47.8516,252.4414,91.5527
246813.0000,0.0815,0.9438,0.0166,49.4995,252.9297,93.5669
246814.0000,-0.0200,0.9360,0.0381,52.0020,253.2959,93.5059
246815.0000,-0.0825,0.9741,0.0303,53.5278,248.2910,94.2993
246816.0000,-0.0972,1.0430,-0.0103,53.1006,242.7979,94.6655
246817.0000,-0.0293,1.0996,-0.0327,50.6592,241.2720,93.6279
246818.0000,0.0371,1.1079,-0.0024,48.5840,242.8589,95.0317
246819.0000,0.0659,1.0571,0.0479,46.7529,249.3896,94.2383
246820.0000,0.0342,1.0039,0.0889,48.0957,251.2207,94.2993
246821.0000,-0.0742,0.9902,0.1001,48.7671,243.3472,92.8345
246822.0000,-0.1694,1.0293,0.0825,47.7295,233.2764,89.6606
246823.0000,-0.2563,1.0767,0.0854,43.3960,222.4731,84.3506
246824.0000,-0.2573,1.0986,0.1226,39.9780,211.3647,80.5664
246825.0000,-0.2144,1.0923,0.1738,36.3770,206.4209,73.7305
246826.0000,-0.1431,1.0664,0.2349,32.5928,202.8198,71.2891
246827.0000,-0.1387,1.0342,0.2607,30.1514,197.5708,67.6270
246828.0000,-0.2095,1.0317,0.2808,26.2451,188.7207,63.4155
246829.0000,-0.3242,1.0698,0.3140,18.7988,173.9502,59.5703
246830.0000,-0.4126,1.1299,0.3423,9.3994,154.1748,55.2979
246831.0000,-0.4419,1.1519,0.3711,-0.0000,137.6343,51.7578
246832.0000,-0.3809,1.1196,0.3994,-7.6904,127.9907,49.9268
246833.0000,-0.3037,1.0483,0.4233,-12.3901,116.7603,47.6685
246834.0000,-0.2427,0.9849,0.4414,-14.7095,107.7271,43.7622
246835.0000,-0.2505,0.9390,0.4526,-15.9302,96.0693,39.6729
246836.0000,-0.3018,0.8999,0.4541,-16.6016,79.4678,34.7290
246837.0000,-0.3403,0.8745,0.4595,-15.1978,63.4766,31.4331
246838.0000,-0.3252,0.8403,0.4570,-12.8174,51.8188,27.8931
246839.0000,-0.2734,0.8091,0.4565,-8.9722,40.4663,25.2686
246840.0000,-0.2178,0.7905,0.4492,-5.0049,31.9824,23.4985
246841.0000,-0.1733,0.7793,0.4448,-0.5493,25.3296,20.9961
246842.0000,-0.1602,0.7837,0.4355,2.9907,15.6860,18.4326
246843.0000,-0.1514,0.7964,0.4346,5.7983,7.4463,15.3198
246844.0000,-0.1445,0.8091,0.4331,8.7280,2.6855,12.6343
246845.0000,-0.1201,0.8149,0.4336,10.4370,-1.7090,9.4604
246846.0000,-0.1016,0.8184,0.4292,11.9629,-7.2021,6.6528
246847.0000,-0.0928,0.8262,0.4316,13.1226,-12.1460,3.7842
246848.0000,-0.1011,0.8394,0.4326,13.6719,-16.3574,1.2207
246849.0000,-0.1074,0.8511,0.4312,14.4043,-22.3389,-1.7700
246850.0000,-0.1128,0.8677,0.4268,13.2446,-31.4941,-3.4790
246851.0000,-0.1030,0.8760,0.4292,12.8784,-41.5649,-6.2256
