timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
302413.0000,-0.1919,0.9326,0.3052,-0.0610,-1.7700,-0.6104
302414.0000,-0.1875,0.9326,0.3066,-0.0610,-1.7090,-0.6104
302415.0000,-0.1909,0.9346,0.3076,-0.0610,-1.6479,-0.6714
302416.0000,-0.1885,0.9341,0.3047,-0.0610,-1.7090,-0.7935
302417.0000,-0.1870,0.9336,0.3076,-0.1221,-1.5869,-0.7935
302418.0000,-0.1865,0.9341,0.3062,-0.1831,-1.4038,-0.9155
302419.0000,-0.1860,0.9355,0.3076,-0.2441,-1.4038,-0.9766
302420.0000,-0.1899,0.9355,0.3086,-0.4272,-1.2817,-0.9766
302421.0000,-0.1865,0.9331,0.3062,-0.3662,-1.2207,-1.0376
302422.0000,-0.1875,0.9312,0.3076,-0.3662,-1.0376,-1.0986
302423.0000,-0.1831,0.9307,0.3096,-0.2441,-0.9155,-1.0986
302424.0000,-0.1836,0.9316,0.3101,-0.1221,-0.7324,-1.2207
302425.0000,-0.1816,0.9316,0.3086,-0.1221,-0.6104,-1.2817
302426.0000,-0.1855,0.9326,0.3096,-0.1221,-0.3052,-1.3428
302427.0000,-0.1860,0.9321,0.3086,-0.1221,-0.0000,-1.4038
302428.0000,-0.1895,0.9321,0.3081,-0.0610,0.1831,-1.3428
302429.0000,-0.1929,0.9341,0.3091,0.0000,0.3052,-1.4648
302430.0000,-0.1890,0.9336,0.3081,-0.1221,0.6104,-1.5259
302431.0000,-0.1929,0.9316,0.3091,-0.0610,0.7324,-1.5259
302432.0000,-0.1943,0.9312,0.3086,0.0000,0.7324,-1.5869
302433.0000,-0.1953,0.9316,0.3091,0.0610,0.9766,-1.5869
302434.0000,-0.1948,0.9355,0.3071,-0.0000,0.9766,-1.5259
302435.0000,-0.1904,0.9336,0.3081,-0.0610,1.0376,-1.4038
302436.0000,-0.1929,0.9321,0.3081,-0.1221,0.9766,-1.2207
302437.0000,-0.1934,0.9331,0.3081,-0.0610,0.7935,-1.2817
302438.0000,-0.1948,0.9331,0.3101,-0.1221,0.9766,-1.3428
302439.0000,-0.1943,0.9287,0.3110,0.0610,0.9155,-1.2817
302440.0000,-0.1963,0.9263,0.3091,0.3662,0.7935,-1.3428
302441.0000,-0.1943,0.9272,0.3066,0.5493,0.6714,-1.3428
302442.0000,-0.1929,0.9312,0.3081,0.6714,0.7324,-1.2817
302443.0000,-0.1948,0.9336,0.3071,0.5493,0.6714,-1.1597
302444.0000,-0.1929,0.9355,0.3042,0.3662,0.6714,-0.9766
302445.0000,-0.1914,0.9380,0.3052,0.0610,0.5493,-1.0986
302446.0000,-0.1914,0.9380,0.3047,-0.2441,0.5493,-1.2207
302447.0000,-0.1914,0.9336,0.3042,-0.3662,0.5493,-1.2817
302448.0000,-0.1919,0.9312,0.3052,-0.3052,0.4883,-1.4038
302449.0000,-0.1914,0.9312,0.3047,-0.2441,0.5493,-1.4648
302450.0000,-0.1929,0.9321,0.3057,-0.2441,0.6104,-1.5259
302451.0000,-0.1963,0.9336,0.3047,-0.3052,0.7324,-1.5869
302452.0000,-0.1938,0.9336,0.3052,-0.4883,0.8545,-1.6479
302453.0000,-0.1953,0.9336,0.3047,-0.6104,0.7935,-1.7090
302454.0000,-0.1982,0.9316,0.3052,-0.6104,0.9155,-1.7700
302455.0000,-0.1978,0.9312,0.3057,-0.6714,1.0376,-1.8311
302456.0000,-0.1958,0.9307,0.3066,-0.5493,1.0986,-1.8921
302457.0000,-0.1997,0.9292,0.3066,-0.4883,1.0986,-1.9531
302458.0000,-0.1982,0.9297,0.3081,-0.4272,0.9766,-2.0142
302459.0000,-0.2002,0.9307,0.3076,-0.4883,0.9766,-2.0142
302460.0000,-0.1978,0.9326,0.3081,-0.4883,0.9155,-2.0142
302461.0000,-0.2017,0.9331,0.3101,-0.5493,0.7324,-1.9531
302462.0000,-0.2012,0.9287,0.3115,-0.4272,0.5493,-1.8311
302463.0000,-0.1987,0.9243,0.3096,-0.1831,0.4883,-1.7700
302464.0000,-0.1997,0.9238,0.3096,0.1221,0.3662,-1.7090
302465.0000,-0.1958,0.9258,0.3096,0.3052,0.2441,-1.6479
302466.0000,-0.1963,0.9302,0.3101,0.2441,0.1831,-1.5869
302467.0000,-0.1987,0.9346,0.3125,0.1221,0.1831,-1.5869
302468.0000,-0.1963,0.9365,0.3110,-0.0610,0.3662,-1.5259
302469.0000,-0.1929,0.9351,0.3081,-0.1221,0.3052,-1.5259
302470.0000,-0.1924,0.9326,0.3086,-0.0610,0.3052,-1.3428
302471.0000,-0.1914,0.9307,0.3096,-0.0610,0.2441,-1.2817
302472.0000,-0.1919,0.9307,0.3071,0.0610,0.2441,-1.1597
302473.0000,-0.1909,0.9297,0.3096,0.1221,0.1831,-1.2207
302474.0000,-0.1865,0.9307,0.3096,0.0610,0.1831,-1.1597
302475.0000,-0.1899,0.9312,0.3101,0.0610,0.1221,-1.1597
302476.0000,-0.1899,0.9302,0.3066,0.0000,0.0610,-1.0376
302477.0000,-0.1890,0.9312,0.3081,0.0610,0.0610,-0.9766
302478.0000,-0.1899,0.9312,0.3076,0.1221,0.1221,-0.9155
302479.0000,-0.1904,0.9312,0.3076,0.1831,0.2441,-0.7935
302480.0000,-0.1934,0.9307,0.3071,0.1831,0.1831,-0.7324
302481.0000,-0.1914,0.9307,0.3066,0.1221,0.3662,-0.6714
302482.0000,-0.1924,0.9307,0.3091,0.1221,0.3662,-0.4883
302483.0000,-0.1963,0.9307,0.3091,0.1831,0.4883,-0.4883
302484.0000,-0.1934,0.9297,0.3081,0.1831,0.4883,-0.3662
302485.0000,-0.1958,0.9287,0.3096,0.1831,0.6104,-0.3662
302486.0000,-0.1958,0.9312,0.3081,0.2441,0.6104,-0.3052
302487.0000,-0.1938,0.9316,0.3076,0.2441,0.5493,-0.3052
302488.0000,-0.1909,0.9312,0.3062,0.2441,0.6104,-0.3662
302489.0000,-0.1938,0.9312,0.3086,0.1831,0.4883,-0.4272
302490.0000,-0.1943,0.9316,0.3081,0.1221,0.5493,-0.5493
302491.0000,-0.1968,0.9316,0.3071,0.1221,0.4272,-0.6104
302492.0000,-0.1978,0.9316,0.3081,0.1221,0.4272,-0.7935
302493.0000,-0.1943,0.9307,0.3101,0.1221,0.3662,-0.9155
302494.0000,-0.1938,0.9307,0.3101,0.0610,0.3662,-1.0376
302495.0000,-0.1953,0.9307,0.3110,0.1221,0.2441,-1.0986
302496.0000,-0.1963,0.9292,0.3115,0.1221,0.4272,-1.1597
302497.0000,-0.1987,0.9297,0.3101,0.1831,0.4272,-1.2207
302498.0000,-0.1968,0.9302,0.3120,0.1831,0.4272,-1.1597
302499.0000,-0.1973,0.9302,0.3096,0.2441,0.3662,-1.0986
302500.0000,-0.1968,0.9302,0.3096,0.3052,0.3662,-1.0986
302501.0000,-0.1973,0.9302,0.3101,0.3052,0.3662,-1.1597
302502.0000,-0.1973,0.9302,0.3096,0.3662,0.4272,-1.1597
302503.0000,-0.1948,0.9302,0.3086,0.3662,0.3662,-1.1597
302504.0000,-0.1958,0.9302,0.3086,0.4272,0.3662,-1.2207
302505.0000,-0.1958,0.9292,0.3076,0.4883,0.3052,-1.2207
302506.0000,-0.1968,0.9302,0.3086,0.4272,0.2441,-1.2207
302507.0000,-0.1968,0.9302,0.3076,0.4272,0.2441,-1.2207
302508.0000,-0.1953,0.9302,0.3076,0.4272,0.3052,-1.2207
302509.0000,-0.1958,0.9302,0.3066,0.4272,0.3052,-1.0986
302510.0000,-0.1943,0.9302,0.3071,0.4883,0.3052,-1.0376
302511.0000,-0.1938,0.9316,0.3066,0.5493,0.3662,-0.9766
302512.0000,-0.1968,0.9316,0.3071,0.5493,0.3662,-0.9155
302513.0000,-0.1982,0.9312,0.3066,0.6104,0.4272,-0.8545
302514.0000,-0.1934,0.9307,0.3057,0.5493,0.4272,-0.7935
302515.0000,-0.1934,0.9297,0.3052,0.6104,0.3662,-0.7935
302516.0000,-0.1938,0.9312,0.3037,0.6714,0.3052,-0.7935
302517.0000,-0.1924,0.9331,0.3047,0.6714,0.3052,-0.7324
302518.0000,-0.1934,0.9321,0.3057,0.5493,0.2441,-0.6714
302519.0000,-0.1958,0.9316,0.3032,0.4883,0.3052,-0.7935
302520.0000,-0.1938,0.9312,0.3037,0.4272,0.3662,-0.7935
302521.0000,-0.1919,0.9312,0.3018,0.4272,0.2441,-0.9155
