timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
290753.0000,-0.3198,0.9658,0.2847,2.9297,-32.8369,-10.0708
290754.0000,-0.3164,0.9658,0.2847,3.2349,-38.2080,-12.3901
290755.0000,-0.3188,0.9663,0.2827,3.5400,-42.8467,-14.8315
290756.0000,-0.3257,0.9683,0.2793,3.5400,-48.4619,-17.5781
290757.0000,-0.3188,0.9722,0.2793,3.3569,-53.2837,-20.3247
290758.0000,-0.3140,0.9775,0.2754,3.3569,-58.1055,-22.2168
290759.0000,-0.2974,0.9834,0.2739,3.1128,-62.9883,-24.7803
290760.0000,-0.2842,0.9844,0.2729,2.8076,-66.6504,-26.8555
290761.0000,-0.2769,0.9912,0.2676,2.5024,-69.5190,-28.6255
290762.0000,-0.2676,0.9951,0.2661,2.3193,-72.2656,-29.6021
290763.0000,-0.2471,0.9961,0.2671,2.1973,-73.4253,-30.2124
290764.0000,-0.2295,0.9956,0.2681,2.0752,-74.8901,-30.0293
290765.0000,-0.2178,0.9985,0.2637,1.6479,-74.6460,-29.4189
290766.0000,-0.2158,0.9990,0.2666,1.2817,-74.5850,-27.5879
290767.0000,-0.2080,0.9937,0.2686,0.7324,-74.0356,-25.6958
290768.0000,-0.2100,0.9873,0.2690,0.1221,-72.1436,-23.6206
290769.0000,-0.2158,0.9819,0.2764,-0.1221,-70.4956,-21.6675
290770.0000,-0.2061,0.9795,0.2778,-0.0610,-68.4814,-20.6299
290771.0000,-0.1919,0.9844,0.2832,-0.4272,-68.0542,-20.0195
290772.0000,-0.1650,0.9868,0.2871,-0.6104,-65.8569,-19.9585
290773.0000,-0.1567,0.9761,0.2974,-0.7324,-63.5986,-19.8975
290774.0000,-0.1602,0.9629,0.3062,-0.4272,-61.3403,-18.9209
290775.0000,-0.1680,0.9546,0.3096,0.2441,-58.2275,-17.6392
290776.0000,-0.1670,0.9526,0.3159,0.4883,-54.0771,-15.3198
290777.0000,-0.1699,0.9531,0.3228,1.3428,-51.6968,-14.0381
290778.0000,-0.1704,0.9570,0.3330,1.5869,-48.2178,-12.0239
290779.0000,-0.1812,0.9600,0.3384,1.7700,-45.7153,-10.3149
290780.0000,-0.1782,0.9595,0.3418,1.8921,-42.0532,-9.5215
290781.0000,-0.1670,0.9609,0.3447,1.8921,-39.4287,-8.6060
290782.0000,-0.1655,0.9600,0.3506,1.9531,-37.0483,-8.3008
290783.0000,-0.1748,0.9619,0.3521,1.9531,-34.3628,-7.5073
290784.0000,-0.1772,0.9619,0.3560,1.8921,-32.1045,-7.2632
290785.0000,-0.1787,0.9614,0.3579,2.1362,-28.3813,-6.7139
290786.0000,-0.1787,0.9585,0.3584,2.2583,-26.6113,-6.0425
290787.0000,-0.1831,0.9556,0.3584,2.5024,-23.8037,-5.0049
290788.0000,-0.1880,0.9570,0.3643,2.8076,-21.9727,-3.9673
290789.0000,-0.1851,0.9546,0.3662,3.1738,-19.9585,-3.1128
290790.0000,-0.2026,0.9521,0.3657,3.5400,-18.4937,-1.9531
290791.0000,-0.2046,0.9507,0.3691,4.1504,-16.4185,-1.4648
290792.0000,-0.2158,0.9521,0.3691,4.5166,-15.3198,-0.6104
290793.0000,-0.2212,0.9497,0.3696,5.0049,-14.2212,0.3662
290794.0000,-0.2319,0.9492,0.3691,5.5542,-13.4277,0.7935
290795.0000,-0.2222,0.9517,0.3721,5.9814,-13.2446,1.1597
290796.0000,-0.2129,0.9546,0.3755,6.2866,-12.8174,1.4038
290797.0000,-0.2109,0.9580,0.3750,6.3477,-13.3057,1.5259
290798.0000,-0.2041,0.9634,0.3755,6.2256,-13.7329,1.2207
290799.0000,-0.1987,0.9648,0.3726,6.2256,-14.0381,1.0986
290800.0000,-0.1953,0.9663,0.3721,5.7373,-14.7095,0.9766
290801.0000,-0.1938,0.9731,0.3716,5.0659,-15.0146,0.7935
290802.0000,-0.1890,0.9746,0.3730,5.0659,-15.3198,0.9155
290803.0000,-0.1880,0.9692,0.3691,4.8218,-14.4043,0.9155
290804.0000,-0.1851,0.9648,0.3682,4.6997,-14.3433,2.0142
