timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
118039.0000,-0.0762,0.9551,0.3364,1.2817,-1.4648,3.9673
118040.0000,-0.0732,0.9507,0.3359,1.2817,-1.5259,3.7842
118041.0000,-0.0747,0.9580,0.3359,1.2207,-1.4038,2.3193
118042.0000,-0.0742,0.9590,0.3364,1.2817,-1.4648,0.1221
118043.0000,-0.0781,0.9604,0.3354,1.1597,-1.3428,1.7090
118044.0000,-0.0806,0.9614,0.3364,0.9766,-1.5259,0.9766
118045.0000,-0.0747,0.9595,0.3369,0.8545,-1.0986,0.9155
118046.0000,-0.0742,0.9541,0.3398,0.8545,-0.9766,-0.1221
118047.0000,-0.0737,0.9570,0.3379,0.7935,-1.2207,0.5493
118048.0000,-0.0815,0.9556,0.3354,0.7935,-0.9766,-0.1831
118049.0000,-0.0806,0.9585,0.3340,0.7935,-1.1597,-0.7935
118050.0000,-0.0776,0.9575,0.3369,1.0986,-1.0986,0.3662
118051.0000,-0.0830,0.9624,0.3384,1.2207,-1.3428,-0.1221
118052.0000,-0.0938,0.9639,0.3369,1.2817,-0.8545,0.6714
118053.0000,-0.0898,0.9673,0.3345,1.4038,-0.7935,0.4883
118054.0000,-0.0850,0.9658,0.3350,1.6479,-0.5493,-0.3662
118055.0000,-0.0835,0.9634,0.3345,1.7090,-0.3662,0.3052
118056.0000,-0.0796,0.9629,0.3330,1.5869,0.0610,0.5493
118057.0000,-0.0742,0.9624,0.3320,1.6479,-0.0610,0.0610
118058.0000,-0.0688,0.9619,0.3315,1.5869,0.3052,-0.6714
118059.0000,-0.0708,0.9614,0.3306,1.5259,0.6714,-1.5869
118060.0000,-0.0698,0.9595,0.3315,1.4038,0.6714,-1.3428
118061.0000,-0.0703,0.9629,0.3311,1.3428,0.9766,-2.4414
118062.0000,-0.0762,0.9658,0.3276,1.2207,1.2207,-2.9297
118063.0000,-0.0791,0.9663,0.3271,1.2207,1.9531,-3.7842
118064.0000,-0.0708,0.9624,0.3271,1.1597,2.3804,-3.3569
118065.0000,-0.0684,0.9673,0.3267,1.1597,2.9907,-2.6245
118066.0000,-0.0674,0.9648,0.3252,1.0376,3.6011,-3.5400
118067.0000,-0.0649,0.9634,0.3242,0.7324,3.9673,-3.1738
118068.0000,-0.0649,0.9614,0.3252,0.6714,4.8218,-3.1128
118069.0000,-0.0625,0.9688,0.3267,0.5493,5.3101,-3.6621
118070.0000,-0.0522,0.9619,0.3252,0.1831,5.9204,-4.5776
118071.0000,-0.0615,0.9658,0.3257,-0.1831,6.2866,-5.1880
118072.0000,-0.0630,0.9668,0.3252,-0.2441,7.2021,-6.0425
118073.0000,-0.0532,0.9600,0.3252,-0.2441,7.8735,-6.4697
118074.0000,-0.0596,0.9629,0.3242,-0.4272,8.6670,-8.2397
118075.0000,-0.0586,0.9614,0.3267,-0.6714,9.3994,-9.0332
118076.0000,-0.0610,0.9595,0.3257,-0.6104,9.8267,-9.8877
118077.0000,-0.0581,0.9604,0.3257,-0.9766,11.1084,-11.0474
118078.0000,-0.0620,0.9556,0.3252,-1.0986,12.0239,-11.7188
118079.0000,-0.0693,0.9556,0.3242,-1.4648,13.4888,-12.7563
118080.0000,-0.0669,0.9512,0.3237,-1.7700,13.8550,-14.0381
118081.0000,-0.0659,0.9526,0.3262,-2.1973,15.0757,-14.7705
118082.0000,-0.0703,0.9521,0.3262,-2.1973,15.9912,-16.9067
118083.0000,-0.0596,0.9556,0.3276,-2.3193,17.0898,-18.6768
118084.0000,-0.0698,0.9487,0.3281,-2.3193,18.0054,-19.9585
118085.0000,-0.0693,0.9507,0.3296,-2.7466,19.4092,-22.7661
118086.0000,-0.0562,0.9463,0.3315,-2.8687,20.9351,-24.4751
118087.0000,-0.0513,0.9370,0.3335,-3.0518,23.3154,-27.4048
118088.0000,-0.0469,0.9326,0.3320,-3.1128,25.1465,-30.7617
118089.0000,-0.0488,0.9370,0.3325,-3.2349,26.7334,-35.6445
118090.0000,-0.0425,0.9409,0.3306,-3.4790,27.7100,-41.3818
118091.0000,-0.0322,0.9287,0.3306,-3.6011,27.8320,-45.2271
118092.0000,-0.0259,0.9038,0.3296,-3.6621,28.0762,-52.4292
118093.0000,-0.0347,0.8779,0.3296,-3.6011,28.0151,-58.1665
118094.0000,-0.0728,0.8584,0.3281,-3.6011,27.8320,-67.3828
118095.0000,-0.1221,0.8472,0.3262,-3.7842,27.5879,-75.6226
118096.0000,-0.1729,0.8413,0.3247,-4.2725,27.4048,-84.6558
118097.0000,-0.2290,0.8364,0.3242,-5.0659,26.7334,-89.9658
118098.0000,-0.2671,0.8364,0.3213,-5.9204,27.0996,-95.1538
118099.0000,-0.3096,0.8354,0.3188,-6.6528,25.7568,-97.6562
118100.0000,-0.3657,0.8228,0.3174,-6.7749,24.2920,-97.9004
118101.0000,-0.4185,0.8242,0.3159,-6.7139,23.0103,-96.0083
118102.0000,-0.4751,0.8311,0.3164,-6.5308,21.1792,-94.2993
118103.0000,-0.5181,0.8330,0.3115,-6.1646,19.1040,-89.5996
118104.0000,-0.5381,0.8330,0.3125,-6.1646,17.5781,-85.9375
118105.0000,-0.5391,0.8267,0.3071,-6.3477,16.5405,-81.5430
118106.0000,-0.5332,0.8193,0.3047,-6.4087,15.3809,-78.3691
118107.0000,-0.5239,0.8184,0.3062,-6.5918,14.7095,-74.0356
118108.0000,-0.5200,0.8169,0.3032,-7.0190,13.8550,-67.8101
118109.0000,-0.5073,0.8120,0.3008,-7.5073,14.0991,-61.6455
118110.0000,-0.5059,0.8071,0.3037,-7.9346,14.3433,-56.7017
118111.0000,-0.5049,0.7974,0.3042,-8.0566,14.5874,-50.2319
118112.0000,-0.5088,0.7900,0.3062,-7.8735,14.5874,-47.0581
118113.0000,-0.5103,0.7739,0.3037,-8.1177,15.0146,-44.6777
118114.0000,-0.5088,0.7583,0.3066,-8.3008,15.0757,-43.5181
118115.0000,-0.5132,0.7451,0.3115,-8.6670,15.0757,-43.2129
118116.0000,-0.5190,0.7397,0.3149,-8.6670,15.2588,-45.4102
118117.0000,-0.5249,0.7407,0.3179,-8.1787,15.3198,-45.5933
118118.0000,-0.5332,0.7383,0.3193,-7.3853,15.2588,-45.7153
118119.0000,-0.5312,0.7378,0.3193,-6.5308,14.7705,-45.5933
118120.0000,-0.5439,0.7285,0.3203,-5.9814,14.9536,-46.1426
118121.0000,-0.5625,0.7266,0.3257,-5.6763,14.9536,-46.9360
118122.0000,-0.5869,0.7158,0.3228,-5.5542,14.7705,-48.4009
118123.0000,-0.6021,0.7129,0.3247,-5.0049,14.7705,-50.4150
118124.0000,-0.6167,0.6978,0.3223,-4.5166,15.1367,-51.3916
118125.0000,-0.6309,0.6929,0.3184,-3.8452,15.3198,-50.7202
118126.0000,-0.6479,0.6851,0.3145,-2.6855,15.6250,-53.1006
118127.0000,-0.6562,0.6938,0.3101,-1.0376,15.9302,-53.6499
118128.0000,-0.6650,0.7036,0.3120,-0.0610,16.0522,-56.2134
118129.0000,-0.6709,0.7007,0.3105,0.7935,15.7471,-56.9458
118130.0000,-0.6846,0.6797,0.3032,0.9155,15.8081,-57.4341
118131.0000,-0.7183,0.6680,0.2979,1.2207,15.5640,-58.8989
118132.0000,-0.7485,0.6592,0.2915,1.5869,15.5640,-60.7300
118133.0000,-0.7861,0.6475,0.2861,2.0142,15.3198,-60.3638
118134.0000,-0.8042,0.6426,0.2812,2.4414,14.9536,-62.1948
118135.0000,-0.8188,0.6426,0.2783,2.6245,14.9536,-61.1572
118136.0000,-0.8369,0.6558,0.2793,2.5635,15.1978,-59.2041
118137.0000,-0.8423,0.6611,0.2783,2.0752,15.3198,-57.6172
118138.0000,-0.8384,0.6548,0.2734,1.4648,15.4419,-54.8706
118139.0000,-0.8413,0.6450,0.2651,0.8545,16.1133,-50.9033
118140.0000,-0.8306,0.6387,0.2617,0.5493,16.6626,-46.5088
118141.0000,-0.8018,0.6387,0.2646,0.8545,17.2119,-40.2222
118142.0000,-0.7930,0.6431,0.2690,0.8545,17.3950,-35.9497
118143.0000,-0.7607,0.6465,0.2720,1.1597,16.9678,-28.9917
118144.0000,-0.7524,0.6592,0.2734,1.4038,15.5029,-23.9258
118145.0000,-0.7505,0.6646,0.2744,1.4038,13.9771,-19.4702
118146.0000,-0.7427,0.6602,0.2744,1.1597,12.0850,-15.6250
118147.0000,-0.7427,0.6489,0.2773,0.7935,10.1929,-13.7939
118148.0000,-0.7305,0.6460,0.2754,0.8545,7.8735,-11.4136
118149.0000,-0.7280,0.6392,0.2734,0.7324,6.1035,-10.3760
118150.0000,-0.7256,0.6348,0.2710,0.3662,3.5400,-8.7280
118151.0000,-0.7173,0.6313,0.2700,0.3052,1.8921,-9.0332
118152.0000,-0.7173,0.6411,0.2695,0.2441,0.6714,-8.2397
118153.0000,-0.7207,0.6392,0.2700,0.4272,0.1831,-8.6060
118154.0000,-0.7261,0.6362,0.2700,0.2441,0.3052,-7.6294
118155.0000,-0.7310,0.6304,0.2690,-0.0000,0.5493,-6.9580
118156.0000,-0.7349,0.6216,0.2690,-0.4272,0.7935,-5.0049
118157.0000,-0.7310,0.6182,0.2695,-0.3662,0.6714,-4.7607
118158.0000,-0.7354,0.6221,0.2695,-0.2441,0.7935,-4.2725
118159.0000,-0.7349,0.6279,0.2710,0.0610,0.5493,-5.4932
118160.0000,-0.7378,0.6265,0.2734,0.3052,0.4883,-4.3335
118161.0000,-0.7393,0.6250,0.2710,0.3662,0.3052,-5.8594
118162.0000,-0.7485,0.6274,0.2734,0.4883,0.7935,-5.4932
118163.0000,-0.7500,0.6196,0.2739,0.4272,1.1597,-4.9438
