timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
115258.0000,-0.0181,0.9922,0.2642,-0.4272,1.1597,-5.0049
115259.0000,-0.0195,0.9937,0.2646,-0.2441,1.4038,-4.0894
115260.0000,-0.0269,0.9907,0.2632,0.0610,0.7935,-4.5166
115261.0000,-0.0293,0.9990,0.2607,0.1831,0.6714,-4.1504
115262.0000,-0.0249,0.9995,0.2603,0.1831,0.6104,-6.4087
115263.0000,-0.0264,1.0020,0.2622,0.3662,0.7324,-6.7139
115264.0000,-0.0254,1.0010,0.2627,0.2441,0.6714,-7.5684
115265.0000,-0.0317,1.0039,0.2632,0.1831,0.9155,-7.9346
115266.0000,-0.0312,1.0015,0.2607,0.2441,0.6104,-8.6670
115267.0000,-0.0293,1.0000,0.2617,0.1221,0.4883,-8.7891
115268.0000,-0.0381,0.9927,0.2651,0.0000,0.6104,-9.2163
115269.0000,-0.0283,0.9937,0.2656,0.0000,0.7935,-9.0332
115270.0000,-0.0400,0.9946,0.2627,0.0610,1.0376,-8.9722
115271.0000,-0.0337,0.9985,0.2627,0.1221,1.0986,-10.3760
115272.0000,-0.0312,1.0054,0.2617,0.2441,1.4038,-9.8877
115273.0000,-0.0322,1.0024,0.2627,0.3052,1.2207,-8.9722
115274.0000,-0.0317,0.9980,0.2646,0.3052,1.5869,-9.0942
115275.0000,-0.0244,0.9980,0.2642,-0.0610,1.4648,-9.9487
115276.0000,-0.0298,0.9902,0.2632,-0.0610,1.5869,-9.7656
115277.0000,-0.0303,0.9946,0.2637,-0.2441,1.6479,-11.1084
115278.0000,-0.0288,0.9941,0.2637,-0.1831,1.2817,-11.1084
115279.0000,-0.0312,0.9971,0.2632,-0.1831,1.5259,-12.5732
115280.0000,-0.0386,0.9912,0.2637,-0.1221,1.4648,-13.4277
115281.0000,-0.0337,0.9897,0.2632,0.0610,1.2207,-14.9536
115282.0000,-0.0371,0.9912,0.2661,0.1831,1.1597,-17.2119
115283.0000,-0.0366,0.9937,0.2642,0.1831,1.2207,-20.8130
115284.0000,-0.0391,0.9946,0.2642,0.3052,1.2817,-23.6206
115285.0000,-0.0312,0.9990,0.2637,0.6714,2.3193,-26.0620
115286.0000,-0.0312,1.0015,0.2651,0.8545,2.3804,-29.7852
115287.0000,-0.0405,1.0024,0.2651,1.1597,2.6855,-32.0435
115288.0000,-0.0400,1.0020,0.2661,1.3428,2.8076,-36.2549
115289.0000,-0.0332,1.0000,0.2671,1.2817,3.0518,-39.2456
115290.0000,-0.0293,0.9990,0.2656,1.2817,3.4180,-41.0156
115291.0000,-0.0317,0.9980,0.2671,1.0986,3.7231,-43.8232
115292.0000,-0.0303,1.0010,0.2686,1.0986,3.7842,-45.5322
115293.0000,-0.0317,1.0034,0.2671,1.0376,4.0894,-47.9126
115294.0000,-0.0317,0.9966,0.2646,0.7935,4.3335,-49.1943
115295.0000,-0.0352,0.9927,0.2627,0.6104,4.3945,-50.5371
115296.0000,-0.0317,0.9927,0.2607,0.5493,4.5776,-51.3916
115297.0000,-0.0366,0.9937,0.2607,0.3662,5.4321,-52.6733
115298.0000,-0.0410,0.9849,0.2598,0.0610,5.5542,-53.8940
115299.0000,-0.0410,0.9790,0.2612,-0.3052,5.6763,-54.2603
115300.0000,-0.0483,0.9727,0.2573,-0.7324,5.6763,-54.1992
115301.0000,-0.0503,0.9712,0.2583,-1.0376,5.9814,-54.7485
115302.0000,-0.0625,0.9702,0.2554,-1.3428,6.2256,-55.1758
115303.0000,-0.0698,0.9712,0.2544,-1.4648,6.8970,-55.1147
115304.0000,-0.0732,0.9634,0.2583,-1.7700,6.9580,-56.0913
115305.0000,-0.0767,0.9595,0.2617,-1.7090,7.6294,-55.6030
115306.0000,-0.0923,0.9531,0.2617,-1.8311,8.0566,-56.8237
115307.0000,-0.1025,0.9487,0.2598,-1.7700,7.9346,-56.3965
115308.0000,-0.1084,0.9482,0.2563,-1.6479,8.5449,-56.9458
115309.0000,-0.1221,0.9482,0.2612,-1.7700,8.5449,-57.7393
115310.0000,-0.1353,0.9399,0.2612,-1.8311,9.1553,-57.9834
115311.0000,-0.1416,0.9355,0.2588,-1.8311,9.0942,-57.9224
115312.0000,-0.1465,0.9268,0.2612,-2.0142,9.4604,-56.5796
115313.0000,-0.1592,0.9272,0.2593,-1.9531,10.0098,-55.9692
115314.0000,-0.1685,0.9194,0.2607,-2.0142,10.0708,-56.7627
115315.0000,-0.1729,0.9165,0.2607,-1.9531,9.9487,-56.5186
115316.0000,-0.1807,0.9160,0.2617,-1.8311,10.2539,-55.9082
115317.0000,-0.1875,0.9092,0.2603,-1.6479,10.6201,-56.7627
115318.0000,-0.2056,0.9009,0.2622,-1.3428,10.6812,-56.3354
115319.0000,-0.2134,0.8950,0.2646,-1.1597,10.5591,-57.0068
115320.0000,-0.2197,0.8882,0.2646,-0.9766,10.6201,-56.1523
115321.0000,-0.2393,0.8838,0.2651,-0.7324,10.4370,-55.2368
115322.0000,-0.2520,0.8760,0.2666,-0.8545,9.8267,-53.3447
115323.0000,-0.2617,0.8657,0.2661,-0.9766,9.6436,-53.5889
115324.0000,-0.2715,0.8555,0.2651,-0.9766,9.3994,-52.7954
115325.0000,-0.2842,0.8516,0.2656,-1.2817,8.9111,-54.1992
115326.0000,-0.2930,0.8501,0.2632,-1.3428,8.9111,-54.0161
115327.0000,-0.2983,0.8462,0.2632,-1.2817,8.6060,-53.8330
115328.0000,-0.3184,0.8481,0.2642,-1.2207,8.6060,-53.9551
115329.0000,-0.3149,0.8423,0.2642,-1.0986,8.7891,-54.6265
115330.0000,-0.3306,0.8433,0.2637,-0.9766,8.4839,-53.7109
115331.0000,-0.3457,0.8447,0.2661,-0.6104,9.0942,-53.3447
115332.0000,-0.3623,0.8379,0.2671,-0.0610,9.0332,-52.9175
115333.0000,-0.3745,0.8369,0.2671,0.3052,9.2163,-52.0020
115334.0000,-0.3882,0.8340,0.2695,0.4272,9.1553,-51.2085
115335.0000,-0.3979,0.8276,0.2661,0.7935,9.3384,-49.4385
115336.0000,-0.4102,0.8232,0.2651,1.1597,9.0332,-49.0723
115337.0000,-0.4136,0.8213,0.2637,1.4648,9.0332,-47.6685
115338.0000,-0.4160,0.8130,0.2646,1.8311,8.8501,-47.3022
115339.0000,-0.4248,0.8047,0.2612,1.9531,8.6670,-46.8750
115340.0000,-0.4292,0.8013,0.2583,1.9531,8.4229,-47.4854
115341.0000,-0.4390,0.7988,0.2529,1.9531,8.3008,-46.6309
115342.0000,-0.4614,0.7954,0.2529,2.0752,8.3618,-46.0205
115343.0000,-0.4731,0.7959,0.2495,2.0752,8.0566,-45.8374
115344.0000,-0.4717,0.7944,0.2471,2.3193,8.2397,-44.4946
115345.0000,-0.4893,0.7944,0.2461,2.6245,8.6670,-43.0908
115346.0000,-0.4917,0.7925,0.2441,2.7466,8.4229,-41.7480
115347.0000,-0.5132,0.7856,0.2427,2.6855,8.4839,-39.3677
115348.0000,-0.5078,0.7861,0.2432,2.8687,8.5449,-37.8418
115349.0000,-0.5176,0.7847,0.2422,2.8687,8.8501,-36.6821
115350.0000,-0.5283,0.7808,0.2383,2.8076,9.0332,-36.9873
115351.0000,-0.5322,0.7773,0.2354,2.6855,8.7891,-36.2549
115352.0000,-0.5454,0.7720,0.2339,2.6245,9.2163,-36.3770
115353.0000,-0.5405,0.7651,0.2324,2.2583,9.2773,-36.6211
115354.0000,-0.5654,0.7612,0.2290,2.1362,8.7891,-35.8276
115355.0000,-0.5698,0.7505,0.2334,1.8311,8.9111,-35.8887
115356.0000,-0.5840,0.7427,0.2310,1.5869,8.6060,-34.9121
115357.0000,-0.5869,0.7412,0.2236,1.4648,8.7280,-33.5693
115358.0000,-0.5991,0.7441,0.2183,1.4038,8.7891,-31.6772
115359.0000,-0.5947,0.7554,0.2168,1.4648,8.4839,-31.0669
115360.0000,-0.6143,0.7583,0.2178,1.6479,8.3008,-29.2358
115361.0000,-0.6157,0.7559,0.2202,1.7700,7.8735,-29.5410
115362.0000,-0.6104,0.7500,0.2197,1.2817,7.6904,-29.1138
115363.0000,-0.6104,0.7451,0.2227,0.8545,7.0190,-27.8931
115364.0000,-0.6162,0.7358,0.2256,0.3662,7.0801,-27.4658
115365.0000,-0.6211,0.7310,0.2275,-0.4272,6.9580,-26.3672
