timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
44040.0000,-0.0835,0.9663,0.3960,2.6855,-2.3193,-2.9297
44041.0000,-0.0776,0.9653,0.3975,2.8687,2.0142,-2.5635
44042.0000,-0.0835,0.9678,0.3999,2.5635,0.0610,-3.2349
44043.0000,-0.0835,0.9658,0.3911,2.3193,1.4648,-2.9297
44044.0000,-0.0815,0.9624,0.3911,1.7700,-0.1831,-2.3804
44045.0000,-0.0903,0.9570,0.3931,1.6479,3.8452,-2.1362
44046.0000,-0.0996,0.9541,0.3975,1.5869,1.0376,-2.5635
44047.0000,-0.1040,0.9541,0.3931,1.0986,2.8076,-2.2583
44048.0000,-0.1089,0.9570,0.3945,1.1597,3.9673,-1.8921
44049.0000,-0.1123,0.9575,0.3936,1.1597,2.1362,-1.6479
44050.0000,-0.1094,0.9565,0.3882,1.0376,2.6245,-2.4414
44051.0000,-0.1113,0.9551,0.3936,1.2207,1.1597,-1.1597
44052.0000,-0.1123,0.9551,0.3916,0.7935,3.8452,-1.8921
44053.0000,-0.1147,0.9546,0.3936,0.3662,3.3569,-2.2583
44054.0000,-0.1201,0.9526,0.3896,0.5493,6.7749,-1.8921
44055.0000,-0.1191,0.9521,0.3950,0.3052,2.7466,-2.5635
44056.0000,-0.1167,0.9531,0.3979,0.2441,3.2959,-2.1973
44057.0000,-0.1074,0.9517,0.3975,-0.1221,4.3335,-1.7090
44058.0000,-0.0986,0.9512,0.3970,0.1221,-0.9766,-1.9531
44059.0000,-0.0850,0.9546,0.3970,-0.1831,1.4648,-1.7700
44060.0000,-0.0737,0.9585,0.3979,-0.3052,-0.7324,-1.8921
44061.0000,-0.0654,0.9624,0.3950,-0.1831,-0.4272,-1.4648
44062.0000,-0.0542,0.9634,0.3940,-0.2441,0.3052,-0.4883
44063.0000,-0.0376,0.9688,0.3936,-0.4272,2.0752,-1.7090
44064.0000,-0.0142,0.9741,0.3936,-0.3662,3.2349,-1.1597
44065.0000,0.0151,0.9795,0.3955,-0.2441,5.9814,-0.6104
44066.0000,0.0444,0.9814,0.3940,-0.2441,9.2163,-1.2207
44067.0000,0.0679,0.9766,0.3867,-0.3662,10.5591,0.1221
44068.0000,0.0713,0.9727,0.3882,-0.1831,13.7329,-0.1831
44069.0000,0.0713,0.9736,0.3799,-0.5493,20.7520,0.9155
44070.0000,0.0879,0.9741,0.3711,-0.4883,29.0527,2.0752
44071.0000,0.1025,0.9854,0.3574,-0.6714,31.7993,2.8687
44072.0000,0.1177,0.9946,0.3511,-0.7935,40.7715,3.6011
44073.0000,0.1177,0.9985,0.3369,-1.3428,49.9268,4.5776
44074.0000,0.1040,0.9932,0.3223,-2.0142,59.8145,6.9580
44075.0000,0.0981,0.9873,0.3091,-2.6855,65.6738,7.8735
44076.0000,0.0898,0.9956,0.2969,-3.3569,76.9043,10.0708
44077.0000,0.0835,1.0137,0.2808,-3.6621,83.1909,11.9629
44078.0000,0.0688,1.0195,0.2578,-4.0894,97.9614,14.7095
44079.0000,0.0547,1.0024,0.2427,-4.5166,107.2998,16.8457
44080.0000,0.0347,0.9897,0.2266,-4.8218,119.9341,19.6533
44081.0000,0.0244,0.9917,0.2188,-5.2490,126.9531,22.9492
44082.0000,0.0186,1.0088,0.2124,-5.9814,138.1226,26.4282
44083.0000,0.0186,1.0264,0.2046,-6.4087,144.7754,28.9307
44084.0000,0.0142,1.0347,0.1929,-7.3242,154.4800,31.3110
44085.0000,-0.0098,1.0342,0.1836,-8.3008,160.0952,34.0576
44086.0000,-0.0347,1.0229,0.1738,-9.1553,169.6167,36.9873
44087.0000,-0.0635,1.0093,0.1631,-10.3149,177.0630,38.3301
44088.0000,-0.0898,0.9976,0.1587,-10.8643,183.1055,38.3301
44089.0000,-0.0903,0.9873,0.1528,-11.2915,191.4062,39.6118
44090.0000,-0.0762,0.9844,0.1445,-12.0239,196.6553,40.2832
44091.0000,-0.0713,0.9858,0.1421,-13.3667,205.5664,42.7246
44092.0000,-0.0752,0.9941,0.1392,-14.2212,210.5103,42.9077
44093.0000,-0.0986,1.0103,0.1289,-15.1978,216.3086,44.1895
44094.0000,-0.1475,1.0239,0.1270,-15.5640,221.1914,44.9829
44095.0000,-0.2046,1.0210,0.1270,-15.4419,223.2666,45.7153
44096.0000,-0.2534,0.9995,0.1260,-16.2964,226.6846,46.9971
44097.0000,-0.2827,0.9790,0.1255,-17.2119,226.6235,47.3022
44098.0000,-0.2959,0.9644,0.1343,-18.3716,230.0415,48.0957
44099.0000,-0.3105,0.9658,0.1411,-20.2637,231.5674,50.4150
44100.0000,-0.3262,0.9878,0.1489,-21.2402,235.7788,51.4526
44101.0000,-0.3833,1.0103,0.1577,-21.6064,237.9761,51.9409
