timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
50537.0000,-0.1343,0.9741,0.4019,-0.6104,-0.0000,-2.7466
50538.0000,-0.1377,0.9741,0.4048,-0.5493,0.2441,-2.6245
50539.0000,-0.1392,0.9712,0.4009,-0.1831,-1.8921,-2.5635
50540.0000,-0.1357,0.9741,0.4009,-0.0000,-0.7324,-2.5024
50541.0000,-0.1348,0.9746,0.3999,0.1831,-1.7090,-2.6855
50542.0000,-0.1348,0.9766,0.4019,0.4272,-0.6104,-2.5024
50543.0000,-0.1362,0.9780,0.4009,0.4272,-2.3804,-2.4414
50544.0000,-0.1396,0.9775,0.3960,0.2441,-3.0518,-2.5635
50545.0000,-0.1479,0.9814,0.3984,0.1221,-2.9297,-2.2583
50546.0000,-0.1494,0.9829,0.4004,-0.1221,-3.7231,-2.6245
50547.0000,-0.1567,0.9810,0.3955,-0.4883,-4.5776,-2.6245
50548.0000,-0.1523,0.9839,0.4014,-0.6104,-5.4321,-2.5024
50549.0000,-0.1523,0.9839,0.4023,-0.6104,-6.5918,-2.7466
50550.0000,-0.1528,0.9824,0.4033,-0.5493,-6.7749,-3.1128
50551.0000,-0.1499,0.9785,0.4009,-0.3662,-7.0801,-3.3569
50552.0000,-0.1519,0.9746,0.3999,0.1831,-5.6152,-3.2959
50553.0000,-0.1460,0.9727,0.3999,0.1831,-7.6904,-3.6621
50554.0000,-0.1455,0.9736,0.3984,-0.2441,-8.7280,-3.6011
50555.0000,-0.1475,0.9766,0.3970,-0.4883,-9.8267,-4.1504
50556.0000,-0.1514,0.9795,0.3945,-1.0376,-9.0942,-4.4556
50557.0000,-0.1484,0.9805,0.3970,-1.4648,-10.4980,-4.5776
50558.0000,-0.1533,0.9829,0.3945,-1.8311,-11.4136,-5.1880
50559.0000,-0.1479,0.9839,0.3970,-2.6245,-12.4512,-5.4932
50560.0000,-0.1514,0.9849,0.4004,-2.5024,-14.8926,-5.5542
50561.0000,-0.1489,0.9834,0.4023,-2.6245,-16.6016,-5.9204
50562.0000,-0.1509,0.9858,0.4023,-2.7466,-18.0664,-5.7373
50563.0000,-0.1587,0.9829,0.4038,-3.0518,-19.1040,-6.4697
50564.0000,-0.1694,0.9790,0.4028,-3.1738,-18.9209,-6.4087
50565.0000,-0.1724,0.9751,0.4019,-3.3569,-21.2402,-6.6528
50566.0000,-0.1743,0.9761,0.4004,-3.2959,-23.2544,-6.8970
50567.0000,-0.1719,0.9771,0.3999,-3.3569,-25.0244,-7.1411
50568.0000,-0.1685,0.9795,0.4033,-3.8452,-25.7568,-7.3853
50569.0000,-0.1650,0.9814,0.4033,-4.0894,-28.1372,-7.6294
50570.0000,-0.1636,0.9790,0.4053,-4.0283,-28.3813,-7.9346
50571.0000,-0.1655,0.9756,0.4087,-3.7842,-30.5786,-8.2397
50572.0000,-0.1689,0.9780,0.4048,-3.6011,-30.2734,-9.0942
50573.0000,-0.1772,0.9810,0.4058,-3.3569,-32.3486,-9.1553
50574.0000,-0.1777,0.9795,0.4062,-3.1738,-33.6914,-9.2163
50575.0000,-0.1772,0.9736,0.4072,-3.1738,-34.4238,-9.7656
50576.0000,-0.1777,0.9678,0.4048,-2.8076,-35.2783,-10.1929
50577.0000,-0.1782,0.9673,0.4058,-2.6855,-37.3535,-9.9487
50578.0000,-0.1729,0.9683,0.4058,-2.5635,-36.6821,-9.7656
50579.0000,-0.1689,0.9697,0.4043,-2.5635,-40.2222,-9.8877
50580.0000,-0.1689,0.9697,0.4053,-2.5635,-40.5884,-9.9487
50581.0000,-0.1665,0.9697,0.4048,-2.5024,-44.4336,-10.2539
50582.0000,-0.1641,0.9692,0.4053,-2.3193,-47.8516,-10.2539
50583.0000,-0.1685,0.9678,0.4048,-2.3193,-49.6826,-10.0708
50584.0000,-0.1733,0.9668,0.4097,-2.0142,-54.1992,-10.0708
50585.0000,-0.1763,0.9678,0.4082,-1.9531,-57.0068,-10.1318
50586.0000,-0.1772,0.9702,0.4092,-2.0142,-60.9131,-10.1929
50587.0000,-0.1689,0.9712,0.4077,-2.1973,-65.7349,-10.3149
50588.0000,-0.1611,0.9707,0.4136,-2.0752,-68.7866,-10.4370
50589.0000,-0.1582,0.9673,0.4170,-1.8921,-71.1060,-10.7422
50590.0000,-0.1606,0.9629,0.4150,-1.2817,-73.9136,-11.6577
50591.0000,-0.1733,0.9634,0.4165,-0.5493,-75.3174,-12.2070
50592.0000,-0.1851,0.9639,0.4175,0.0610,-77.0264,-12.7563
50593.0000,-0.1953,0.9663,0.4189,0.3052,-80.3833,-13.6719
50594.0000,-0.1968,0.9663,0.4209,0.2441,-84.7168,-14.4653
50595.0000,-0.1953,0.9658,0.4214,-0.1221,-86.4868,-15.5640
50596.0000,-0.1958,0.9639,0.4248,-0.0000,-90.2100,-16.1743
50597.0000,-0.1943,0.9629,0.4263,0.2441,-95.7031,-17.2119
50598.0000,-0.1919,0.9609,0.4272,0.5493,-100.0977,-17.9443
50599.0000,-0.1904,0.9551,0.4287,1.0986,-104.1260,-18.9819
50600.0000,-0.1948,0.9507,0.4292,1.5869,-106.1401,-19.7144
50601.0000,-0.1982,0.9487,0.4297,2.3804,-110.1074,-20.4468
50602.0000,-0.1919,0.9546,0.4312,2.9297,-113.5864,-21.1182
50603.0000,-0.1816,0.9619,0.4341,3.1128,-116.9434,-21.4233
50604.0000,-0.1709,0.9658,0.4341,3.0518,-120.8496,-21.8506
50605.0000,-0.1670,0.9648,0.4351,3.1128,-128.7842,-22.3999
50606.0000,-0.1650,0.9600,0.4351,2.9907,-135.6201,-22.9492
50607.0000,-0.1738,0.9536,0.4351,3.1128,-142.4561,-23.5596
50608.0000,-0.1792,0.9478,0.4302,3.4180,-151.0620,-24.2310
50609.0000,-0.1792,0.9429,0.4233,4.0283,-158.5693,-24.4751
50610.0000,-0.1841,0.9438,0.4131,4.6387,-160.7666,-25.4517
50611.0000,-0.1963,0.9502,0.4106,5.7373,-163.5132,-26.4282
50612.0000,-0.1982,0.9595,0.4126,6.4697,-162.6587,-27.2217
50613.0000,-0.1973,0.9678,0.4131,7.1411,-162.9028,-27.8320
50614.0000,-0.1841,0.9688,0.4180,7.0190,-160.7666,-28.5034
50615.0000,-0.1787,0.9644,0.4189,6.6528,-161.8042,-28.9307
50616.0000,-0.1821,0.9531,0.4214,6.4087,-160.7666,-29.4189
50617.0000,-0.2041,0.9390,0.4209,6.2256,-161.1938,-30.7007
50618.0000,-0.2358,0.9312,0.4194,6.1646,-157.1045,-31.5552
50619.0000,-0.2769,0.9351,0.4268,6.4087,-152.7100,-33.0200
50620.0000,-0.2930,0.9448,0.4370,6.5918,-148.8037,-34.4849
50621.0000,-0.2695,0.9556,0.4473,7.2021,-142.7612,-35.5835
50622.0000,-0.1958,0.9634,0.4561,7.3242,-138.6719,-36.3159
50623.0000,-0.1196,0.9639,0.4644,7.4463,-135.1929,-37.1704
50624.0000,-0.0796,0.9575,0.4653,7.2632,-129.8828,-37.2925
