timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
92653.0000,-0.1548,0.9282,0.4019,-1.2207,6.1035,-12.6343
92654.0000,-0.1514,0.9297,0.4043,-0.8545,5.6152,-12.3291
92655.0000,-0.1572,0.9287,0.4033,-0.6104,6.0425,-12.2681
92656.0000,-0.1616,0.9321,0.4014,-0.3662,5.3711,-11.7188
92657.0000,-0.1611,0.9380,0.3999,-0.1831,4.8828,-9.5215
92658.0000,-0.1655,0.9351,0.4009,-0.1831,4.9438,-10.2539
92659.0000,-0.1685,0.9355,0.4004,-0.2441,5.0659,-8.4839
92660.0000,-0.1733,0.9355,0.4014,-0.4272,5.0049,-7.4463
92661.0000,-0.1802,0.9399,0.4009,-0.4272,5.1270,-7.3242
92662.0000,-0.1938,0.9399,0.3999,-0.6104,5.1270,-6.6528
92663.0000,-0.1865,0.9365,0.3989,-0.7324,4.5776,-5.6152
92664.0000,-0.1895,0.9360,0.3984,-0.7935,3.8452,-4.1504
92665.0000,-0.1797,0.9414,0.3989,-0.7935,3.4180,-2.1973
92666.0000,-0.1812,0.9409,0.3989,-0.6104,2.9907,-0.6714
92667.0000,-0.1826,0.9385,0.4009,-0.7935,2.8687,0.3052
92668.0000,-0.1792,0.9399,0.4014,-0.7324,2.1973,2.1973
92669.0000,-0.1812,0.9404,0.3999,-0.7324,2.0142,2.0752
92670.0000,-0.1807,0.9355,0.3999,-0.6104,1.8921,3.7842
92671.0000,-0.1812,0.9346,0.4004,-0.5493,1.2817,3.5400
92672.0000,-0.1836,0.9341,0.4009,-0.6714,1.0376,4.5166
92673.0000,-0.1846,0.9341,0.3999,-0.5493,0.9155,4.8828
92674.0000,-0.1870,0.9346,0.4023,-0.5493,0.3052,7.3242
92675.0000,-0.1772,0.9336,0.4019,-0.5493,0.0610,9.2773
92676.0000,-0.1709,0.9312,0.3999,-0.2441,-0.1831,11.9629
92677.0000,-0.1675,0.9346,0.3989,-0.0610,-0.6104,13.1226
92678.0000,-0.1709,0.9375,0.4009,0.1221,-1.0376,13.9771
92679.0000,-0.1523,0.9390,0.3979,0.1831,-1.4648,15.9302
92680.0000,-0.1519,0.9409,0.3999,0.3662,-1.7700,16.9678
92681.0000,-0.1543,0.9448,0.3989,0.5493,-1.9531,18.1885
