timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
269965.0000,-0.2749,0.8945,0.3887,4.3945,5.6152,-13.3057
269966.0000,-0.2856,0.8989,0.3862,4.3335,5.7373,-13.4277
269967.0000,-0.2949,0.8994,0.3862,3.8452,5.4932,-13.0615
269968.0000,-0.3022,0.8994,0.3882,3.7231,4.8828,-12.8174
269969.0000,-0.3115,0.8989,0.3877,3.6011,5.5542,-11.6577
269970.0000,-0.3286,0.9009,0.3911,3.2349,4.6997,-9.1553
269971.0000,-0.3428,0.9043,0.3901,3.4180,4.8828,-7.4463
269972.0000,-0.3521,0.9058,0.3892,3.3569,4.6997,-5.4321
269973.0000,-0.3643,0.9033,0.3906,3.4790,3.9062,-3.4790
269974.0000,-0.3765,0.9033,0.3882,3.7842,2.8076,0.0610
269975.0000,-0.3750,0.9082,0.3936,4.1504,2.4414,3.4180
269976.0000,-0.3667,0.9219,0.3950,4.1504,2.0142,6.2866
269977.0000,-0.3545,0.9365,0.3926,4.2114,1.4648,9.5825
269978.0000,-0.3472,0.9390,0.3872,3.7231,1.4038,13.4277
269979.0000,-0.3433,0.9380,0.3809,3.2959,1.7700,14.4043
269980.0000,-0.3228,0.9360,0.3745,2.6245,1.5869,15.6250
269981.0000,-0.3101,0.9355,0.3691,1.7090,1.6479,16.9067
269982.0000,-0.2969,0.9370,0.3643,0.8545,1.9531,17.8833
269983.0000,-0.2822,0.9336,0.3613,-0.3662,2.1973,18.2495
269984.0000,-0.2725,0.9307,0.3545,-1.9531,2.4414,18.3105
269985.0000,-0.2612,0.9263,0.3511,-3.2959,2.3193,18.7988
269986.0000,-0.2539,0.9199,0.3501,-4.7607,2.5024,18.4937
269987.0000,-0.2358,0.9131,0.3486,-5.5542,2.6245,17.4561
269988.0000,-0.2261,0.9082,0.3438,-6.2866,3.1738,17.5781
269989.0000,-0.2139,0.9058,0.3423,-7.8735,3.7231,16.9067
269990.0000,-0.2056,0.9048,0.3486,-8.0566,4.4556,16.1743
269991.0000,-0.1885,0.9028,0.3477,-9.2163,5.5542,15.1367
269992.0000,-0.1670,0.9067,0.3433,-9.9487,7.0801,13.8550
269993.0000,-0.1572,0.9072,0.3438,-10.9253,8.4839,12.5732
269994.0000,-0.1387,0.9087,0.3433,-12.0239,11.1084,10.4370
269995.0000,-0.1353,0.9072,0.3403,-13.1836,13.1226,9.4604
269996.0000,-0.1372,0.9038,0.3433,-14.7095,14.5264,6.6528
269997.0000,-0.1392,0.8994,0.3442,-15.9912,16.1743,4.6997
269998.0000,-0.1426,0.9004,0.3457,-17.5781,17.5781,3.2959
269999.0000,-0.1582,0.9009,0.3477,-18.8599,17.8223,-0.2441
270000.0000,-0.1631,0.8955,0.3481,-20.1416,18.4326,-2.4414
270001.0000,-0.1665,0.8906,0.3511,-21.5454,19.5923,-5.7373
270002.0000,-0.1694,0.8818,0.3555,-23.0713,20.0806,-8.7891
270003.0000,-0.1753,0.8799,0.3599,-24.1699,20.3857,-11.3525
270004.0000,-0.1826,0.8784,0.3647,-25.0854,20.9351,-14.2212
270005.0000,-0.1958,0.8711,0.3721,-25.9399,21.9727,-15.5029
270006.0000,-0.2134,0.8550,0.3813,-26.6724,23.3154,-18.4937
270007.0000,-0.2554,0.8369,0.3906,-26.8555,23.3765,-21.1792
270008.0000,-0.3125,0.8208,0.3970,-27.2827,21.9727,-23.1934
270009.0000,-0.3628,0.8086,0.4048,-26.9165,19.2871,-24.9023
270010.0000,-0.4194,0.8032,0.4111,-25.9399,16.4185,-28.5645
270011.0000,-0.4639,0.8071,0.4243,-24.7803,12.6953,-30.5176
270012.0000,-0.4868,0.8149,0.4390,-22.8271,8.9111,-30.9448
270013.0000,-0.4922,0.8315,0.4526,-20.4468,5.7373,-31.3110
270014.0000,-0.5073,0.8442,0.4692,-17.6392,2.9297,-28.7476
270015.0000,-0.5186,0.8428,0.4897,-14.5874,-0.1831,-24.4751
270016.0000,-0.5312,0.8398,0.5015,-12.1460,-3.5400,-16.5405
270017.0000,-0.5298,0.8374,0.5127,-9.5825,-6.4087,-10.9253
270018.0000,-0.5137,0.8369,0.5142,-6.5918,-8.4229,-4.5776
270019.0000,-0.4829,0.8398,0.5190,-4.1504,-10.1929,3.2349
270020.0000,-0.4482,0.8472,0.5195,-1.0986,-10.9863,10.0708
270021.0000,-0.4287,0.8525,0.5259,2.4414,-12.0239,15.5640
270022.0000,-0.4116,0.8506,0.5249,5.2490,-13.6719,21.6675
270023.0000,-0.3813,0.8403,0.5200,7.9956,-14.2822,27.2217
270024.0000,-0.3325,0.8306,0.5127,9.8267,-13.9160,32.4097
270025.0000,-0.2900,0.8335,0.4961,11.9019,-13.0615,36.9263
270026.0000,-0.2529,0.8423,0.4844,14.0991,-12.4512,41.9922
270027.0000,-0.2085,0.8472,0.4678,16.6016,-11.0474,46.1426
270028.0000,-0.1729,0.8545,0.4561,18.6157,-10.8032,49.9878
270029.0000,-0.1348,0.8633,0.4438,19.5312,-9.0942,52.6123
270030.0000,-0.1021,0.8701,0.4307,20.1416,-8.7280,52.5513
270031.0000,-0.0879,0.8760,0.4131,20.1416,-7.9346,50.2930
270032.0000,-0.0649,0.8809,0.4023,19.8975,-7.3242,46.7529
270033.0000,-0.0527,0.8867,0.3911,18.6157,-5.8594,42.3584
270034.0000,-0.0391,0.8892,0.3843,17.2729,-5.6763,37.3535
270035.0000,-0.0249,0.8940,0.3730,15.9912,-4.6387,32.0435
270036.0000,-0.0146,0.8936,0.3647,14.5874,-4.1504,26.2451
270037.0000,-0.0151,0.8911,0.3584,12.8784,-2.9907,19.5923
270038.0000,-0.0073,0.8906,0.3545,11.0474,-2.3804,14.1602
270039.0000,-0.0103,0.8916,0.3511,9.4604,-1.1597,7.2021
270040.0000,-0.0112,0.8936,0.3496,7.5684,-0.1221,0.0000
270041.0000,-0.0156,0.8989,0.3501,5.7983,0.8545,-5.9204
270042.0000,-0.0269,0.8945,0.3477,4.3945,2.6245,-13.4277
270043.0000,-0.0479,0.8867,0.3442,2.8076,3.4180,-19.1650
270044.0000,-0.0723,0.8755,0.3433,1.0986,4.7607,-25.5127
270045.0000,-0.1060,0.8755,0.3472,-0.6714,6.6528,-31.9214
270046.0000,-0.1494,0.8784,0.3477,-2.3193,8.4839,-38.1470
270047.0000,-0.1973,0.8755,0.3501,-3.5400,10.3149,-44.0063
270048.0000,-0.2358,0.8628,0.3535,-3.8452,10.9863,-50.1709
270049.0000,-0.2935,0.8569,0.3569,-4.0894,12.2070,-54.3823
270050.0000,-0.3555,0.8760,0.3604,-4.5776,13.0005,-58.7769
270051.0000,-0.4019,0.8979,0.3633,-4.6387,13.8550,-61.8286
270052.0000,-0.4473,0.9077,0.3750,-4.3945,13.7939,-63.1714
270053.0000,-0.4893,0.9116,0.3882,-4.0283,13.0005,-63.1104
270054.0000,-0.5029,0.9053,0.3945,-3.5400,12.5122,-59.8145
