timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
249139.0000,-0.2305,0.9351,0.4443,-0.1831,1.0986,-4.1504
249140.0000,-0.2295,0.9380,0.4482,-0.1831,0.7935,-3.7231
249141.0000,-0.2339,0.9385,0.4468,-0.1221,0.9766,-4.2725
249142.0000,-0.2334,0.9380,0.4434,-0.1831,0.6714,-3.6621
249143.0000,-0.2349,0.9404,0.4473,0.0000,1.0376,-3.1738
249144.0000,-0.2349,0.9409,0.4468,0.0000,0.5493,-3.3569
249145.0000,-0.2388,0.9448,0.4434,0.0610,0.6714,-2.1973
249146.0000,-0.2319,0.9438,0.4438,0.0610,0.3662,-0.9766
249147.0000,-0.2314,0.9438,0.4448,0.0610,0.1221,-1.5259
249148.0000,-0.2334,0.9453,0.4414,-0.0610,-0.3052,-0.8545
249149.0000,-0.2310,0.9453,0.4424,-0.1831,-0.0610,-0.6714
249150.0000,-0.2275,0.9434,0.4438,-0.4272,-0.1831,-0.5493
249151.0000,-0.2266,0.9443,0.4434,-0.3662,0.1831,0.0610
249152.0000,-0.2271,0.9419,0.4443,-0.0610,-0.0000,-0.6714
249153.0000,-0.2251,0.9390,0.4458,-0.0610,0.2441,-0.9766
249154.0000,-0.2231,0.9395,0.4453,-0.1831,-0.1221,-1.8921
249155.0000,-0.2266,0.9409,0.4414,-0.1831,0.3662,-1.8921
249156.0000,-0.2305,0.9395,0.4448,-0.1221,0.4272,-1.0986
249157.0000,-0.2285,0.9355,0.4443,-0.0000,0.1831,-1.6479
249158.0000,-0.2251,0.9360,0.4429,-0.1831,0.1221,-1.4648
249159.0000,-0.2266,0.9395,0.4458,-0.0000,0.7324,-1.2817
249160.0000,-0.2256,0.9409,0.4453,-0.3662,0.5493,-1.8311
249161.0000,-0.2275,0.9409,0.4453,-0.1221,0.3662,-2.3193
249162.0000,-0.2271,0.9424,0.4458,-0.1831,0.6104,-1.2207
249163.0000,-0.2275,0.9419,0.4443,-0.4883,0.7935,-1.9531
249164.0000,-0.2300,0.9414,0.4424,-0.6714,1.0986,-1.6479
249165.0000,-0.2275,0.9434,0.4429,-0.7324,0.9155,-1.8311
249166.0000,-0.2261,0.9448,0.4448,-0.7324,0.9155,-1.9531
249167.0000,-0.2222,0.9424,0.4438,-0.9766,1.1597,-2.3193
249168.0000,-0.2217,0.9419,0.4443,-0.9155,0.9155,-3.1128
249169.0000,-0.2163,0.9409,0.4478,-0.9766,1.3428,-3.2959
249170.0000,-0.2061,0.9409,0.4473,-0.9155,2.1362,-3.0518
249171.0000,-0.2026,0.9390,0.4468,-0.9155,2.6245,-3.5400
249172.0000,-0.1938,0.9395,0.4492,-0.8545,3.8452,-2.7466
249173.0000,-0.2026,0.9404,0.4517,-1.0986,4.8218,-3.1738
249174.0000,-0.2056,0.9414,0.4546,-1.1597,5.5542,-4.3945
249175.0000,-0.2070,0.9409,0.4521,-1.5259,5.9814,-6.5308
249176.0000,-0.2129,0.9399,0.4507,-2.0142,5.7983,-8.3008
249177.0000,-0.2207,0.9414,0.4502,-2.5635,5.9814,-12.9395
249178.0000,-0.2319,0.9395,0.4473,-3.0518,6.1646,-15.9302
249179.0000,-0.2368,0.9399,0.4458,-3.6621,6.3477,-18.4937
249180.0000,-0.2505,0.9448,0.4438,-4.2114,6.3477,-20.7520
249181.0000,-0.2764,0.9492,0.4424,-4.6387,6.8970,-22.5220
249182.0000,-0.2993,0.9492,0.4419,-4.5776,6.8359,-23.1934
249183.0000,-0.3257,0.9492,0.4468,-4.5776,5.7983,-24.0479
249184.0000,-0.3345,0.9482,0.4463,-4.7607,5.1880,-24.2920
249185.0000,-0.3408,0.9492,0.4517,-5.0049,3.9062,-23.9258
