timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
185484.0000,-0.2817,0.9927,0.2236,10.0098,91.7358,18.7378
185485.0000,-0.2793,1.0073,0.2319,9.7656,86.9141,18.6768
185486.0000,-0.2803,1.0195,0.2295,9.2163,85.0220,18.0054
185487.0000,-0.2954,1.0078,0.2349,7.9346,82.9468,18.1885
185488.0000,-0.3232,0.9961,0.2354,7.1411,82.8247,17.7612
185489.0000,-0.3652,0.9985,0.2417,5.9204,79.8950,15.7471
185490.0000,-0.4136,1.0059,0.2539,5.8594,72.5708,13.9160
185491.0000,-0.4292,1.0059,0.2690,5.6763,63.7817,13.0615
185492.0000,-0.4302,1.0093,0.2793,5.3101,58.1055,11.1694
185493.0000,-0.4028,1.0093,0.2930,4.9438,49.6826,9.0942
185494.0000,-0.3770,1.0034,0.2988,4.3335,42.9077,8.7280
185495.0000,-0.3657,0.9961,0.3037,3.4790,35.5835,7.2632
185496.0000,-0.3706,0.9907,0.3071,2.0142,29.1748,5.8594
185497.0000,-0.3833,0.9868,0.3076,2.1973,24.2920,4.9438
185498.0000,-0.3804,0.9844,0.3135,0.9155,19.7754,3.7842
185499.0000,-0.3628,0.9780,0.3130,1.4038,14.3433,3.4180
185500.0000,-0.3398,0.9771,0.3149,0.2441,7.2632,0.9155
185501.0000,-0.3203,0.9717,0.3164,-0.7935,1.1597,0.9766
185502.0000,-0.3003,0.9644,0.3164,-0.6714,-5.3101,0.6104
185503.0000,-0.2920,0.9634,0.3140,-1.2817,-8.1177,-0.7935
185504.0000,-0.2881,0.9702,0.3057,-0.9766,-8.7891,-2.6855
185505.0000,-0.2778,0.9746,0.3081,-1.5869,-14.8315,-3.2959
185506.0000,-0.2725,0.9736,0.3066,-1.0986,-18.5547,-1.4648
185507.0000,-0.2617,0.9707,0.3076,-1.7090,-18.1274,-2.7466
185508.0000,-0.2500,0.9673,0.3062,-1.6479,-20.2026,-2.9297
185509.0000,-0.2285,0.9663,0.3052,-1.4648,-23.6206,-2.5024
185510.0000,-0.2100,0.9668,0.3057,-1.8921,-23.9258,-2.5635
185511.0000,-0.1943,0.9697,0.3018,-1.1597,-22.8882,-2.3804
185512.0000,-0.1855,0.9751,0.3003,-1.3428,-22.4609,-1.8311
185513.0000,-0.1841,0.9751,0.3071,-1.0986,-20.8130,-2.8076
185514.0000,-0.1875,0.9741,0.3057,-1.4648,-23.0103,-2.6245
185515.0000,-0.1821,0.9736,0.3052,-0.8545,-19.5312,-2.2583
185516.0000,-0.1890,0.9800,0.3047,-0.9155,-18.4937,-2.2583
185517.0000,-0.1768,0.9858,0.3057,-0.4272,-19.7754,-2.1362
185518.0000,-0.1743,0.9932,0.3032,-0.9766,-12.2681,-1.9531
185519.0000,-0.1655,0.9956,0.3052,-0.8545,-12.2681,-1.2207
185520.0000,-0.1738,0.9956,0.3091,-0.1831,-12.9395,-1.0986
185521.0000,-0.1665,0.9897,0.3037,-0.3662,-4.8218,-0.0000
185522.0000,-0.1660,0.9805,0.3047,-0.7324,-5.2490,0.2441
185523.0000,-0.1587,0.9771,0.3042,-0.8545,-0.7935,0.7935
185524.0000,-0.1401,0.9800,0.3022,-0.1831,-1.1597,3.0518
185525.0000,-0.1201,0.9888,0.3047,-0.1221,0.2441,3.5400
185526.0000,-0.0942,0.9995,0.3076,-0.4272,6.1646,5.4932
185527.0000,-0.0796,1.0078,0.3062,-0.9766,12.9395,6.3477
185528.0000,-0.0664,1.0093,0.3042,-2.1973,16.5405,8.0566
185529.0000,-0.0625,1.0107,0.3062,-2.6855,24.7803,10.6812
185530.0000,-0.0430,1.0137,0.3066,-2.9297,32.5928,12.7563
185531.0000,-0.0288,1.0215,0.3037,-4.2114,36.6211,15.0757
185532.0000,-0.0020,1.0278,0.2993,-4.6997,50.2319,17.1509
185533.0000,0.0332,1.0342,0.2944,-4.6997,62.8052,20.5688
185534.0000,0.0488,1.0405,0.2881,-4.5776,72.0825,23.9258
185535.0000,0.0615,1.0400,0.2842,-5.4932,86.5479,26.7334
185536.0000,0.0732,1.0439,0.2739,-6.9580,103.3325,29.2969
185537.0000,0.0859,1.0527,0.2617,-7.3242,117.1265,32.5317
185538.0000,0.0781,1.0625,0.2520,-8.7891,135.1929,36.1938
185539.0000,0.0708,1.0581,0.2329,-9.3994,152.9541,38.6353
185540.0000,0.0342,1.0547,0.2139,-10.4980,165.5884,41.8701
185541.0000,0.0054,1.0488,0.1929,-11.3525,182.8613,44.9219
185542.0000,-0.0127,1.0454,0.1660,-12.2681,192.0166,49.3164
185543.0000,-0.0283,1.0444,0.1401,-14.0991,199.3408,52.8564
185544.0000,-0.0469,1.0430,0.1191,-15.0146,208.6792,53.6499
185545.0000,-0.0537,1.0410,0.0957,-15.8081,221.4355,55.5420
185546.0000,-0.0962,1.0415,0.0820,-17.1509,226.8677,54.9927
185547.0000,-0.1416,1.0469,0.0684,-19.2871,234.5581,55.3589
185548.0000,-0.2217,1.0522,0.0498,-20.0195,229.2480,54.8706
185549.0000,-0.2944,1.0508,0.0356,-19.9585,220.1538,54.0161
185550.0000,-0.3408,1.0454,0.0381,-20.1416,210.7544,52.4902
185551.0000,-0.3745,1.0371,0.0464,-19.6533,201.2939,49.4995
185552.0000,-0.3887,1.0249,0.0630,-19.1650,191.8335,47.6685
185553.0000,-0.4053,1.0122,0.0742,-18.3105,175.9033,43.3960
185554.0000,-0.4209,0.9966,0.0859,-17.2729,166.3818,40.2222
185555.0000,-0.4409,0.9897,0.1001,-16.7847,147.9492,35.6445
185556.0000,-0.4731,0.9893,0.1108,-15.8691,127.9297,31.2500
185557.0000,-0.5015,0.9868,0.1299,-15.6250,114.1968,25.5737
185558.0000,-0.5259,0.9805,0.1538,-14.7705,93.5669,20.7520
185559.0000,-0.5376,0.9673,0.1782,-14.0991,79.8340,15.9912
185560.0000,-0.5498,0.9551,0.2031,-12.7563,60.1807,11.2915
185561.0000,-0.5547,0.9502,0.2217,-10.6201,39.1235,6.8359
185562.0000,-0.5620,0.9556,0.2417,-9.3384,20.9961,4.0283
185563.0000,-0.5684,0.9663,0.2676,-7.7515,1.2207,1.3428
185564.0000,-0.5591,0.9692,0.2817,-6.5308,-13.0615,-3.0518
185565.0000,-0.5420,0.9683,0.2910,-5.3101,-28.0151,-6.9580
185566.0000,-0.5146,0.9609,0.2905,-3.2959,-44.5557,-9.7656
185567.0000,-0.5015,0.9512,0.2856,-0.4883,-56.5186,-12.1460
185568.0000,-0.4697,0.9443,0.2822,1.1597,-65.1245,-15.0757
185569.0000,-0.4414,0.9473,0.2769,2.1973,-72.5708,-16.8457
185570.0000,-0.4058,0.9531,0.2759,4.3335,-80.4443,-18.9819
185571.0000,-0.3823,0.9565,0.2705,4.8218,-85.9985,-18.6768
185572.0000,-0.3706,0.9629,0.2656,6.5918,-93.5669,-19.7754
185573.0000,-0.3608,0.9727,0.2559,9.2163,-100.8911,-19.8975
185574.0000,-0.3691,0.9795,0.2520,11.4136,-111.8774,-20.5078
185575.0000,-0.3896,0.9829,0.2466,13.7329,-116.7603,-20.5078
185576.0000,-0.3960,0.9805,0.2510,15.1978,-128.6011,-20.2026
185577.0000,-0.4077,0.9795,0.2549,17.2119,-137.5122,-20.0195
185578.0000,-0.4077,0.9810,0.2563,18.4326,-144.1650,-20.2637
185579.0000,-0.4043,0.9819,0.2603,18.1885,-153.1372,-20.4468
185580.0000,-0.4028,0.9839,0.2622,18.7988,-163.8794,-21.1792
185581.0000,-0.4238,0.9844,0.2612,19.2261,-170.4102,-22.3389
185582.0000,-0.4175,0.9912,0.2583,20.0806,-175.4150,-23.1934
185583.0000,-0.4136,0.9995,0.2529,20.7520,-184.7534,-24.1699
185584.0000,-0.4058,1.0122,0.2515,21.4233,-190.6128,-24.2310
185585.0000,-0.3989,1.0254,0.2485,20.6909,-195.0684,-25.3296
185586.0000,-0.3916,1.0415,0.2515,21.8506,-198.7305,-25.4517
185587.0000,-0.3721,1.0503,0.2480,21.1792,-206.1768,-26.1841
185588.0000,-0.3540,1.0439,0.2422,21.2402,-210.5713,-26.6724
185589.0000,-0.3335,1.0332,0.2280,20.3247,-212.0361,-29.4800
185590.0000,-0.3325,1.0298,0.2183,18.8599,-214.9048,-30.0293
185591.0000,-0.3423,1.0361,0.2163,17.8833,-214.4775,-31.4941
185592.0000,-0.3438,1.0493,0.2178,16.3574,-215.0269,-33.9966
185593.0000,-0.3257,1.0596,0.2134,14.8315,-215.0879,-35.2783
185594.0000,-0.2959,1.0630,0.2061,13.6719,-212.8296,-38.0249
185595.0000,-0.2549,1.0640,0.1968,11.8408,-207.4585,-40.4663
185596.0000,-0.2300,1.0576,0.1904,10.7422,-201.8433,-42.9077
