timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
150823.0000,-0.1416,0.8247,0.6924,-4.8218,-3.1128,0.1221
150824.0000,-0.1396,0.8262,0.6851,-4.2114,-2.9907,0.1831
150825.0000,-0.1382,0.8267,0.6870,-2.3804,-2.9297,0.2441
150826.0000,-0.1333,0.8262,0.6880,-1.4648,-2.9297,0.4883
150827.0000,-0.1338,0.8267,0.6870,-0.5493,-2.5635,0.6104
150828.0000,-0.1348,0.8276,0.6753,0.3662,-2.4414,0.8545
150829.0000,-0.1338,0.8296,0.6802,1.5259,-2.4414,1.0376
150830.0000,-0.1294,0.8320,0.6802,2.8687,-2.3193,1.0986
150831.0000,-0.1245,0.8320,0.6763,3.5400,-2.0142,1.1597
150832.0000,-0.1226,0.8335,0.6699,4.6387,-1.6479,1.1597
150833.0000,-0.1250,0.8345,0.6694,5.4932,-1.6479,0.9766
150834.0000,-0.1230,0.8398,0.6655,5.7373,-1.2207,0.6104
150835.0000,-0.1245,0.8398,0.6602,6.2256,-0.9155,0.3052
150836.0000,-0.1270,0.8423,0.6562,6.2866,-0.9155,0.0000
150837.0000,-0.1328,0.8428,0.6558,7.1411,-1.0376,-0.3662
150838.0000,-0.1343,0.8433,0.6528,6.5918,-1.2817,-0.5493
150839.0000,-0.1362,0.8467,0.6460,7.5073,-1.5869,-0.7935
150840.0000,-0.1362,0.8501,0.6538,7.5073,-1.5869,-0.9155
150841.0000,-0.1328,0.8525,0.6406,7.7515,-1.5259,-0.9155
150842.0000,-0.1289,0.8555,0.6489,7.7515,-1.7090,-0.9155
150843.0000,-0.1343,0.8560,0.6421,8.3008,-1.6479,-1.1597
150844.0000,-0.1299,0.8579,0.6436,7.9956,-1.7090,-1.5259
150845.0000,-0.1304,0.8594,0.6421,8.9111,-1.6479,-1.8921
150846.0000,-0.1294,0.8604,0.6338,9.1553,-1.8311,-2.0752
150847.0000,-0.1318,0.8604,0.6436,9.6436,-1.8311,-2.3193
150848.0000,-0.1362,0.8584,0.6377,10.4370,-1.7700,-2.6855
150849.0000,-0.1304,0.8604,0.6367,10.5591,-1.5869,-2.8687
150850.0000,-0.1289,0.8628,0.6362,10.6812,-1.5259,-2.9907
150851.0000,-0.1328,0.8628,0.6362,11.4746,-1.5869,-3.2349
150852.0000,-0.1318,0.8608,0.6353,12.0239,-1.5259,-3.2959
150853.0000,-0.1309,0.8618,0.6333,13.0005,-1.5869,-3.3569
150854.0000,-0.1338,0.8643,0.6406,14.3433,-1.5259,-3.5400
150855.0000,-0.1338,0.8652,0.6382,15.3809,-1.3428,-3.6621
150856.0000,-0.1313,0.8647,0.6411,16.3574,-1.4648,-4.0283
150857.0000,-0.1309,0.8643,0.6362,17.0288,-1.5869,-4.2114
150858.0000,-0.1333,0.8667,0.6436,18.3105,-1.2817,-4.5166
150859.0000,-0.1313,0.8623,0.6392,18.9819,-1.0986,-4.8828
150860.0000,-0.1313,0.8584,0.6367,20.2026,-0.8545,-5.2490
150861.0000,-0.1318,0.8574,0.6304,20.9961,-0.4272,-5.3101
150862.0000,-0.1289,0.8535,0.6357,22.3389,-0.1221,-5.7373
150863.0000,-0.1289,0.8525,0.6333,23.4985,0.4272,-6.0425
150864.0000,-0.1255,0.8516,0.6338,24.5361,1.1597,-6.4087
150865.0000,-0.1260,0.8521,0.6343,25.0244,2.0752,-6.8359
150866.0000,-0.1255,0.8516,0.6265,26.1230,2.5635,-7.4463
150867.0000,-0.1279,0.8535,0.6333,27.4658,2.5635,-7.5684
150868.0000,-0.1240,0.8555,0.6279,28.5034,2.5635,-7.5073
150869.0000,-0.1211,0.8540,0.6265,29.9683,2.8076,-7.6294
150870.0000,-0.1260,0.8525,0.6172,31.0059,3.1128,-7.6904
150871.0000,-0.1362,0.8525,0.6108,31.7383,3.2959,-7.8735
150872.0000,-0.1406,0.8540,0.6089,32.6538,3.5400,-8.1177
150873.0000,-0.1372,0.8545,0.6006,32.6538,3.5400,-8.4229
150874.0000,-0.1396,0.8560,0.5981,33.2642,3.9062,-8.7891
150875.0000,-0.1436,0.8604,0.5898,34.2407,3.9062,-9.2163
150876.0000,-0.1436,0.8638,0.5854,33.9966,3.9673,-9.5825
150877.0000,-0.1470,0.8662,0.5854,34.7290,3.7842,-9.8877
150878.0000,-0.1479,0.8662,0.5674,35.4004,3.6621,-10.3149
150879.0000,-0.1509,0.8667,0.5654,36.2549,3.2959,-10.6812
150880.0000,-0.1553,0.8682,0.5591,36.6821,3.0518,-10.9253
150881.0000,-0.1577,0.8711,0.5449,37.4756,2.6855,-11.0474
150882.0000,-0.1646,0.8726,0.5425,37.2925,2.5024,-11.2305
150883.0000,-0.1709,0.8721,0.5376,38.6963,2.1362,-11.2305
150884.0000,-0.1738,0.8755,0.5303,39.3066,1.8921,-11.3525
150885.0000,-0.1753,0.8794,0.5249,39.8560,2.0142,-11.1084
150886.0000,-0.1743,0.8848,0.5137,40.7715,2.1362,-11.0474
150887.0000,-0.1748,0.8872,0.5107,41.8091,2.3193,-11.2305
150888.0000,-0.1772,0.8911,0.5063,42.8467,2.4414,-11.4136
150889.0000,-0.1743,0.8936,0.5044,43.6401,2.6245,-11.5967
150890.0000,-0.1772,0.8979,0.4883,44.6777,2.5635,-12.0239
150891.0000,-0.1733,0.8970,0.4805,46.2036,2.6855,-12.6343
