timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
165535.0000,-0.0747,0.8857,0.4536,7.9346,-2.9297,-2.8687
165536.0000,-0.0674,0.8799,0.4546,7.9956,-3.1738,-2.3804
165537.0000,-0.0649,0.8774,0.4438,8.3618,-3.5400,-1.9531
165538.0000,-0.0664,0.8784,0.4521,10.5591,-3.6011,-1.8921
165539.0000,-0.0684,0.8794,0.4453,10.4370,-3.9673,-1.8311
165540.0000,-0.0635,0.8794,0.4487,11.7188,-3.9673,-2.0142
165541.0000,-0.0591,0.8794,0.4380,11.8408,-4.1504,-2.2583
165542.0000,-0.0542,0.8833,0.4507,12.7563,-4.1504,-2.4414
165543.0000,-0.0527,0.8848,0.4473,12.5732,-3.9673,-2.6855
165544.0000,-0.0508,0.8882,0.4380,13.3057,-3.7842,-2.8687
165545.0000,-0.0522,0.8916,0.4404,14.2212,-3.4180,-2.9297
165546.0000,-0.0537,0.8921,0.4385,14.1602,-2.9907,-3.1128
165547.0000,-0.0581,0.8882,0.4307,15.6250,-2.5024,-3.1128
165548.0000,-0.0610,0.8828,0.4360,15.5640,-2.3193,-2.8076
165549.0000,-0.0649,0.8779,0.4302,16.9678,-2.1973,-2.6245
165550.0000,-0.0669,0.8755,0.4297,17.2119,-2.1973,-2.5635
165551.0000,-0.0635,0.8735,0.4287,17.4561,-2.1973,-2.5635
165552.0000,-0.0596,0.8745,0.4282,19.1040,-2.4414,-2.7466
165553.0000,-0.0581,0.8745,0.4253,19.8975,-2.6245,-2.8687
165554.0000,-0.0615,0.8740,0.4209,20.3857,-2.6855,-3.3569
165555.0000,-0.0620,0.8691,0.4253,22.3389,-2.6245,-3.9673
165556.0000,-0.0630,0.8672,0.4121,23.3154,-2.8076,-4.7607
165557.0000,-0.0625,0.8662,0.4185,25.5127,-2.9297,-5.3711
165558.0000,-0.0630,0.8643,0.4141,25.6348,-2.9297,-6.4697
165559.0000,-0.0693,0.8599,0.4062,26.6724,-2.8687,-7.5073
165560.0000,-0.0762,0.8472,0.4033,29.4189,-2.7466,-8.4839
165561.0000,-0.0796,0.8389,0.3926,31.7993,-2.8687,-9.3994
165562.0000,-0.0825,0.8384,0.3936,34.4238,-2.8687,-10.0708
