timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
307528.0000,-0.1660,1.3945,0.4380,10.0098,18.1274,5.4321
307529.0000,-0.1377,1.3457,0.4399,7.2021,15.0146,5.5542
307530.0000,-0.1431,1.2017,0.3906,4.5776,15.9302,4.3945
307531.0000,-0.1743,1.0952,0.3745,3.9673,16.7847,2.0752
307532.0000,-0.2046,0.9785,0.3687,5.1270,17.7002,0.3662
307533.0000,-0.2158,0.8457,0.3145,6.4697,15.0757,0.1831
307534.0000,-0.2197,0.8496,0.2681,8.3008,12.8784,1.5869
307535.0000,-0.2100,0.9253,0.2725,10.3760,11.8408,2.8687
307536.0000,-0.1992,0.9697,0.2656,12.0850,10.1929,4.5166
307537.0000,-0.1729,1.0107,0.2456,11.3525,8.5449,7.2632
307538.0000,-0.1333,1.0566,0.2539,8.7891,8.4229,9.3384
307539.0000,-0.0898,1.0444,0.2661,5.4932,8.7891,11.0474
307540.0000,-0.0713,0.9966,0.2593,1.5259,10.9253,12.2681
307541.0000,-0.0752,0.9722,0.2466,-1.7700,15.0757,12.6953
307542.0000,-0.0874,0.9766,0.2412,-4.0283,16.4185,12.0239
307543.0000,-0.0996,0.9849,0.2422,-4.9438,19.5923,10.8032
307544.0000,-0.1069,0.9873,0.2314,-4.1504,21.8506,8.1177
307545.0000,-0.1226,0.9951,0.2354,-3.6011,23.7427,5.1270
307546.0000,-0.1416,1.0039,0.2314,-1.6479,26.0010,1.9531
307547.0000,-0.1514,0.9941,0.2363,-1.2817,27.0996,-2.3193
307548.0000,-0.1636,0.9541,0.2441,-0.5493,28.0151,-5.8594
307549.0000,-0.1831,0.9062,0.2485,-1.0376,29.7852,-9.0332
307550.0000,-0.2036,0.8843,0.2505,-1.8311,31.6772,-12.5122
307551.0000,-0.2173,0.8823,0.2559,-3.1738,32.2876,-14.5874
307552.0000,-0.2358,0.8735,0.2656,-5.2490,32.6538,-14.2822
307553.0000,-0.2490,0.8535,0.2754,-6.5308,31.6772,-14.6484
307554.0000,-0.2539,0.8257,0.2832,-7.3853,30.2734,-13.2446
307555.0000,-0.2603,0.8013,0.2832,-7.3242,28.5034,-11.7188
307556.0000,-0.2529,0.7969,0.2842,-7.9346,25.8789,-9.0332
307557.0000,-0.2422,0.8062,0.2827,-8.1787,23.8037,-5.7983
307558.0000,-0.2202,0.8179,0.2808,-8.0566,22.1558,-2.9297
307559.0000,-0.2100,0.8198,0.2803,-6.8359,19.2871,0.1221
307560.0000,-0.1973,0.8247,0.2783,-5.4932,17.6392,2.8687
307561.0000,-0.1807,0.8267,0.2744,-3.1128,14.6484,5.5542
307562.0000,-0.1719,0.8188,0.2681,-1.0986,13.0005,7.3853
307563.0000,-0.1460,0.8101,0.2622,0.9155,10.6201,9.4604
307564.0000,-0.1255,0.7979,0.2637,2.5635,9.8877,10.4980
307565.0000,-0.1128,0.7915,0.2598,3.7231,8.9111,10.9253
307566.0000,-0.0996,0.7915,0.2510,4.2725,7.4463,10.8032
307567.0000,-0.0903,0.8066,0.2451,4.6387,7.3853,10.3149
307568.0000,-0.0781,0.8340,0.2363,5.0659,6.7749,9.3994
307569.0000,-0.0718,0.8604,0.2324,5.5542,6.4087,8.5449
307570.0000,-0.0684,0.8843,0.2314,6.1035,7.0801,7.8125
307571.0000,-0.0708,0.9258,0.2275,7.0190,6.5308,7.7515
307572.0000,-0.0796,0.9702,0.2207,7.8735,6.2256,7.2632
307573.0000,-0.0835,0.9937,0.2212,9.0332,5.5542,7.4463
307574.0000,-0.0835,1.0273,0.2271,10.0098,4.9438,7.5684
307575.0000,-0.0835,1.0977,0.2354,9.8877,4.8828,7.2632
307576.0000,-0.0762,1.1411,0.2446,10.3760,4.0283,6.4087
307577.0000,-0.0654,1.1538,0.2480,9.2163,2.6245,6.0425
307578.0000,-0.0693,1.1611,0.2725,8.3618,3.6621,5.4321
307579.0000,-0.0723,1.1904,0.2915,7.7515,2.4414,5.1270
307580.0000,-0.0684,1.2773,0.2949,6.7749,3.1738,4.6387
307581.0000,-0.0688,1.3335,0.2993,5.3101,2.8076,4.8828
307582.0000,-0.0703,1.2910,0.3096,3.6011,2.6245,5.1270
307583.0000,-0.0757,1.1997,0.3359,2.1362,3.1128,5.4932
