timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
203777.0000,-0.1099,0.9214,0.3911,0.5493,3.3569,-0.8545
203778.0000,-0.1055,0.9243,0.3950,-0.3052,2.1362,-0.3662
203779.0000,-0.1074,0.9209,0.3955,-1.0986,3.4790,-0.3052
203780.0000,-0.1118,0.9180,0.3960,-0.9155,3.9062,-0.6104
203781.0000,-0.1079,0.9150,0.3979,-1.8311,2.1973,-0.7935
203782.0000,-0.1118,0.9102,0.3970,-1.5259,3.1738,-0.7324
203783.0000,-0.1113,0.9077,0.3965,-1.4648,2.7466,-0.6714
203784.0000,-0.1138,0.9038,0.3989,-1.3428,1.1597,-0.3052
203785.0000,-0.1060,0.9038,0.3984,-1.2817,1.5259,-0.7324
203786.0000,-0.1060,0.9053,0.3979,-1.2207,2.2583,-0.9155
203787.0000,-0.1021,0.9053,0.3994,-0.8545,2.9297,-0.6104
203788.0000,-0.1064,0.9062,0.3999,-1.0986,2.3804,-0.9766
203789.0000,-0.1084,0.9062,0.3989,-1.0986,1.5259,-0.6104
203790.0000,-0.1060,0.9053,0.3999,-1.1597,2.7466,-0.1831
203791.0000,-0.1040,0.9043,0.4028,-0.9155,2.5635,-0.6104
203792.0000,-0.0981,0.9019,0.4048,-0.4272,2.2583,-0.3662
203793.0000,-0.1011,0.9014,0.4023,-0.3052,3.9062,-0.1831
203794.0000,-0.0972,0.9009,0.3999,-0.0000,3.9062,-0.1831
203795.0000,-0.1001,0.9004,0.4009,0.1221,4.4556,-0.0610
203796.0000,-0.0986,0.8979,0.3994,0.4883,4.7607,0.4272
203797.0000,-0.1006,0.8965,0.3984,0.7324,4.3335,0.7935
203798.0000,-0.0991,0.8940,0.3975,1.5869,3.5400,0.6714
203799.0000,-0.0957,0.8984,0.3950,1.8311,3.8452,0.3052
203800.0000,-0.0913,0.9014,0.3921,1.7700,5.0049,0.4272
203801.0000,-0.0947,0.9038,0.3965,2.0752,4.8218,0.1221
203802.0000,-0.0923,0.9043,0.3936,2.1973,3.2959,0.0610
203803.0000,-0.0918,0.9062,0.3921,2.6245,4.5776,-0.3052
