timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
223680.0000,-0.1841,0.9429,0.4014,0.6714,-17.6392,-8.3618
223681.0000,-0.1938,0.9419,0.4067,1.2207,-14.0991,-6.3477
223682.0000,-0.1880,0.9463,0.4131,1.2207,-12.2681,-5.6763
223683.0000,-0.1680,0.9482,0.4087,1.0986,-11.9629,-3.8452
223684.0000,-0.1587,0.9497,0.4126,-0.0000,-8.9722,-1.4648
223685.0000,-0.1631,0.9497,0.4102,0.7935,-6.8970,0.0000
223686.0000,-0.1738,0.9453,0.4072,0.7935,-4.0894,2.3193
223687.0000,-0.1787,0.9409,0.3994,0.9766,-3.2959,2.2583
223688.0000,-0.1860,0.9409,0.4009,1.6479,2.3193,4.0894
223689.0000,-0.1855,0.9414,0.4009,1.5869,1.8311,3.5400
223690.0000,-0.1899,0.9473,0.4019,0.9766,6.9580,3.6011
223691.0000,-0.1924,0.9531,0.4009,0.7324,10.0708,4.8218
223692.0000,-0.2061,0.9565,0.4023,-0.1221,13.1836,4.2725
223693.0000,-0.2207,0.9604,0.3994,-0.3052,12.6953,4.6387
223694.0000,-0.2329,0.9585,0.4053,-0.9155,15.5029,5.6152
223695.0000,-0.2275,0.9556,0.3999,-1.0986,19.5312,6.5918
223696.0000,-0.2158,0.9546,0.3994,-1.2817,16.7847,6.8970
223697.0000,-0.2080,0.9497,0.3921,-1.7700,15.5029,7.4463
223698.0000,-0.1919,0.9453,0.3960,-2.3193,17.2119,8.8501
223699.0000,-0.1763,0.9478,0.3940,-2.4414,15.0146,8.6670
223700.0000,-0.1758,0.9473,0.3926,-2.9297,14.5874,9.0332
223701.0000,-0.1699,0.9512,0.3921,-3.2959,16.8457,9.8267
223702.0000,-0.1641,0.9551,0.3931,-3.3569,15.4419,9.5215
223703.0000,-0.1572,0.9575,0.3921,-4.0283,15.7471,9.5215
223704.0000,-0.1343,0.9570,0.3882,-5.3101,16.9067,10.6201
223705.0000,-0.1016,0.9551,0.3813,-6.4087,19.8364,13.0005
223706.0000,-0.0605,0.9551,0.3779,-8.1787,18.3105,15.4419
223707.0000,-0.0229,0.9541,0.3701,-9.6436,18.8599,17.9443
223708.0000,-0.0088,0.9565,0.3628,-10.6812,22.5830,21.5454
223709.0000,0.0093,0.9590,0.3647,-11.3525,24.3530,25.6958
223710.0000,0.0117,0.9644,0.3564,-11.5967,28.2593,27.3438
223711.0000,0.0576,0.9702,0.3516,-11.2915,28.1372,32.8979
223712.0000,0.1313,0.9780,0.3462,-10.5591,34.3018,37.9639
223713.0000,0.1909,0.9824,0.3481,-9.8877,34.3018,41.7480
223714.0000,0.2148,0.9873,0.3389,-9.7656,38.6963,48.6450
223715.0000,0.1699,0.9912,0.3286,-11.1694,40.3442,53.1616
223716.0000,0.0776,0.9966,0.3252,-14.0381,49.7437,57.9224
223717.0000,0.0244,0.9946,0.3149,-16.8457,56.2744,62.3169
223718.0000,0.0249,0.9902,0.3091,-18.8599,63.1714,65.6738
223719.0000,0.0547,0.9736,0.2974,-19.8364,72.2046,68.4204
223720.0000,0.0420,0.9575,0.2822,-20.5078,81.1768,72.4487
223721.0000,-0.0034,0.9482,0.2534,-21.3623,92.8955,75.8667
223722.0000,-0.0400,0.9565,0.2271,-24.7192,107.8491,77.0264
223723.0000,-0.0728,0.9785,0.1958,-28.1372,120.3613,78.7354
223724.0000,-0.0986,1.0044,0.1587,-30.9448,136.6577,78.1860
223725.0000,-0.1094,1.0386,0.1284,-33.3252,158.5083,78.1250
223726.0000,-0.1245,1.0532,0.1069,-32.7759,180.6030,76.7822
223727.0000,-0.1533,1.0425,0.0854,-33.4473,204.1626,76.2329
223728.0000,-0.1831,1.0259,0.0635,-33.8745,224.8535,75.1343
223729.0000,-0.2241,1.0317,0.0312,-34.6069,239.1968,73.8525
223730.0000,-0.2827,1.0669,-0.0005,-35.5225,251.5259,71.8994
223731.0000,-0.3242,1.0986,-0.0381,-35.0952,262.6953,69.3970
223732.0000,-0.3271,1.1187,-0.0649,-35.0342,276.0620,66.5894
223733.0000,-0.3223,1.1118,-0.0889,-34.1187,290.3442,64.0259
223734.0000,-0.3340,1.0869,-0.1074,-33.2031,302.8564,62.8052
223735.0000,-0.3789,1.0737,-0.1167,-32.2266,312.2559,60.0586
223736.0000,-0.4185,1.0771,-0.1289,-32.1655,317.3828,57.0068
223737.0000,-0.4771,1.0864,-0.1465,-32.3486,322.8760,52.6733
223738.0000,-0.5430,1.0869,-0.1514,-31.6162,324.2798,47.5464
223739.0000,-0.5811,1.0796,-0.1592,-30.2124,329.8950,40.4053
223740.0000,-0.6187,1.0781,-0.1680,-28.8086,331.4819,35.4614
223741.0000,-0.6646,1.0713,-0.1602,-27.0996,331.1157,31.0669
223742.0000,-0.6875,1.0591,-0.1562,-25.4517,331.9092,26.1841
223743.0000,-0.7036,1.0439,-0.1382,-24.3530,325.8057,24.5361
223744.0000,-0.7046,1.0439,-0.1270,-23.4985,318.2983,23.6816
223745.0000,-0.6880,1.0532,-0.1113,-23.3154,310.1196,22.7661
223746.0000,-0.6338,1.0513,-0.0933,-23.2544,304.2603,19.4092
223747.0000,-0.5537,1.0229,-0.0776,-24.7803,300.0488,15.1367
223748.0000,-0.4688,1.0098,-0.0542,-26.4282,291.5649,11.1084
223749.0000,-0.3667,1.0068,-0.0239,-26.3062,281.4331,8.7891
223750.0000,-0.3057,1.0044,0.0195,-24.5972,268.9209,7.6904
223751.0000,-0.2734,1.0015,0.0542,-22.9492,257.0190,7.4463
223752.0000,-0.2651,0.9951,0.0942,-21.3623,237.4878,6.9580
223753.0000,-0.2720,0.9922,0.1328,-19.6533,218.6890,5.9814
223754.0000,-0.2832,1.0005,0.1616,-18.4937,196.4111,5.6763
223755.0000,-0.2949,1.0312,0.1855,-17.2119,178.7720,5.3711
223756.0000,-0.2822,1.0269,0.2217,-16.2964,153.6865,3.0518
223757.0000,-0.2725,0.9819,0.2690,-15.3198,132.4463,1.9531
223758.0000,-0.2651,0.9287,0.2998,-14.7095,113.3423,2.0752
223759.0000,-0.2661,0.9263,0.3242,-15.0757,87.2803,1.0986
223760.0000,-0.2476,0.9409,0.3525,-15.0757,69.3359,1.5259
223761.0000,-0.2305,0.9561,0.3696,-13.7329,58.0444,1.8921
