timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
226383.0000,-0.0415,0.8970,0.3887,2.4414,-19.5923,-16.5405
226384.0000,-0.0493,0.8955,0.3843,2.6245,-14.9536,-16.6016
226385.0000,-0.0605,0.8970,0.3755,3.2959,-13.1226,-16.1133
226386.0000,-0.0811,0.9014,0.3750,3.8452,-11.9629,-15.3809
226387.0000,-0.0850,0.9092,0.3691,4.5776,-13.5498,-14.5874
226388.0000,-0.1074,0.9150,0.3701,5.3711,-11.9629,-13.6108
226389.0000,-0.1104,0.9209,0.3682,5.3101,-14.3433,-13.1836
226390.0000,-0.1094,0.9297,0.3608,5.4321,-14.6484,-10.6812
226391.0000,-0.1001,0.9375,0.3628,5.1270,-13.4888,-10.5591
226392.0000,-0.0933,0.9429,0.3652,4.8828,-14.2822,-9.3384
226393.0000,-0.0918,0.9468,0.3687,4.1504,-11.3525,-8.9722
226394.0000,-0.0874,0.9463,0.3682,2.5635,-12.4512,-8.9722
226395.0000,-0.0967,0.9419,0.3662,1.9531,-11.0474,-7.4463
226396.0000,-0.0903,0.9434,0.3760,1.2207,-6.8359,-6.3477
226397.0000,-0.0981,0.9414,0.3706,-0.2441,-10.0098,-5.7983
226398.0000,-0.0957,0.9365,0.3765,-1.0376,-10.1318,-5.4321
226399.0000,-0.0811,0.9277,0.3774,-1.5259,-8.9722,-5.4321
226400.0000,-0.0737,0.9185,0.3804,-2.6245,-7.6294,-3.9062
226401.0000,-0.0703,0.9141,0.3794,-2.9907,-7.5073,-3.4180
226402.0000,-0.0674,0.9146,0.3770,-3.9062,-4.9438,-2.8076
226403.0000,-0.0679,0.9155,0.3794,-4.2725,-4.4556,-2.6245
226404.0000,-0.0649,0.9131,0.3804,-3.7231,-1.0986,-2.3193
226405.0000,-0.0737,0.9189,0.3848,-3.8452,0.6104,-1.2817
226406.0000,-0.0747,0.9224,0.3848,-3.7842,-2.5024,-0.7324
226407.0000,-0.0801,0.9214,0.3779,-3.4790,1.3428,-0.4272
226408.0000,-0.0732,0.9238,0.3784,-4.1504,1.7700,0.7324
226409.0000,-0.0635,0.9233,0.3804,-3.8452,1.2817,1.2207
226410.0000,-0.0645,0.9233,0.3706,-3.6621,2.6245,2.9907
226411.0000,-0.0630,0.9282,0.3711,-4.5166,7.3242,4.8218
226412.0000,-0.0615,0.9380,0.3662,-5.0659,7.2021,5.8594
226413.0000,-0.0542,0.9429,0.3691,-5.3711,14.6484,9.0332
226414.0000,-0.0557,0.9414,0.3613,-5.7373,11.6577,11.7188
226415.0000,-0.0488,0.9434,0.3599,-5.8594,16.7236,14.0381
226416.0000,-0.0420,0.9487,0.3594,-6.2866,22.4609,16.4795
226417.0000,-0.0356,0.9531,0.3550,-6.7749,25.5737,19.4702
226418.0000,-0.0269,0.9507,0.3403,-7.3853,28.8086,23.0713
226419.0000,-0.0151,0.9497,0.3340,-7.8735,36.1328,26.3062
226420.0000,0.0063,0.9468,0.3296,-9.3384,44.2505,29.9683
226421.0000,0.0273,0.9429,0.3262,-9.8267,47.7295,33.8745
226422.0000,0.0381,0.9482,0.3130,-11.7188,58.8379,39.6118
226423.0000,0.0688,0.9639,0.3013,-13.6108,67.8101,45.1660
226424.0000,0.1099,0.9756,0.2832,-14.7705,76.8433,50.1709
226425.0000,0.1294,0.9854,0.2568,-16.9067,90.7593,56.8848
226426.0000,0.1357,0.9873,0.2329,-17.3950,101.3794,62.0117
226427.0000,0.1284,0.9834,0.2129,-18.0054,118.8965,68.1152
