timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
208408.0000,-0.2905,0.8848,0.3672,-1.9531,4.1504,0.3052
208409.0000,-0.2910,0.8823,0.3716,-1.8921,5.7373,-0.1831
208410.0000,-0.2935,0.8784,0.3711,-0.9155,4.5776,-0.7935
208411.0000,-0.2964,0.8755,0.3716,-1.4648,6.7749,-1.0986
208412.0000,-0.2959,0.8755,0.3682,-0.8545,4.4556,-1.4648
208413.0000,-0.3018,0.8784,0.3682,0.1831,3.4180,-0.9155
208414.0000,-0.3057,0.8828,0.3643,0.3662,2.0752,-0.4272
208415.0000,-0.3047,0.8848,0.3643,0.7935,0.7324,-1.1597
208416.0000,-0.2983,0.8862,0.3633,0.7324,-1.0986,-0.0000
208417.0000,-0.2915,0.8887,0.3657,1.0376,0.9155,-0.4272
208418.0000,-0.2930,0.8872,0.3618,0.6714,1.7090,0.1831
208419.0000,-0.2935,0.8877,0.3628,0.7935,2.1362,-0.6104
208420.0000,-0.2876,0.8872,0.3623,0.8545,1.1597,-1.1597
208421.0000,-0.2939,0.8887,0.3589,0.9766,0.4272,-1.2817
208422.0000,-0.2910,0.8892,0.3574,1.0376,1.6479,-1.8921
208423.0000,-0.2871,0.8901,0.3579,1.7700,3.0518,-2.9297
208424.0000,-0.2886,0.8921,0.3535,1.4038,3.2349,-2.6245
208425.0000,-0.2842,0.8945,0.3545,1.8311,3.4180,-2.3804
208426.0000,-0.2935,0.8970,0.3535,2.0142,2.5024,-2.6855
208427.0000,-0.2964,0.8960,0.3550,2.1973,2.7466,-2.1362
208428.0000,-0.2949,0.8989,0.3550,2.0142,3.0518,-2.6245
208429.0000,-0.2959,0.9028,0.3550,1.8311,1.3428,-2.0752
208430.0000,-0.2964,0.9043,0.3555,1.8311,3.5400,-2.0752
208431.0000,-0.3022,0.9043,0.3472,1.5259,3.5400,-2.0142
208432.0000,-0.3027,0.9062,0.3491,1.1597,2.9907,-1.9531
208433.0000,-0.3032,0.9097,0.3501,0.6714,4.5166,-0.8545
208434.0000,-0.2969,0.9072,0.3525,-0.0000,5.6152,-1.3428
208435.0000,-0.2900,0.9067,0.3525,0.4883,5.6152,-0.7935
208436.0000,-0.2886,0.9106,0.3569,-0.5493,6.3477,0.1831
208437.0000,-0.2856,0.9106,0.3555,-0.4272,6.5918,0.7935
