timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
228208.0000,-0.2349,0.9126,0.3750,-5.1270,15.7471,3.5400
228209.0000,-0.2236,0.9155,0.3765,-4.8218,13.0615,3.5400
228210.0000,-0.2202,0.9175,0.3804,-4.7607,11.9629,2.9297
228211.0000,-0.2104,0.9194,0.3799,-4.5776,11.8408,2.6245
228212.0000,-0.2090,0.9180,0.3770,-4.5166,9.5825,2.1973
228213.0000,-0.2002,0.9146,0.3774,-4.3945,8.6670,1.2817
228214.0000,-0.1943,0.9121,0.3779,-4.0894,8.0566,0.7324
228215.0000,-0.1924,0.9116,0.3765,-4.2114,6.7749,-0.4272
228216.0000,-0.1934,0.9126,0.3745,-4.1504,7.4463,-0.8545
228217.0000,-0.1885,0.9111,0.3760,-4.0894,7.0801,-0.6714
228218.0000,-0.1914,0.9077,0.3750,-3.7842,7.4463,-0.8545
228219.0000,-0.1885,0.9087,0.3730,-3.6621,6.8970,-1.0376
228220.0000,-0.1938,0.9097,0.3716,-3.4790,6.7139,-1.2207
228221.0000,-0.2026,0.9092,0.3730,-2.9907,5.5542,-0.9155
228222.0000,-0.2104,0.9072,0.3721,-2.3804,8.3008,-1.6479
228223.0000,-0.2051,0.9023,0.3706,-2.2583,7.1411,-0.8545
228224.0000,-0.2109,0.9014,0.3711,-1.7090,7.0801,-1.0986
228225.0000,-0.2075,0.8994,0.3687,-0.7324,6.8359,-0.5493
228226.0000,-0.2051,0.9009,0.3706,-0.1221,7.3853,-0.9155
228227.0000,-0.2095,0.9004,0.3682,0.1831,8.0566,-1.2817
228228.0000,-0.2031,0.8989,0.3691,0.6714,5.2490,-1.4038
228229.0000,-0.2046,0.8989,0.3638,1.1597,3.5400,-1.5869
228230.0000,-0.2051,0.8965,0.3652,1.0986,4.1504,-2.1362
228231.0000,-0.2104,0.8950,0.3652,1.2817,3.1128,-2.4414
228232.0000,-0.2168,0.8975,0.3638,0.7324,4.1504,-2.6855
228233.0000,-0.2158,0.9009,0.3643,0.7935,2.6855,-3.1738
228234.0000,-0.2139,0.9053,0.3667,1.0986,2.3193,-3.4790
228235.0000,-0.2192,0.9097,0.3633,1.0376,1.3428,-4.1504
228236.0000,-0.2227,0.9126,0.3647,1.0986,0.5493,-4.7607
228237.0000,-0.2314,0.9131,0.3647,1.4038,-0.1831,-4.8218
228238.0000,-0.2314,0.9136,0.3633,1.7700,-0.7324,-5.4321
228239.0000,-0.2334,0.9136,0.3643,2.0142,0.0610,-5.2490
228240.0000,-0.2280,0.9170,0.3647,2.0752,-2.5024,-5.0659
228241.0000,-0.2305,0.9170,0.3633,2.6245,-3.6011,-5.3101
228242.0000,-0.2358,0.9141,0.3657,2.7466,-4.0283,-5.0659
228243.0000,-0.2319,0.9126,0.3633,2.9907,-5.9814,-5.5542
228244.0000,-0.2339,0.9131,0.3662,3.6011,-6.6528,-5.3101
228245.0000,-0.2285,0.9136,0.3647,4.2114,-5.7983,-5.4321
228246.0000,-0.2378,0.9121,0.3657,4.2725,-7.7515,-6.5918
228247.0000,-0.2402,0.9116,0.3667,4.6387,-8.3618,-6.7139
228248.0000,-0.2432,0.9116,0.3657,5.1880,-7.5684,-6.7139
