timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
245034.0000,-0.2793,0.9062,0.3433,-1.2207,-0.3662,5.0659
245035.0000,-0.2686,0.9121,0.3486,-0.1221,-0.1221,4.3335
245036.0000,-0.2651,0.9165,0.3408,0.5493,-1.6479,5.1270
245037.0000,-0.2632,0.9238,0.3403,0.7324,-1.1597,4.6387
245038.0000,-0.2490,0.9272,0.3335,1.4648,-4.1504,4.3335
245039.0000,-0.2432,0.9297,0.3271,1.8311,-3.8452,4.0894
245040.0000,-0.2383,0.9321,0.3242,2.4414,-4.9438,3.3569
245041.0000,-0.2319,0.9302,0.3208,2.5024,-6.5918,2.5635
245042.0000,-0.2324,0.9297,0.3213,3.1128,-7.1411,2.7466
245043.0000,-0.2397,0.9355,0.3247,3.1738,-5.6152,2.0142
245044.0000,-0.2310,0.9429,0.3267,3.1738,-3.9673,1.6479
245045.0000,-0.2349,0.9517,0.3271,3.6621,-9.2163,1.0376
245046.0000,-0.2295,0.9580,0.3281,2.7466,-6.8359,0.9155
245047.0000,-0.2285,0.9600,0.3281,2.0142,-8.7280,0.5493
245048.0000,-0.2266,0.9590,0.3257,1.5869,-6.4087,0.5493
245049.0000,-0.2271,0.9517,0.3281,0.2441,-6.5308,-0.7935
245050.0000,-0.2285,0.9453,0.3369,-0.1221,-7.1411,-0.9155
245051.0000,-0.2188,0.9404,0.3374,-1.3428,-7.6904,-1.6479
245052.0000,-0.2280,0.9360,0.3438,-1.4038,-8.2397,-2.4414
245053.0000,-0.2266,0.9321,0.3501,-1.7090,-7.3853,-2.6245
245054.0000,-0.2261,0.9277,0.3545,-1.9531,-7.2632,-3.4180
245055.0000,-0.2290,0.9243,0.3574,-1.3428,-9.0332,-4.1504
245056.0000,-0.2310,0.9209,0.3550,-1.1597,-10.5591,-4.2725
245057.0000,-0.2363,0.9204,0.3589,-0.7935,-14.8315,-4.5166
245058.0000,-0.2427,0.9185,0.3589,-0.6714,-13.1226,-5.2490
245059.0000,-0.2534,0.9155,0.3560,-0.7935,-14.7705,-5.3101
245060.0000,-0.2554,0.9116,0.3540,0.1221,-14.9536,-5.3101
245061.0000,-0.2529,0.9077,0.3560,0.9155,-19.3481,-5.7983
245062.0000,-0.2617,0.9048,0.3574,1.3428,-20.0806,-6.4697
245063.0000,-0.2690,0.9048,0.3569,2.5024,-20.0806,-6.4697
245064.0000,-0.2690,0.9053,0.3491,3.4180,-20.8740,-6.9580
245065.0000,-0.2666,0.9106,0.3481,4.0894,-24.7803,-6.8359
245066.0000,-0.2725,0.9185,0.3442,4.8828,-27.5269,-7.7515
245067.0000,-0.2891,0.9204,0.3398,5.4321,-31.7383,-8.0566
245068.0000,-0.2935,0.9199,0.3379,5.4932,-34.6680,-8.7280
245069.0000,-0.2920,0.9224,0.3384,6.1646,-41.5039,-9.3384
245070.0000,-0.3047,0.9272,0.3379,6.1646,-48.4009,-8.7280
245071.0000,-0.3140,0.9297,0.3306,6.1646,-54.6265,-8.9722
245072.0000,-0.3193,0.9312,0.3159,6.2866,-64.6362,-9.7046
245073.0000,-0.3159,0.9292,0.3042,6.1035,-73.1812,-9.4604
245074.0000,-0.3359,0.9233,0.2861,6.2866,-75.7446,-10.4370
245075.0000,-0.3467,0.9136,0.2769,6.1646,-85.5103,-9.9487
245076.0000,-0.3569,0.9048,0.2607,6.8970,-93.8721,-9.8877
245077.0000,-0.3755,0.8989,0.2490,7.0801,-103.6987,-9.9487
245078.0000,-0.3818,0.9004,0.2437,8.3618,-113.8306,-9.5215
245079.0000,-0.3901,0.9077,0.2368,9.1553,-123.1079,-10.6201
245080.0000,-0.3896,0.9160,0.2300,10.3149,-133.1177,-10.8032
245081.0000,-0.3975,0.9243,0.2246,10.8643,-142.5781,-12.5122
245082.0000,-0.4072,0.9253,0.2144,11.4746,-159.4849,-12.9395
245083.0000,-0.4302,0.9292,0.2075,11.2915,-167.5415,-15.2588
245084.0000,-0.4507,0.9351,0.2046,12.4512,-179.0161,-15.7471
245085.0000,-0.4634,0.9414,0.2031,12.2070,-190.5518,-17.3950
245086.0000,-0.4805,0.9468,0.1948,11.7798,-202.0874,-18.1274
245087.0000,-0.4829,0.9497,0.1914,10.9253,-209.5337,-18.4937
245088.0000,-0.4927,0.9434,0.1836,10.6201,-219.8486,-20.2637
245089.0000,-0.5034,0.9331,0.1699,9.8267,-229.4312,-22.2168
