timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
248839.0000,-0.2075,0.9058,0.3921,-3.1738,20.9961,10.4980
248840.0000,-0.2017,0.9014,0.3906,-4.0283,15.1367,9.0332
248841.0000,-0.1924,0.9014,0.3901,-4.0283,14.7705,7.9956
248842.0000,-0.1748,0.9033,0.3862,-3.6621,6.3477,6.4697
248843.0000,-0.1582,0.9062,0.3833,-4.6997,6.4087,4.2725
248844.0000,-0.1523,0.9023,0.3823,-5.0659,4.8828,3.0518
248845.0000,-0.1343,0.8989,0.3828,-4.9438,4.7607,2.0142
248846.0000,-0.1206,0.8965,0.3818,-5.0659,6.1646,0.4883
248847.0000,-0.1025,0.8916,0.3770,-5.0659,-1.4648,-0.3662
248848.0000,-0.0996,0.8896,0.3770,-5.4932,3.6621,-0.3052
248849.0000,-0.1016,0.8931,0.3774,-4.9438,2.7466,-1.3428
248850.0000,-0.1084,0.8950,0.3774,-4.4556,3.1128,-1.6479
248851.0000,-0.1240,0.8994,0.3779,-4.6387,3.4180,-1.2817
248852.0000,-0.1411,0.8999,0.3779,-4.3945,-0.1221,-1.6479
248853.0000,-0.1436,0.8984,0.3760,-4.2114,-2.1362,-2.0752
248854.0000,-0.1401,0.8965,0.3770,-4.5776,-5.1880,-2.5635
248855.0000,-0.1304,0.8940,0.3774,-3.8452,-6.8359,-3.4180
248856.0000,-0.1304,0.8887,0.3740,-4.0283,-5.0659,-3.2349
248857.0000,-0.1479,0.8872,0.3789,-4.0283,-11.5967,-4.0894
248858.0000,-0.1611,0.8975,0.3774,-3.4790,-11.1084,-4.6387
248859.0000,-0.1704,0.9116,0.3779,-3.7842,-13.5498,-4.1504
248860.0000,-0.1733,0.9204,0.3804,-3.4180,-16.2964,-5.1270
248861.0000,-0.1743,0.9170,0.3823,-2.8687,-18.0664,-5.6763
248862.0000,-0.1865,0.9180,0.3823,-2.3804,-25.2075,-6.1646
248863.0000,-0.1914,0.9170,0.3823,-2.3804,-26.2451,-6.8970
248864.0000,-0.2002,0.9165,0.3789,-2.2583,-34.6680,-8.0566
248865.0000,-0.1987,0.9141,0.3784,-1.4648,-39.8560,-8.4229
248866.0000,-0.1787,0.9126,0.3770,-1.6479,-42.4805,-8.9722
248867.0000,-0.1777,0.9111,0.3765,-1.6479,-53.4058,-9.7046
248868.0000,-0.1821,0.9087,0.3784,-2.4414,-56.7627,-11.1694
248869.0000,-0.2051,0.9072,0.3770,-3.4180,-61.0352,-12.4512
248870.0000,-0.2241,0.9067,0.3789,-3.4180,-67.1997,-13.7939
248871.0000,-0.2183,0.9150,0.3779,-3.4790,-73.9136,-15.1367
248872.0000,-0.1904,0.9229,0.3789,-3.7231,-80.7495,-17.0288
248873.0000,-0.1685,0.9346,0.3750,-4.0894,-87.5854,-18.9209
248874.0000,-0.1880,0.9492,0.3716,-4.5776,-89.1113,-20.8130
248875.0000,-0.2163,0.9585,0.3711,-4.6997,-93.9331,-22.3389
248876.0000,-0.2432,0.9536,0.3716,-5.5542,-98.0835,-24.2920
248877.0000,-0.2363,0.9487,0.3652,-4.8218,-104.9805,-25.7568
248878.0000,-0.1919,0.9565,0.3608,-5.1270,-110.2905,-26.4282
248879.0000,-0.1670,0.9712,0.3608,-4.6997,-119.9341,-27.7100
248880.0000,-0.1699,0.9868,0.3486,-5.0049,-121.8872,-28.9307
248881.0000,-0.1875,0.9966,0.3418,-4.8218,-129.0894,-30.2734
248882.0000,-0.2021,0.9937,0.3315,-4.6997,-129.9438,-31.1890
248883.0000,-0.2085,0.9849,0.3228,-5.1270,-133.9722,-33.2642
248884.0000,-0.2041,0.9795,0.3184,-5.6152,-133.6670,-33.5693
248885.0000,-0.1909,0.9790,0.3081,-5.9814,-140.4419,-35.8887
248886.0000,-0.1826,0.9854,0.2900,-7.9346,-141.3574,-36.4380
248887.0000,-0.1777,0.9941,0.2720,-7.6904,-146.4844,-35.9497
248888.0000,-0.1963,1.0000,0.2593,-9.0942,-147.9492,-36.4990
248889.0000,-0.2090,0.9980,0.2476,-9.0942,-148.6206,-37.2925
248890.0000,-0.2148,0.9902,0.2363,-9.8267,-156.6772,-37.8418
248891.0000,-0.2080,0.9844,0.2275,-11.1694,-155.7617,-38.2080
248892.0000,-0.1865,0.9810,0.2148,-12.5122,-163.4521,-38.3301
248893.0000,-0.1655,0.9917,0.1992,-14.5264,-164.7339,-39.6118
248894.0000,-0.1445,1.0015,0.1792,-15.5029,-166.5039,-40.3442
248895.0000,-0.1367,0.9971,0.1699,-16.6016,-169.7388,-40.7104
248896.0000,-0.1431,0.9824,0.1597,-17.7612,-172.4854,-41.3818
248897.0000,-0.1660,0.9648,0.1587,-19.3481,-174.8047,-42.2363
248898.0000,-0.1899,0.9478,0.1504,-21.0571,-178.1006,-41.8701
248899.0000,-0.1953,0.9253,0.1357,-22.7661,-178.5278,-42.9077
248900.0000,-0.1934,0.9062,0.1279,-24.0479,-181.0303,-43.6401
248901.0000,-0.1821,0.8857,0.1255,-24.6582,-189.4531,-43.4570
248902.0000,-0.1553,0.8750,0.1240,-26.4893,-195.4346,-44.1284
248903.0000,-0.1206,0.8735,0.1294,-27.9541,-197.0215,-45.4102
248904.0000,-0.1108,0.8760,0.1367,-29.2969,-201.5381,-47.7905
248905.0000,-0.1133,0.8716,0.1323,-30.0903,-205.8716,-48.8281
248906.0000,-0.1426,0.8521,0.1250,-30.9448,-206.3599,-50.2930
248907.0000,-0.1777,0.8208,0.1338,-30.8228,-210.7544,-51.6968
248908.0000,-0.2012,0.7852,0.1494,-29.8462,-212.9517,-53.7720
248909.0000,-0.2153,0.7515,0.1616,-27.2827,-217.1021,-55.4199
248910.0000,-0.2075,0.7266,0.1802,-24.3530,-224.6704,-57.9834
248911.0000,-0.1738,0.7188,0.1992,-21.9727,-229.0039,-60.1807
248912.0000,-0.1504,0.7300,0.2129,-19.2261,-230.2856,-62.3169
248913.0000,-0.1440,0.7588,0.2344,-17.3950,-233.4595,-62.9272
248914.0000,-0.1606,0.7944,0.2529,-13.7939,-234.6191,-64.6973
248915.0000,-0.1875,0.8232,0.2764,-8.3008,-230.5908,-66.8335
248916.0000,-0.2168,0.8506,0.3032,-0.9766,-235.8398,-68.9697
248917.0000,-0.2349,0.8691,0.3188,6.7139,-238.4644,-70.3735
248918.0000,-0.2324,0.8779,0.3101,14.2822,-240.4785,-71.1670
248919.0000,-0.2178,0.8818,0.2910,21.6064,-242.3096,-70.1294
248920.0000,-0.2021,0.8931,0.2739,26.7334,-242.8589,-69.8853
248921.0000,-0.1777,0.8965,0.2661,30.3345,-247.0703,-70.1904
248922.0000,-0.1455,0.8984,0.2676,32.6538,-246.2769,-69.5190
248923.0000,-0.0859,0.9160,0.2622,34.8511,-242.9199,-67.3218
248924.0000,-0.0005,0.9463,0.2510,36.3770,-239.5630,-66.1011
248925.0000,0.0698,0.9824,0.2368,38.4521,-231.9946,-63.7817
248926.0000,0.1182,1.0146,0.2197,40.1001,-223.6328,-61.2183
248927.0000,0.1265,1.0298,0.2124,40.5273,-212.2803,-58.5327
248928.0000,0.1250,1.0088,0.2129,40.1001,-196.4111,-54.3823
248929.0000,0.1055,0.9629,0.2275,39.5508,-188.4155,-49.0112
248930.0000,0.1553,0.9287,0.2554,36.5601,-175.9033,-42.4805
248931.0000,0.1943,0.9141,0.2856,31.8604,-161.5601,-37.7197
248932.0000,0.2114,0.9209,0.3228,28.3813,-148.9258,-32.8979
248933.0000,0.2021,0.9419,0.3379,26.0010,-136.7798,-29.9072
248934.0000,0.1919,0.9688,0.3867,29.2358,-124.5728,-25.5737
248935.0000,0.1885,0.9595,0.4053,29.4189,-108.3984,-22.3999
248936.0000,0.1904,0.9263,0.4238,26.8555,-99.5483,-18.5547
248937.0000,0.2139,0.8931,0.4458,22.7661,-83.1299,-15.0146
248938.0000,0.2266,0.8716,0.4790,19.8364,-67.6880,-11.2305
248939.0000,0.2358,0.8633,0.4985,16.2354,-56.1523,-7.6294
248940.0000,0.2188,0.8867,0.5093,16.2354,-45.9595,-4.1504
248941.0000,0.1641,0.9092,0.5132,17.6392,-35.8276,-2.9907
248942.0000,0.1035,0.9028,0.5083,16.7847,-26.1230,0.0610
248943.0000,0.0391,0.8789,0.5225,15.1978,-16.7847,2.8076
248944.0000,-0.0000,0.8623,0.5483,12.5122,-14.2212,5.0049
248945.0000,-0.0034,0.8691,0.5610,10.7422,-11.0474,6.1646
248946.0000,0.0010,0.8867,0.5688,9.9487,-8.0566,6.9580
248947.0000,0.0176,0.8999,0.5679,10.3760,-4.3335,8.4839
248948.0000,0.0176,0.8882,0.5640,10.6812,-5.9814,8.8501
248949.0000,0.0122,0.8677,0.5630,9.8267,-5.7983,8.9722
248950.0000,0.0005,0.8623,0.5723,9.3384,-1.5869,8.9111
248951.0000,0.0342,0.8745,0.5723,9.2163,1.5869,9.0942
248952.0000,0.0601,0.8848,0.5728,9.6436,3.2959,10.3149
248953.0000,0.0820,0.8867,0.5703,9.1553,4.7607,10.1929
248954.0000,0.0718,0.8750,0.5679,8.3618,5.4321,10.1318
248955.0000,0.0498,0.8550,0.5718,7.0801,6.1646,10.1318
248956.0000,0.0342,0.8359,0.5806,5.9204,9.7046,9.8267
248957.0000,0.0259,0.8423,0.5791,5.6763,13.6108,8.9722
248958.0000,0.0303,0.8633,0.5806,6.1646,15.6860,8.1177
248959.0000,0.0439,0.8853,0.5747,7.0801,15.9302,9.1553
248960.0000,0.0518,0.8936,0.5654,7.3853,18.2495,9.4604
248961.0000,0.0586,0.8931,0.5596,7.0801,21.7285,10.9863
248962.0000,0.0732,0.8838,0.5547,6.4697,19.5312,11.8408
248963.0000,0.0762,0.8730,0.5547,5.0659,25.0854,11.9629
248964.0000,0.0928,0.8740,0.5557,4.6997,26.1841,14.6484
248965.0000,0.1167,0.8848,0.5562,3.9673,29.9683,18.0054
248966.0000,0.1387,0.9033,0.5464,4.0894,33.6304,22.2168
248967.0000,0.1582,0.9160,0.5391,3.2959,37.4756,26.6724
248968.0000,0.1704,0.9082,0.5356,2.1973,36.5601,31.9824
248969.0000,0.1782,0.8848,0.5264,0.8545,42.4194,35.4004
248970.0000,0.1943,0.8701,0.5151,-0.4883,45.6543,39.0015
248971.0000,0.2217,0.8794,0.5068,-1.5869,51.3306,41.9922
248972.0000,0.2393,0.8965,0.4956,0.2441,57.2510,46.8140
248973.0000,0.2397,0.9224,0.4814,1.5869,65.7349,50.3540
248974.0000,0.2236,0.9453,0.4619,3.7842,72.2046,54.3213
248975.0000,0.1943,0.9551,0.4409,3.9062,82.3364,57.5562
248976.0000,0.1650,0.9502,0.4170,1.3428,95.5811,60.2417
248977.0000,0.1416,0.9443,0.3931,-1.5869,100.5859,62.4390
248978.0000,0.1211,0.9575,0.3750,-2.7466,109.5581,62.8662
248979.0000,0.0967,0.9766,0.3521,-4.3335,129.5776,62.5000
248980.0000,0.0796,0.9854,0.3286,-6.3477,142.0288,59.3262
248981.0000,0.0547,0.9849,0.3071,-9.7656,152.0996,57.6172
248982.0000,0.0137,0.9868,0.2773,-11.2915,166.5039,57.0068
248983.0000,-0.0435,0.9888,0.2573,-14.2822,177.9175,54.9316
248984.0000,-0.1089,0.9692,0.2407,-17.0898,185.7300,55.9082
248985.0000,-0.1421,0.9463,0.2290,-19.9585,199.5850,56.2744
248986.0000,-0.1445,0.9307,0.2207,-22.4609,208.7402,57.3120
248987.0000,-0.1348,0.9146,0.2134,-24.1089,215.0879,57.8003
248988.0000,-0.1318,0.9067,0.2065,-24.4751,220.3979,58.8379
248989.0000,-0.1382,0.9038,0.1943,-24.1699,228.1494,60.7910
248990.0000,-0.1704,0.8936,0.1865,-23.4985,239.3799,60.7910
248991.0000,-0.2100,0.8887,0.1758,-23.3765,245.4224,62.1338
248992.0000,-0.2617,0.8940,0.1655,-22.5220,253.4180,61.5234
248993.0000,-0.2744,0.8950,0.1670,-22.5830,259.3384,61.5845
248994.0000,-0.2754,0.8843,0.1743,-22.2778,260.4980,61.7065
248995.0000,-0.2812,0.8813,0.1787,-21.3623,262.5122,60.3638
248996.0000,-0.2905,0.9014,0.1880,-20.6909,259.6436,57.6782
248997.0000,-0.2827,0.9199,0.1958,-20.3247,259.5825,55.7861
248998.0000,-0.2690,0.9292,0.2075,-18.8599,264.4653,50.9033
248999.0000,-0.2520,0.9297,0.2207,-18.6157,264.2212,49.1333
249000.0000,-0.2397,0.9272,0.2163,-18.7378,267.0898,46.5698
249001.0000,-0.2388,0.9204,0.2168,-19.8364,267.8833,43.7012
249002.0000,-0.2778,0.9136,0.2070,-19.8364,263.4888,41.3818
249003.0000,-0.3184,0.9077,0.2017,-19.6533,257.0190,40.4663
249004.0000,-0.3447,0.9121,0.2095,-18.4326,252.0142,39.8560
249005.0000,-0.3604,0.9214,0.2285,-17.4561,239.6851,40.3442
249006.0000,-0.3315,0.9302,0.2539,-15.8691,234.4971,40.1001
249007.0000,-0.2900,0.9331,0.2627,-15.7471,226.6846,41.4429
249008.0000,-0.2759,0.9326,0.2593,-15.0146,220.0928,41.8091
249009.0000,-0.3008,0.9321,0.2490,-15.3809,213.9893,41.8701
249010.0000,-0.3389,0.9297,0.2495,-15.0757,209.0454,40.8325
249011.0000,-0.3804,0.9248,0.2593,-14.4043,203.8574,41.5649
249012.0000,-0.3877,0.9229,0.2749,-13.6108,194.8242,40.4053
249013.0000,-0.3535,0.9165,0.2925,-13.9160,185.1196,38.8794
249014.0000,-0.3042,0.9141,0.3032,-13.3667,179.3823,38.3301
249015.0000,-0.2612,0.9131,0.3101,-13.1836,174.9268,35.8887
249016.0000,-0.2705,0.9136,0.3213,-12.3291,168.8843,35.1562
249017.0000,-0.2939,0.9058,0.3301,-12.5732,157.1045,32.5928
249018.0000,-0.3340,0.8950,0.3452,-11.4136,146.9727,30.2734
249019.0000,-0.3154,0.8984,0.3662,-10.5591,140.5640,28.1982
249020.0000,-0.2817,0.9004,0.3696,-10.0708,130.0659,26.0010
249021.0000,-0.2324,0.9087,0.3711,-9.4604,128.7231,24.4751
249022.0000,-0.2266,0.9136,0.3667,-9.0332,121.2769,23.9258
249023.0000,-0.2642,0.9097,0.3638,-8.5449,113.4644,21.4233
249024.0000,-0.3213,0.9048,0.3691,-8.6670,108.2153,22.7051
249025.0000,-0.3682,0.9043,0.3799,-8.1787,102.6001,19.9585
249026.0000,-0.3887,0.9053,0.3887,-8.7280,101.6846,19.4702
249027.0000,-0.3643,0.9121,0.3940,-8.1787,95.4590,19.3481
249028.0000,-0.3218,0.9155,0.3960,-8.1787,89.8438,17.1509
249029.0000,-0.2905,0.9131,0.4028,-8.3618,75.8667,17.1509
249030.0000,-0.2783,0.9009,0.4023,-8.8501,68.0542,14.8926
249031.0000,-0.2773,0.8887,0.4053,-8.3008,60.4858,14.2212
249032.0000,-0.2910,0.8794,0.4043,-8.2397,56.8237,12.5122
249033.0000,-0.2891,0.8721,0.4106,-7.0190,52.6733,11.9629
249034.0000,-0.2993,0.8652,0.4126,-5.1880,46.3867,10.9863
249035.0000,-0.2847,0.8652,0.4189,-4.5776,41.5039,10.4370
249036.0000,-0.2749,0.8701,0.4165,-3.0518,33.9966,8.5449
249037.0000,-0.2603,0.8770,0.4131,-2.3193,28.2593,9.4604
