timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
241596.0000,-0.2300,0.8726,0.4238,3.4180,9.3384,1.7090
241597.0000,-0.2163,0.8789,0.4180,4.3335,6.5918,3.1738
241598.0000,-0.2163,0.8823,0.4185,4.9438,5.9204,3.9673
241599.0000,-0.2178,0.8887,0.4146,5.0659,4.6387,4.2114
241600.0000,-0.2104,0.8906,0.4141,5.1880,3.2349,4.1504
241601.0000,-0.2139,0.8862,0.4121,4.6997,1.8311,3.4180
241602.0000,-0.2124,0.8818,0.4121,5.0659,-2.0142,3.3569
241603.0000,-0.2134,0.8813,0.4062,5.1270,1.2817,3.1128
241604.0000,-0.2173,0.8848,0.4077,5.9204,-3.2959,2.7466
241605.0000,-0.2197,0.8901,0.4082,6.3477,-4.2725,2.6245
241606.0000,-0.2129,0.8931,0.4077,6.5918,-5.8594,2.8687
241607.0000,-0.2119,0.8936,0.4092,6.7139,-7.9346,2.1362
241608.0000,-0.2119,0.8921,0.4102,6.4087,-8.9722,2.5024
241609.0000,-0.2070,0.8896,0.4087,5.9814,-11.3525,1.6479
241610.0000,-0.2036,0.8906,0.4067,5.9204,-12.5732,1.3428
241611.0000,-0.2104,0.8950,0.4058,6.4697,-12.7563,0.1221
241612.0000,-0.2114,0.8945,0.4048,6.4087,-14.1602,0.0610
241613.0000,-0.2134,0.8970,0.4023,6.6528,-15.6860,-0.4883
241614.0000,-0.2114,0.8979,0.4009,6.8970,-15.2588,-0.0610
241615.0000,-0.2036,0.8975,0.3979,7.3242,-19.8975,-0.0000
241616.0000,-0.2075,0.8979,0.3970,7.6294,-19.4702,-0.1221
241617.0000,-0.2148,0.9028,0.3887,7.4463,-18.9209,0.1221
241618.0000,-0.2183,0.9058,0.3896,7.1411,-23.6816,0.0610
241619.0000,-0.2344,0.9019,0.3916,7.2632,-22.5220,-0.8545
241620.0000,-0.2344,0.8955,0.3877,7.2021,-26.4893,-1.2207
241621.0000,-0.2417,0.8936,0.3896,7.2632,-28.8696,-2.1362
241622.0000,-0.2407,0.8892,0.3892,6.7139,-28.3813,-2.0752
241623.0000,-0.2383,0.8862,0.3901,6.6528,-32.7759,-3.0518
241624.0000,-0.2441,0.8809,0.3882,6.4087,-34.9121,-3.5400
241625.0000,-0.2466,0.8770,0.3896,6.4697,-39.4287,-3.7231
241626.0000,-0.2407,0.8706,0.3877,6.1646,-37.4756,-4.3335
241627.0000,-0.2310,0.8691,0.3906,6.8359,-43.3350,-4.5166
241628.0000,-0.2236,0.8755,0.3960,6.3477,-46.3867,-4.5776
241629.0000,-0.2183,0.8818,0.3984,6.8970,-47.4854,-5.0659
241630.0000,-0.2144,0.8853,0.3979,7.3242,-51.6357,-5.6763
241631.0000,-0.2148,0.8892,0.3999,8.0566,-52.7954,-6.0425
241632.0000,-0.2090,0.8984,0.3975,9.2773,-57.7393,-6.1646
241633.0000,-0.1992,0.9106,0.3994,10.3760,-60.3638,-6.4087
241634.0000,-0.1875,0.9219,0.3965,11.5356,-62.9883,-6.1646
241635.0000,-0.1699,0.9219,0.3940,12.2681,-63.2935,-6.2256
