timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
369293.0000,-0.1431,0.9321,0.3413,5.7373,-0.6714,4.0894
369294.0000,-0.1289,0.9341,0.3413,5.5542,-0.6714,3.9062
369295.0000,-0.1265,0.9336,0.3438,5.0049,-1.0376,4.0283
369296.0000,-0.1235,0.9307,0.3398,4.3945,-1.5259,4.5166
369297.0000,-0.1274,0.9189,0.3394,4.2114,-1.7090,5.0049
369298.0000,-0.1265,0.9077,0.3354,4.2725,-1.7090,5.3101
369299.0000,-0.1284,0.9053,0.3311,4.5166,-1.9531,5.5542
369300.0000,-0.1333,0.9155,0.3262,5.3101,-2.6855,5.8594
369301.0000,-0.1260,0.9155,0.3271,6.1035,-3.2959,5.8594
369302.0000,-0.1191,0.9126,0.3291,6.6528,-3.4180,5.5542
369303.0000,-0.1094,0.9106,0.3271,6.9580,-3.2349,5.0659
369304.0000,-0.1064,0.9146,0.3223,7.0190,-2.7466,4.2114
369305.0000,-0.1055,0.9180,0.3154,6.9580,-2.3193,3.4180
369306.0000,-0.1045,0.9238,0.3149,6.9580,-2.1973,2.9907
369307.0000,-0.1084,0.9253,0.3120,7.0801,-1.4038,1.4648
369308.0000,-0.1138,0.9336,0.3110,7.0190,-1.5259,0.2441
369309.0000,-0.1147,0.9331,0.3096,7.0190,-1.4038,-0.8545
369310.0000,-0.1182,0.9263,0.3086,7.0801,-1.5259,-1.6479
369311.0000,-0.1265,0.9165,0.3032,6.8970,-1.6479,-2.1973
369312.0000,-0.1230,0.9062,0.3037,6.3477,-1.6479,-3.0518
369313.0000,-0.1338,0.9092,0.3047,5.4321,-1.4038,-3.7231
369314.0000,-0.1357,0.9111,0.3042,4.3945,-0.7935,-4.7607
369315.0000,-0.1265,0.9087,0.3027,3.6011,-0.3052,-5.6763
369316.0000,-0.1357,0.9043,0.3008,2.9297,0.3662,-5.9204
369317.0000,-0.1372,0.9072,0.3003,2.3193,0.4272,-6.7749
369318.0000,-0.1475,0.9106,0.2988,1.8311,0.7324,-6.9580
369319.0000,-0.1504,0.9136,0.3027,1.4038,0.9766,-6.7139
369320.0000,-0.1450,0.9082,0.3008,0.7935,0.7324,-6.6528
369321.0000,-0.1499,0.9053,0.3013,0.2441,1.2207,-5.9814
369322.0000,-0.1455,0.9048,0.3022,0.1831,1.4038,-5.0659
369323.0000,-0.1411,0.9019,0.3042,0.0000,2.3193,-4.5166
369324.0000,-0.1338,0.9072,0.3081,-0.2441,2.9297,-4.0894
369325.0000,-0.1274,0.9116,0.3081,-0.8545,3.3569,-3.7231
369326.0000,-0.1235,0.9165,0.3076,-1.1597,3.7231,-2.9907
369327.0000,-0.1226,0.9165,0.3086,-1.7700,4.0894,-3.5400
369328.0000,-0.1226,0.9121,0.3071,-2.2583,4.5166,-2.9297
369329.0000,-0.1113,0.9097,0.3115,-2.6855,4.6997,-2.9907
369330.0000,-0.1074,0.9097,0.3101,-3.0518,5.0049,-3.6011
369331.0000,-0.1045,0.9189,0.3130,-3.4180,5.4321,-3.6621
369332.0000,-0.1040,0.9263,0.3154,-3.2349,5.5542,-4.0894
369333.0000,-0.0981,0.9326,0.3179,-3.1738,5.3711,-4.6997
369334.0000,-0.1011,0.9272,0.3218,-3.3569,4.9438,-5.1270
369335.0000,-0.0972,0.9189,0.3237,-3.2959,5.0049,-6.0425
369336.0000,-0.1035,0.9194,0.3262,-3.7842,5.4321,-6.1646
369337.0000,-0.1030,0.9282,0.3252,-3.9062,5.4321,-6.4087
369338.0000,-0.0952,0.9487,0.3237,-3.9062,5.6763,-6.2866
369339.0000,-0.0977,0.9595,0.3281,-3.6621,5.6763,-7.2021
369340.0000,-0.0864,0.9521,0.3340,-3.6621,6.3477,-6.7749
369341.0000,-0.0962,0.9463,0.3350,-3.1738,6.7139,-7.2021
369342.0000,-0.1021,0.9707,0.3364,-3.1738,7.0190,-7.6904
369343.0000,-0.1113,1.0010,0.3345,-2.8687,7.0190,-7.0190
369344.0000,-0.1187,1.0151,0.3301,-2.5635,7.1411,-7.3853
369345.0000,-0.1289,1.0220,0.3276,-2.1362,6.8970,-7.4463
369346.0000,-0.1318,1.0083,0.3281,-1.7090,6.4697,-7.4463
369347.0000,-0.1343,0.9805,0.3306,-1.4038,6.5308,-7.4463
369348.0000,-0.1328,0.9746,0.3335,-0.9155,6.5918,-6.8359
369349.0000,-0.1323,0.9819,0.3384,-0.7935,6.4697,-6.7749
369350.0000,-0.1318,0.9873,0.3433,-0.6714,6.1035,-6.1035
369351.0000,-0.1362,1.0049,0.3447,-0.4272,5.6152,-5.3711
369352.0000,-0.1401,1.0088,0.3438,0.0610,5.3101,-4.0894
369353.0000,-0.1484,1.0122,0.3433,0.3662,5.5542,-2.4414
369354.0000,-0.1558,1.0122,0.3442,1.0376,5.4932,-1.0376
369355.0000,-0.1558,1.0049,0.3516,1.3428,5.5542,0.1831
369356.0000,-0.1660,0.9937,0.3530,1.4038,5.0049,0.6104
369357.0000,-0.1694,0.9839,0.3540,0.5493,4.6387,1.1597
369358.0000,-0.1938,0.9688,0.3525,-0.4883,4.1504,0.7324
369359.0000,-0.2051,0.9541,0.3560,-1.5259,3.3569,0.3052
369360.0000,-0.2280,0.9512,0.3584,-2.0752,2.8687,0.0000
369361.0000,-0.2515,0.9458,0.3564,-2.3193,2.8076,-0.4883
369362.0000,-0.2661,0.9443,0.3506,-1.9531,2.3193,-0.7324
369363.0000,-0.2734,0.9448,0.3452,-1.4648,2.0142,-0.0610
369364.0000,-0.2749,0.9453,0.3433,-0.9766,2.2583,0.6104
369365.0000,-0.2861,0.9399,0.3472,-0.9766,1.8311,0.9766
369366.0000,-0.2808,0.9517,0.3477,-1.0986,1.5869,1.8921
