timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
300082.0000,-0.0098,0.9292,0.3286,0.0000,1.4038,-5.2490
300083.0000,-0.0088,0.9297,0.3286,-0.0000,1.5259,-5.5542
300084.0000,-0.0098,0.9321,0.3257,0.0610,1.6479,-5.9204
300085.0000,-0.0117,0.9316,0.3271,0.0610,1.8311,-6.1035
300086.0000,-0.0146,0.9307,0.3237,0.2441,1.8311,-6.1035
300087.0000,-0.0166,0.9297,0.3218,0.4883,1.6479,-5.9204
300088.0000,-0.0176,0.9282,0.3179,0.5493,1.4038,-5.5542
300089.0000,-0.0229,0.9277,0.3154,0.4883,1.2207,-5.1880
300090.0000,-0.0210,0.9307,0.3174,0.2441,0.8545,-4.5166
300091.0000,-0.0195,0.9375,0.3174,0.0610,0.4883,-3.2349
300092.0000,-0.0190,0.9434,0.3188,-0.3662,0.1831,-1.8921
300093.0000,-0.0142,0.9482,0.3164,-0.8545,0.0610,-1.0986
300094.0000,-0.0127,0.9473,0.3145,-1.1597,0.0610,-0.8545
300095.0000,-0.0093,0.9390,0.3188,-1.8311,0.2441,-0.7935
300096.0000,-0.0122,0.9336,0.3262,-2.3804,0.6104,-0.9155
300097.0000,-0.0093,0.9414,0.3291,-2.9907,1.0986,-1.4038
300098.0000,-0.0054,0.9507,0.3267,-3.6011,1.5869,-1.7090
300099.0000,-0.0020,0.9497,0.3276,-4.0283,1.7700,-1.7700
300100.0000,-0.0049,0.9429,0.3291,-4.2114,1.9531,-1.8311
300101.0000,-0.0068,0.9326,0.3340,-4.0894,2.5635,-1.6479
300102.0000,-0.0132,0.9243,0.3369,-3.9062,2.8687,-1.4648
300103.0000,-0.0215,0.9204,0.3384,-3.2349,3.0518,-1.1597
300104.0000,-0.0229,0.9189,0.3398,-2.6245,3.0518,-1.0986
300105.0000,-0.0190,0.9180,0.3408,-2.0142,3.0518,-0.9766
300106.0000,-0.0181,0.9160,0.3394,-1.6479,2.9297,-0.7324
300107.0000,-0.0190,0.9131,0.3394,-1.3428,3.2959,-0.6104
300108.0000,-0.0190,0.9111,0.3403,-1.1597,3.4180,-0.7324
300109.0000,-0.0229,0.9102,0.3413,-0.7935,3.6011,-0.9766
300110.0000,-0.0249,0.9106,0.3394,-0.2441,3.7842,-1.5869
300111.0000,-0.0259,0.9146,0.3379,0.5493,3.9673,-2.3193
300112.0000,-0.0259,0.9175,0.3379,1.1597,3.9673,-2.7466
300113.0000,-0.0259,0.9199,0.3369,1.7700,3.7842,-2.8076
300114.0000,-0.0239,0.9204,0.3364,1.9531,3.4180,-2.3804
300115.0000,-0.0205,0.9194,0.3330,1.8311,2.9907,-1.5259
300116.0000,-0.0239,0.9175,0.3330,1.2207,2.4414,-0.9155
300117.0000,-0.0273,0.9150,0.3325,0.8545,2.0142,-0.4883
300118.0000,-0.0298,0.9126,0.3320,0.4272,1.8921,-0.4883
300119.0000,-0.0317,0.9136,0.3335,-0.1221,1.7700,-0.7324
300120.0000,-0.0342,0.9136,0.3340,-0.1831,1.7700,-0.9766
300121.0000,-0.0410,0.9170,0.3325,-0.0610,1.5259,-1.0986
300122.0000,-0.0479,0.9253,0.3335,-0.0610,1.2817,-0.7935
300123.0000,-0.0444,0.9316,0.3320,-0.3662,1.0376,0.1221
300124.0000,-0.0454,0.9375,0.3301,-0.9766,0.6714,0.7324
300125.0000,-0.0430,0.9429,0.3276,-1.6479,0.1831,0.8545
300126.0000,-0.0361,0.9468,0.3306,-1.9531,-0.4883,0.3662
300127.0000,-0.0303,0.9448,0.3394,-2.0752,-0.9766,-0.4883
300128.0000,-0.0303,0.9414,0.3408,-1.8921,-0.7935,-1.8311
300129.0000,-0.0322,0.9346,0.3408,-1.5869,-0.5493,-2.9297
300130.0000,-0.0371,0.9263,0.3408,-1.3428,-0.4883,-3.4790
300131.0000,-0.0420,0.9180,0.3374,-1.0986,-0.2441,-3.8452
300132.0000,-0.0444,0.9141,0.3384,-1.0376,-0.0000,-3.7231
300133.0000,-0.0479,0.9180,0.3403,-0.8545,0.4272,-3.4790
300134.0000,-0.0522,0.9336,0.3408,-0.7324,0.5493,-3.1738
300135.0000,-0.0518,0.9463,0.3438,-0.4272,0.7324,-2.8076
300136.0000,-0.0488,0.9507,0.3472,-0.1221,0.8545,-2.5635
300137.0000,-0.0410,0.9468,0.3457,0.1221,1.0986,-2.3804
300138.0000,-0.0337,0.9390,0.3472,0.3662,1.4038,-2.5024
300139.0000,-0.0239,0.9297,0.3496,0.4272,1.7090,-2.4414
300140.0000,-0.0225,0.9219,0.3486,0.3662,1.8311,-2.3193
300141.0000,-0.0234,0.9199,0.3462,0.4883,1.8921,-2.0752
