timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
331753.0000,-0.1733,0.9497,0.3394,0.7935,-11.4746,4.2725
331754.0000,-0.1670,0.9512,0.3423,-0.0610,-11.4136,3.7842
331755.0000,-0.1753,0.9668,0.3486,-1.0376,-10.9863,3.4180
331756.0000,-0.1938,0.9595,0.3511,-1.7090,-11.1694,2.8076
331757.0000,-0.2041,0.9453,0.3525,-1.9531,-10.8643,1.2817
331758.0000,-0.2007,0.9360,0.3506,-2.5024,-11.2915,0.5493
331759.0000,-0.1973,0.9414,0.3604,-2.5635,-12.2681,-1.4038
331760.0000,-0.1865,0.9468,0.3643,-2.5635,-12.8784,-2.7466
331761.0000,-0.1899,0.9497,0.3662,-2.9297,-13.0005,-3.2349
331762.0000,-0.1826,0.9438,0.3672,-3.3569,-13.6719,-4.2725
331763.0000,-0.1899,0.9536,0.3701,-4.1504,-13.7939,-4.7607
331764.0000,-0.1895,0.9307,0.3726,-4.6387,-13.9160,-4.6997
331765.0000,-0.1909,0.9351,0.3843,-4.6387,-14.2822,-5.5542
331766.0000,-0.1812,0.9492,0.3882,-5.4321,-13.9771,-5.1270
331767.0000,-0.1802,0.9512,0.3911,-5.9814,-14.0381,-5.7373
331768.0000,-0.1929,0.9321,0.3911,-6.2256,-13.6108,-5.4932
331769.0000,-0.1816,0.9438,0.3960,-6.6528,-13.3667,-5.1270
331770.0000,-0.1880,0.9243,0.4009,-6.8359,-14.0991,-5.8594
331771.0000,-0.1875,0.9219,0.4043,-7.1411,-13.8550,-5.5542
331772.0000,-0.1807,0.9390,0.4033,-7.1411,-12.7563,-5.9204
331773.0000,-0.1748,0.9160,0.4111,-7.5073,-12.0850,-6.2256
331774.0000,-0.1763,0.9160,0.4170,-7.3242,-11.5967,-6.4087
331775.0000,-0.1812,0.9121,0.4155,-7.4463,-11.5356,-6.0425
331776.0000,-0.1782,0.9204,0.4150,-7.2021,-10.8032,-6.4087
331777.0000,-0.1685,0.9292,0.4214,-7.1411,-10.4370,-6.5308
331778.0000,-0.1655,0.9106,0.4219,-6.5918,-10.7422,-6.5308
331779.0000,-0.1675,0.9062,0.4224,-6.2866,-10.3149,-5.2490
331780.0000,-0.1777,0.9062,0.4194,-5.9814,-10.6201,-5.2490
331781.0000,-0.1826,0.8916,0.4238,-5.5542,-10.7422,-4.5166
331782.0000,-0.1787,0.8882,0.4253,-5.1270,-10.5591,-4.1504
331783.0000,-0.1655,0.8813,0.4229,-4.7607,-10.6201,-4.0283
331784.0000,-0.1616,0.8892,0.4224,-4.3945,-10.5591,-3.5400
331785.0000,-0.1641,0.8809,0.4199,-3.9062,-10.1929,-3.7231
331786.0000,-0.1724,0.8838,0.4165,-3.0518,-10.0098,-3.2349
331787.0000,-0.1826,0.8916,0.4072,-2.7466,-10.3149,-4.0283
331788.0000,-0.1982,0.8750,0.4106,-1.7700,-10.0098,-3.7842
331789.0000,-0.1934,0.8564,0.4150,-0.9155,-10.0098,-3.7842
331790.0000,-0.1865,0.8564,0.4126,-0.6104,-9.9487,-4.1504
331791.0000,-0.1958,0.8530,0.4087,-0.1221,-9.9487,-3.7231
331792.0000,-0.1929,0.8667,0.4106,-0.0610,-10.1929,-2.9297
331793.0000,-0.1899,0.8721,0.4131,0.0610,-10.7422,-2.1362
331794.0000,-0.1802,0.8706,0.4121,-0.1831,-11.0474,-0.5493
331795.0000,-0.1665,0.8760,0.4248,-0.1831,-11.5967,-0.1221
331796.0000,-0.1592,0.8730,0.4277,-0.4272,-11.4136,-0.3052
331797.0000,-0.1431,0.8916,0.4404,-0.7935,-11.4136,0.1221
331798.0000,-0.1250,0.9004,0.4395,-1.4648,-11.4746,-0.7324
331799.0000,-0.1147,0.9033,0.4443,-1.8921,-10.8032,-1.9531
331800.0000,-0.0977,0.9277,0.4395,-2.0142,-9.8267,-3.1128
331801.0000,-0.0840,0.9448,0.4336,-2.1973,-9.1553,-3.0518
331802.0000,-0.0698,0.9395,0.4341,-2.2583,-8.5449,-1.5869
331803.0000,-0.0718,0.9492,0.4399,-1.6479,-9.4604,-1.5259
331804.0000,-0.0615,0.9463,0.4429,-0.6104,-9.5215,-0.0000
331805.0000,-0.0542,0.9307,0.4409,0.4883,-9.3384,1.0986
331806.0000,-0.0410,0.9028,0.4287,1.4038,-8.8501,1.4038
331807.0000,-0.0356,0.8975,0.4238,2.1362,-8.7280,1.7700
331808.0000,-0.0435,0.8999,0.4160,2.9297,-8.5449,1.9531
331809.0000,-0.0591,0.8999,0.4160,3.1738,-8.1177,0.9155
331810.0000,-0.0850,0.8872,0.4126,3.4790,-8.1177,1.4648
331811.0000,-0.1050,0.8721,0.4111,3.2349,-7.8735,3.1738
331812.0000,-0.1011,0.8677,0.4165,3.1128,-7.9956,5.8594
331813.0000,-0.0991,0.8511,0.4136,2.9297,-7.2632,9.9487
331814.0000,-0.0933,0.8506,0.4180,2.9907,-7.1411,14.2212
331815.0000,-0.0820,0.8521,0.4180,3.9673,-6.5918,19.7754
331816.0000,-0.0654,0.8511,0.4160,4.2725,-6.2256,21.1182
331817.0000,-0.0664,0.8423,0.4092,5.0659,-5.7373,22.1558
331818.0000,-0.0791,0.8325,0.4116,5.8594,-5.1270,21.6064
331819.0000,-0.0898,0.8398,0.4106,6.2256,-3.6621,20.0806
331820.0000,-0.1094,0.8247,0.4194,7.0801,-2.6855,20.1416
331821.0000,-0.1167,0.8262,0.4229,7.3853,-0.7324,21.7896
331822.0000,-0.1260,0.8179,0.4292,7.7515,0.6104,23.0103
331823.0000,-0.1157,0.8286,0.4321,8.3618,1.5259,22.9492
331824.0000,-0.0918,0.8364,0.4307,8.9111,2.7466,22.6440
331825.0000,-0.0776,0.8638,0.4248,9.7046,4.2114,21.6675
331826.0000,-0.0591,0.8853,0.4146,10.0708,5.5542,20.5688
331827.0000,-0.0508,0.9268,0.3965,10.1318,7.9346,21.6064
331828.0000,-0.0527,0.9658,0.3945,9.9487,8.2397,21.5454
331829.0000,-0.0601,0.9629,0.3999,9.0332,8.4229,22.5830
331830.0000,-0.0620,0.9458,0.3970,8.1177,7.5073,21.9727
331831.0000,-0.0728,0.9263,0.3965,6.7749,5.7983,20.5078
331832.0000,-0.0718,0.9302,0.3984,5.7373,4.5166,19.7754
331833.0000,-0.0879,0.9531,0.3838,4.6997,3.7842,19.1650
331834.0000,-0.1060,0.9624,0.3657,4.1504,2.9907,19.1650
331835.0000,-0.1221,0.9600,0.3535,4.1504,3.6621,19.8364
331836.0000,-0.1357,0.9609,0.3579,4.3335,4.2114,21.1182
331837.0000,-0.1465,0.9551,0.3838,4.6997,3.0518,21.9727
331838.0000,-0.1641,0.9312,0.4141,4.6997,1.0986,21.4844
331839.0000,-0.1846,0.9619,0.4302,3.5400,-1.4648,20.6299
331840.0000,-0.2036,1.0371,0.4331,2.0752,-2.7466,18.3105
331841.0000,-0.1973,1.1382,0.4268,-0.5493,-1.7700,15.1367
331842.0000,-0.1929,1.1855,0.4272,-4.6997,-0.9155,10.0708
331843.0000,-0.1826,1.1689,0.3989,-9.2163,0.6714,5.0659
331844.0000,-0.1670,1.0884,0.3887,-12.7563,3.6011,1.1597
331845.0000,-0.1558,1.0020,0.3911,-14.0381,5.9814,-1.8921
331846.0000,-0.1572,0.9165,0.3970,-13.4888,9.4604,-4.3945
331847.0000,-0.1694,0.8862,0.4072,-11.2915,12.2681,-4.7607
331848.0000,-0.1787,0.9131,0.3828,-8.7891,13.4277,-3.9062
331849.0000,-0.1904,0.9561,0.3433,-6.5918,14.5264,-3.3569
331850.0000,-0.1899,0.9585,0.3203,-5.5542,13.7939,-0.4272
331851.0000,-0.1592,0.8452,0.3091,-5.4932,12.7563,-0.6104
331852.0000,-0.1021,0.7476,0.3184,-7.8735,9.0332,-3.4180
331853.0000,-0.0283,0.6792,0.3315,-10.1318,5.2490,-7.0190
331854.0000,0.0210,0.6484,0.3276,-12.1460,2.1362,-5.8594
331855.0000,0.0244,0.6714,0.3320,-12.2070,0.9155,-2.8687
331856.0000,0.0083,0.7188,0.3325,-10.6201,-0.1221,0.0610
331857.0000,-0.0366,0.7388,0.3496,-8.5449,-1.5259,2.0142
331858.0000,-0.0757,0.7510,0.3804,-6.6528,-3.9062,3.2959
331859.0000,-0.0835,0.7925,0.3955,-5.4321,-7.5684,4.1504
331860.0000,-0.0645,0.8882,0.3979,-4.7607,-11.5967,2.7466
331861.0000,-0.0269,0.9634,0.3940,-3.2959,-11.7798,2.4414
331862.0000,0.0049,0.9932,0.4004,-0.8545,-8.7891,2.6855
331863.0000,-0.0015,0.9614,0.4263,1.0376,-4.8828,3.9062
331864.0000,-0.0166,0.9775,0.4536,1.5259,-4.2725,3.2349
331865.0000,-0.0391,1.0317,0.4639,1.1597,-6.8359,-0.0000
331866.0000,-0.0376,1.0601,0.4634,0.8545,-10.9253,-2.8687
331867.0000,-0.0234,1.0615,0.4473,0.8545,-12.6953,-4.9438
331868.0000,0.0107,1.0215,0.4404,1.6479,-10.7422,-5.9204
331869.0000,0.0376,1.0083,0.4639,2.7466,-9.0332,-4.1504
331870.0000,0.0771,1.0566,0.4854,2.0752,-9.7656,-2.3804
331871.0000,0.0815,1.0835,0.5015,0.8545,-11.8408,-1.0376
331872.0000,0.0630,1.0669,0.5024,0.1831,-12.3901,-0.6714
331873.0000,0.0264,1.0225,0.5039,-0.1221,-10.8032,-0.1221
331874.0000,-0.0073,0.9702,0.4966,0.1831,-5.0659,-0.4883
331875.0000,-0.0371,0.9517,0.4927,1.0986,-0.5493,0.4883
331876.0000,-0.0625,0.9863,0.5078,1.5869,2.6245,0.9766
331877.0000,-0.0669,1.0532,0.5215,0.6714,4.2114,2.6855
331878.0000,-0.0542,1.1235,0.5273,-1.3428,4.3945,5.0049
331879.0000,-0.0312,1.2271,0.5708,-2.6245,4.1504,7.8125
331880.0000,-0.0166,1.3296,0.6245,-3.4180,3.8452,9.2163
331881.0000,-0.0142,1.2573,0.5825,-3.4180,6.7749,12.3901
331882.0000,-0.0225,1.0996,0.5049,-2.3804,9.5215,18.9209
331883.0000,-0.0615,1.0269,0.4834,-1.4038,11.3525,24.2310
331884.0000,-0.0967,1.0601,0.5000,-0.2441,13.2446,23.1934
331885.0000,-0.1523,1.1030,0.5078,0.5493,13.0615,17.9443
331886.0000,-0.2061,1.1772,0.5112,1.2207,10.7422,11.9019
331887.0000,-0.2354,1.2954,0.5283,1.7700,6.9580,5.6152
331888.0000,-0.2285,1.4121,0.5503,0.9766,7.6294,-1.0376
331889.0000,-0.2041,1.4556,0.5635,-0.3662,7.9346,-5.8594
331890.0000,-0.1885,1.3511,0.5337,-1.4648,6.0425,-6.6528
331891.0000,-0.2007,1.2153,0.4604,-0.7935,4.5776,-2.3193
331892.0000,-0.2285,1.1421,0.4180,1.4648,5.4321,2.2583
331893.0000,-0.2319,1.1953,0.4268,6.0425,5.3711,3.2349
331894.0000,-0.2275,1.2134,0.4585,10.4370,2.7466,5.7373
331895.0000,-0.2354,1.1787,0.4468,13.7329,0.3662,11.1694
331896.0000,-0.2573,1.1323,0.4209,15.0146,2.3804,17.4561
