timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
282977.0000,0.0171,0.9917,0.4302,3.9062,32.7759,17.0898
282978.0000,0.0166,0.9888,0.4346,3.6621,32.0435,16.4795
282979.0000,0.0229,0.9907,0.4326,3.4180,31.3721,15.2588
282980.0000,0.0376,0.9907,0.4307,3.3569,31.0669,14.7095
282981.0000,0.0537,0.9883,0.4321,2.6245,31.0059,13.1836
282982.0000,0.0645,0.9873,0.4336,2.8076,31.6772,13.0005
282983.0000,0.0591,0.9844,0.4336,2.5024,31.9214,12.8784
282984.0000,0.0391,0.9810,0.4336,3.2349,32.4097,11.4136
282985.0000,0.0229,0.9746,0.4355,3.3569,33.0200,10.6812
282986.0000,0.0122,0.9673,0.4355,4.2114,32.3486,10.3760
282987.0000,0.0059,0.9634,0.4355,5.4932,31.5552,9.3994
282988.0000,0.0215,0.9614,0.4360,6.2256,31.3721,9.0942
282989.0000,0.0254,0.9658,0.4346,7.0801,29.2358,8.3008
282990.0000,0.0259,0.9722,0.4331,6.9580,29.0527,8.0566
282991.0000,0.0122,0.9775,0.4341,7.3853,28.1372,7.3242
282992.0000,-0.0010,0.9829,0.4346,7.5684,28.6255,7.4463
282993.0000,-0.0093,0.9810,0.4312,7.6904,25.8179,7.6294
282994.0000,-0.0088,0.9766,0.4302,7.9956,25.7568,7.6904
282995.0000,0.0010,0.9736,0.4272,8.5449,23.6816,8.0566
282996.0000,0.0117,0.9712,0.4243,9.3384,22.9492,8.5449
282997.0000,0.0200,0.9702,0.4189,9.7656,21.3623,9.1553
282998.0000,0.0215,0.9751,0.4185,10.0098,20.0806,8.7280
282999.0000,0.0273,0.9819,0.4180,9.9487,20.0806,9.1553
283000.0000,0.0225,0.9883,0.4155,10.1318,19.1040,9.2163
283001.0000,0.0273,0.9927,0.4146,9.9487,17.9443,8.7280
283002.0000,0.0220,0.9932,0.4102,10.0098,17.0288,8.4229
283003.0000,0.0278,0.9907,0.4058,10.6812,16.9067,7.9956
283004.0000,0.0342,0.9868,0.4038,10.7422,15.8081,7.5073
283005.0000,0.0327,0.9814,0.3994,10.8643,14.9536,7.2632
283006.0000,0.0347,0.9805,0.3975,11.3525,14.1602,7.1411
