timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
291852.0000,-0.2207,0.8975,0.3223,-1.8921,5.3101,-0.3662
291853.0000,-0.2202,0.8994,0.3198,-1.7090,5.1270,-0.2441
291854.0000,-0.2217,0.8970,0.3223,-1.4648,5.3711,-0.6104
291855.0000,-0.2178,0.8979,0.3188,-1.2207,5.2490,-0.2441
291856.0000,-0.2148,0.8975,0.3193,-1.0376,4.8218,-0.0000
291857.0000,-0.2173,0.9009,0.3203,-0.7935,4.3945,-0.1221
291858.0000,-0.2114,0.9048,0.3164,-0.6104,4.2114,0.5493
291859.0000,-0.2119,0.9087,0.3159,-0.4272,4.3945,0.6714
291860.0000,-0.1958,0.9116,0.3174,-0.1831,5.7373,0.7324
291861.0000,-0.1909,0.9121,0.3193,0.0000,7.7515,1.1597
291862.0000,-0.1743,0.9126,0.3149,-0.0610,9.5215,1.8311
291863.0000,-0.1611,0.9155,0.3101,-0.2441,11.5967,2.0142
291864.0000,-0.1616,0.9160,0.3071,-0.3662,13.8550,2.4414
291865.0000,-0.1675,0.9146,0.3086,-0.5493,14.8926,2.6855
291866.0000,-0.1724,0.9165,0.3047,-0.6714,17.2119,2.7466
291867.0000,-0.1787,0.9219,0.3027,-0.7935,18.9209,2.9907
291868.0000,-0.1768,0.9224,0.2964,-1.0986,20.0195,2.6855
291869.0000,-0.1782,0.9219,0.2939,-1.1597,21.3623,2.8687
291870.0000,-0.1753,0.9199,0.2915,-1.4038,22.2168,2.9297
291871.0000,-0.1880,0.9180,0.2871,-1.3428,21.9116,2.8687
291872.0000,-0.1958,0.9199,0.2856,-1.4648,22.5830,2.9907
291873.0000,-0.2007,0.9209,0.2852,-1.2207,22.7051,2.3804
291874.0000,-0.2085,0.9224,0.2837,-1.4038,22.8271,2.4414
291875.0000,-0.2070,0.9238,0.2808,-1.4648,22.0337,2.5024
291876.0000,-0.2080,0.9224,0.2832,-1.7090,22.0337,2.5635
291877.0000,-0.2153,0.9258,0.2803,-2.0142,21.9116,3.0518
291878.0000,-0.2202,0.9268,0.2783,-2.0752,21.3623,2.6855
291879.0000,-0.2217,0.9263,0.2812,-2.3193,20.8740,3.2349
291880.0000,-0.2104,0.9268,0.2817,-2.3804,20.3247,2.9907
291881.0000,-0.2144,0.9238,0.2817,-2.4414,19.8364,3.2349
291882.0000,-0.2148,0.9268,0.2812,-2.6245,19.4092,3.6011
291883.0000,-0.2212,0.9307,0.2832,-2.6855,18.9819,3.9673
291884.0000,-0.2236,0.9331,0.2832,-2.6245,17.8833,4.3945
291885.0000,-0.2192,0.9321,0.2822,-2.5024,17.8833,4.5166
291886.0000,-0.2163,0.9346,0.2783,-2.6855,16.3574,4.9438
291887.0000,-0.2192,0.9331,0.2769,-2.8076,14.2822,5.3711
291888.0000,-0.2227,0.9336,0.2773,-2.8076,13.1836,6.3477
291889.0000,-0.2305,0.9326,0.2744,-2.8687,12.0850,6.7749
291890.0000,-0.2358,0.9375,0.2734,-2.6855,10.8032,7.1411
291891.0000,-0.2383,0.9375,0.2720,-2.8687,10.8032,7.4463
291892.0000,-0.2378,0.9370,0.2725,-2.9297,8.4839,7.3853
291893.0000,-0.2378,0.9385,0.2715,-3.1128,8.2397,7.8735
291894.0000,-0.2344,0.9360,0.2705,-3.2349,7.0190,7.9346
291895.0000,-0.2168,0.9355,0.2656,-3.4790,5.9814,7.6904
291896.0000,-0.2178,0.9375,0.2637,-3.7842,5.9814,7.5073
291897.0000,-0.2217,0.9375,0.2651,-3.8452,5.3711,7.3242
291898.0000,-0.2183,0.9404,0.2666,-3.9673,5.3711,6.3477
291899.0000,-0.2227,0.9419,0.2651,-4.0283,4.5166,5.7373
291900.0000,-0.2168,0.9404,0.2632,-4.2725,4.5776,5.8594
291901.0000,-0.2056,0.9390,0.2642,-4.3945,4.0283,5.9204
291902.0000,-0.2031,0.9399,0.2646,-4.8218,4.5166,5.9204
291903.0000,-0.1973,0.9434,0.2627,-4.9438,4.0894,6.0425
291904.0000,-0.1997,0.9487,0.2642,-5.2490,3.7231,5.6763
291905.0000,-0.1938,0.9492,0.2622,-5.5542,3.9062,5.7983
291906.0000,-0.1909,0.9424,0.2632,-5.9814,3.6621,5.5542
291907.0000,-0.1870,0.9380,0.2661,-6.2866,5.3711,5.3711
291908.0000,-0.1899,0.9404,0.2686,-6.5308,5.6763,5.7373
291909.0000,-0.1836,0.9497,0.2686,-6.7749,7.0190,6.0425
291910.0000,-0.1782,0.9570,0.2695,-7.3242,7.5684,6.6528
291911.0000,-0.1763,0.9531,0.2661,-7.5684,8.6060,7.3242
291912.0000,-0.1758,0.9434,0.2681,-7.9956,9.2163,8.9722
291913.0000,-0.1763,0.9409,0.2681,-8.4229,10.5591,10.4980
291914.0000,-0.1587,0.9419,0.2710,-8.8501,12.2681,12.0239
291915.0000,-0.1587,0.9487,0.2729,-9.5215,15.6860,13.2446
291916.0000,-0.1509,0.9546,0.2764,-9.7046,18.0664,14.6484
291917.0000,-0.1543,0.9541,0.2725,-10.3149,21.1792,15.3809
291918.0000,-0.1533,0.9419,0.2695,-10.9863,24.2920,16.6016
291919.0000,-0.1440,0.9292,0.2690,-11.5967,27.5269,18.2495
291920.0000,-0.1343,0.9258,0.2690,-12.3291,30.5176,19.7144
291921.0000,-0.1284,0.9272,0.2681,-13.1836,33.6304,20.4468
291922.0000,-0.1035,0.9302,0.2671,-13.9160,37.8418,21.1182
291923.0000,-0.0879,0.9287,0.2637,-15.1367,40.3442,21.3623
291924.0000,-0.0752,0.9272,0.2563,-15.9302,43.2739,21.3013
291925.0000,-0.0742,0.9268,0.2544,-16.4185,46.0815,20.9351
291926.0000,-0.0684,0.9272,0.2529,-17.2729,48.8281,20.2026
291927.0000,-0.0723,0.9258,0.2578,-18.4326,50.7812,19.0430
291928.0000,-0.0581,0.9229,0.2534,-19.7144,52.3071,18.3716
291929.0000,-0.0498,0.9189,0.2588,-20.8130,54.1382,17.1509
291930.0000,-0.0479,0.9146,0.2651,-21.7896,54.6265,16.7236
291931.0000,-0.0474,0.9131,0.2622,-22.5830,54.9927,15.4419
291932.0000,-0.0571,0.9146,0.2671,-23.2544,53.7109,14.1602
291933.0000,-0.0630,0.9185,0.2749,-24.2310,53.4668,12.5732
291934.0000,-0.0674,0.9224,0.2769,-25.2686,52.2461,11.0474
291935.0000,-0.0747,0.9248,0.2837,-26.4893,51.9409,9.2163
291936.0000,-0.0889,0.9253,0.2876,-27.5269,49.9268,7.7515
291937.0000,-0.1167,0.9253,0.2915,-28.4424,47.9736,6.6528
291938.0000,-0.1206,0.9238,0.2983,-28.9917,45.5322,5.6152
291939.0000,-0.1240,0.9253,0.3062,-29.6631,43.8232,4.8828
291940.0000,-0.1294,0.9282,0.3101,-30.3955,39.6118,4.6387
291941.0000,-0.1406,0.9302,0.3164,-31.1890,37.7808,4.5776
