timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
109119.0000,0.0649,0.9077,0.4375,2.6245,-6.5308,24.0479
109120.0000,0.0542,0.9165,0.4419,2.8687,-5.9814,24.3530
109121.0000,0.0581,0.9214,0.4478,3.0518,-6.5918,24.5972
109122.0000,0.0688,0.9268,0.4468,3.0518,-6.5918,24.2920
109123.0000,0.0767,0.9219,0.4429,3.0518,-6.1035,23.5596
109124.0000,0.0864,0.9238,0.4414,3.0518,-5.2490,22.0337
109125.0000,0.0942,0.9229,0.4438,3.2959,-4.3945,18.8599
109126.0000,0.1035,0.9258,0.4434,3.2959,-3.6011,16.6626
109127.0000,0.1006,0.9233,0.4395,3.4180,-3.0518,14.1602
109128.0000,0.1021,0.9189,0.4375,3.7842,-2.7466,12.0239
109129.0000,0.1079,0.9155,0.4404,4.2114,-2.8687,10.6201
109130.0000,0.1040,0.9170,0.4380,4.5166,-2.8687,9.0942
109131.0000,0.1025,0.9185,0.4424,4.8218,-3.3569,8.1787
109132.0000,0.0967,0.9214,0.4385,4.8828,-3.7842,7.2632
109133.0000,0.1025,0.9248,0.4390,4.6997,-3.8452,6.9580
109134.0000,0.1025,0.9321,0.4360,4.3945,-3.7231,5.5542
109135.0000,0.1118,0.9336,0.4331,4.0283,-3.4180,4.6387
109136.0000,0.1162,0.9375,0.4316,3.5400,-2.9907,2.9297
109137.0000,0.1206,0.9370,0.4287,2.9907,-2.9297,1.8311
109138.0000,0.1182,0.9355,0.4287,2.5024,-3.0518,1.8311
109139.0000,0.1206,0.9351,0.4287,2.0142,-2.8687,1.4038
109140.0000,0.1152,0.9326,0.4287,1.4648,-2.6855,2.1973
109141.0000,0.1147,0.9292,0.4287,0.9766,-2.7466,2.1362
109142.0000,0.1099,0.9287,0.4312,0.7324,-2.3804,2.7466
109143.0000,0.1064,0.9312,0.4307,0.6714,-1.6479,2.0142
109144.0000,0.1104,0.9326,0.4321,0.4883,-1.0986,1.9531
109145.0000,0.1167,0.9404,0.4312,0.1831,-0.4883,1.4648
109146.0000,0.1274,0.9404,0.4302,-0.1831,-0.0610,0.3052
109147.0000,0.1260,0.9434,0.4297,-0.5493,0.3052,0.1831
109148.0000,0.1279,0.9453,0.4321,-0.7935,0.4272,-0.8545
109149.0000,0.1294,0.9399,0.4287,-0.9155,0.3662,-1.0986
109150.0000,0.1299,0.9355,0.4282,-0.8545,0.3052,-0.8545
109151.0000,0.1260,0.9331,0.4292,-0.6714,0.6104,-0.7324
109152.0000,0.1201,0.9214,0.4321,-0.4883,0.7935,-1.1597
109153.0000,0.1147,0.9253,0.4316,-0.3662,0.8545,-1.7090
109154.0000,0.1167,0.9238,0.4326,-0.2441,1.4648,-2.8687
109155.0000,0.1162,0.9272,0.4312,-0.2441,1.5259,-4.1504
109156.0000,0.1274,0.9312,0.4312,-0.2441,1.8311,-4.6387
109157.0000,0.1167,0.9297,0.4307,-0.2441,2.1362,-5.7373
109158.0000,0.1250,0.9277,0.4321,-0.3052,2.5024,-6.2256
109159.0000,0.1182,0.9316,0.4316,-0.2441,2.7466,-7.0801
109160.0000,0.1226,0.9263,0.4321,-0.3052,3.1128,-7.8125
109161.0000,0.1235,0.9224,0.4316,-0.3662,3.6621,-8.5449
109162.0000,0.1226,0.9263,0.4331,-0.5493,3.9673,-9.3994
109163.0000,0.1191,0.9316,0.4331,-0.7935,4.3945,-10.8032
109164.0000,0.1201,0.9360,0.4307,-0.9155,4.6997,-11.2305
109165.0000,0.1182,0.9390,0.4277,-1.0986,5.1270,-12.1460
109166.0000,0.1162,0.9365,0.4282,-1.4038,5.5542,-13.1836
109167.0000,0.1245,0.9375,0.4312,-1.7090,5.6763,-13.7939
