timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
117739.0000,-0.0391,0.9316,0.3369,-1.3428,-1.9531,-4.0283
117740.0000,-0.0513,0.9375,0.3403,-0.9155,-2.0752,-6.2256
117741.0000,-0.0459,0.9360,0.3433,-0.6104,-1.7090,-6.0425
117742.0000,-0.0332,0.9404,0.3442,-0.2441,-1.3428,-7.5073
117743.0000,-0.0400,0.9399,0.3467,-0.2441,-1.0376,-9.2163
117744.0000,-0.0337,0.9409,0.3462,-0.1831,-0.0610,-11.1694
117745.0000,-0.0312,0.9390,0.3457,0.2441,0.5493,-13.9160
117746.0000,-0.0371,0.9346,0.3481,0.4883,1.3428,-14.6484
117747.0000,-0.0327,0.9336,0.3486,1.0376,1.8921,-18.4937
117748.0000,-0.0293,0.9268,0.3467,1.5259,2.3193,-20.5078
117749.0000,-0.0396,0.9277,0.3438,2.0752,2.5635,-23.3765
117750.0000,-0.0435,0.9302,0.3433,2.5024,2.8076,-25.3296
117751.0000,-0.0425,0.9409,0.3403,2.6855,3.4790,-29.1138
117752.0000,-0.0474,0.9434,0.3384,2.5024,4.1504,-31.7383
117753.0000,-0.0562,0.9448,0.3389,2.5024,4.3335,-35.8887
117754.0000,-0.0483,0.9478,0.3379,2.1973,5.1880,-37.4146
117755.0000,-0.0454,0.9370,0.3364,2.0752,6.0425,-38.4521
117756.0000,-0.0493,0.9307,0.3369,2.1362,6.2866,-40.1611
117757.0000,-0.0425,0.9287,0.3350,2.2583,6.2866,-39.9780
117758.0000,-0.0571,0.9248,0.3335,2.3804,6.8359,-39.4897
117759.0000,-0.0522,0.9175,0.3325,2.5635,7.5073,-40.0391
117760.0000,-0.0698,0.9180,0.3335,2.3804,7.8735,-38.6353
117761.0000,-0.0601,0.9189,0.3325,2.0752,8.1787,-36.8042
117762.0000,-0.0679,0.9199,0.3311,2.0752,8.1787,-34.5459
117763.0000,-0.0723,0.9155,0.3281,1.8311,8.1787,-31.2500
117764.0000,-0.0869,0.9131,0.3232,1.5869,7.8125,-28.9307
117765.0000,-0.0981,0.9121,0.3213,1.2207,7.3242,-24.4141
117766.0000,-0.1035,0.9126,0.3223,0.9155,6.2866,-21.9116
117767.0000,-0.1099,0.9194,0.3208,0.5493,5.5542,-19.4092
117768.0000,-0.1201,0.9214,0.3198,0.3052,4.4556,-16.3574
117769.0000,-0.1255,0.9219,0.3164,-0.0610,3.7231,-14.3433
117770.0000,-0.1372,0.9219,0.3174,-0.3052,2.6245,-11.5356
117771.0000,-0.1523,0.9214,0.3198,-0.6714,1.5259,-11.1084
117772.0000,-0.1543,0.9150,0.3218,-0.9766,0.8545,-7.8125
117773.0000,-0.1665,0.9185,0.3213,-1.2207,0.3662,-6.5308
117774.0000,-0.1743,0.9243,0.3228,-1.3428,0.3662,-6.6528
117775.0000,-0.1885,0.9150,0.3242,-1.4038,0.1831,-5.6763
