timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
123954.0000,0.1353,0.9243,0.3701,-3.0518,5.3711,-10.0708
123955.0000,0.1362,0.9268,0.3652,-2.9297,5.0049,-10.8643
123956.0000,0.1328,0.9287,0.3662,-2.8687,4.9438,-11.9629
123957.0000,0.1357,0.9282,0.3662,-2.9297,4.6997,-10.9253
123958.0000,0.1348,0.9263,0.3662,-2.9297,4.3945,-9.8267
123959.0000,0.1284,0.9243,0.3687,-2.9297,4.9438,-13.1836
123960.0000,0.1167,0.9272,0.3667,-2.5024,4.5166,-11.5967
123961.0000,0.1201,0.9238,0.3662,-2.3193,5.0049,-12.5122
123962.0000,0.1113,0.9243,0.3687,-2.2583,4.6387,-12.3291
123963.0000,0.0981,0.9243,0.3701,-2.0752,5.1880,-12.0239
123964.0000,0.0991,0.9336,0.3701,-2.1973,4.3335,-11.6577
123965.0000,0.1045,0.9360,0.3721,-2.3804,4.2725,-11.2305
123966.0000,0.0938,0.9365,0.3711,-2.4414,3.8452,-10.6201
123967.0000,0.0898,0.9414,0.3735,-2.6855,4.2114,-10.0708
123968.0000,0.0952,0.9395,0.3726,-2.6855,4.0283,-8.6670
123969.0000,0.0845,0.9321,0.3716,-2.4414,4.3335,-8.4839
123970.0000,0.0752,0.9263,0.3760,-1.8921,4.2114,-8.6670
123971.0000,0.0693,0.9229,0.3813,-1.7700,4.3945,-6.5918
123972.0000,0.0762,0.9180,0.3823,-1.9531,4.3945,-5.9204
123973.0000,0.0698,0.9189,0.3813,-2.0752,3.9062,-5.9204
123974.0000,0.0703,0.9351,0.3823,-2.0142,3.5400,-5.3711
123975.0000,0.0767,0.9443,0.3823,-1.8311,3.0518,-4.4556
123976.0000,0.0723,0.9424,0.3823,-1.8921,3.1738,-5.3101
123977.0000,0.0737,0.9380,0.3818,-1.7700,2.5635,-5.6763
123978.0000,0.0791,0.9360,0.3818,-1.5869,2.0752,-5.6763
123979.0000,0.0781,0.9316,0.3818,-1.4648,2.1362,-8.6670
123980.0000,0.0737,0.9365,0.3813,-1.5259,1.5869,-11.6577
123981.0000,0.0879,0.9404,0.3813,-1.3428,2.1362,-13.6108
123982.0000,0.0898,0.9419,0.3828,-1.4038,1.8311,-16.7847
123983.0000,0.0928,0.9409,0.3833,-1.2207,1.6479,-21.5454
123984.0000,0.0947,0.9419,0.3833,-1.2817,2.0142,-23.7427
123985.0000,0.0972,0.9409,0.3813,-1.2207,1.8311,-25.9399
123986.0000,0.1074,0.9395,0.3813,-1.2207,1.4648,-30.3345
123987.0000,0.1050,0.9380,0.3799,-1.5869,2.3193,-34.4238
123988.0000,0.1123,0.9346,0.3774,-1.7700,2.0752,-39.3066
123989.0000,0.1260,0.9351,0.3770,-2.1973,2.6245,-45.4712
123990.0000,0.1289,0.9355,0.3730,-2.5024,2.5635,-53.0396
123991.0000,0.1455,0.9370,0.3711,-2.7466,2.7466,-58.2275
123992.0000,0.1455,0.9395,0.3691,-2.9907,3.4180,-65.1245
123993.0000,0.1597,0.9419,0.3662,-2.9297,3.2349,-70.3125
123994.0000,0.1641,0.9365,0.3623,-3.1128,3.4180,-75.2563
123995.0000,0.1665,0.9316,0.3604,-3.1738,3.6621,-81.6650
123996.0000,0.1729,0.9199,0.3589,-3.3569,4.3335,-86.4868
123997.0000,0.1729,0.9170,0.3564,-3.3569,5.7373,-91.7358
123998.0000,0.1919,0.9111,0.3516,-3.1128,6.8970,-95.1538
123999.0000,0.1709,0.9082,0.3530,-3.0518,8.4839,-99.1821
124000.0000,0.1519,0.9038,0.3525,-2.6855,10.9863,-103.8818
124001.0000,0.1372,0.8921,0.3501,-2.4414,13.4277,-107.2998
124002.0000,0.1255,0.8838,0.3467,-1.8311,15.5640,-111.9995
124003.0000,0.0991,0.8716,0.3433,-1.5869,18.6768,-114.9292
124004.0000,0.0820,0.8647,0.3428,-1.5259,21.9116,-119.3848
124005.0000,0.0571,0.8535,0.3428,-1.3428,24.4751,-122.5586
124006.0000,0.0264,0.8457,0.3408,-1.6479,26.6724,-127.5024
124007.0000,0.0039,0.8394,0.3359,-2.2583,29.2358,-129.3335
124008.0000,-0.0366,0.8340,0.3320,-3.2959,31.3721,-130.3711
124009.0000,-0.0552,0.8315,0.3267,-4.2725,33.8745,-132.1411
124010.0000,-0.0825,0.8315,0.3262,-5.1880,35.5225,-133.3008
124011.0000,-0.1172,0.8359,0.3247,-6.0425,36.3159,-132.5073
124012.0000,-0.1450,0.8384,0.3257,-6.4697,37.8418,-130.7373
124013.0000,-0.1777,0.8398,0.3276,-7.1411,38.6353,-130.3711
124014.0000,-0.1836,0.8325,0.3271,-7.5073,39.1235,-128.3569
124015.0000,-0.2153,0.8301,0.3262,-7.5684,39.6118,-124.3286
124016.0000,-0.2310,0.8247,0.3257,-7.3242,40.5273,-123.3521
124017.0000,-0.2637,0.8164,0.3232,-6.2256,40.0391,-121.0327
124018.0000,-0.2720,0.8076,0.3208,-5.7983,40.0391,-116.5161
124019.0000,-0.2949,0.8022,0.3193,-6.1646,39.7949,-117.2485
124020.0000,-0.3164,0.8003,0.3145,-7.5684,40.1611,-115.0513
124021.0000,-0.3467,0.7812,0.3140,-9.1553,40.3442,-111.6943
124022.0000,-0.3838,0.7622,0.3145,-10.2539,41.5039,-110.1685
124023.0000,-0.4453,0.7388,0.3179,-10.6812,41.0767,-107.8491
124024.0000,-0.5205,0.7202,0.3164,-10.1318,39.4897,-105.3467
124025.0000,-0.5454,0.7114,0.3154,-8.7891,36.0718,-102.4780
124026.0000,-0.5425,0.7178,0.3140,-8.0566,32.1655,-98.9990
124027.0000,-0.5186,0.7368,0.3105,-8.1787,29.5410,-96.4355
124028.0000,-0.5020,0.7427,0.3071,-8.8501,29.9072,-95.0317
124029.0000,-0.5034,0.7217,0.2969,-9.2163,31.7993,-93.9941
124030.0000,-0.5273,0.6899,0.2891,-9.2773,32.4097,-92.4072
124031.0000,-0.5723,0.6523,0.2866,-9.0332,32.6538,-89.9048
124032.0000,-0.6143,0.6245,0.2881,-9.2773,31.0059,-86.0596
124033.0000,-0.6548,0.6143,0.2900,-9.5215,28.6865,-84.9609
124034.0000,-0.6816,0.6245,0.2842,-10.0708,27.2217,-81.2378
124035.0000,-0.6675,0.6392,0.2788,-10.0098,27.7100,-78.3691
124036.0000,-0.6436,0.6431,0.2783,-9.3384,29.4800,-76.0498
124037.0000,-0.6294,0.6270,0.2793,-8.4839,30.9448,-71.0449
124038.0000,-0.6475,0.5933,0.2837,-7.6294,31.1890,-69.2749
124039.0000,-0.6973,0.5684,0.2866,-7.5684,28.7476,-66.1621
124040.0000,-0.7559,0.5664,0.2812,-7.5684,24.5972,-61.4624
124041.0000,-0.8052,0.5806,0.2759,-7.5073,20.7520,-56.6406
124042.0000,-0.8457,0.5762,0.2734,-7.6904,18.7378,-51.3306
124043.0000,-0.8340,0.5625,0.2734,-7.8125,19.5312,-48.7061
124044.0000,-0.7822,0.5479,0.2725,-7.6904,19.8364,-45.1660
124045.0000,-0.7314,0.5288,0.2739,-7.5073,18.8599,-43.7622
124046.0000,-0.7261,0.5234,0.2739,-7.3242,17.1509,-40.4663
124047.0000,-0.7476,0.5176,0.2764,-7.1411,15.9302,-36.8652
124048.0000,-0.7808,0.5171,0.2764,-7.4463,14.5264,-35.5225
124049.0000,-0.7998,0.5225,0.2773,-7.3853,14.6484,-31.4331
124050.0000,-0.8174,0.5171,0.2788,-7.4463,13.9160,-29.4189
124051.0000,-0.8291,0.5181,0.2832,-7.4463,13.1226,-25.3906
124052.0000,-0.8359,0.5176,0.2866,-7.0801,9.9487,-21.7896
124053.0000,-0.8589,0.5210,0.2930,-6.2866,7.3853,-18.2495
124054.0000,-0.8833,0.5166,0.3013,-5.3101,4.8218,-15.0757
124055.0000,-0.9111,0.5161,0.2974,-4.3945,1.5259,-11.1084
124056.0000,-0.9487,0.5283,0.2935,-3.7842,-1.1597,-5.3101
124057.0000,-0.9771,0.5312,0.2959,-3.2959,-4.3945,-1.8921
124058.0000,-0.9858,0.5366,0.2979,-2.6855,-7.2632,3.2959
124059.0000,-0.9976,0.5366,0.2964,-1.9531,-11.4136,9.5215
124060.0000,-1.0146,0.5361,0.2935,-1.4648,-14.3433,15.5640
124061.0000,-1.0239,0.5298,0.2944,-0.6714,-17.2729,21.4233
124062.0000,-1.0283,0.5376,0.2969,0.0610,-22.2778,28.5034
124063.0000,-1.0166,0.5352,0.3013,0.7324,-25.1465,35.0952
124064.0000,-1.0234,0.5332,0.3022,1.3428,-27.3438,39.5508
124065.0000,-1.0146,0.5317,0.3042,1.8311,-28.8696,46.0815
124066.0000,-0.9961,0.5376,0.3062,2.0142,-30.2124,51.5747
124067.0000,-0.9727,0.5371,0.3096,2.7466,-31.0669,61.2183
124068.0000,-0.9268,0.5420,0.3110,3.1738,-31.9824,66.8335
124069.0000,-0.8726,0.5527,0.3101,3.9673,-32.7148,75.1953
