timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
115659.0000,-0.0298,0.9990,0.2710,0.0000,-0.3052,1.5259
115660.0000,-0.0371,0.9990,0.2729,-0.1831,0.2441,0.3662
115661.0000,-0.0396,0.9966,0.2720,-0.1221,0.4883,0.3052
115662.0000,-0.0420,0.9995,0.2715,-0.3052,0.4883,-0.8545
115663.0000,-0.0498,0.9995,0.2695,-0.3052,0.7935,-1.0986
115664.0000,-0.0430,1.0010,0.2710,-0.1831,0.9155,-1.6479
115665.0000,-0.0439,0.9971,0.2690,-0.2441,0.3662,-1.0376
115666.0000,-0.0503,0.9932,0.2700,-0.1221,0.4883,-2.8687
115667.0000,-0.0474,0.9946,0.2715,0.0610,0.6104,-3.9673
115668.0000,-0.0449,0.9980,0.2710,0.1221,0.6714,-2.6855
115669.0000,-0.0537,0.9976,0.2725,0.1221,0.7324,-2.8687
115670.0000,-0.0532,1.0029,0.2734,0.1831,1.0986,-3.6621
115671.0000,-0.0601,1.0024,0.2734,-0.0610,1.5259,-4.5776
115672.0000,-0.0596,1.0054,0.2744,0.0000,1.5259,-4.6387
115673.0000,-0.0649,0.9971,0.2725,0.1831,1.7700,-5.0659
115674.0000,-0.0732,0.9976,0.2734,0.1831,2.0752,-5.3101
115675.0000,-0.0781,1.0000,0.2725,0.1831,2.1973,-6.4087
115676.0000,-0.0791,1.0044,0.2739,-0.1831,2.1362,-6.2866
115677.0000,-0.0977,1.0039,0.2725,-0.2441,2.3193,-7.5073
115678.0000,-0.0894,1.0063,0.2700,-0.4883,2.1973,-8.2397
115679.0000,-0.0957,1.0024,0.2700,-0.4272,1.5259,-7.2632
115680.0000,-0.0889,1.0000,0.2695,-0.4883,1.5259,-6.5918
115681.0000,-0.0811,1.0010,0.2710,-0.6104,1.4648,-7.8735
115682.0000,-0.0854,1.0078,0.2681,-0.9766,1.1597,-6.7139
115683.0000,-0.0771,1.0151,0.2705,-1.5259,0.9155,-7.1411
115684.0000,-0.0713,1.0137,0.2715,-2.0142,1.1597,-7.2021
115685.0000,-0.0635,1.0068,0.2695,-2.1973,0.5493,-9.0942
115686.0000,-0.0601,0.9985,0.2720,-1.8311,0.9766,-9.0332
115687.0000,-0.0669,0.9893,0.2686,-1.4038,0.9766,-9.5825
115688.0000,-0.0737,0.9814,0.2690,-1.3428,1.2817,-10.9253
115689.0000,-0.0815,0.9785,0.2686,-1.4648,1.4648,-13.3667
115690.0000,-0.0806,0.9834,0.2676,-1.7700,2.0752,-15.7471
115691.0000,-0.0884,0.9912,0.2690,-2.1973,2.7466,-17.3950
115692.0000,-0.0898,0.9912,0.2686,-2.3804,3.0518,-20.5688
115693.0000,-0.1016,0.9893,0.2671,-2.8076,3.6011,-24.5361
115694.0000,-0.1030,0.9888,0.2690,-3.0518,3.9673,-26.3062
115695.0000,-0.1162,0.9829,0.2695,-3.3569,4.3945,-29.2969
115696.0000,-0.1333,0.9805,0.2686,-3.6621,4.9438,-30.2124
115697.0000,-0.1514,0.9746,0.2695,-4.0283,5.1270,-32.2266
115698.0000,-0.1587,0.9751,0.2705,-4.5776,5.9204,-33.3862
115699.0000,-0.1665,0.9727,0.2705,-4.8218,6.5918,-35.5835
115700.0000,-0.1816,0.9731,0.2729,-4.9438,7.2632,-37.0483
115701.0000,-0.2046,0.9722,0.2700,-5.0659,7.6904,-38.3911
115702.0000,-0.2217,0.9688,0.2676,-5.1270,8.1177,-39.9170
115703.0000,-0.2363,0.9688,0.2666,-5.0659,8.3618,-40.8936
115704.0000,-0.2437,0.9619,0.2651,-4.6997,9.0332,-43.7012
115705.0000,-0.2456,0.9526,0.2661,-4.2725,9.0942,-44.6777
115706.0000,-0.2515,0.9414,0.2671,-4.0894,9.5825,-44.3115
115707.0000,-0.2671,0.9385,0.2646,-4.0283,9.9487,-45.4102
115708.0000,-0.2676,0.9341,0.2627,-3.9062,9.7656,-45.3491
115709.0000,-0.2744,0.9316,0.2632,-3.3569,9.9487,-45.3491
115710.0000,-0.2769,0.9287,0.2637,-2.9907,9.5215,-45.0439
115711.0000,-0.2764,0.9180,0.2617,-2.6245,8.9722,-44.7998
115712.0000,-0.2847,0.9106,0.2593,-2.2583,8.3618,-43.0298
115713.0000,-0.2861,0.9058,0.2607,-1.8311,8.0566,-43.4570
115714.0000,-0.2954,0.9009,0.2603,-1.4648,8.0566,-42.1753
115715.0000,-0.2998,0.8950,0.2617,-0.8545,7.8735,-42.9077
115716.0000,-0.3062,0.8892,0.2612,-0.4883,8.1787,-42.4805
115717.0000,-0.3252,0.8833,0.2603,-0.5493,8.1177,-42.4194
115718.0000,-0.3237,0.8750,0.2607,-0.7935,8.3008,-43.2739
115719.0000,-0.3354,0.8687,0.2603,-1.4038,8.5449,-43.5181
115720.0000,-0.3530,0.8730,0.2612,-2.1973,9.4604,-44.1895
115721.0000,-0.3560,0.8745,0.2632,-2.9907,10.3149,-45.6543
115722.0000,-0.3735,0.8818,0.2642,-3.6621,11.5356,-46.5698
115723.0000,-0.3848,0.8833,0.2646,-4.3945,12.7563,-47.7905
115724.0000,-0.3989,0.8823,0.2656,-5.1880,13.7329,-48.5229
115725.0000,-0.4136,0.8799,0.2681,-5.8594,14.7705,-49.3774
115726.0000,-0.4155,0.8774,0.2681,-6.3477,15.6250,-50.8423
115727.0000,-0.4404,0.8730,0.2666,-6.1646,16.6626,-51.7578
115728.0000,-0.4473,0.8643,0.2686,-5.5542,17.6392,-53.7720
115729.0000,-0.4595,0.8584,0.2676,-4.4556,18.4937,-53.8940
115730.0000,-0.4717,0.8550,0.2646,-3.1738,19.5923,-54.7485
115731.0000,-0.4805,0.8467,0.2617,-1.7090,20.3857,-56.3354
115732.0000,-0.4878,0.8413,0.2593,-0.3662,20.9961,-56.8848
115733.0000,-0.5005,0.8291,0.2554,0.2441,21.7285,-57.1289
115734.0000,-0.5186,0.8125,0.2515,0.6714,22.0337,-57.0068
115735.0000,-0.5234,0.8086,0.2461,0.4272,22.2168,-57.6172
115736.0000,-0.5269,0.8091,0.2461,-0.0000,22.5220,-55.9082
115737.0000,-0.5444,0.8096,0.2412,-0.5493,22.5220,-55.7861
115738.0000,-0.5547,0.8174,0.2383,-0.6104,22.2778,-56.1523
115739.0000,-0.5586,0.8286,0.2339,-0.1831,22.2778,-54.3213
115740.0000,-0.5732,0.8335,0.2319,0.4272,21.7285,-53.7720
115741.0000,-0.5684,0.8359,0.2314,0.6104,21.4844,-51.8188
115742.0000,-0.5825,0.8345,0.2339,0.9155,21.1182,-50.2930
115743.0000,-0.5898,0.8247,0.2422,0.6714,20.9351,-47.8516
115744.0000,-0.5850,0.8130,0.2485,0.8545,21.2402,-47.9736
115745.0000,-0.5840,0.8052,0.2520,0.6104,20.2637,-46.8750
115746.0000,-0.5806,0.8032,0.2500,0.6714,19.8975,-45.2271
115747.0000,-0.5825,0.8062,0.2456,0.6714,18.6157,-43.8232
115748.0000,-0.5776,0.8076,0.2412,0.8545,17.2729,-43.1519
115749.0000,-0.5786,0.7988,0.2349,1.2817,16.1743,-42.2363
115750.0000,-0.5913,0.7910,0.2271,1.7700,14.7095,-41.1377
115751.0000,-0.5972,0.7856,0.2202,1.7700,13.7329,-40.2832
115752.0000,-0.6099,0.7837,0.2183,1.2207,13.1226,-39.4287
115753.0000,-0.6187,0.7769,0.2173,0.6714,12.5732,-40.6494
115754.0000,-0.6245,0.7690,0.2119,0.1831,11.7798,-40.5273
115755.0000,-0.6270,0.7617,0.2085,-0.5493,11.1694,-40.2832
115756.0000,-0.6401,0.7568,0.2109,-1.2207,10.8032,-40.8325
115757.0000,-0.6338,0.7544,0.2109,-2.4414,10.3760,-40.5884
115758.0000,-0.6445,0.7622,0.2114,-4.1504,9.8877,-40.2222
115759.0000,-0.6421,0.7671,0.2085,-5.4321,9.3384,-39.7339
115760.0000,-0.6519,0.7622,0.2100,-5.8594,8.3618,-38.3301
115761.0000,-0.6616,0.7593,0.2100,-5.1270,7.7515,-37.1094
115762.0000,-0.6685,0.7549,0.2056,-4.2725,6.9580,-36.0107
115763.0000,-0.6758,0.7661,0.2012,-3.6011,6.8970,-34.9731
