timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
5842.0000,-0.1255,0.9312,0.4243,1.9531,-1.4038,-0.4883
5843.0000,-0.1382,0.9321,0.4229,2.3193,-2.5024,-0.6714
5844.0000,-0.1465,0.9336,0.4229,2.0752,-3.0518,-0.6104
5845.0000,-0.1641,0.9355,0.4224,2.1973,-3.7231,-0.8545
5846.0000,-0.1743,0.9346,0.4209,2.4414,-6.3477,-1.7090
5847.0000,-0.1787,0.9316,0.4214,2.3193,-7.3242,-2.2583
5848.0000,-0.1758,0.9277,0.4204,2.3804,-9.5825,-3.7842
5849.0000,-0.1519,0.9258,0.4175,2.6245,-12.2681,-4.6387
5850.0000,-0.1372,0.9253,0.4185,2.9907,-13.6719,-5.1880
5851.0000,-0.1401,0.9268,0.4194,3.4180,-13.8550,-5.5542
5852.0000,-0.1548,0.9287,0.4180,3.7842,-15.8081,-6.2866
5853.0000,-0.1724,0.9326,0.4146,4.2725,-16.4185,-6.8970
5854.0000,-0.1855,0.9365,0.4141,4.7607,-17.4561,-8.1177
5855.0000,-0.1963,0.9395,0.4116,5.0659,-20.5688,-9.2773
5856.0000,-0.2056,0.9419,0.4102,5.4932,-22.5830,-11.1084
5857.0000,-0.2100,0.9468,0.4082,5.7373,-25.3296,-12.8784
5858.0000,-0.2007,0.9507,0.4077,5.6763,-28.6865,-14.7095
5859.0000,-0.1797,0.9541,0.4043,5.6763,-32.2876,-16.1743
5860.0000,-0.1582,0.9546,0.3989,5.7373,-36.0107,-17.3950
5861.0000,-0.1484,0.9497,0.3979,5.4321,-38.6963,-18.5547
5862.0000,-0.1475,0.9448,0.3945,5.1270,-40.7104,-18.8599
5863.0000,-0.1489,0.9424,0.3931,4.8218,-43.4570,-18.9819
5864.0000,-0.1416,0.9424,0.3906,4.4556,-44.4336,-18.7378
5865.0000,-0.1172,0.9395,0.3872,4.3945,-45.7153,-18.4326
5866.0000,-0.0933,0.9399,0.3848,4.5776,-48.0347,-17.5171
5867.0000,-0.0708,0.9438,0.3833,4.5776,-50.1709,-17.0288
5868.0000,-0.0435,0.9512,0.3789,4.8218,-50.5371,-16.5405
5869.0000,-0.0186,0.9561,0.3779,4.7607,-52.6123,-16.2964
5870.0000,-0.0049,0.9536,0.3765,5.2490,-51.4526,-15.9912
5871.0000,-0.0073,0.9458,0.3789,5.0049,-50.4150,-14.7705
5872.0000,-0.0166,0.9385,0.3853,4.7607,-48.7671,-13.8550
5873.0000,-0.0220,0.9336,0.3843,4.0283,-46.0815,-12.5732
5874.0000,-0.0269,0.9316,0.3896,3.2959,-42.9077,-11.1084
5875.0000,-0.0239,0.9336,0.3921,2.6245,-39.7339,-10.1929
5876.0000,-0.0210,0.9351,0.3950,2.2583,-37.1704,-8.7891
5877.0000,-0.0249,0.9351,0.3960,2.3804,-33.8135,-7.2632
5878.0000,-0.0308,0.9346,0.4009,2.5635,-31.9824,-6.4087
5879.0000,-0.0322,0.9375,0.4028,2.8687,-30.1514,-4.0283
5880.0000,-0.0210,0.9399,0.4058,3.2959,-26.7944,-2.3804
5881.0000,-0.0059,0.9399,0.4072,3.4790,-25.2075,-0.0610
5882.0000,0.0107,0.9434,0.4062,3.4790,-22.3999,1.4648
5883.0000,0.0171,0.9326,0.4116,3.2959,-19.7144,2.5635
5884.0000,-0.0005,0.9243,0.4155,3.3569,-17.5171,3.0518
5885.0000,-0.0249,0.9199,0.4185,3.6621,-13.8550,3.7231
5886.0000,-0.0415,0.9248,0.4233,3.4790,-10.0708,4.1504
5887.0000,-0.0537,0.9331,0.4258,3.0518,-5.6152,4.4556
5888.0000,-0.0547,0.9385,0.4282,2.1362,-3.2349,5.0049
5889.0000,-0.0552,0.9390,0.4258,1.2207,-0.3052,4.7607
5890.0000,-0.0610,0.9395,0.4263,0.8545,2.3193,4.6997
5891.0000,-0.0674,0.9409,0.4268,1.4038,5.6152,4.7607
5892.0000,-0.0762,0.9434,0.4268,1.9531,7.4463,4.3945
5893.0000,-0.0801,0.9438,0.4248,2.7466,8.4839,4.9438
5894.0000,-0.0830,0.9399,0.4233,3.1128,11.2305,5.0049
5895.0000,-0.0801,0.9331,0.4233,2.7466,12.5732,5.3101
5896.0000,-0.0776,0.9287,0.4238,2.2583,13.3057,5.2490
5897.0000,-0.0889,0.9292,0.4253,1.8921,14.8926,5.2490
5898.0000,-0.0957,0.9336,0.4243,1.8311,16.1743,5.3101
5899.0000,-0.1055,0.9365,0.4224,1.7090,16.1133,5.9814
5900.0000,-0.1094,0.9370,0.4243,0.9155,15.8081,6.1646
5901.0000,-0.1021,0.9380,0.4258,0.4883,17.2119,6.5308
5902.0000,-0.0845,0.9385,0.4253,0.1221,17.4561,7.2021
5903.0000,-0.0742,0.9360,0.4238,-0.3662,16.9067,7.5073
5904.0000,-0.0693,0.9336,0.4224,-0.3052,17.4561,7.5684
5905.0000,-0.0703,0.9321,0.4209,-0.0610,16.2964,8.1177
5906.0000,-0.0786,0.9312,0.4180,0.1221,16.0522,8.3618
5907.0000,-0.0879,0.9326,0.4185,-0.3052,15.1978,9.4604
5908.0000,-0.0962,0.9355,0.4189,-0.5493,15.8691,10.1929
5909.0000,-0.0972,0.9409,0.4204,-0.7935,16.7236,11.3525
5910.0000,-0.0854,0.9448,0.4219,-0.7935,17.0898,11.9629
5911.0000,-0.0718,0.9463,0.4224,-0.7935,17.8223,12.2681
5912.0000,-0.0605,0.9424,0.4248,-0.9766,19.4092,12.9395
5913.0000,-0.0537,0.9370,0.4263,-0.9155,19.7754,13.2446
5914.0000,-0.0493,0.9355,0.4224,-1.2817,20.3247,13.3667
5915.0000,-0.0483,0.9341,0.4219,-2.0142,20.4468,12.9395
5916.0000,-0.0459,0.9321,0.4189,-2.3804,21.5454,12.9395
5917.0000,-0.0508,0.9292,0.4199,-2.6245,21.6675,12.7563
