timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
44340.0000,-0.1816,0.8867,0.4658,0.7324,2.0752,-0.7935
44341.0000,-0.1812,0.8857,0.4619,0.3662,3.1738,-1.9531
44342.0000,-0.1841,0.8838,0.4644,0.2441,2.8687,-1.5869
44343.0000,-0.1831,0.8857,0.4678,0.3052,2.8687,-1.6479
44344.0000,-0.1816,0.8853,0.4678,0.0000,3.2349,-1.5259
44345.0000,-0.1831,0.8853,0.4668,-0.0000,4.0283,-2.1973
44346.0000,-0.1855,0.8857,0.4673,-0.1831,5.2490,-2.0752
44347.0000,-0.1870,0.8857,0.4678,-0.3052,4.8828,-2.6855
44348.0000,-0.1895,0.8853,0.4639,-0.8545,6.6528,-2.3193
44349.0000,-0.1807,0.8848,0.4619,-0.7935,4.2114,-3.1128
44350.0000,-0.1846,0.8848,0.4614,-1.0986,3.1128,-3.9062
44351.0000,-0.1846,0.8857,0.4668,-1.2207,3.7231,-3.2349
44352.0000,-0.1870,0.8892,0.4658,-1.0376,4.1504,-3.9673
44353.0000,-0.1938,0.8896,0.4648,-1.3428,4.0894,-3.6621
44354.0000,-0.1943,0.8872,0.4663,-1.7090,5.0049,-3.3569
44355.0000,-0.1875,0.8833,0.4741,-1.8311,3.2959,-4.2114
44356.0000,-0.1826,0.8804,0.4707,-2.1362,3.7842,-2.9297
44357.0000,-0.1851,0.8809,0.4717,-2.1362,2.5635,-2.1362
44358.0000,-0.1875,0.8828,0.4731,-1.5259,4.2114,-2.5024
44359.0000,-0.1826,0.8862,0.4707,-1.5259,3.2349,-1.8921
44360.0000,-0.1841,0.8896,0.4731,-1.7700,5.4932,-1.2207
44361.0000,-0.1768,0.8940,0.4717,-1.9531,5.1880,-1.8921
44362.0000,-0.1719,0.8965,0.4688,-2.3193,6.5918,-1.3428
44363.0000,-0.1621,0.8931,0.4717,-2.9297,4.5166,-1.2207
44364.0000,-0.1548,0.8877,0.4722,-3.2349,3.4180,-1.7090
44365.0000,-0.1440,0.8818,0.4722,-4.1504,3.4790,-1.0376
44366.0000,-0.1401,0.8799,0.4697,-3.7842,5.8594,-0.1831
44367.0000,-0.1333,0.8823,0.4746,-4.0283,3.7231,-0.0610
44368.0000,-0.1196,0.8867,0.4717,-3.8452,5.1270,0.1221
44369.0000,-0.1035,0.8916,0.4741,-4.2725,5.9204,1.7700
44370.0000,-0.0972,0.8940,0.4731,-4.6997,6.0425,1.7090
44371.0000,-0.0879,0.8970,0.4727,-5.1880,9.0332,2.5635
44372.0000,-0.0703,0.8975,0.4746,-5.8594,8.6670,3.1128
44373.0000,-0.0654,0.9019,0.4707,-6.1646,9.0942,4.4556
44374.0000,-0.0483,0.9062,0.4717,-6.7139,12.3901,5.3711
44375.0000,-0.0332,0.9136,0.4678,-7.6294,14.2212,7.1411
44376.0000,-0.0244,0.9248,0.4590,-8.1787,18.2495,8.8501
44377.0000,-0.0166,0.9326,0.4512,-9.1553,19.9585,10.5591
