timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
38044.0000,-0.1909,0.9141,0.3828,6.0425,-24.1089,-10.6201
38045.0000,-0.1899,0.9141,0.3838,5.9204,-23.6816,-10.6812
38046.0000,-0.1919,0.9150,0.3843,5.6763,-24.3530,-10.4980
38047.0000,-0.1885,0.9146,0.3862,5.7373,-23.3154,-10.3149
38048.0000,-0.1880,0.9136,0.3867,5.4321,-23.0713,-10.6201
38049.0000,-0.1885,0.9121,0.3882,5.3711,-23.7427,-10.4980
38050.0000,-0.1875,0.9131,0.3901,5.1880,-22.8271,-10.8643
38051.0000,-0.1807,0.9141,0.3892,4.8218,-21.0571,-10.9253
38052.0000,-0.1816,0.9141,0.3906,4.5166,-20.6299,-10.8643
38053.0000,-0.1826,0.9136,0.3926,4.2114,-21.6675,-11.3525
38054.0000,-0.1802,0.9126,0.3896,3.9673,-19.6533,-10.8032
38055.0000,-0.1836,0.9097,0.3940,3.9673,-19.7754,-10.4370
38056.0000,-0.1904,0.9102,0.3945,3.9062,-19.3481,-10.3149
38057.0000,-0.1899,0.9106,0.3955,3.7842,-17.2729,-10.0708
38058.0000,-0.1885,0.9126,0.3965,3.7842,-16.2354,-10.1929
38059.0000,-0.1797,0.9136,0.3989,3.7231,-15.4419,-10.0098
38060.0000,-0.1768,0.9131,0.3989,3.4180,-14.2212,-9.7656
38061.0000,-0.1733,0.9102,0.3955,3.0518,-12.6953,-9.8877
38062.0000,-0.1689,0.9053,0.3989,2.8687,-11.1084,-9.5215
38063.0000,-0.1694,0.9028,0.4019,2.6245,-10.6812,-8.9722
38064.0000,-0.1743,0.9014,0.3999,2.6855,-8.2397,-8.6670
38065.0000,-0.1782,0.9023,0.4038,2.2583,-9.2773,-8.1177
38066.0000,-0.1772,0.9038,0.4053,2.6245,-8.1787,-8.3618
38067.0000,-0.1802,0.9043,0.4043,2.6245,-7.5684,-6.7749
38068.0000,-0.1792,0.9038,0.4033,2.2583,-5.7983,-6.5308
38069.0000,-0.1792,0.9019,0.4014,2.0752,-4.1504,-6.4087
38070.0000,-0.1816,0.9009,0.4043,2.3193,-4.9438,-6.0425
38071.0000,-0.1763,0.9009,0.4053,2.0142,-4.2725,-5.3101
38072.0000,-0.1802,0.9033,0.4053,2.1973,-3.1738,-5.3101
38073.0000,-0.1831,0.9058,0.4092,2.1362,-3.4790,-5.1270
38074.0000,-0.1831,0.9102,0.4077,2.0142,-1.6479,-4.7607
38075.0000,-0.1890,0.9121,0.4087,2.0142,-0.9155,-4.7607
38076.0000,-0.1860,0.9121,0.4092,1.7700,-1.0376,-4.5166
38077.0000,-0.1812,0.9097,0.4087,1.4038,2.6245,-4.5166
38078.0000,-0.1763,0.9058,0.4106,0.9766,2.8687,-3.5400
38079.0000,-0.1729,0.9023,0.4067,0.6104,5.4321,-3.7842
38080.0000,-0.1724,0.8999,0.4072,0.7324,7.7515,-3.2959
38081.0000,-0.1670,0.9009,0.4097,0.4883,10.9253,-2.9297
38082.0000,-0.1694,0.9028,0.4141,0.3052,11.7798,-2.3193
38083.0000,-0.1675,0.9038,0.4121,0.4883,14.9536,-1.7090
38084.0000,-0.1616,0.9038,0.4116,0.3662,16.3574,-1.5869
38085.0000,-0.1606,0.9043,0.4097,0.1831,18.1274,-1.0986
38086.0000,-0.1543,0.9019,0.4067,0.0610,21.3013,-0.7935
38087.0000,-0.1538,0.9053,0.4077,0.0610,22.5220,-0.4272
38088.0000,-0.1553,0.9097,0.4072,0.1221,23.9258,0.3662
38089.0000,-0.1538,0.9121,0.4092,-0.3662,28.1372,0.7324
