timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
47449.0000,-0.1826,0.9282,0.3760,-7.3853,18.4326,4.6387
47450.0000,-0.1836,0.9268,0.3735,-7.7515,19.2261,3.9673
47451.0000,-0.1797,0.9238,0.3706,-8.0566,19.4092,3.5400
47452.0000,-0.1768,0.9209,0.3696,-7.8735,19.5923,3.6011
47453.0000,-0.1738,0.9204,0.3740,-7.6904,19.7754,3.7842
47454.0000,-0.1665,0.9199,0.3760,-7.1411,19.8364,4.5166
47455.0000,-0.1631,0.9194,0.3726,-6.6528,20.9351,5.2490
47456.0000,-0.1577,0.9194,0.3696,-6.4697,21.8506,6.3477
47457.0000,-0.1504,0.9185,0.3696,-6.1646,21.5454,7.5684
47458.0000,-0.1475,0.9189,0.3701,-5.6763,23.4985,8.2397
47459.0000,-0.1445,0.9189,0.3696,-5.7983,23.4985,8.9111
47460.0000,-0.1504,0.9209,0.3726,-5.7983,24.8413,9.2163
47461.0000,-0.1519,0.9233,0.3667,-5.9814,25.4517,8.9111
47462.0000,-0.1641,0.9272,0.3682,-6.2256,25.7568,8.6060
47463.0000,-0.1797,0.9346,0.3647,-6.8359,26.7944,8.1787
47464.0000,-0.1885,0.9370,0.3628,-7.2021,26.1230,7.8125
47465.0000,-0.1899,0.9390,0.3628,-7.8735,25.3296,6.8970
47466.0000,-0.1899,0.9404,0.3682,-7.8125,23.6816,6.1035
47467.0000,-0.1821,0.9434,0.3701,-7.2632,22.8882,5.2490
47468.0000,-0.1836,0.9443,0.3701,-6.3477,21.2402,4.3335
47469.0000,-0.1890,0.9409,0.3721,-5.2490,19.7754,3.2959
47470.0000,-0.1943,0.9351,0.3765,-4.1504,19.1650,2.3804
47471.0000,-0.1992,0.9297,0.3765,-3.1738,18.3716,0.9766
47472.0000,-0.2041,0.9287,0.3765,-2.3804,17.7612,-0.1221
47473.0000,-0.2075,0.9253,0.3765,-1.9531,16.1743,-1.1597
47474.0000,-0.2070,0.9199,0.3750,-1.6479,16.0522,-1.8921
47475.0000,-0.2163,0.9180,0.3735,-1.8921,15.4419,-2.3804
47476.0000,-0.2192,0.9160,0.3677,-2.2583,13.3057,-2.6855
47477.0000,-0.2144,0.9106,0.3657,-3.3569,13.3667,-3.1738
47478.0000,-0.2124,0.9058,0.3628,-3.6011,12.4512,-3.4790
47479.0000,-0.2026,0.9043,0.3628,-4.7607,10.9253,-3.6621
