timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
56947.0000,-0.1089,0.9282,0.3989,-4.5166,13.2446,1.0986
56948.0000,-0.1094,0.9307,0.4023,-3.7842,13.2446,-0.5493
56949.0000,-0.1143,0.9355,0.4028,-3.1738,10.8032,-0.9155
56950.0000,-0.1040,0.9419,0.4038,-2.6855,9.8267,-1.5869
56951.0000,-0.1045,0.9453,0.4038,-2.3193,8.8501,-1.7090
56952.0000,-0.0977,0.9429,0.4062,-2.0752,7.2632,-1.9531
56953.0000,-0.0991,0.9429,0.4033,-2.1362,7.1411,-1.5259
56954.0000,-0.0972,0.9438,0.3994,-2.1362,7.7515,-1.4648
56955.0000,-0.0957,0.9438,0.4004,-1.9531,8.0566,-1.5869
56956.0000,-0.0938,0.9424,0.4004,-1.8921,6.2866,-1.4648
56957.0000,-0.0903,0.9409,0.3989,-2.0142,7.3242,-1.3428
56958.0000,-0.0933,0.9399,0.3979,-1.8311,5.7983,-1.4648
56959.0000,-0.0947,0.9419,0.3984,-2.0142,6.8359,-1.7090
56960.0000,-0.0923,0.9448,0.3994,-1.7700,6.0425,-1.1597
56961.0000,-0.0957,0.9478,0.3984,-1.5869,5.6152,-1.6479
56962.0000,-0.0957,0.9512,0.3984,-1.7090,4.1504,-1.5259
56963.0000,-0.0928,0.9551,0.4019,-1.5259,4.4556,-1.7700
56964.0000,-0.0903,0.9561,0.4009,-1.2207,4.2114,-1.7700
56965.0000,-0.0923,0.9526,0.4028,-1.1597,4.8218,-2.0752
56966.0000,-0.0938,0.9478,0.4038,-1.2817,3.7231,-2.4414
56967.0000,-0.1011,0.9419,0.4023,-1.5259,3.1738,-2.8687
56968.0000,-0.0972,0.9409,0.4009,-1.4648,2.7466,-2.6245
56969.0000,-0.0933,0.9419,0.4023,-1.6479,3.0518,-2.3804
56970.0000,-0.0918,0.9429,0.4038,-2.0142,1.4648,-2.1362
56971.0000,-0.0923,0.9385,0.4053,-2.0142,3.2349,-1.7700
56972.0000,-0.0938,0.9346,0.4102,-2.0142,1.0376,-1.5259
56973.0000,-0.0986,0.9355,0.4092,-2.0142,1.4038,-1.4038
56974.0000,-0.0957,0.9375,0.4067,-1.8921,-1.1597,-0.8545
56975.0000,-0.1040,0.9399,0.4102,-1.8311,-2.3193,-1.0986
56976.0000,-0.1055,0.9424,0.4082,-1.5869,-2.6245,-1.2207
56977.0000,-0.1035,0.9453,0.4087,-1.0986,-4.4556,-1.3428
56978.0000,-0.1104,0.9458,0.4072,-1.0986,-5.0049,-1.5869
56979.0000,-0.1167,0.9409,0.4043,-1.1597,-7.3242,-1.5869
56980.0000,-0.1265,0.9385,0.4033,-1.0376,-7.3242,-2.6245
56981.0000,-0.1357,0.9365,0.4053,-0.7324,-11.1694,-3.0518
56982.0000,-0.1318,0.9385,0.4043,-0.1831,-13.6719,-4.2114
56983.0000,-0.1348,0.9443,0.4033,0.2441,-16.7847,-4.6387
56984.0000,-0.1431,0.9478,0.4038,0.6104,-20.0195,-4.7607
56985.0000,-0.1655,0.9478,0.4082,0.8545,-27.6489,-5.5542
56986.0000,-0.1860,0.9443,0.4058,1.0986,-35.4614,-6.2866
56987.0000,-0.2197,0.9434,0.4028,1.3428,-42.7856,-6.9580
56988.0000,-0.2539,0.9448,0.4023,1.1597,-54.9316,-8.3008
56989.0000,-0.2695,0.9463,0.4023,1.2207,-64.3921,-9.8267
56990.0000,-0.2783,0.9487,0.3960,1.7700,-75.6226,-11.9629
56991.0000,-0.2749,0.9531,0.3936,2.3804,-83.5571,-13.9771
56992.0000,-0.2607,0.9634,0.3877,2.6245,-91.3086,-15.8691
