timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
77814.0000,-0.1948,0.9712,0.4282,1.1597,-2.4414,-0.8545
77815.0000,-0.1958,0.9722,0.4326,0.9766,-6.2256,-0.6104
77816.0000,-0.1895,0.9722,0.4287,1.0986,-2.5635,-0.7935
77817.0000,-0.1919,0.9712,0.4297,0.6714,-4.2725,-0.7935
77818.0000,-0.1831,0.9683,0.4297,0.6104,-2.7466,-1.0376
77819.0000,-0.1836,0.9663,0.4258,0.7324,-1.5259,-1.8311
77820.0000,-0.1880,0.9644,0.4263,0.6104,-2.0142,-0.9155
77821.0000,-0.1938,0.9624,0.4229,0.8545,-1.6479,-1.7700
77822.0000,-0.1953,0.9653,0.4253,1.0376,-2.5024,-1.8921
77823.0000,-0.1934,0.9688,0.4238,1.4038,-2.9297,-2.1362
77824.0000,-0.1929,0.9702,0.4209,1.8311,-3.4790,-1.8921
77825.0000,-0.1895,0.9722,0.4160,1.7090,-2.0752,-1.3428
77826.0000,-0.1880,0.9712,0.4160,2.1362,-2.8076,-1.5259
77827.0000,-0.1807,0.9697,0.4155,2.1973,-2.1362,-0.6714
77828.0000,-0.1816,0.9648,0.4165,2.0142,-0.3662,-0.5493
77829.0000,-0.1782,0.9595,0.4209,2.0752,-1.3428,-0.3662
77830.0000,-0.1890,0.9624,0.4199,1.9531,-1.0376,0.6714
77831.0000,-0.1851,0.9639,0.4214,1.8921,-2.5024,0.9155
77832.0000,-0.1919,0.9624,0.4199,1.2817,-1.4038,0.9766
77833.0000,-0.2036,0.9604,0.4248,1.0986,-1.4648,0.8545
77834.0000,-0.2100,0.9604,0.4219,1.0986,-0.3662,1.2817
77835.0000,-0.2139,0.9639,0.4253,0.6714,-1.4648,1.2817
77836.0000,-0.2349,0.9673,0.4258,0.6714,-2.5024,0.3052
77837.0000,-0.2378,0.9644,0.4287,0.7324,-4.6387,0.0000
77838.0000,-0.2500,0.9556,0.4282,0.7324,-6.8970,-1.0986
77839.0000,-0.2490,0.9526,0.4292,1.1597,-6.4697,-1.6479
77840.0000,-0.2461,0.9561,0.4282,1.0986,-8.6060,-2.2583
77841.0000,-0.2432,0.9595,0.4307,1.4038,-8.8501,-3.2959
77842.0000,-0.2451,0.9639,0.4287,1.4648,-8.9722,-3.9062
77843.0000,-0.2422,0.9648,0.4302,1.4648,-15.0757,-3.8452
77844.0000,-0.2480,0.9634,0.4268,1.8311,-12.9395,-4.2114
77845.0000,-0.2476,0.9624,0.4312,1.7700,-14.9536,-5.0659
77846.0000,-0.2383,0.9663,0.4302,1.7090,-15.6860,-5.3711
77847.0000,-0.2285,0.9707,0.4312,1.6479,-15.5029,-5.7983
77848.0000,-0.2144,0.9722,0.4297,1.8921,-17.3340,-6.3477
77849.0000,-0.2007,0.9780,0.4307,2.1973,-17.4561,-6.1646
77850.0000,-0.2021,0.9849,0.4287,2.5635,-20.1416,-6.0425
77851.0000,-0.2119,0.9858,0.4292,2.8687,-20.9961,-5.9204
77852.0000,-0.2280,0.9849,0.4287,3.3569,-21.4233,-6.2256
77853.0000,-0.2466,0.9810,0.4272,2.9907,-22.5220,-6.4087
77854.0000,-0.2661,0.9692,0.4282,3.2959,-23.2544,-5.9814
77855.0000,-0.3066,0.9609,0.4248,3.4790,-24.7192,-5.7983
77856.0000,-0.3457,0.9580,0.4243,3.4180,-29.1138,-5.9204
77857.0000,-0.3765,0.9629,0.4185,3.6621,-33.6914,-6.4087
77858.0000,-0.4009,0.9678,0.4141,3.4180,-40.1611,-7.2632
77859.0000,-0.4038,0.9673,0.4170,3.8452,-47.0581,-8.7891
