timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
52974.0000,-0.1421,0.9092,0.3579,0.2441,-2.1973,-3.2959
52975.0000,-0.1519,0.9019,0.3599,0.6714,-2.4414,-3.7231
52976.0000,-0.1655,0.8989,0.3579,1.5259,-2.0142,-4.2114
52977.0000,-0.1714,0.9014,0.3564,2.4414,-2.2583,-4.4556
52978.0000,-0.1714,0.9067,0.3569,3.1738,-3.6621,-4.5166
52979.0000,-0.1680,0.9097,0.3545,3.7231,-3.4790,-4.2725
52980.0000,-0.1699,0.9102,0.3555,3.9062,-4.3945,-4.1504
52981.0000,-0.1680,0.9092,0.3555,3.8452,-4.0283,-4.3335
52982.0000,-0.1729,0.9082,0.3555,4.0283,-4.0894,-3.9062
52983.0000,-0.1719,0.9097,0.3555,4.1504,-5.3101,-3.7231
52984.0000,-0.1758,0.9160,0.3555,4.4556,-7.1411,-3.7842
52985.0000,-0.1768,0.9224,0.3560,4.5166,-7.4463,-3.7231
52986.0000,-0.1748,0.9204,0.3530,4.3335,-9.6436,-3.4790
52987.0000,-0.1768,0.9165,0.3540,4.0283,-9.3994,-3.7231
52988.0000,-0.1738,0.9175,0.3540,3.9673,-8.5449,-3.6011
52989.0000,-0.1777,0.9189,0.3525,3.8452,-10.8643,-3.2349
52990.0000,-0.1787,0.9189,0.3530,3.7231,-12.0239,-3.2349
52991.0000,-0.1763,0.9160,0.3491,3.5400,-11.9019,-3.1738
52992.0000,-0.1729,0.9111,0.3462,3.2959,-13.1836,-3.4790
52993.0000,-0.1714,0.9092,0.3438,3.1738,-13.0005,-2.7466
52994.0000,-0.1704,0.9102,0.3408,3.2959,-12.7563,-2.8076
52995.0000,-0.1714,0.9111,0.3408,3.8452,-14.7705,-3.2959
52996.0000,-0.1812,0.9150,0.3408,4.0894,-16.3574,-3.0518
52997.0000,-0.1895,0.9180,0.3423,4.2725,-18.8599,-3.1738
52998.0000,-0.1958,0.9194,0.3438,4.5776,-20.9961,-3.2349
52999.0000,-0.2026,0.9155,0.3457,4.8218,-24.7803,-3.1128
53000.0000,-0.2095,0.9136,0.3472,4.6387,-26.7334,-3.1738
53001.0000,-0.2158,0.9141,0.3457,4.5166,-30.0293,-3.2959
53002.0000,-0.2197,0.9155,0.3433,4.6997,-34.4849,-3.6621
53003.0000,-0.2217,0.9160,0.3452,5.0659,-36.4990,-3.9673
53004.0000,-0.2246,0.9160,0.3477,5.0049,-42.1143,-4.4556
53005.0000,-0.2310,0.9185,0.3438,5.3101,-44.0674,-4.5166
53006.0000,-0.2334,0.9189,0.3428,5.6152,-48.1567,-5.3101
53007.0000,-0.2349,0.9155,0.3428,5.6763,-51.7578,-5.5542
53008.0000,-0.2358,0.9155,0.3447,5.5542,-55.8472,-5.7373
53009.0000,-0.2358,0.9180,0.3457,5.7983,-59.4482,-6.1646
53010.0000,-0.2329,0.9160,0.3477,6.1035,-62.0117,-6.0425
53011.0000,-0.2266,0.9150,0.3452,6.0425,-66.1011,-6.7139
53012.0000,-0.2266,0.9170,0.3447,6.2866,-69.5801,-6.8970
53013.0000,-0.2266,0.9194,0.3438,6.4697,-71.7773,-7.4463
