timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
84319.0000,-0.1177,0.9297,0.3857,1.6479,1.6479,-1.5259
84320.0000,-0.1211,0.9346,0.3838,1.8921,1.2207,-1.2817
84321.0000,-0.1187,0.9346,0.3833,1.8311,0.8545,-0.1831
84322.0000,-0.1216,0.9331,0.3823,1.8921,0.7324,-0.3052
84323.0000,-0.1240,0.9346,0.3843,1.7700,0.3052,-0.0000
84324.0000,-0.1138,0.9375,0.3828,1.7700,0.1831,-0.0610
84325.0000,-0.1216,0.9375,0.3818,1.6479,0.1831,-0.0000
84326.0000,-0.1226,0.9390,0.3794,1.5869,-0.1221,0.9766
84327.0000,-0.1157,0.9438,0.3828,1.4038,-0.0610,0.6714
84328.0000,-0.1221,0.9414,0.3823,1.2817,-0.3052,0.9766
84329.0000,-0.1235,0.9390,0.3794,1.1597,-0.5493,1.2817
84330.0000,-0.1177,0.9375,0.3794,0.9155,-0.6714,1.7700
84331.0000,-0.1133,0.9355,0.3794,0.7935,-0.9766,2.0142
84332.0000,-0.1143,0.9370,0.3804,0.7935,-0.8545,2.3193
84333.0000,-0.1069,0.9351,0.3804,0.7324,-0.9155,2.6245
84334.0000,-0.1055,0.9355,0.3804,0.7324,-0.8545,2.6245
84335.0000,-0.1035,0.9375,0.3794,0.6714,-0.6714,3.2349
84336.0000,-0.1045,0.9380,0.3804,0.5493,-0.7935,1.8921
84337.0000,-0.1045,0.9380,0.3804,0.4272,-0.6714,2.4414
84338.0000,-0.1001,0.9355,0.3809,0.4272,-0.4883,2.3804
84339.0000,-0.1025,0.9341,0.3794,0.3662,-0.2441,1.7700
84340.0000,-0.1025,0.9380,0.3799,0.3052,-0.1831,2.1362
84341.0000,-0.0991,0.9351,0.3809,0.2441,-0.1831,2.0142
84342.0000,-0.1006,0.9321,0.3813,0.1831,-0.5493,2.4414
84343.0000,-0.0986,0.9336,0.3813,0.1221,-0.8545,2.3804
84344.0000,-0.0952,0.9351,0.3809,0.0610,-1.2207,4.6387
84345.0000,-0.0981,0.9316,0.3833,0.1831,-1.9531,6.8359
84346.0000,-0.0942,0.9297,0.3804,0.1831,-2.6245,8.9111
84347.0000,-0.0972,0.9287,0.3818,0.2441,-3.1128,10.9253
84348.0000,-0.1074,0.9277,0.3799,0.4883,-3.4790,12.6343
84349.0000,-0.1152,0.9287,0.3779,0.7324,-3.7842,14.0991
84350.0000,-0.1274,0.9316,0.3789,0.8545,-4.0894,15.7471
84351.0000,-0.1196,0.9351,0.3770,0.9766,-4.3335,17.4561
84352.0000,-0.1196,0.9365,0.3779,1.0376,-4.2114,19.2261
84353.0000,-0.1304,0.9355,0.3809,0.9766,-4.4556,20.2637
84354.0000,-0.1133,0.9375,0.3809,0.7935,-4.8218,21.4233
84355.0000,-0.1060,0.9341,0.3784,0.8545,-5.0049,21.6675
84356.0000,-0.1050,0.9341,0.3784,0.8545,-5.3711,21.9727
84357.0000,-0.1006,0.9351,0.3799,0.7935,-5.6763,21.7896
84358.0000,-0.0903,0.9351,0.3799,0.9155,-6.1646,22.0947
84359.0000,-0.0894,0.9360,0.3799,0.9766,-6.5308,23.1934
84360.0000,-0.0811,0.9395,0.3813,1.0376,-6.8359,24.0479
84361.0000,-0.0742,0.9385,0.3804,1.0986,-7.4463,24.7803
84362.0000,-0.0776,0.9346,0.3784,1.0986,-7.9956,25.0244
84363.0000,-0.0723,0.9326,0.3774,1.0986,-8.4229,25.5737
84364.0000,-0.0688,0.9375,0.3779,1.1597,-8.7891,27.4658
84365.0000,-0.0684,0.9429,0.3799,1.0986,-8.7891,28.6865
84366.0000,-0.0630,0.9429,0.3799,1.0986,-8.3618,29.9683
84367.0000,-0.0557,0.9434,0.3784,1.0376,-7.9956,31.6162
84368.0000,-0.0552,0.9482,0.3750,0.8545,-8.1787,32.1045
84369.0000,-0.0449,0.9487,0.3779,0.6104,-8.3008,33.2031
84370.0000,-0.0547,0.9453,0.3774,0.3662,-8.7280,33.7524
84371.0000,-0.0493,0.9404,0.3765,0.1221,-8.9111,33.9355
84372.0000,-0.0342,0.9351,0.3755,0.0610,-9.0942,34.3018
84373.0000,-0.0337,0.9385,0.3770,0.3052,-9.7046,34.2407
84374.0000,-0.0273,0.9434,0.3799,0.5493,-10.6201,33.6914
84375.0000,-0.0195,0.9419,0.3774,0.7324,-11.8408,33.6914
84376.0000,-0.0034,0.9409,0.3779,0.6104,-12.5732,34.7290
84377.0000,-0.0000,0.9419,0.3770,0.6104,-13.2446,36.8652
84378.0000,0.0181,0.9414,0.3745,0.6714,-13.6108,39.1235
84379.0000,0.0215,0.9409,0.3750,0.7935,-14.9536,41.6870
84380.0000,0.0171,0.9390,0.3745,0.9155,-16.7847,43.4570
84381.0000,0.0278,0.9375,0.3770,1.0986,-18.4937,44.3115
84382.0000,0.0303,0.9395,0.3779,1.2207,-19.3481,45.1050
84383.0000,0.0410,0.9395,0.3730,1.3428,-19.7144,46.0205
84384.0000,0.0439,0.9390,0.3726,1.4648,-19.5923,47.1802
84385.0000,0.0576,0.9380,0.3706,1.4648,-19.3481,49.0723
84386.0000,0.0562,0.9365,0.3687,1.4648,-19.3481,50.9644
84387.0000,0.0498,0.9321,0.3682,1.4648,-19.4092,54.8706
84388.0000,0.0601,0.9316,0.3682,1.6479,-19.2871,57.2510
84389.0000,0.0610,0.9302,0.3677,1.7700,-19.2261,60.2417
84390.0000,0.0718,0.9341,0.3696,1.8921,-19.1650,61.6455
84391.0000,0.0791,0.9312,0.3691,2.0752,-19.2871,61.4624
84392.0000,0.0952,0.9346,0.3701,2.1362,-19.7144,60.6079
84393.0000,0.0957,0.9375,0.3652,2.1362,-19.8975,59.3262
84394.0000,0.0845,0.9370,0.3618,2.2583,-19.7754,58.2275
84395.0000,0.0723,0.9312,0.3564,2.3193,-19.3481,57.8003
84396.0000,0.0854,0.9214,0.3589,2.4414,-18.9819,57.9224
84397.0000,0.1050,0.9165,0.3662,2.4414,-18.5547,58.5327
84398.0000,0.1353,0.9165,0.3652,2.0752,-18.3716,61.0962
84399.0000,0.1714,0.9233,0.3633,1.5869,-18.4326,63.0493
84400.0000,0.1914,0.9316,0.3647,1.1597,-18.4326,64.5752
84401.0000,0.2051,0.9370,0.3652,0.7324,-18.6768,64.9414
84402.0000,0.2241,0.9390,0.3647,0.5493,-18.9819,65.3687
84403.0000,0.2339,0.9395,0.3594,0.6104,-19.4702,65.1855
84404.0000,0.2271,0.9375,0.3550,0.8545,-19.7754,63.5986
84405.0000,0.2363,0.9263,0.3540,1.2207,-19.6533,62.8662
84406.0000,0.2607,0.9155,0.3545,1.5869,-19.5923,62.0728
84407.0000,0.2837,0.9082,0.3589,1.6479,-19.2871,61.7065
84408.0000,0.3018,0.8965,0.3579,1.5869,-18.9209,60.8521
84409.0000,0.3062,0.8984,0.3564,1.4038,-18.9819,62.0728
84410.0000,0.3135,0.9048,0.3560,1.2817,-19.2871,62.2559
84411.0000,0.3179,0.9131,0.3521,1.2207,-19.4702,62.8052
84412.0000,0.3325,0.9189,0.3525,1.2817,-19.4092,61.7065
84413.0000,0.3379,0.9194,0.3496,1.5869,-19.2871,60.5469
84414.0000,0.3672,0.9199,0.3491,1.7090,-19.2261,60.2417
84415.0000,0.3911,0.9131,0.3467,1.7090,-18.9819,59.2041
84416.0000,0.4019,0.9067,0.3413,1.5259,-18.6768,57.5562
84417.0000,0.4038,0.9043,0.3408,1.4648,-18.3105,56.5186
84418.0000,0.4067,0.8979,0.3379,1.4038,-18.0054,54.6875
84419.0000,0.4106,0.9004,0.3423,1.4038,-17.8223,53.4668
84420.0000,0.4224,0.8999,0.3428,1.2207,-17.3950,52.4902
84421.0000,0.4414,0.8926,0.3398,1.2207,-17.2119,51.2085
84422.0000,0.4473,0.8857,0.3403,1.3428,-17.0288,49.8657
84423.0000,0.4663,0.8799,0.3364,1.4648,-16.9678,47.8516
84424.0000,0.4736,0.8809,0.3389,1.8921,-16.9678,45.8984
84425.0000,0.4829,0.8799,0.3379,2.2583,-16.9678,44.0674
84426.0000,0.4922,0.8794,0.3374,2.6245,-17.1509,41.8091
84427.0000,0.5029,0.8774,0.3364,2.9297,-17.5171,39.6729
84428.0000,0.5049,0.8750,0.3340,3.0518,-17.7002,37.3535
84429.0000,0.5117,0.8701,0.3330,3.1738,-17.5781,35.4614
84430.0000,0.5205,0.8701,0.3276,2.9297,-17.5781,33.6914
84431.0000,0.5278,0.8672,0.3228,2.5635,-17.0898,32.1655
84432.0000,0.5312,0.8672,0.3198,2.5024,-16.8457,32.7148
84433.0000,0.5352,0.8643,0.3154,2.5635,-16.2964,32.4097
84434.0000,0.5454,0.8687,0.3120,2.6245,-16.2354,32.4097
84435.0000,0.5566,0.8662,0.3101,2.6245,-16.1743,32.7759
84436.0000,0.5659,0.8726,0.3047,2.5635,-16.1133,33.0811
84437.0000,0.5537,0.8687,0.3008,2.4414,-15.9302,33.5693
84438.0000,0.5601,0.8638,0.3013,1.9531,-16.0522,34.3018
84439.0000,0.5571,0.8545,0.3062,1.2817,-15.6250,34.9731
84440.0000,0.5615,0.8496,0.3037,0.7935,-15.1978,35.5225
84441.0000,0.5737,0.8384,0.3037,0.4272,-14.4653,34.7290
84442.0000,0.5996,0.8330,0.3057,0.3052,-13.6108,34.4849
