timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
97716.0000,-0.2021,0.9453,0.3970,-1.2207,5.2490,-12.0850
97717.0000,-0.2168,0.9453,0.3970,-1.1597,5.5542,-12.3901
97718.0000,-0.2202,0.9443,0.3940,-1.1597,5.9814,-10.1929
97719.0000,-0.2266,0.9497,0.3931,-0.8545,6.4087,-8.1787
97720.0000,-0.2295,0.9575,0.3945,-0.7324,6.4087,-8.0566
97721.0000,-0.2285,0.9565,0.3931,-1.0376,5.9814,-8.1787
97722.0000,-0.2329,0.9561,0.3931,-1.3428,5.3101,-5.6763
97723.0000,-0.2383,0.9526,0.3931,-1.5259,5.1270,-4.8218
97724.0000,-0.2319,0.9463,0.3965,-1.7090,4.3945,-4.2114
97725.0000,-0.2495,0.9434,0.3989,-1.8311,4.0283,-3.4180
97726.0000,-0.2422,0.9438,0.3970,-1.7700,3.2349,-2.9907
97727.0000,-0.2324,0.9414,0.3994,-1.5259,3.2349,-0.7324
97728.0000,-0.2397,0.9463,0.3989,-1.5259,3.0518,-1.6479
97729.0000,-0.2290,0.9448,0.3965,-1.2207,2.5024,-1.4038
97730.0000,-0.2368,0.9429,0.3965,-1.1597,2.1973,0.4883
97731.0000,-0.2354,0.9448,0.3965,-1.0376,1.5869,-1.0376
97732.0000,-0.2505,0.9448,0.3965,-0.7935,1.2817,0.0610
97733.0000,-0.2427,0.9419,0.3940,-0.4272,1.0376,-0.4883
97734.0000,-0.2368,0.9409,0.3950,-0.2441,0.4272,-0.1221
97735.0000,-0.2363,0.9409,0.3945,0.0000,0.4883,-0.9766
97736.0000,-0.2324,0.9409,0.3955,0.1831,0.0000,-0.6714
97737.0000,-0.2373,0.9424,0.3970,0.3662,-0.1831,0.0610
97738.0000,-0.2246,0.9424,0.3970,0.6714,-0.4883,-1.4038
97739.0000,-0.2207,0.9404,0.3931,0.7324,-0.6104,-1.2817
97740.0000,-0.2305,0.9404,0.3970,0.8545,-0.9766,-0.7324
97741.0000,-0.2319,0.9448,0.3940,1.0376,-1.4038,-0.3052
97742.0000,-0.2324,0.9478,0.3916,1.2817,-2.0752,-0.1831
97743.0000,-0.2275,0.9409,0.3936,1.2817,-2.8687,-0.7935
97744.0000,-0.2378,0.9272,0.3911,1.3428,-3.1128,1.8921
97745.0000,-0.2319,0.9238,0.3906,1.4038,-3.3569,0.3662
97746.0000,-0.2246,0.9360,0.3931,1.5259,-3.9062,5.6763
97747.0000,-0.2256,0.9580,0.3916,2.0142,-4.6387,8.9722
97748.0000,-0.2271,0.9648,0.3901,2.8076,-5.0049,9.7656
97749.0000,-0.2329,0.9561,0.3882,3.4180,-6.2256,13.6108
97750.0000,-0.2324,0.9370,0.3838,3.5400,-7.7515,16.6626
97751.0000,-0.2290,0.9116,0.3828,2.8687,-10.0708,20.5688
97752.0000,-0.2397,0.8877,0.3867,2.5024,-13.6719,27.7710
97753.0000,-0.2368,0.8945,0.3926,2.6245,-17.0288,38.8184
97754.0000,-0.2598,0.9292,0.3936,3.6621,-20.8130,47.9126
97755.0000,-0.2705,0.9624,0.3970,5.3711,-24.0479,56.9458
97756.0000,-0.2896,0.9502,0.3984,7.1411,-26.7334,68.6035
97757.0000,-0.3140,0.9121,0.3940,8.4839,-29.2358,78.2471
97758.0000,-0.3301,0.8726,0.3853,9.3994,-32.2876,84.1675
97759.0000,-0.3218,0.8428,0.3828,9.4604,-35.5835,96.6187
97760.0000,-0.3115,0.8242,0.3804,9.5825,-40.1611,107.4219
97761.0000,-0.3057,0.8198,0.3848,10.5591,-45.0439,120.6055
97762.0000,-0.2974,0.8267,0.3979,12.2070,-47.6685,130.4321
97763.0000,-0.2969,0.8345,0.4126,13.9771,-48.1567,131.0425
97764.0000,-0.2876,0.8354,0.4160,16.0522,-48.4619,129.0283
97765.0000,-0.2681,0.8325,0.3994,18.1885,-49.2554,125.9155
97766.0000,-0.2261,0.8242,0.3813,20.2637,-51.6968,128.4790
97767.0000,-0.1890,0.8047,0.3706,22.1558,-54.9927,136.0474
97768.0000,-0.1538,0.7876,0.3721,23.9868,-56.8848,143.7378
97769.0000,-0.1235,0.7891,0.3794,25.4517,-56.4575,149.1699
97770.0000,-0.1030,0.8018,0.3887,26.8555,-53.1006,151.5503
97771.0000,-0.0649,0.8125,0.3896,28.6865,-49.0723,148.9868
97772.0000,-0.0034,0.8140,0.3882,30.1514,-45.8374,149.5361
97773.0000,0.0825,0.8081,0.3804,30.7617,-45.5322,149.9023
97774.0000,0.1602,0.7959,0.3613,31.1890,-47.4854,151.8555
97775.0000,0.1831,0.7959,0.3491,30.7617,-48.5840,153.8086
97776.0000,0.1782,0.8130,0.3462,29.9072,-46.4478,151.4893
97777.0000,0.1616,0.8320,0.3423,28.9307,-45.8984,151.4893
97778.0000,0.1821,0.8394,0.3315,27.8931,-46.7529,153.6255
97779.0000,0.2495,0.8306,0.3242,25.8789,-47.4243,154.7852
97780.0000,0.3096,0.8096,0.3130,23.1323,-48.7671,156.3721
97781.0000,0.3154,0.7793,0.3018,20.6299,-50.2319,155.3345
97782.0000,0.3193,0.7480,0.2949,18.4326,-51.1475,153.5034
97783.0000,0.3320,0.7324,0.2915,17.0288,-50.6592,151.6724
97784.0000,0.3447,0.7290,0.2891,16.5405,-49.5605,142.3340
97785.0000,0.3779,0.7300,0.2808,16.0522,-47.9736,134.1553
97786.0000,0.4321,0.7261,0.2651,15.1367,-46.8140,120.6055
97787.0000,0.5103,0.7134,0.2520,14.1602,-45.2881,108.2153
97788.0000,0.5703,0.6948,0.2480,13.2446,-42.8467,93.8721
97789.0000,0.6138,0.6792,0.2573,12.0239,-40.8325,81.1768
97790.0000,0.6724,0.6714,0.2539,11.2305,-37.5977,72.9980
97791.0000,0.7275,0.6733,0.2432,10.0098,-33.5693,63.4766
97792.0000,0.7788,0.6758,0.2314,8.9722,-29.5410,54.5044
97793.0000,0.8223,0.6816,0.2153,7.9346,-25.8179,45.6543
97794.0000,0.8677,0.6890,0.2061,6.7139,-21.4233,37.4146
97795.0000,0.8994,0.6880,0.1929,5.3101,-16.9678,29.7852
97796.0000,0.9248,0.6846,0.1953,4.0283,-13.6108,25.0854
97797.0000,0.9487,0.6826,0.2051,2.6245,-9.8877,17.3950
97798.0000,0.9546,0.6807,0.2148,1.5259,-7.9956,14.2822
97799.0000,0.9404,0.6768,0.2217,0.9155,-6.9580,12.0239
97800.0000,0.8945,0.6699,0.2261,0.8545,-5.9814,8.9111
97801.0000,0.8613,0.6631,0.2300,0.9155,-5.1880,5.8594
97802.0000,0.8433,0.6587,0.2368,1.0376,-4.8218,4.0894
97803.0000,0.8179,0.6553,0.2339,1.5869,-3.7231,1.9531
97804.0000,0.8032,0.6548,0.2344,2.0142,-3.1128,1.9531
97805.0000,0.7944,0.6592,0.2358,2.5024,-1.7090,0.9766
97806.0000,0.8003,0.6602,0.2378,2.7466,-0.7324,-0.5493
97807.0000,0.7935,0.6699,0.2354,2.6245,0.4272,-0.5493
97808.0000,0.7896,0.6807,0.2344,2.5024,1.5259,-1.1597
97809.0000,0.7964,0.6890,0.2305,2.3193,2.4414,0.2441
97810.0000,0.7935,0.6987,0.2310,1.9531,2.5635,2.0752
97811.0000,0.7979,0.6997,0.2280,1.4648,2.0752,3.2959
97812.0000,0.7803,0.7036,0.2300,1.0986,1.6479,4.0283
97813.0000,0.7695,0.7061,0.2290,0.9155,1.6479,4.8218
97814.0000,0.7578,0.7075,0.2339,1.0986,2.2583,4.6387
97815.0000,0.7524,0.7002,0.2373,1.0986,2.0752,5.1880
97816.0000,0.7578,0.6953,0.2388,0.7324,1.1597,3.2349
97817.0000,0.7563,0.6948,0.2378,0.4272,-0.2441,5.0659
97818.0000,0.7393,0.7021,0.2373,0.3052,-2.1973,3.4790
97819.0000,0.7207,0.7085,0.2407,0.1831,-2.9907,3.1128
97820.0000,0.7104,0.7114,0.2417,0.2441,-2.8076,3.2349
97821.0000,0.7046,0.7090,0.2407,0.3052,-2.5024,4.2114
97822.0000,0.6987,0.7021,0.2407,0.5493,-2.1362,2.9907
97823.0000,0.7261,0.6929,0.2378,0.5493,-0.7324,2.4414
97824.0000,0.7373,0.6880,0.2339,0.6104,0.4272,1.7700
97825.0000,0.7598,0.6821,0.2354,0.7324,1.0986,0.3052
97826.0000,0.7627,0.6802,0.2314,0.4883,1.2207,0.7935
97827.0000,0.7778,0.6787,0.2314,0.1831,1.5259,0.8545
97828.0000,0.7803,0.6748,0.2261,-0.0610,1.2817,-1.2817
97829.0000,0.7715,0.6758,0.2251,-0.4883,1.6479,-0.3662
97830.0000,0.7764,0.6782,0.2256,-0.7935,1.5259,-3.0518
97831.0000,0.7695,0.6812,0.2261,-1.0376,1.8921,-2.5635
97832.0000,0.7705,0.6812,0.2241,-1.1597,1.8311,-3.1738
97833.0000,0.7661,0.6841,0.2271,-1.4648,1.3428,-3.9062
97834.0000,0.7593,0.6870,0.2290,-1.7090,1.5259,-5.7373
97835.0000,0.7583,0.6924,0.2334,-1.6479,1.8311,-5.2490
97836.0000,0.7661,0.6934,0.2378,-1.8921,1.7090,-6.1646
97837.0000,0.7563,0.6958,0.2427,-1.7700,2.1362,-7.0190
97838.0000,0.7598,0.6973,0.2437,-1.6479,2.0142,-8.2397
97839.0000,0.7617,0.6938,0.2427,-1.4648,2.0752,-8.7891
97840.0000,0.7510,0.6924,0.2471,-0.9155,1.7090,-8.0566
97841.0000,0.7622,0.6914,0.2461,-0.4883,1.5259,-6.5308
97842.0000,0.7607,0.6865,0.2427,-0.3662,1.3428,-6.8359
97843.0000,0.7529,0.6875,0.2437,-0.1831,1.1597,-6.5918
97844.0000,0.7520,0.6914,0.2437,-0.1221,1.5869,-6.5918
97845.0000,0.7466,0.6963,0.2451,-0.1831,2.2583,-5.9204
97846.0000,0.7461,0.7031,0.2456,0.1221,2.4414,-3.8452
97847.0000,0.7319,0.7021,0.2412,0.4272,2.0752,-3.9062
97848.0000,0.7275,0.7002,0.2383,1.1597,1.5869,-4.9438
97849.0000,0.7183,0.6968,0.2397,1.4648,1.2817,-3.0518
97850.0000,0.7222,0.6938,0.2368,1.5259,0.7935,-2.5024
97851.0000,0.7397,0.6992,0.2383,1.3428,0.4883,-1.7700
97852.0000,0.7354,0.7056,0.2397,0.9155,0.8545,-1.8921
97853.0000,0.7432,0.7109,0.2397,0.6104,0.9766,-0.7324
97854.0000,0.7417,0.7192,0.2397,0.2441,0.9766,-1.9531
97855.0000,0.7300,0.7188,0.2412,0.0610,1.3428,-2.1973
97856.0000,0.7256,0.7222,0.2388,-0.0610,1.2207,-1.4648
97857.0000,0.7075,0.7183,0.2378,0.1221,1.6479,-1.2817
97858.0000,0.7188,0.7085,0.2344,0.3052,1.7090,-1.4038
97859.0000,0.7134,0.7031,0.2358,0.4883,1.9531,-1.1597
97860.0000,0.7251,0.6958,0.2393,0.4272,1.4038,-1.6479
97861.0000,0.7285,0.6919,0.2397,0.5493,1.4648,-1.6479
97862.0000,0.7285,0.6973,0.2407,0.4272,1.4038,-1.1597
97863.0000,0.7319,0.7041,0.2446,0.1831,0.9155,-0.9155
97864.0000,0.7324,0.7075,0.2417,0.2441,1.2817,-2.1973
97865.0000,0.7295,0.7100,0.2397,0.0000,1.0376,-2.2583
97866.0000,0.7275,0.7134,0.2402,-0.3052,1.2207,-1.0376
97867.0000,0.7314,0.7134,0.2417,-0.3052,1.2207,-1.8311
97868.0000,0.7354,0.7119,0.2407,-0.5493,0.7935,-0.5493
97869.0000,0.7456,0.7109,0.2432,-0.4883,0.5493,-1.5869
97870.0000,0.7422,0.7119,0.2437,-0.6714,0.4883,-1.9531
97871.0000,0.7271,0.7104,0.2437,-0.8545,0.0000,-2.1362
97872.0000,0.7295,0.7114,0.2427,-0.7935,0.1221,-2.6245
97873.0000,0.7173,0.7114,0.2402,-1.0986,0.0610,-1.8311
97874.0000,0.7227,0.7153,0.2397,-1.1597,0.7935,-2.7466
97875.0000,0.7275,0.7114,0.2388,-1.3428,1.4038,-1.4038
97876.0000,0.7305,0.7080,0.2407,-1.3428,1.3428,-2.3804
